token_,count
chef guerre,3
toutes aultres,2
fréres plus,2
doibt estre,2
veult dire,2
plus souvent,2
plus grande,2
comme celle,2
comme frère,2
tous lieux,2
lieux endroicts,2
roy faire,2
capitaine général,2
seulement comme,2
air harangue,1
harangue prononcée,1
prononcée chancelier,1
chancelier hospital,1
hospital parlement,1
parlement paris,1
paris novembre,1
novembre amitiez,1
amitiez bienveillance,1
bienveillance frères,1
frères ungs,1
ungs envers,1
envers aultres,1
aultres surpassent,1
surpassent toutes,1
aultres sans,1
sans erf,1
erf excepter,1
excepter celles,1
celles pères,1
pères mères,1
mères envers,1
envers enfans,1
enfans comme,1
comme trés,1
trés bien,1
bien escript,1
escript ancien,1
ancien autheur,1
autheur dict,1
dict cela,1
cela estre,1
estre appertement,1
appertement remarqué,1
remarqué dieu,1
dieu nature,1
nature humaine,1
humaine poinct,1
poinct doué,1
doué œil,1
œil seulement,1
seulement oreille,1
oreille tung,1
tung bras,1
bras jambe,1
jambe deux,1
deux chascung,1
chascung voulant,1
voulant là,1
là monstrer,1
monstrer fraternité,1
fraternité corps,1
corps encore,1
encore cest,1
cest escript,1
escript hérodote,1
hérodote femme,1
femme laquelle,1
laquelle préféroit,1
préféroit amitié,1
amitié frére,1
frére celle,1
celle propres,1
propres enfans,1
enfans disant,1
disant raison,1
raison quand,1
quand auroit,1
auroit perdeu,1
perdeu slesdicts,1
slesdicts enfans,1
enfans auroit,1
auroit moyen,1
moyen pouvoir,1
pouvoir faire,1
faire aultres,1
aultres non,1
non ainsy,1
ainsy fréres,1
plus pére,1
pére mere,1
mere disoit,1
disoit ancien,1
ancien bon,1
bon autheur,1
autheur ceulx,1
ceulx ennemys,1
ennemys leurs,1
leurs frères,1
frères harangues,1
harangues cherchent,1
cherchent amour,1
amour appuy,1
appuy ailleurs,1
ailleurs semblent,1
semblent ceulx,1
ceulx coupent,1
coupent jambe,1
jambe lieu,1
lieu ycelle,1
ycelle prennent,1
prennent bois,1
bois autant,1
autant amy,1
amy tié,1
tié fréres,1
fréres naturelle,1
naturelle tout,1
tout aultre,1
aultre estran,1
estran gere,1
gere attachée,1
attachée rapportée,1
rapportée corps,1
corps disoit,1
disoit aultre,1
aultre ceste,1
ceste fraternelle,1
fraternelle amytié,1
amytié naturelle,1
naturelle toutes,1
aultres ombre,1
ombre auprèsles,1
auprèsles images,1
images ycelle,1
ycelle combien,1
combien cette,1
cette bonne,1
bonne affection,1
affection doibt,1
estre naturellement,1
naturellement entre,1
entre fréres,1
fréres commenca,1
commenca premiérement,1
premiérement estre,1
estre corrompeue,1
corrompeue défaillie,1
défaillie cain,1
cain abel,1
abel depuis,1
depuis ez,1
ez deux,1
deux édifiérent,1
édifiérent rome,1
rome plusieurs,1
plusieurs aultres,1
aultres oubliez,1
oubliez si,1
si grand,1
grand nombre,1
nombre bons,1
bons exemples,1
exemples toutesfois,1
toutesfois vrays,1
vrays fréres,1
fréres point,1
point dépravez,1
dépravez bonne,1
bonne nature,1
nature monstré,1
monstré com,1
com bien,1
bien estimé,1
estimé bien,1
bien comme,1
comme plus,1
plus riche,1
riche puissant,1
puissant héritage,1
héritage scauroient,1
scauroient avoir,1
avoir tellement,1
tellement veult,1
dire frère,1
frère affaires,1
affaires tant,1
tant publics,1
publics privez,1
privez doibt,1
doibt plus,1
plus ayder,1
ayder frére,1
frére estrangier,1
estrangier propos,1
propos sert,1
sert petit,1
petit vers,1
vers grec,1
grec veult,1
dire faille,1
faille égaler,1
égaler amytié,1
amytié estrangier,1
estrangier celle,1
celle frére,1
frére ceulx,1
ceulx faict,1
faict ainsy,1
ainsy plus,1
souvent bien,1
bien trouvez,1
trouvez trés,1
trés mal,1
mal con,1
con traire,1
traire plus,1
plus grand,1
grand successeur,1
successeur alexandre,1
alexandre antigone,1
antigone oyoit,1
oyoit quelques,1
quelques harangues,1
harangues bassadeurs,1
bassadeurs vouloit,1
vouloit reprendre,1
reprendre quand,1
quand feit,1
feit voir,1
voir concorde,1
concorde filz,1
filz priant,1
priant quand,1
quand seroient,1
seroient retour,1
retour ra,1
ra conter,1
conter leurs,1
leurs comme,1
comme veue,1
veue trouve,1
trouve ez,1
ez grandz,1
grandz empires,1
empires estu,1
estu dient,1
dient abattre,1
abattre défaire,1
défaire leurs,1
leurs fréres,1
grande seureté,1
seureté disent,1
disent domination,1
domination ceste,1
ceste barbarie,1
barbarie trouve,1
trouve ailleurz,1
ailleurz nation,1
nation trés,1
trés barbare,1
barbare non,1
non chrestienne,1
chrestienne comme,1
celle turcs,1
turcs france,1
france touté,1
touté aultre,1
aultre chose,1
chose veoit,1
veoit monsieur,1
monsieur scavez,1
scavez roy,1
roy teneu,1
teneu tousjours,1
tousjours prés,1
prés majesté,1
majesté élevé,1
élevé entreteneu,1
entreteneu comme,1
frère aujourd,1
aujourd hui,1
hui honoré,1
honoré honneur,1
honneur certai,1
certai nement,1
nement non,1
non vulgaire,1
vulgaire oultre,1
oultre soing,1
soing vigi,1
vigi lance,1
lance prins,1
prins royne,1
royne vostre,1
vostre mère,1
mère comme,1
celle plus,1
plus intéressée,1
intéressée conservation,1
conservation ceste,1
ceste amytié,1
amytié faire,1
faire nourrir,1
nourrir beuvant,1
beuvant mangeant,1
mangeant tous,1
tous jours,1
jours ensemble,1
ensemble vesteus,1
vesteus ordi,1
ordi nairement,1
nairement mesmes,1
mesmes habits,1
habits jouissans,1
jouissans ticipans,1
ticipans tous,1
tous fruictz,1
fruictz plaisirs,1
plaisirs roy,1
roy prend,1
prend tous,1
endroicts royaulme,1
royaulme partageant,1
partageant apanageant,1
apanageant haultement,1
haultement ri,1
ri chement,1
chement ainsy,1
ainsy appartient,1
appartient filz,1
filz frére,1
frére roy,1
roy peut,1
peut estre,1
estre choses,1
choses communes,1
communes arrivées,1
arrivées aultres,1
aultres encore,1
encore chose,1
chose rare,1
rare singuliére,1
singuliére jalousie,1
jalousie plus,1
souvent ez,1
ez roys,1
roys puissance,1
puissance grandeur,1
grandeur harangues,1
harangues soigneuse,1
soigneuse bonne,1
