token_,count
ladicte court,12
conseil privé,6
roy conseil,4
ceste compagnie,4
quelque chose,3
genz roy,3
dudict seigneur,2
ledict seigneur,2
appaiser séditions,2
trois estatz,2
court peu,2
couvrent manteau,2
comme autrefois,2
ceste ville,2
core quelques,2
pays où,2
maistre si,2
table ailleurz,2
si roy,2
estatz concile,2
court céans,2
aultres parlements,2
tous jours,2
trois cents,2
fault laisser,2
peult estre,2
aultre édict,2
prie court,2
long temps,2
faire roy,2
faict marchandise,2
mar chands,2
forme justice,2
trois quatre,2
ez quelz,2
dif férends,2
grand conseil,2
court aultres,2
généraulx aydes,2
con seil,2
juge ment,2
court aydes,2
audict conseil,2
ledict combes,2
harangue al,1
al parlement,1
parlement paris,1
paris septembre,1
septembre cou,1
cou rd,1
rd huy,1
huy monsieur,1
monsieur chancelier,1
chancelier france,1
france messire,1
messire michel,1
michel hospital,1
hospital chevalier,1
chevalier veneu,1
veneu court,1
court suivy,1
suivy sieurs,1
sieurs archevesque,1
archevesque vien,1
vien évesque,1
évesque orléans,1
orléans conseillers,1
conseillers roy,1
privé maistres,1
maistres martin,1
martin fumée,1
fumée yves,1
yves rubay,1
rubay rené,1
rené bourgneuf,1
bourgneuf maistres,1
maistres requestes,1
requestes hostel,1
hostel dudict,1
seigneur dict,1
dict ladicte,1
court toutes,1
toutes chambres,1
chambres assemblées,1
assemblées venu,1
venu part,1
part entendre,1
entendre elles,1
elles quelque,1
chose appartenant,1
appartenant justice,1
justice quoy,1
quoy peust,1
peust favoriser,1
favoriser aussi,1
aussi chargé,1
chargé roy,1
roy dire,1
dire autres,1
autres choses,1
choses unes,1
unes concernant,1
concernant tat,1
tat universel,1
universel autres,1
autres faict,1
faict princes,1
princes fera,1
fera long,1
long parce,1
parce assez,1
assez empeschez,1
empeschez arrestz,1
arrestz matin,1
matin prononcer,1
prononcer marillac,1
marillac morvilliers,1
morvilliers harangues,1
harangues faict,1
faict estat,1
estat ledict,1
seigneur roi,1
roi veneu,1
veneu dernièrement,1
dernièrement fontainebleau,1
fontainebleau délibéra,1
délibéra donner,1
donner ordre,1
ordre principaulx,1
principaulx affaires,1
affaires faire,1
faire assemblée,1
assemblée gens,1
gens conseil,1
privé grands,1
grands officierz,1
officierz connestable,1
connestable mareschaulx,1
mareschaulx france,1
france chevaliers,1
chevaliers ordre,1
ordre aultres,1
aultres grauds,1
grauds seigneurs,1
seigneurs cé,1
cé faict,1
faict assemblée,1
assemblée grande,1
grande grands,1
grands personnes,1
personnes miz,1
miz délibération,1
délibération principalement,1
principalement quelz,1
quelz moyens,1
moyens appaiser,1
séditions royaume,1
royaume délibération,1
délibération telle,1
telle tous,1
tous voix,1
voix trouvé,1
trouvé bonne,1
bonne croyt,1
croyt nostre,1
nostre seigneur,1
seigneur assisté,1
assisté prie,1
prie effects,1
effects ensuyvent,1
ensuyvent ladicte,1
court entendeue,1
entendeue ja,1
ja publiée,1
publiée assemblera,1
assemblera trois,1
estatz dixième,1
dixième décembre,1
décembre prochain,1
prochain janvier,1
janvier ensuyvant,1
ensuyvant concile,1
concile possible,1
possible univer,1
univer sel,1
sel sinon,1
sinon national,1
national vouldroit,1
vouldroit pouvoir,1
pouvoir répéter,1
répéter zelle,1
zelle affection,1
affection prudence,1
prudence saigesse,1
saigesse ceulx,1
ceulx assisté,1
assisté ladicte,1
peu entendre,1
entendre dicte,1
dicte délibération,1
délibération non,1
non causes,1
causes moyens,1
moyens déduitz,1
déduitz icelle,1
icelle roy,1
roy veoyant,1
veoyant émotions,1
émotions procéder,1
procéder cause,1
cause religion,1
religion parce,1
parce ceulx,1
ceulx couvrent,1
manteau chascung,1
chascung part,1
part religion,1
religion bouche,1
bouche pensé,1
pensé satisfaire,1
satisfaire ceulx,1
ceulx veulent,1
veulent establissement,1
establissement religion,1
religion poinct,1
poinct veu,1
veu meilleur,1
meilleur moyen,1
moyen concile,1
concile lequel,1
lequel congneu,1
congneu quoy,1
quoy harangufs,1
harangufs fauldra,1
fauldra arrester,1
arrester fault,1
fault temps,1
temps pré,1
pré parer,1
parer quoy,1
quoy fallu,1
fallu mestre,1
mestre ledict,1
ledict concile,1
concile apres,1
apres estatz,1
estatz pourverront,1
pourverront toutes,1
toutes plainctes,1
plainctes doléances,1
doléances subjectz,1
subjectz composés,1
composés trois,1
estatz comparoistront,1
comparoistront leurs,1
leurs putez,1
putez chascung,1
chascung pourra,1
pourra parler,1
parler ouy,1
ouy librement,1
librement devant,1
devant roy,1
roy tierz,1
tierz estat,1
estat déduire,1
déduire gravesses,1
gravesses charges,1
charges oppression,1
oppression gens,1
gens armes,1
armes noblesse,1
noblesse faulte,1
faulte payement,1
payement église,1
église touche,1
touche tous,1
tous trois,1
trois lon,1
lon gueur,1
gueur el,1
el faulte,1
faulte justice,1
justice toutes,1
toutes aultres,1
aultres choses,1
choses dont,1
dont sentiront,1
sentiront grévez,1
grévez pourveu,1
pourveu faict,1
faict religion,1
religion remiz,1
remiz concile,1
concile suit,1
suit prés,1
prés vray,1
vray moyen,1
moyen con,1
con tenter,1
tenter subjectz,1
subjectz nonobstant,1
nonobstant veoyent,1
veoyent beau,1
beau coup,1
coup genz,1
genz meuz,1
meuz mauvaise,1
mauvaise voulunté,1
voulunté encore,1
encore armes,1
armes persévérans,1
persévérans scait,1
scait quoy,1
quoy puisse,1
puisse contenter,1
contenter si,1
si religion,1
religion concile,1
concile satisfera,1
satisfera si,1
si aultre,1
aultre cause,1
cause estatz,1
estatz donneront,1
donneront ordre,1
ordre moyen,1
moyen quoy,1
quoy peult,1
peult juger,1
juger opinion,1
opinion sinon,1
sinon plaine,1
plaine maulvais,1
maulvais vouloir,1
vouloir religion,1
religion apprend,1
apprend armes,1
armes deux,1
deux remedes,1
remedes estant,1
estant présentez,1
présentez posent,1
posent llz,1
llz monstrent,1
monstrent veulent,1
veulent mutationem,1
mutationem rum,1
rum si,1
si gens,1
gens auxquelz,1
auxquelz semble,1
semble religion,1
religion doibve,1
doibve deffendre,1
deffendre augmenter,1
augmenter armes,1
armes comme,1
autrefois faict,1
faict ores,1
ores harangues,1
harangues ayt,1
ayt aulcuns,1
aulcuns compaignie,1
compaignie zèle,1
zèle advertissemens,1
advertissemens chascung,1
chascung jour,1
jour rouen,1
rouen provence,1
provence daulphiné,1
daulphiné aultres,1
aultres provinces,1
provinces repos,1
repos ceste,1
ville laquelle,1
laquelle plus,1
plus paisible,1
paisible in,1
in illis,1
illis castris,1
castris sunt,1
sunt perditi,1
perditi egentes,1
egentes homines,1
homines tendent,1
tendent esgaler,1
esgaler riches,1
riches querunt,1
querunt novas,1
novas tabulas,1
tabulas soldatz,1
soldatz autre,1
autre moyen,1
moyen vivre,1
vivre guerre,1
guerre estant,1
estant plus,1
plus employez,1
employez contre,1
contre voisins,1
voisins amys,1
amys discipline,1
discipline militaire,1
militaire observée,1
observée france,1
france comme,1
comme rome,1
rome core,1
quelques pays,1
où guerre,1
guerre finye,1
finye gens,1
gens guerre,1
guerre reprenoient,1
reprenoient leurs,1
leurs mestiers,1
mestiers francois,1
francois fois,1
fois guerre,1
guerre plus,1
plus mestier,1
mestier dictes,1
dictes compagnies,1
compagnies sédi,1
sédi tieuses,1
tieuses force,1
force bannis,1
bannis canailles,1
canailles tous,1
tous couvrent,1
manteau religion,1
religion si,1
si luthériens,1
luthériens plustost,1
plustost sans,1
sans dieu,1
dieu veulent,1
veulent vivre,1
vivre leurs,1
leurs maisons,1
maisons hors,1
hors sub,1
sub legibus,1
legibus force,1
force quelle,1
quelle espérance,1
espérance peult,1
peult avoir,1
avoir telles,1
telles genz,1
genz aultre,1
aultre confusion,1
confusion pillerie,1
pillerie si,1
si victoire,1
victoire part,1
part core,1
quelques ungs,1
ungs chefs,1
chefs aultre,1
aultre volonté,1
volonté pourroient,1
pourroient estre,1
estre maistres,1
maistres ceulx,1
ceulx conduysent,1
conduysent argent,1
argent fauldroit,1
fauldroit recompenser,1
recompenser vaincuz,1
vaincuz riches,1
riches demoureroient,1
demoureroient lors,1
lors auctheurs,1
auctheurs émotions,1
émotions sans,1
sans pouvoir,1
pouvoir auctorité,1
auctorité em,1
em harangues,1
harangues pescher,1
pescher mal,1
mal exemples,1
exemples veus,1
veus his,1
his toires,1
toires jours,1
jours chez,1
chez voisins,1
voisins majeurs,1
majeurs souffertz,1
souffertz icy,1
icy dict,1
dict mal,1
mal propos,1
propos conseillerz,1
conseillerz roy,1
roy comme,1
comme telz,1
telz veult,1
veult bien,1
bien faire,1
faire entendre,1
entendre ledict,1
seigneur pourveu,1
pourveu miz,1
miz bon,1
bon dre,1
dre force,1
force sans,1
sans puisse,1
puisse espérer,1
espérer inconvéniens,1
inconvéniens adviennent,1
adviennent aisé,1
aisé ment,1
ment maistre,1
si peult,1
peult réduire,1
réduire admonestemens,1
admonestemens ceulx,1
ceulx encore,1
encore clarez,1
clarez meilleur,1
meilleur ceulx,1
ceulx ceste,1
compagnie tiennent,1
tiennent lieu,1
lieu regardez,1
regardez honorez,1
honorez pluspart,1
pluspart maintenant,1
maintenant ira,1
ira diverses,1
diverses provinces,1
provinces in,1
in coroné,1
coroné circulis,1
circulis chascung,1
chascung eulx,1
eulx dict,1
dict table,1
table ail,1
ail leurz,1
leurz observé,1
observé peuple,1
peuple regard,1
regard eulx,1
eulx arreste,1
arreste dict,1
dict sans,1
sans propoz,1
propoz prie,1
prie prendre,1
prendre bonne,1
bonne part,1
part veneu,1
veneu jus,1
jus oreilles,1
oreilles plus,1
plus grands,1
grands ceste,1
compagnie aultres,1
aultres justice,1
justice lieu,1
lieu appaiser,1
séditions comme,1
comme dussent,1
dussent excitent,1
excitent paroles,1
paroles jectent,1
jectent table,1
ailleurz fault,1
fault estre,1
estre modéré,1
modéré combien,1
combien pluspart,1
pluspart cette,1
cette dicte,1
dicte compaignie,1
compaignie besoing,1
besoing admonestement,1
admonestement laisse,1
laisse admo,1
admo nester,1
nester prier,1
prier exhorter,1
exhorter chascung,1
chascung icelle,1
icelle tenir,1
tenir langaige,1
langaige puisse,1
puisse servir,1
servir scan,1
scan dale,1
dale confirmer,1
confirmer séditieux,1
séditieux opinion,1
opinion harangues,1
harangues ains,1
ains tenir,1
tenir propoz,1
propoz aydant,1
aydant contenir,1
contenir maul,1
maul vais,1
vais plusieurs,1
plusieurs rapports,1
rapports faits,1
faits contraire,1
contraire si,1
conseil estoient,1
estoient aisez,1
aisez croire,1
croire ja,1
ja faicte,1
faicte quelque,1
quelque démonstration,1
démonstration espère,1
espère ceste,1
ceste saint,1
saint martin,1
martin prochaine,1
prochaine retour,1
retour affaires,1
affaires meilleur,1
meilleur estat,1
estat bonne,1
bonne provision,1
provision roy,1
roy ayde,1
ayde part,1
part miz,1
miz con,1
con tenir,1
tenir subjectz,1
subjectz beaucoup,1
beaucoup genz,1
genz interprètent,1
interprètent toutes,1
toutes choses,1
choses mal,1
mal faict,1
faict mal,1
mal profict,1
profict assemblée,1
assemblée dernière,1
dernière faicte,1
faicte tainebleau,1
