token_,count
tout coup,3
bonne volonté,3
maistres requestes,2
non seulement,2
grandz affaires,2
seigneurs conseil,2
conseil privé,2
roy francois,2
cestuy cy,2
faict comme,2
tous jours,2
princes seigneurs,2
fault confesser,2
amender réformer,2
voulu entendre,2
faict harangues,2
concile universel,2
assemblée prélatz,2
accidens plus,2
parmy eulx,2
trouve bon,2
ceste compaignie,2
cy devant,2
fault faire,2
princes conseil,2
commandé dire,2
ladicte court,2
harangue dudict,1
dudict sieur,1
sieur chancelier,1
chancelier veneu,1
veneu parlement,1
parlement part,1
part roy,1
roy avoir,1
avoir advis,1
advis plusieurs,1
plusieurs points,1
points touchant,1
touchant édicts,1
édicts faicts,1
faicts boy,1
boy faict,1
faict religion,1
religion aultres,1
aultres choses,1
choses conteneues,1
conteneues dix,1
dix huitième,1
huitième jour,1
jour mois,1
mois juin,1
juin mil,1
mil cinq,1
cinq cent,1
cent soixante,1
soixante extr,1
extr reg,1
reg da,1
da conseil,1
conseil parl,1
parl paris,1
paris cotté,1
cotté vi,1
vi xi,1
xi fol,1
fol ovap,1
ovap zvr,1
zvr monsieur,1
monsieur messire,1
messire michel,1
michel hospital,1
hospital chevallier,1
chevallier chancellier,1
chancellier france,1
france entre,1
entre huict,1
huict neuf,1
neuf heures,1
heures veneu,1
veneu court,1
court accompaigné,1
accompaigné mm,1
mm martin,1
martin fumée,1
fumée étienne,1
étienne potier,1
potier francois,1
francois aubespine,1
aubespine martin,1
martin beaulne,1
beaulne maistres,1
requestes hostel,1
hostel roy,1
roy dict,1
dict toutes,1
toutes chambres,1
chambres assemblées,1
assemblées ledict,1
ledict seigneur,1
seigneur envoyé,1
envoyé céans,1
céans prendre,1
prendre conseil,1
conseil advis,1
advis certaines,1
certaines choses,1
choses orroient,1
orroient estimant,1
estimant conseillers,1
conseillers non,1
seulement juger,1
juger procez,1
procez aussy,1
aussy plus,1
plus grandz,1
affaires estat,1
estat quand,1
quand plaist,1
plaist requérir,1
requérir fera,1
fera long,1
long discours,1
discours propoz,1
propoz déclarer,1
déclarer parce,1
parce assez,1
assez harangues,1
harangues congneus,1
congneus court,1
court entendra,1
entendra cy,1
cy après,1
après princes,1
princes aultres,1
aultres seigneurs,1
privé viendront,1
viendront visiter,1
visiter scavent,1
scavent mal,1
mal régné,1
régné royaulme,1
royaulme puis,1
puis trente,1
trente trente,1
trente cinq,1
cinq ans,1
ans cause,1
cause religion,1
religion auquel,1
auquel mal,1
mal difficile,1
difficile donner,1
donner bonne,1
bonne médecine,1
médecine parce,1
parce ainsi,1
ainsi dient,1
dient médecins,1
médecins znveteratus,1
znveteratus morbus,1
morbus non,1
non facilè,1
facilè cura,1
cura tur,1
tur long,1
long temps,1
temps attendeu,1
attendeu remédier,1
remédier mal,1
mal gaigné,1
gaigné royaulme,1
royaulme telle,1
telle ment,1
ment quil,1
quil maintenant,1
maintenant malaysé,1
malaysé veoir,1
veoir entendent,1
entendent trés,1
trés bien,1
bien dira,1
dira avoir,1
avoir faict,1
faict peu,1
peu temps,1
temps trois,1
trois derniers,1
derniers roys,1
roys bonne,1
bonne mémoire,1
mémoire dés,1
dés commen,1
commen cement,1
cement feu,1
feu roy,1
francois puis,1
puis roy,1
roy henri,1
henri it,1
it aprés,1
aprés filx,1
filx aisné,1
aisné roy,1
francois ii,1
ii cestuy,1
cy faict,1
faict édictz,1
édictz ordonnances,1
ordonnances estably,1
estably exécution,1
exécution iceulx,1
iceulx juges,1
juges ordinaires,1
ordinaires extraordinaires,1
extraordinaires toutesfois,1
toutesfois cela,1
cela empesché,1
empesché mal,1
mal ayt,1
ayt passé,1
passé oultre,1
oultre peult,1
peult estre,1
estre retardé,1
retardé faict,1
comme chancre,1
chancre gaigne,1
gaigne tous,1
jours jusque,1
jusque tout,1
coup veneu,1
veneu presque,1
presque accabler,1
accabler temps,1
temps mal,1
mal pro,1
pro poz,1
poz soubz,1
soubz règne,1
règne jeune,1
jeune roy,1
roy core,1
core aage,1
aage poulvoir,1
poulvoir commander,1
commander comme,1
comme affaire,1
affaire requiert,1
requiert harangues,1
harangues princes,1
seigneurs bonne,1
volonté toutesfois,1
toutesfois peulvent,1
peulvent tel,1
tel faict,1
faict bien,1
bien ayder,1
ayder senteut,1
senteut mal,1
mal accreu,1
accreu imprudence,1
imprudence non,1
non malice,1
malice prédécesseurs,1
prédécesseurs fault,1
fault dire,1
dire recog,1
recog noistre,1
noistre vérité,1
vérité lesdictz,1
lesdictz prédécesseurz,1
prédécesseurz cuydé,1
cuydé chasser,1
chasser curer,1
curer pugnir,1
pugnir ceulx,1
ceulx toient,1
toient tumbez,1
tumbez erreurs,1
erreurs remédes,1
remédes humains,1
humains néantmoins,1
néantmoins fault,1
confesser puni,1
puni tion,1
tion maladie,1
maladie dieu,1
dieu envoyées,1
envoyées noz,1
noz faultes,1
faultes péchez,1
péchez falloit,1
falloit user,1
user remèdes,1
remèdes divins,1
divins spirituelz,1
spirituelz tous,1
tous juges,1
juges chrestiens,1
chrestiens ceulx,1
ceulx ceste,1
ceste semblée,1
semblée ceste,1
ceste honneur,1
honneur estre,1
estre teneuz,1
teneuz premiers,1
premiers juges,1
juges monde,1
monde cognoissent,1
cognoissent assez,1
assez facultez,1
facultez église,1
église entre,1
entre loyx,1
loyx ainsi,1
ainsi dict,1
dict anciens,1
anciens hérésies,1
hérésies dieu,1
dieu permises,1
permises faire,1
faire cognoistre,1
cognoistre cause,1
cause mal,1
mal voyé,1
voyé dieu,1
dieu lieu,1
lieu prendre,1
prendre mé,1
mé decine,1
decine voulu,1
voulu défendre,1
défendre assaillir,1
assaillir sans,1
sans penser,1
penser dieu,1
dieu voyoit,1
voyoit amender,1
réformer ainsi,1
ainsi peu,1
peu genz,1
genz amendez,1
amendez réformez,1
réformez é,1
é glise,1
glise voulu,1
entendre faict,1
comme ceulx,1
ceulx assaillent,1
assaillent leurs,1
leurs ennemys,1
ennemys loing,1
loing sans,1
sans laisser,1
laisser provision,1
provision gar,1
gar nison,1
nison maison,1
maison dextre,1
dextre non,1
non sénestre,1
sénestre teneu,1
teneu roys,1
roys faict,1
harangues grande,1
grande instance,1
instance enverz,1
