token_,count
concile nice,2
attendre concile,2
concile général,2
harangue septembre,1
septembre roy,1
roy aage,1
aage plus,1
plus avancé,1
avancé mesme,1
mesme remonstré,1
remonstré amplement,1
amplement volonté,1
volonté désir,1
désir veoir,1
veoir bonne,1
bonne union,1
union tranquillité,1
tranquillité entre,1
entre subjects,1
subjects sisteroit,1
sisteroit continuellement,1
continuellement ceste,1
ceste compagnie,1
compagnie espérant,1
espérant sortiroit,1
sortiroit pareil,1
pareil fruict,1
fruict sortit,1
sortit remonstrance,1
remonstrance constantin,1
constantin grand,1
grand concile,1
nice auquel,1
auquel présida,1
présida liz,1
liz estoient,1
estoient là,1
là assemblez,1
assemblez comme,1
comme peu,1
peu entendre,1
entendre propoz,1
propoz roy,1
roy afin,1
afin pro,1
pro céder,1
céder réformation,1
réformation moeurz,1
moeurz doc,1
doc trine,1
trine ainsy,1
ainsy monstré,1
monstré vouloir,1
vouloir faire,1
faire feux,1
feux roys,1
roys henry,1
henry françoys,1
françoys père,1
père frère,1
frère peu,1
peu exécuter,1
exécuter préveneus,1
préveneus mort,1
mort roys,1
roys commiz,1
commiz dieu,1
dieu gouver,1
gouver ner,1
ner peuple,1
peuple pluspart,1
pluspart leurs,1
leurs inten,1
inten tions,1
tions régies,1
régies providence,1
providence croire,1
croire bonté,1
bonté mué,1
mué moeurs,1
moeurs princes,1
princes remesdier,1
remesdier mal,1
mal pullulant,1
pullulant royaulme,1
royaulme pourvoyant,1
pourvoyant cecy,1
cecy ue,1
ue faut,1
faut imiter,1
imiter mé,1
mé harangues,1
harangues decin,1
decin lequel,1
lequel appelé,1
appelé guérir,1
guérir griesve,1
griesve maladie,1
maladie use,1
use remède,1
remède allégeant,1
allégeant patient,1
patient quelque,1
quelque temps,1
temps seulement,1
seulement ains,1
ains convient,1
convient chercher,1
chercher cause,1
cause origine,1
origine oster,1
oster desraciner,1
desraciner tout,1
tout convient,1
convient attendre,1
général universel,1
universel pourra,1
pourra faire,1
faire non,1
non si,1
si tost,1
tost noz,1
noz affaires,1
affaires requièrent,1
requièrent veu,1
veu ungs,1
ungs princes,1
princes different,1
different envoyer,1
envoyer aultres,1
aultres veulent,1
veulent aulcunement,1
aulcunement entendre,1
entendre meilleur,1
meilleur cependant,1
cependant guérir,1
guérir si,1
si griefve,1
griefve maladie,1
maladie veoyons,1
veoyons croistre,1
croistre jour,1
jour jour,1
jour user,1
user remédes,1
remédes présens,1
présens domestiques,1
domestiques sans,1
sans attendre,1
attendre loingtains,1
loingtains estrangiers,1
estrangiers craincte,1
craincte tout,1
tout gaste,1
gaste avant,1
avant arrivent,1
arrivent ressemblant,1
ressemblant ceulx,1
ceulx perdeu,1
perdeu goust,1
goust laissent,1
laissent bonnes,1
bonnes herbes,1
herbes croissantes,1
croissantes leurs,1
leurs jardins,1
jardins aller,1
aller chercher,1
chercher égypte,1
égypte indes,1
indes médecin,1
médecin cogneu,1
cogneu malade,1
malade santé,1
santé plus,1
plus propre,1
propre guérir,1
guérir ordonner,1
ordonner remédes,1
remédes convenables,1
convenables celuy,1
celuy veist,1
veist oncques,1
oncques concile,1
général tenir,1
tenir gens,1
gens pluspart,1
pluspart estrangiers,1
estrangiers non,1
non congnoissant,1
congnoissant noz,1
noz af,1
af faires,1
faires quand,1
quand pape,1
pape mesme,1
mesme vouldroit,1
vouldroit enten,1
enten dre,1
dre contrainct,1
contrainct aider,1
aider eulx,1
eulx tous,1
tous pères,1
pères frères,1
frères parens,1
parens amys,1
amys malades,1
malades harangues,1
harangues conguoissant,1
conguoissant long,1
long temps,1
temps aultre,1
aultre panseront,1
panseront mieulx,1
mieulx feroient,1
feroient estrangiers,1
estrangiers partant,1
partant besoing,1
besoing attendre,1
concile géné,1
géné ral,1
ral réformer,1
réformer quant,1
quant aulcuns,1
aulcuns disoient,1
disoient fera,1
fera rien,1
rien ceste,1
ceste voye,1
voye doibt,1
doibt tenir,1
tenir deux,1
deux conciles,1
conciles mesme,1
mesme temps,1
temps dict,1
dict estre,1
estre pre,1
pre miére,1
miére fois,1
fois ayt,1
ayt veu,1
veu deux,1
deux ensemble,1
ensemble pourra,1
pourra rédiger,1
rédiger escript,1
escript résolutions,1
résolutions prendront,1
prendront icy,1
icy envoyer,1
envoyer cahyers,1
cahyers pape,1
pape souscrire,1
souscrire cela,1
cela observé,1
observé beaucoup,1
beaucoup conciles,1
conciles provinciaulx,1
provinciaulx assemblez,1
assemblez aucthorité,1
aucthorité charlemaigne,1
charlemaigne villes,1
villes léans,1
léans arles,1
arles aix,1
aix souvent,1
souvent erreur,1
erreur semée,1
semée église,1
église ge,1
ge néraulx,1
néraulx avoir,1
avoir ostée,1
ostée provinciaulx,1
provinciaulx tesmoing,1
tesmoing concile,1
concile arimini,1
arimini depuis,1
depuis lequel,1
lequel sainct,1
sainct hilaire,1
hilaire évesque,1
évesque poictiers,1
poictiers assembla,1
assembla deca,1
deca secretement,1
secretement dix,1
dix dix,1
dix évesques,1
évesques fust,1
fust moyen,1
moyen tenir,1
tenir concile,1
concile lequel,1
lequel hérésie,1
hérésie arrienne,1
arrienne fust,1
fust jetée,1
jetée hors,1
hors gaules,1
gaules parquoy,1
parquoy doibvent,1
doibvent doubter,1
doubter aussy,1
aussy bien,1
bien faire,1
faire possible,1
possible mieulx,1
mieulx concile,1
concile national,1
national général,1
général mesmement,1
mesmement favorisant,1
favorisant tant,1
tant louable,1
louable entreprinse,1
entreprinse volunté,1
volunté roy,1
roy em,1
em ployera,1
ployera toute,1
toute puissance,1
puissance aucthorité,1
aucthorité exécuter,1
exécuter feront,1
feront meure,1
meure saine,1
saine délibération,1
délibération premier,1
premier principal,1
principal moyen,1
moyen harangues,1
harangues procéder,1
procéder humilité,1
humilité tout,1
tout ainsy,1
ainsy assemblez,1
assemblez corps,1
corps estre,1
estre aussy,1
aussy uniz,1
