token_,count
('feu', 'roy'),6
('tenir', 'estats'),6
('nostre', 'jeune'),4
('paix', 'repos'),4
('plus', 'grande'),4
('bonne', 'vie'),4
('beaucoup', 'choses'),3
('jeune', 'roy'),3
('roy', 'philippe'),3
('faire', 'justice'),3
('ceste', 'cause'),3
('subjects', 'mesme'),3
('toutes', 'choses'),3
('uns', 'aultres'),3
('tout', 'peuple'),3
('peult', 'estre'),3
('toutes', 'aultres'),3
('roy', 'henry'),3
('paix', 'repoz'),3
('comme', 'dict'),3
('amytié', 'entre'),3
('diverses', 'religions'),3
('cy', 'devant'),3
