token_,count
convocation états généraux,2
assemblée fontainebleau aout,1
fontainebleau aout chancelier,1
aout chancelier remonstra,1
chancelier remonstra longue,1
remonstra longue déduction,1
longue déduction estat,1
déduction estat affaires,1
estat affaires royaume,1
affaires royaume quelles,1
royaume quelles comparé,1
quelles comparé dangereuse,1
comparé dangereuse maladie,1
dangereuse maladie dict,1
maladie dict estre,1
dict estre aisé,1
estre aisé guérir,1
aisé guérir mal,1
guérir mal pourveu,1
mal pourveu sceust,1
pourveu sceust cause,1
sceust cause racine,1
cause racine voyt,1
racine voyt estats,1
voyt estats troublés,1
estats troublés corrompuz,1
troublés corrompuz religion,1
corrompuz religion divisée,1
religion divisée opinions,1
divisée opinions noblesse,1
opinions noblesse malcontente,1
noblesse malcontente peuple,1
malcontente peuple appovri,1
peuple appovri grandement,1
appovri grandement refroidy,1
grandement refroidy zelle,1
refroidy zelle bonne,1
zelle bonne volonté,1
bonne volonté souloit,1
volonté souloit porter,1
souloit porter prince,1
porter prince ministres,1
prince ministres si,1
ministres si source,1
si source racine,1
source racine taut,1
racine taut calamitez,1
taut calamitez pouvoit,1
calamitez pouvoit descovrir,1
pouvoit descovrir remède,1
descovrir remède aisé,1
remède aisé quoy,1
aisé quoy cela,1
quoy cela fault,1
cela fault travailler,1
fault travailler raison,1
travailler raison quoy,1
raison quoy pleu,1
quoy pleu roy,1
pleu roy faire,1
roy faire ceste,1
faire ceste semblée,1
ceste semblée légitimement,1
semblée légitimement composée,1
légitimement composée tous,1
composée tous estats,1
tous estats royaume,1
estats royaume hormis,1
royaume hormis tiers,1
hormis tiers estat,1
tiers estat nullement,1
estat nullement nécessaire,1
nullement nécessaire parce,1
nécessaire parce but,1
parce but fin,1
but fin où,1
fin où roy,1
où roy tendoit,1
roy tendoit soulagement,1
tendoit soulagement repos,1
soulagement repos iceluy,1
repos iceluy ll,1
iceluy ll thou,1
ll thou rend,1
thou rend compte,1
rend compte cette,1
compte cette harangue,1
cette harangue peu,1
harangue peu pres,1
peu pres harangues,1
pres harangues après,1
harangues après chancelier,1
après chancelier parlèrent,1
chancelier parlèrent duc,1
parlèrent duc guise,1
duc guise cardinal,1
guise cardinal lorraine,1
cardinal lorraine premier,1
lorraine premier rendre,1
premier rendre compte,1
rendre compte situation,1
compte situation armée,1
situation armée dont,1
armée dont fois,1
dont fois administration,1
fois administration comman,1
administration comman dement,1
comman dement second,1
dement second état,1
second état finances,1
état finances dont,1
finances dont direction,1
dont direction remis,1
direction remis cette,1
remis cette première,1
cette première séance,1
première séance chacun,1
séance chacun membres,1
chacun membres assemblée,1
membres assemblée bulletin,1
assemblée bulletin ordre,1
bulletin ordre jour,1
ordre jour déterminer,1
jour déterminer travail,1
déterminer travail mêmes,1
travail mêmes termes,1
mêmes termes iii,1
termes iii liv,1
iii liv xxv,1
liv xxv chan,1
xxv chan celier,1
chan celier dit,1
celier dit servit,1
dit servit termes,1
servit termes prolixes,1
termes prolixes compa,1
prolixes compa raison,1
compa raison médecin,1
raison médecin gouverner,1
médecin gouverner homme,1
gouverner homme ac,1
homme ac cablé,1
ac cablé maladie,1
cablé maladie dont,1
maladie dont cause,1
dont cause inconnue,1
cause inconnue dit,1
inconnue dit plusieurs,1
dit plusieurs choses,1
plusieurs choses désolation,1
choses désolation foiblesse,1
désolation foiblesse royaume,1
foiblesse royaume noblesse,1
royaume noblesse magistrats,1
noblesse magistrats cor,1
magistrats cor ruption,1
cor ruption glissée,1
ruption glissée tous,1
glissée tous ordres,1
tous ordres état,1
ordres état ajouta,1
état ajouta esprits,1
ajouta esprits étoient,1
esprits étoient indisposez,1
étoient indisposez contre,1
indisposez contre roi,1
contre roi ct,1
roi ct principaux,1
ct principaux ministres,1
principaux ministres sans,1
ministres sans cause,1
sans cause cette,1
cause cette alié,1
cette alié nation,1
alié nation générale,1
nation générale connue,1
générale connue püt,1
connue püt conséquent,1
püt conséquent apporter,1
conséquent apporter remède,1
apporter remède plupart,1
remède plupart peu,1
plupart peu satisfaits,1
peu satisfaits présent,1
satisfaits présent alarmés,1
présent alarmés avenir,1
alarmés avenir quelques,1
avenir quelques uns,1
quelques uns motifs,1
uns motifs religion,1
motifs religion plus,1
religion plus grand,1
plus grand nombre,1
grand nombre vues,1
nombre vues ambi,1
vues ambi tion,1
ambi tion suscité,1
tion suscité troubles,1
suscité troubles ainsi,1
troubles ainsi falloit,1
ainsi falloit tâcher,1
falloit tâcher connoitre,1
tâcher connoitre origine,1
connoitre origine mal,1
origine mal apporter,1
mal apporter remédes,1
apporter remédes convenables,1
remédes convenables enfin,1
convenables enfin roi,1
enfin roi rien,1
roi rien plus,1
rien plus cœur,1
plus cœur apprendre,1
cœur apprendre étoient,1
apprendre étoient présents,1
étoient présents comment,1
présents comment pourroit,1
comment pourroit soulager,1
pourroit soulager peuple,1
soulager peuple conserver,1
peuple conserver chaque,1
conserver chaque ordre,1
chaque ordre prérogatives,1
ordre prérogatives maintenir,1
prérogatives maintenir autorité,1
maintenir autorité lo,1
autorité lo harangues,1
lo harangues cette,1
harangues cette précaution,1
cette précaution imaginée,1
précaution imaginée moins,1
imaginée moins in,1
moins in térèt,1
in térèt état,1
térèt état intérét,1
état intérét guises,1
intérét guises inutile,1
guises inutile voulait,1
inutile voulait surtout,1
voulait surtout éluder,1
surtout éluder convocation,1
éluder convocation états,1
états généraux tous,1
généraux tous efforts,1
tous efforts toute,1
efforts toute éloquence,1
toute éloquence cardinal,1
éloquence cardinal lorraine,1
cardinal lorraine échouereut,1
lorraine échouereut point,1
échouereut point discours,1
point discours monluc,1
discours monluc marillac,1
monluc marillac mor,1
marillac mor villiers,1
mor villiers coligny,1
villiers coligny triomphérent,1
coligny triomphérent tous,1
triomphérent tous obstacles,1
tous obstacles hospital,1
obstacles hospital besoin,1
hospital besoin ap,1
besoin ap puyer,1
ap puyer courage,1
puyer courage talents,1
courage talents trois,1
talents trois orateurs,1
trois orateurs édits,1
orateurs édits proposa,1
édits proposa adoptés,1
proposa adoptés convocation,1
adoptés convocation états,1
états généraux con,1
généraux con cile,1
con cile national,1
cile national décidée,1
national décidée cette,1
décidée cette assemblée,1
cette assemblée effet,1
assemblée effet conseil,1
effet conseil notables,1
conseil notables pris,1
notables pris exclusivement,1
pris exclusivement ordres,1
exclusivement ordres noblesse,1
ordres noblesse clergé,1
noblesse clergé néanmoins,1
clergé néanmoins éner,1
néanmoins éner décidé,1
éner décidé août,1
décidé août estats,1
août estats généraux,1
estats généraux tiendroient,1
généraux tiendroient meaux,1
tiendroient meaux dixième,1
meaux dixième décembre,1
dixième décembre atten,1
décembre atten dant,1
atten dant convoqueroit,1
dant convoqueroit ceulx,1
convoqueroit ceulx chaque,1
ceulx chaque province,1
chaque province dresser,1
province dresser leurs,1
dresser leurs cahiers,1
leurs cahiers choisir,1
cahiers choisir elles,1
choisir elles vouldroient,1
elles vouldroient députer,1
vouldroient députer évesques,1
députer évesques assembleroient,1
évesques assembleroient dixieme,1
assembleroient dixieme janvier,1
dixieme janvier là,1
janvier là partout,1
là partout où,1
partout où roy,1
où roy trouveroit,1
roy trouveroit envoyer,1
trouveroit envoyer là,1
envoyer là concile,1
là concile général,1
concile général délibérer,1
général délibérer convo,1
délibérer convo cation,1
convo cation national,1
cation national défault,1
national défault général,1
défault général cependant,1
général cependant plus,1
cependant plus procédé,1
plus procédé voie,1
procédé voie justice,1
voie justice contre,1
justice contre religionnaires,1
contre religionnaires sinon,1
religionnaires sinon contre,1
sinon contre ceulx,1
contre ceulx éleveroient,1
ceulx éleveroient armes,1
éleveroient armes mezeray,1
armes mezeray liv,1
mezeray liv xix,1
liv xix harangues,1
xix harangues gie,1
harangues gie sagesse,1
gie sagesse décisions,1
sagesse décisions alarmerent,1
décisions alarmerent parti,1
alarmerent parti guises,1
parti guises cour,1
guises cour rome,1
cour rome crainte,1
rome crainte concile,1
crainte concile national,1
concile national france,1
national france déter,1
france déter mina,1
déter mina enfin,1
mina enfin pape,1
enfin pape ouvrir,1
pape ouvrir concile,1
ouvrir concile général,1
concile général bologne,1
général bologne ensuite,1
bologne ensuite trente,1
ensuite trente voyez,1
trente voyez ci,1
voyez ci dessus,1
ci dessus essai,1
dessus essai vie,1
essai vie ouvrages,1
vie ouvrages hospital,1
ouvrages hospital suivantes,1
