token_,count
roy louis xii,2
it harangue états,1
harangue états généraux,1
états généraux orléans,1
généraux orléans omise,1
orléans omise rang,1
omise rang janvier,1
rang janvier style,1
janvier style ancien,1
style ancien voyez,1
ancien voyez premier,1
voyez premier volume,1
premier volume page,1
volume page suivantes,1
page suivantes monsieur,1
suivantes monsieur chancelier,1
monsieur chancelier hospital,1
chancelier hospital estant,1
hospital estant chaire,1
estant chaire costé,1
chaire costé roy,1
costé roy fit,1
roy fit imposer,1
fit imposer silence,1
imposer silence assistans,1
silence assistans commença,1
assistans commença harangue,1
commença harangue monstrant,1
harangue monstrant bénévolence,1
monstrant bénévolence roy,1
bénévolence roy royne,1
roy royne mére,1
royne mére necessitez,1
mére necessitez ezquelles,1
necessitez ezquelles roy,1
ezquelles roy royaulme,1
roy royaulme estoient,1
royaulme estoient tombez,1
estoient tombez calamité,1
tombez calamité guerres,1
calamité guerres mariaiges,1
guerres mariaiges aultres,1
mariaiges aultres affaires,1
aultres affaires adveneus,1
affaires adveneus audict,1
adveneus audict royaulme,1
audict royaulme ordre,1
royaulme ordre vouloit,1
ordre vouloit donner,1
vouloit donner édicts,1
donner édicts ordonnances,1
édicts ordonnances estoient,1
ordonnances estoient seroient,1
estoient seroient ci,1
seroient ci aprés,1
ci aprés faictes,1
aprés faictes selon,1
faictes selon moeurs,1
selon moeurs pays,1
moeurs pays peuple,1
pays peuple non,1
peuple non estrangiers,1
non estrangiers di,1
estrangiers di sant,1
di sant traict,1
sant traict desireroit,1
traict desireroit bon,1
desireroit bon selon,1
bon selon advis,1
selon advis jamais,1
advis jamais receu,1
jamais receu france,1
receu france loyx,1
france loyx romains,1
loyx romains mesme,1
romains mesme empereurs,1
mesme empereurs faictes,1
empereurs faictes exercer,1
faictes exercer tyran,1
exercer tyran nie,1
tyran nie envers,1
nie envers leurs,1
envers leurs subjects,1
leurs subjects tyrannie,1
subjects tyrannie harangues,1
tyrannie harangues leurs,1
harangues leurs gouverneurs,1
leurs gouverneurs usurpé,1
gouverneurs usurpé ad,1
usurpé ad ministration,1
ad ministration publicque,1
ministration publicque eulx,1
publicque eulx agrandir,1
eulx agrandir augmenter,1
agrandir augmenter leurs,1
augmenter leurs richesses,1
leurs richesses pur,1
richesses pur sang,1
pur sang pau,1
sang pau vres,1
pau vres subjects,1
vres subjects nombre,1
subjects nombre infiny,1
nombre infiny procez,1
infiny procez estoient,1
procez estoient royaulme,1
estoient royaulme faulte,1
royaulme faulte corruption,1
faulte corruption magistrats,1
corruption magistrats ceulx,1
magistrats ceulx estoient,1
ceulx estoient disoient,1
estoient disoient ministres,1
disoient ministres justice,1
ministres justice quoy,1
justice quoy roy,1
quoy roy royne,1
roy royne ceulx,1
royne ceulx con,1
ceulx con seil,1
con seil délibéré,1
seil délibéré donner,1
délibéré donner bon,1
donner bon ordre,1
bon ordre temps,1
ordre temps falloit,1
temps falloit royaulme,1
falloit royaulme bien,1
royaulme bien policé,1
bien policé gouverné,1
policé gouverné peu,1
gouverné peu loyx,1
peu loyx bons,1
loyx bons gistrats,1
bons gistrats trois,1
gistrats trois estats,1
trois estats requiz,1
estats requiz suppression,1
requiz suppression plusieurs,1
suppression plusieurs estats,1
plusieurs estats offices,1
estats offices naguéres,1
offices naguéres érigez,1
naguéres érigez nécessité,1
érigez nécessité temps,1
nécessité temps affaires,1
temps affaires remonstra,1
affaires remonstra telles,1
remonstra telles suppressions,1
telles suppressions pouvoient,1
suppressions pouvoient sitost,1
pouvoient sitost faire,1
sitost faire sans,1
faire sans rescompenser,1
sans rescompenser rembourser,1
rescompenser rembourser ceulx,1
rembourser ceulx acheptées,1
ceulx acheptées roy,1
acheptées roy falloit,1
roy falloit avoir,1
falloit avoir patience,1
avoir patience donne,1
patience donne roit,1
donne roit tel,1
roit tel ordre,1
tel ordre peu,1
ordre peu temps,1
peu temps chascung,1
temps chascung content,1
chascung content tout,1
content tout remiz,1
tout remiz tel,1
remiz tel estat,1
tel estat lors,1
estat lors roy,1
lors roy louis,1
louis xii mesme,1
xii mesme tailles,1
mesme tailles toutesfois,1
tailles toutesfois cela,1
toutesfois cela pouvoit,1
cela pouvoit faire,1
pouvoit faire sans,1
faire sans subvenir,1
sans subvenir ayder,1
subvenir ayder nostre,1
ayder nostre petit,1
nostre petit prince,1
petit prince lequel,1
prince lequel mineur,1
lequel mineur cause,1
mineur cause despenses,1
cause despenses ci,1
despenses ci devant,1
ci devant faictes,1
devant faictes espérance,1
faictes espérance doibt,1
espérance doibt avoir,1
doibt avoir vertus,1
avoir vertus harangues,1
vertus harangues veoit,1
harangues veoit reluire,1
veoit reluire doibvent,1
reluire doibvent grandement,1
doibvent grandement contenter,1
grandement contenter peu,1
contenter peu temps,1
peu temps ayde,1
temps ayde conseil,1
ayde conseil royne,1
conseil royne mére,1
royne mére genz,1
mére genz privé,1
genz privé conseil,1
privé conseil debvoit,1
conseil debvoit espérer,1
debvoit espérer royaul,1
espérer royaul fleuriroit,1
royaul fleuriroit plus,1
fleuriroit plus jamais,1
plus jamais faict,1
jamais faict chancelier,1
faict chancelier feit,1
chancelier feit infinies,1
feit infinies remons,1
infinies remons trances,1
remons trances disant,1
trances disant entre,1
disant entre aultres,1
entre aultres choses,1
aultres choses déja,1
choses déja roy,1
déja roy diminué,1
roy diminué estat,1
diminué estat despenses,1
estat despenses mai,1
despenses mai gaiges,1
mai gaiges pensions,1
gaiges pensions jusqu,1
pensions jusqu deux,1
jusqu deux millions,1
deux millions trois,1
millions trois cents,1
trois cents tant,1
cents tant mille,1
tant mille livres,1
mille livres peu,1
livres peu chose,1
peu chose quil,1
chose quil espéroit,1
quil espéroit mesme,1
espéroit mesme retran,1
mesme retran cher,1
retran cher dadvantaige,1
cher dadvantaige néantmoins,1
dadvantaige néantmoins tel,1
néantmoins tel lement,1
tel lement resté,1
lement resté debte,1
resté debte demeuré,1
debte demeuré devable,1
demeuré devable quarante,1
devable quarante trois,1
quarante trois millions,1
trois millions six,1
millions six sept,1
six sept cent,1
sept cent mille,1
cent mille livres,1
mille livres dont,1
livres dont quinze,1
dont quinze millions,1
quinze millions plus,1
millions plus lesquelz,1
plus lesquelz couroient,1
lesquelz couroient grands,1
couroient grands insupportables,1
grands insupportables intérests,1
insupportables intérests surplus,1
intérests surplus deu,1
surplus deu fort,1
deu fort poursuyvi,1
fort poursuyvi ceulx,1
poursuyvi ceulx prestez,1
ceulx prestez parce,1
prestez parce aulcung,1
parce aulcung intérest,1
aulcung intérest ceste,1
intérest ceste cause,1
ceste cause dict,1
cause dict chascung,1
dict chascung desdicts,1
chascung desdicts trois,1
desdicts trois estats,1
trois estats debvoit,1
estats debvoit avoir,1
debvoit avoir grande,1
avoir grande considération,1
grande considération subvenir,1
considération subvenir prince,1
subvenir prince ayder,1
prince ayder ur,1
ayder ur gente,1
ur gente nécessité,1
gente nécessité disant,1
nécessité disant roy,1
disant roy com,1
roy com mandé,1
com mandé prier,1
mandé prier faire,1
prier faire diminuer,1
faire diminuer quelque,1
diminuer quelque chose,1
quelque chose leurs,1
chose leurs estats,1
leurs estats despenses,1
estats despenses faisant,1
despenses faisant trouveroient,1
faisant trouveroient mieulx,1
trouveroient mieulx vie,1
mieulx vie santé,1
vie santé falloit,1
santé falloit attendre,1
falloit attendre né,1
attendre né cessité,1
né cessité guerre,1
cessité guerre parce,1
guerre parce aulcung,1
parce aulcung desdicts,1
aulcung desdicts harangues,1
desdicts harangues estats,1
harangues estats remonstré,1
estats remonstré où,1
remonstré où guerre,1
où guerre roit,1
guerre roit royaulme,1
roit royaulme aulcung,1
royaulme aulcung voulust,1
aulcung voulust éspargner,1
voulust éspargner vie,1
éspargner vie biens,1
