token_,count
nostre jeune roy,3
prendre adviz conseil,2
exemple bonne vie,2
gouverneurs baillifs séneschaulx,2
feu roy henry,2
harangue prononcese ouverture,1
prononcese ouverture session,1
ouverture session etats,1
session etats genear,1
etats genear assembles,1
genear assembles orleans,1
assembles orleans decembre,1
orleans decembre xsssizuns,1
decembre xsssizuns dieu,1
xsssizuns dieu donna,1
dieu donna volonté,1
donna volonté feu,1
volonté feu roy,1
feu roy ian,1
roy ian cois,1
ian cois ii,1
cois ii assembler,1
ii assembler semondre,1
assembler semondre estats,1
semondre estats royaume,1
estats royaume ceste,1
royaume ceste ville,1
ceste ville orléans,1
ville orléans ycelle,1
orléans ycelle continué,1
ycelle continué roy,1
continué roy charles,1
roy charles frère,1
charles frère souve,1
frère souve rain,1
souve rain seigneur,1
rain seigneur royne,1
seigneur royne mere,1
royne mere deux,1
mere deux roy,1
deux roy combien,1
roy combien mort,1
combien mort dudict,1
mort dudict feu,1
dudict feu roy,1
feu roy sem,1
roy sem blast,1
sem blast estats,1
blast estats deussent,1
estats deussent être,1
deussent être interrompeus,1
être interrompeus changement,1
interrompeus changement roy,1
changement roy deust,1
roy deust apporter,1
deust apporter soy,1
apporter soy mutation,1
soy mutation beaucoup,1
mutation beaucoup choses,1
beaucoup choses comme,1
choses comme veoyons,1
comme veoyons souvent,1
veoyons souvent advenir,1
souvent advenir mesme,1
advenir mesme quand,1
mesme quand roys,1
quand roys jeunes,1
roys jeunes bas,1
jeunes bas aage,1
bas aage donne,1
aage donne occasion,1
donne occasion voyez,1
occasion voyez essai,1
voyez essai vie,1
essai vie ouvrages,1
vie ouvrages hospital,1
ouvrages hospital pag,1
hospital pag suivantes,1
pag suivantes harangues,1
suivantes harangues maulvais,1
harangues maulvais mal,1
maulvais mal faire,1
mal faire toutesfois,1
faire toutesfois change,1
toutesfois change ment,1
change ment apporté,1
ment apporté non,1
apporté non seulement,1
non seulement aulcunes,1
seulement aulcunes nou,1
aulcunes nou velles,1
nou velles esmeutes,1
velles esmeutes séditions,1
esmeutes séditions ains,1
séditions ains apaisées,1
ains apaisées amorties,1
apaisées amorties celles,1
amorties celles lors,1
celles lors estoient,1
lors estoient comme,1
estoient comme veoyons,1
comme veoyons jour,1
veoyons jour obscur,1
jour obscur plein,1
obscur plein nuées,1
plein nuées brouillards,1
nuées brouillards soleil,1
brouillards soleil veneue,1
soleil veneue rompt,1
veneue rompt dissipe,1
rompt dissipe nuée,1
dissipe nuée rend,1
nuée rend temps,1
rend temps clair,1
temps clair serain,1
clair serain ainsy,1
serain ainsy visaige,1
ainsy visaige nostre,1
visaige nostre jeune,1
jeune roy percé,1
roy percé jusques,1
percé jusques fond,1
jusques fond coeurs,1
fond coeurs princes,1
coeurs princes sang,1
princes sang aultres,1
sang aultres seigneurz,1
aultres seigneurz chassé,1
seigneurz chassé osté,1
chassé osté tous,1
osté tous soupcons,1
tous soupcons passions,1
soupcons passions affections,1
passions affections pouvoient,1
affections pouvoient avoir,1
pouvoient avoir pacifiez,1
avoir pacifiez liez,1
pacifiez liez unis,1
liez unis tellement,1
unis tellement ensemble,1
tellement ensemble maison,1
ensemble maison privée,1
maison privée fréres,1
privée fréres si,1
fréres si bien,1
si bien unis,1
bien unis accor,1
unis accor obéissans,1
accor obéissans péres,1
obéissans péres comme,1
péres comme dicts,1
comme dicts princes,1
dicts princes seigneurz,1
princes seigneurz roy,1
seigneurz roy seigneur,1
roy seigneur obéyr,1
seigneur obéyr royne,1
obéyr royne mére,1
royne mére quoy,1
mére quoy monstrée,1
quoy monstrée grande,1
monstrée grande vertu,1
grande vertu roy,1
vertu roy navarre,1
roy navarre lequel,1
navarre lequel comme,1
lequel comme premier,1
comme premier prince,1
premier prince sang,1
prince sang monstré,1
sang monstré chemin,1
monstré chemin aultres,1
chemin aultres donné,1
aultres donné exemple,1
donné exemple obéissance,1
exemple obéissance donné,1
obéissance donné gran,1
donné gran louange,1
gran louange certains,1
louange certains grands,1
certains grands personnaiges,1
grands personnaiges grecs,1
personnaiges grecs romains,1
grecs romains estant,1
romains estant esleus,1
estant esleus magistrats,1
esleus magistrats gou,1
magistrats gou verneurs,1
gou verneurs république,1
verneurs république délaissoient,1
république délaissoient haine,1
délaissoient haine inimytié,1
haine inimytié temps,1
inimytié temps durant,1
temps durant année,1
durant année magistrature,1
année magistrature peur,1
magistrature peur dissension,1
peur dissension portast,1
dissension portast dommaige,1
portast dommaige république,1
dommaige république ceulx,1
république ceulx cy,1
ceulx cy comme,1
cy comme bons,1
comme bons chrestiens,1
bons chrestiens despouillez,1
chrestiens despouillez haranglfs,1
despouillez haranglfs tous,1
haranglfs tous soupçons,1
tous soupçons aultres,1
soupçons aultres passions,1
aultres passions non,1
passions non temps,1
non temps harangues,1
temps harangues ment,1
harangues ment tant,1
