token_,count
entrée ceste ville,2
roy saint louis,2
nostre roy majeur,2
majeur quatorze ans,2
temps roy charles,2
roy charles sixième,2
harangue parlement rouen,1
parlement rouen déclaration,1
rouen déclaration majorité,1
déclaration majorité charles,1
majorité charles ix,1
charles ix aoüt,1
ix aoüt xzssrzuns,1
aoüt xzssrzuns ancien,1
xzssrzuns ancien poéte,1
ancien poéte grec,1
poéte grec voulant,1
grec voulant monstrer,1
voulant monstrer variété,1
monstrer variété inconstance,1
variété inconstance choses,1
inconstance choses humaines,1
choses humaines di,1
humaines di jour,1
di jour journée,1
jour journée comme,1
journée comme mairastre,1
comme mairastre oultre,1
mairastre oultre comme,1
oultre comme mére,1
comme mére veoyons,1
mére veoyons plupart,1
veoyons plupart advenir,1
plupart advenir jour,1
advenir jour homme,1
jour homme sain,1
homme sain aultre,1
sain aultre jour,1
aultre jour lade,1
jour lade jour,1
lade jour riche,1
jour riche aultre,1
riche aultre pauvre,1
aultre pauvre jour,1
pauvre jour honoré,1
jour honoré aultre,1
honoré aultre deshonoré,1
aultre deshonoré jour,1
deshonoré jour content,1
jour content aultre,1
content aultre mal,1
aultre mal content,1
mal content cela,1
content cela advient,1
cela advient non,1
advient non seulement,1
non seulement hommes,1
seulement hommes privez,1
hommes privez maisons,1
privez maisons pri,1
maisons pri vées,1
pri vées aussi,1
vées aussi royaulmes,1
aussi royaulmes pays,1
royaulmes pays villes,1
pays villes provinces,1
villes provinces dis,1
provinces dis propoz,1
dis propoz veu,1
propoz veu puis,1
veu puis an,1
puis an deux,1
an deux jours,1
deux jours deux,1
jours deux entrées,1
deux entrées roy,1
entrées roy harangues,1
roy harangues nostre,1
harangues nostre souverain,1
nostre souverain seigneur,1
souverain seigneur ceste,1
seigneur ceste ville,1
ceste ville rouen,1
ville rouen fort,1
rouen fort différentes,1
fort différentes desquelles,1
différentes desquelles journées,1
desquelles journées pouvons,1
journées pouvons appeler,1
pouvons appeler mairastre,1
appeler mairastre aultre,1
mairastre aultre mére,1
aultre mére mairastre,1
mére mairastre premiére,1
mairastre premiére pleine,1
premiére pleine douleurs,1
pleine douleurs tristesses,1
douleurs tristesses touz,1
tristesses touz maulx,1
touz maulx adviennent,1
maulx adviennent ez,1
adviennent ez villes,1
ez villes prinses,1
villes prinses guerre,1
prinses guerre combien,1
guerre combien feust,1
combien feust grand,1
feust grand regret,1
grand regret dudict,1
regret dudict seigneur,1
dudict seigneur ainsy,1
seigneur ainsy chas,1
ainsy chas cung,1
chas cung scait,1
cung scait sçavez,1
scait sçavez peine,1
sçavez peine royne,1
peine royne mère,1
royne mère prirent,1
mère prirent obvier,1
prirent obvier pardons,1
obvier pardons abolitions,1
pardons abolitions octroya,1
abolitions octroya généralement,1
octroya généralement touz,1
généralement touz habitans,1
touz habitans parlerai,1
habitans parlerai plus,1
parlerai plus avant,1
plus avant peur,1
avant peur rafrais,1
peur rafrais chir,1
rafrais chir mémoire,1
chir mémoire choses,1
mémoire choses majesté,1
choses majesté veult,1
majesté veult estre,1
veult estre oubliées,1
estre oubliées abolies,1
oubliées abolies aultre,1
abolies aultre journée,1
aultre journée comme,1
journée comme mère,1
comme mère celle,1
mère celle laquelle,1
celle laquelle roy,1
laquelle roy faict,1
roy faict entrée,1
faict entrée ceste,1
ceste ville apres,1
ville apres prinse,1
apres prinse havre,1
prinse havre grace,1
havre grace tour,1
grace tour heureux,1
tour heureux voyaige,1
heureux voyaige plein,1
voyaige plein joye,1
plein joye consolation,1
joye consolation venant,1
consolation venant visiter,1
venant visiter réjouir,1
visiter réjouir comme,1
réjouir comme ceulx,1
comme ceulx touz,1
ceulx touz aultres,1
touz aultres plus,1
aultres plus cause,1
plus cause réjouir,1
cause réjouir ceste,1
réjouir ceste heureuse,1
ceste heureuse victoire,1
heureuse victoire aultant,1
victoire aultant vostre,1
aultant vostre ville,1
vostre ville métropolitaine,1
ville métropolitaine capitale,1
métropolitaine capitale pays,1
capitale pays normandie,1
pays normandie recevra,1
normandie recevra plus,1
recevra plus fruict,1
plus fruict toutes,1
fruict toutes aultres,1
toutes aultres ceste,1
aultres ceste victoire,1
ceste victoire coste,1
victoire coste mer,1
coste mer pays,1
mer pays tant,1
pays tant travaillée,1
tant travaillée anglois,1
travaillée anglois asseurée,1
anglois asseurée riviére,1
asseurée riviére seine,1
riviére seine passant,1
seine passant harangues,1
passant harangues deux,1
harangues deux principales,1
deux principales villes,1
principales villes royaulme,1
villes royaulme paris,1
royaulme paris rouen,1
paris rouen apportant,1
rouen apportant infinis,1
apportant infinis bienz,1
infinis bienz richesses,1
bienz richesses debvez,1
richesses debvez donc,1
debvez donc espérer,1
donc espérer ceste,1
espérer ceste veneue,1
ceste veneue roy,1
veneue roy toute,1
roy toute richesse,1
toute richesse abondance,1
richesse abondance bienz,1
abondance bienz roy,1
bienz roy comme,1
roy comme prince,1
comme prince trés,1
prince trés chrestien,1
trés chrestien recog,1
chrestien recog noist,1
recog noist dieu,1
noist dieu octroyé,1
dieu octroyé grace,1
octroyé grace ceste,1
grace ceste si,1
ceste si heureuse,1
si heureuse victoire,1
heureuse victoire ville,1
victoire ville havre,1
ville havre grace,1
havre grace pouvoit,1
grace pouvoit reprendre,1
pouvoit reprendre forces,1
reprendre forces hu,1
forces hu maines,1
hu maines conseil,1
maines conseil entreprinse,1
conseil entreprinse prinse,1
entreprinse prinse exécution,1
prinse exécution dieu,1
exécution dieu seulement,1
dieu seulement roy,1
seulement roy ministre,1
roy ministre peu,1
ministre peu genz,1
peu genz estoient,1
genz estoient bien,1
estoient bien osassent,1
bien osassent espé,1
osassent espé rer,1
espé rer isseue,1
rer isseue tant,1
isseue tant forte,1
tant forte ville,1
forte ville assieste,1
ville assieste murailles,1
