token_,count
roy nostre souverain,2
nostre souverain seigneur,2
peult estre direz,2
temps roy francois,2
adviz court parlement,2
expérience monstré impossible,2
harangue michel hospital,1
michel hospital chancelier,1
hospital chancelier france,1
chancelier france assemblée,1
france assemblée états,1
assemblée états génenaux,1
états génenaux assemblés,1
génenaux assemblés saint,1
assemblés saint germain,1
saint germain laye,1
germain laye aout,1
laye aout sssisons,1
aout sssisons commencement,1
sssisons commencement diversité,1
commencement diversité reli,1
diversité reli gion,1
reli gion an,1
gion an temps,1
an temps croysade,1
temps croysade temps,1
croysade temps plus,1
temps plus dissoleu,1
plus dissoleu jamais,1
dissoleu jamais auparavant,1
jamais auparavant dieu,1
auparavant dieu voulant,1
dieu voulant laisser,1
voulant laisser perdre,1
laisser perdre frappa,1
perdre frappa porte,1
frappa porte semondre,1
porte semondre amendement,1
semondre amendement lequel,1
amendement lequel estant,1
lequel estant faict,1
estant faict diversité,1
faict diversité religions,1
diversité religions creu,1
religions creu temps,1
creu temps temps,1
temps temps règne,1
temps règne règne,1
règne règne jus,1
règne jus ques,1
jus ques présent,1
ques présent quelque,1
présent quelque résistance,1
quelque résistance faict,1
résistance faict feu,1
faict feu glaive,1
feu glaive armes,1
glaive armes dont,1
armes dont deu,1
dont deu user,1
deu user telles,1
user telles choses,1
telles choses plustost,1
choses plustost procéder,1
plustost procéder amen,1
procéder amen dement,1
amen dement vie,1
dement vie résidence,1
vie résidence prédication,1
résidence prédication évesques,1
prédication évesques pasteurz,1
évesques pasteurz soing,1
pasteurz soing curez,1
soing curez leurs,1
curez leurs troupeaux,1
leurs troupeaux ainsi,1
troupeaux ainsi dieu,1
ainsi dieu estant,1
dieu estant harangues,1
estant harangues satisfaict,1
harangues satisfaict ni,1
satisfaict ni appaisé,1
ni appaisé fault,1
appaisé fault trouver,1
fault trouver trange,1
trouver trange si,1
trange si choses,1
si choses vont,1
choses vont mal,1
vont mal piz,1
mal piz veu,1
piz veu hérésies,1
veu hérésies anciennes,1
hérésies anciennes graves,1
anciennes graves dignes,1
graves dignes vertueuz,1
dignes vertueuz évesques,1
vertueuz évesques résisté,1
évesques résisté plus,1
résisté plus peu,1
plus peu présent,1
peu présent veoit,1
présent veoit combien,1
veoit combien différence,1
combien différence eulx,1
différence eulx ceulx,1
eulx ceulx tiennent,1
ceulx tiennent place,1
tiennent place voulant,1
place voulant chascung,1
voulant chascung applaudir,1
chascung applaudir pesché,1
applaudir pesché laisser,1
pesché laisser conduire,1
laisser conduire seul,1
conduire seul amendement,1
seul amendement ré,1
amendement ré formation,1
ré formation vie,1
formation vie ceulx,1
vie ceulx nouvelle,1
ceulx nouvelle religion,1
nouvelle religion prins,1
religion prins plus,1
prins plus hardiesse,1
plus hardiesse manifester,1
hardiesse manifester temps,1
manifester temps régne,1
temps régne roy,1
régne roy présent,1
roy présent bas,1
présent bas aage,1
bas aage faict,1
aage faict auparavant,1
faict auparavant dieu,1
auparavant dieu permiz,1
dieu permiz tous,1
