token_,count
si ceulx ceste,2
ceulx ceste compaignie,2
harangue sieur chancelier,1
sieur chancelier hospital,1
chancelier hospital ouverture,1
hospital ouverture parlement,1
ouverture parlement vendredy,1
parlement vendredy novembre,1
vendredy novembre mxssix,1
novembre mxssix vns,1
mxssix vns tiendray,1
vns tiendray long,1
tiendray long propoz,1
long propoz parce,1
propoz parce temps,1
parce temps permet,1
temps permet aussi,1
permet aussi mihi,1
aussi mihi docendi,1
mihi docendi non,1
docendi non estis,1
non estis sed,1
estis sed admonendi,1
sed admonendi prie,1
admonendi prie prendre,1
prie prendre bonne,1
prendre bonne part,1
bonne part diray,1
part diray comme,1
diray comme vient,1
comme vient bonne,1
vient bonne volonté,1
bonne volonté desire,1
volonté desire ceste,1
desire ceste compaignie,1
ceste compaignie honneur,1
compaignie honneur tel,1
honneur tel prince,1
tel prince lieu,1
prince lieu requiert,1
lieu requiert soubve,1
requiert soubve rain,1
soubve rain ordre,1
rain ordre justice,1
ordre justice royaulme,1
justice royaulme doibt,1
royaulme doibt servir,1
doibt servir exemple,1
servir exemple tous,1
exemple tous aultres,1
tous aultres suivant,1
aultres suivant dict,1
suivant dict ordo,1
dict ordo senatorius,1
ordo senatorius specimen,1
senatorius specimen esto,1
specimen esto ceteris,1
esto ceteris auquel,1
ceteris auquel chascung,1
auquel chascung aultres,1
chascung aultres doibt,1
aultres doibt mirer,1
doibt mirer souhaiter,1
mirer souhaiter sans,1
souhaiter sans tache,1
sans tache macule,1
tache macule louez,1
macule louez sine,1
louez sine exceptione,1
sine exceptione aliquá,1
exceptione aliquá fault,1
aliquá fault chascung,1
fault chascung part,1
chascung part soy,1
part soy considère,1
soy considère roy,1
considère roy députez,1
roy députez administrer,1
députez administrer justice,1
administrer justice soubveraine,1
justice soubveraine mettant,1
soubveraine mettant mains,1
mettant mains harangues,1
mains harangues biens,1
harangues biens vies,1
biens vies tous,1
vies tous subjects,1
tous subjects faict,1
subjects faict aultres,1
faict aultres corps,1
aultres corps si,1
corps si grand,1
si grand honneur,1
grand honneur donne,1
honneur donne si,1
donne si grand,1
si grand pouvoir,1
grand pouvoir rien,1
pouvoir rien si,1
rien si royal,1
si royal justice,1
royal justice bien,1
justice bien exercée,1
bien exercée ycelle,1
exercée ycelle àdministrer,1
ycelle àdministrer roys,1
àdministrer roys faicts,1
roys faicts receu,1
faicts receu dieux,1
receu dieux comme,1
dieux comme dict,1
comme dict homère,1
dict homère neque,1
homère neque machinas,1
neque machinas neque,1
machinas neque naves,1
neque naves eratas,1
naves eratas ad,1
eratas ad expugnandas,1
ad expugnandas urbes,1
expugnandas urbes sed,1
urbes sed justitiam,1
sed justitiam roys,1
justitiam roys entre,1
roys entre tous,1
entre tous aultres,1
tous aultres tous,1
aultres tous jours,1
tous jours recogneu,1
jours recogneu romains,1
recogneu romains monstré,1
romains monstré estude,1
monstré estude amour,1
estude amour armes,1
amour armes leurs,1
armes leurs statues,1
leurs statues veoit,1
statues veoit habit,1
veoit habit militaire,1
habit militaire contraire,1
militaire contraire roys,1
contraire roys comme,1
roys comme veoit,1
comme veoit salle,1
veoit salle palais,1
salle palais aultres,1
palais aultres lieux,1
aultres lieux représentez,1
lieux représentez habit,1
représentez habit civil,1
habit civil paix,1
civil paix robe,1
paix robe longue,1
robe longue velut,1
longue velut togati,1
velut togati démonstrant,1
togati démonstrant là,1
démonstrant là plus,1
là plus aimé,1
plus aimé justice,1
aimé justice art,1
justice art aussy,1
art aussy leurs,1
aussy leurs scels,1
leurs scels habillez,1
scels habillez roys,1
habillez roys rendant,1
roys rendant justice,1
rendant justice parle,1
justice parle seulement,1
parle seulement roys,1
seulement roys tous,1
roys tous princes,1
tous princes seigneurs,1
princes seigneurs ordonnez,1
seigneurs ordonnez dieu,1
ordonnez dieu quelz,1
dieu quelz rien,1
quelz rien dont,1
rien dont puissent,1
dont puissent tant,1
puissent tant estre,1
tant estre louez,1
estre louez justice,1
louez justice salomon,1
justice salomon faict,1
salomon faict édifier,1
faict édifier grands,1
édifier grands édifices,1
grands édifices assemblé,1
édifices assemblé grandes,1
assemblé grandes richesses,1
grandes richesses science,1
richesses science cognoissance,1
science cognoissance toutes,1
cognoissance toutes choses,1
toutes choses toutesfois,1
choses toutesfois rien,1
toutesfois rien tant,1
rien tant loué,1
tant loué bons,1
loué bons juge,1
bons juge mens,1
juge mens daniel,1
mens daniel semblablement,1
daniel semblablement célébré,1
semblablement célébré harangues,1
célébré harangues femme,1
harangues femme accusée,1
femme accusée tort,1
accusée tort saulvée,1
tort saulvée prudence,1
saulvée prudence jugement,1
prudence jugement nomen,1
jugement nomen judicum,1
nomen judicum grand,1
judicum grand toute,1
grand toute nation,1
toute nation sçait,1
nation sçait combien,1
sçait combien temps,1
combien temps juifs,1
temps juifs contentez,1
juifs contentez leurs,1
contentez leurs judges,1
leurs judges tite,1
judges tite live,1
tite live lieu,1
live lieu dict,1
lieu dict consules,1
dict consules prætores,1
consules prætores ceterique,1
prætores ceterique magistratus,1
ceterique magistratus nomine,1
magistratus nomine judicum,1
nomine judicum censebantur,1
judicum censebantur jésus,1
censebantur jésus christ,1
jésus christ voulant,1
christ voulant honorer,1
voulant honorer disciples,1
honorer disciples promet,1
disciples promet judgeront,1
promet judgeront tribuz,1
judgeront tribuz israél,1
tribuz israél fault,1
israél fault recognoistre,1
fault recognoistre roy,1
recognoistre roy dieu,1
roy dieu ceste,1
dieu ceste grande,1
ceste grande puissance,1
grande puissance pensez,1
puissance pensez roy,1
pensez roy non,1
roy non hominis,1
non hominis judicium,1
hominis judicium sed,1
judicium sed dei,1
sed dei exercetis,1
dei exercetis comme,1
exercetis comme escript,1
comme escript vostre,1
escript vostre tableau,1
vostre tableau dire,1
tableau dire seulement,1
dire seulement ainsi,1
seulement ainsi dieu,1
ainsi dieu toute,1
dieu toute puis,1
toute puis sance,1
puis sance hommes,1
sance hommes hommes,1
hommes hommes ayent,1
hommes ayent puis,1
ayent puis sance,1
puis sance ceulx,1
sance ceulx ressort,1
ceulx ressort aussy,1
ressort aussy enseigner,1
aussy enseigner hommes,1
enseigner hommes juges,1
hommes juges imiter,1
juges imiter dieu,1
imiter dieu judger,1
dieu judger comme,1
judger comme sans,1
comme sans passion,1
sans passion faveur,1
passion faveur acception,1
faveur acception personne,1
acception personne ceulx,1
personne ceulx ainsy,1
ceulx ainsy appelés,1
ainsy appelés dieux,1
appelés dieux dadvantage,1
dieux dadvantage fault,1
dadvantage fault penser,1
fault penser exercent,1
penser exercent judgement,1
exercent judgement roy,1
judgement roy non,1
roy non soing,1
non soing tousjours,1
soing tousjours cognoistre,1
tousjours cognoistre ledict,1
cognoistre ledict prié,1
ledict prié prins,1
prié prins bonne,1
prins bonne part,1
bonne part parce,1
part parce cela,1
parce cela quelquefois,1
cela quelquefois fault,1
quelquefois fault si,1
fault si roys,1
si roys commandent,1
roys commandent quelque,1
commandent quelque chose,1
quelque chose semble,1
chose semble in,1
semble in juste,1
in juste fault,1
juste fault user,1
fault user modestie,1
user modestie prudence,1
modestie prudence harangues,1
prudence harangues conseil,1
harangues conseil non,1
conseil non opposer,1
non opposer leurs,1
opposer leurs volontez,1
leurs volontez ainsy,1
volontez ainsy comme,1
ainsy comme bons,1
comme bons gouverneurs,1
bons gouverneurs navires,1
gouverneurs navires vont,1
navires vont droict,1
vont droict contre,1
droict contre vent,1
contre vent contraire,1
