token_,count
tous lieux endroicts,2
air harangue prononcée,1
harangue prononcée chancelier,1
prononcée chancelier hospital,1
chancelier hospital parlement,1
hospital parlement paris,1
parlement paris novembre,1
paris novembre amitiez,1
novembre amitiez bienveillance,1
amitiez bienveillance frères,1
bienveillance frères ungs,1
frères ungs envers,1
ungs envers aultres,1
envers aultres surpassent,1
aultres surpassent toutes,1
surpassent toutes aultres,1
toutes aultres sans,1
aultres sans erf,1
sans erf excepter,1
erf excepter celles,1
excepter celles pères,1
celles pères mères,1
pères mères envers,1
mères envers enfans,1
envers enfans comme,1
enfans comme trés,1
comme trés bien,1
trés bien escript,1
bien escript ancien,1
escript ancien autheur,1
ancien autheur dict,1
autheur dict cela,1
dict cela estre,1
cela estre appertement,1
estre appertement remarqué,1
appertement remarqué dieu,1
remarqué dieu nature,1
dieu nature humaine,1
nature humaine poinct,1
humaine poinct doué,1
poinct doué œil,1
doué œil seulement,1
œil seulement oreille,1
seulement oreille tung,1
oreille tung bras,1
tung bras jambe,1
bras jambe deux,1
jambe deux chascung,1
deux chascung voulant,1
chascung voulant là,1
voulant là monstrer,1
là monstrer fraternité,1
monstrer fraternité corps,1
fraternité corps encore,1
corps encore cest,1
encore cest escript,1
cest escript hérodote,1
escript hérodote femme,1
hérodote femme laquelle,1
femme laquelle préféroit,1
laquelle préféroit amitié,1
préféroit amitié frére,1
amitié frére celle,1
frére celle propres,1
celle propres enfans,1
propres enfans disant,1
enfans disant raison,1
disant raison quand,1
raison quand auroit,1
quand auroit perdeu,1
auroit perdeu slesdicts,1
perdeu slesdicts enfans,1
slesdicts enfans auroit,1
enfans auroit moyen,1
auroit moyen pouvoir,1
moyen pouvoir faire,1
pouvoir faire aultres,1
faire aultres non,1
aultres non ainsy,1
non ainsy fréres,1
ainsy fréres plus,1
fréres plus pére,1
plus pére mere,1
pére mere disoit,1
mere disoit ancien,1
disoit ancien bon,1
ancien bon autheur,1
bon autheur ceulx,1
autheur ceulx ennemys,1
ceulx ennemys leurs,1
ennemys leurs frères,1
leurs frères harangues,1
frères harangues cherchent,1
harangues cherchent amour,1
cherchent amour appuy,1
amour appuy ailleurs,1
appuy ailleurs semblent,1
ailleurs semblent ceulx,1
semblent ceulx coupent,1
ceulx coupent jambe,1
coupent jambe lieu,1
jambe lieu ycelle,1
lieu ycelle prennent,1
ycelle prennent bois,1
prennent bois autant,1
bois autant amy,1
autant amy tié,1
amy tié fréres,1
tié fréres naturelle,1
fréres naturelle tout,1
naturelle tout aultre,1
tout aultre estran,1
aultre estran gere,1
estran gere attachée,1
gere attachée rapportée,1
attachée rapportée corps,1
rapportée corps disoit,1
corps disoit aultre,1
disoit aultre ceste,1
aultre ceste fraternelle,1
ceste fraternelle amytié,1
fraternelle amytié naturelle,1
amytié naturelle toutes,1
naturelle toutes aultres,1
toutes aultres ombre,1
aultres ombre auprèsles,1
ombre auprèsles images,1
auprèsles images ycelle,1
images ycelle combien,1
ycelle combien cette,1
