token_,count
ladicte court aydes,2
harangue al parlement,1
al parlement paris,1
parlement paris septembre,1
paris septembre cou,1
septembre cou rd,1
cou rd huy,1
rd huy monsieur,1
huy monsieur chancelier,1
monsieur chancelier france,1
chancelier france messire,1
france messire michel,1
messire michel hospital,1
michel hospital chevalier,1
hospital chevalier veneu,1
chevalier veneu court,1
veneu court suivy,1
court suivy sieurs,1
suivy sieurs archevesque,1
sieurs archevesque vien,1
archevesque vien évesque,1
vien évesque orléans,1
évesque orléans conseillers,1
orléans conseillers roy,1
conseillers roy conseil,1
roy conseil privé,1
conseil privé maistres,1
privé maistres martin,1
maistres martin fumée,1
martin fumée yves,1
fumée yves rubay,1
yves rubay rené,1
rubay rené bourgneuf,1
rené bourgneuf maistres,1
bourgneuf maistres requestes,1
maistres requestes hostel,1
requestes hostel dudict,1
hostel dudict seigneur,1
dudict seigneur dict,1
seigneur dict ladicte,1
dict ladicte court,1
ladicte court toutes,1
court toutes chambres,1
toutes chambres assemblées,1
chambres assemblées venu,1
assemblées venu part,1
venu part entendre,1
part entendre elles,1
entendre elles quelque,1
elles quelque chose,1
quelque chose appartenant,1
chose appartenant justice,1
appartenant justice quoy,1
justice quoy peust,1
quoy peust favoriser,1
peust favoriser aussi,1
favoriser aussi chargé,1
aussi chargé roy,1
chargé roy dire,1
roy dire autres,1
dire autres choses,1
autres choses unes,1
choses unes concernant,1
unes concernant tat,1
concernant tat universel,1
tat universel autres,1
universel autres faict,1
autres faict princes,1
faict princes fera,1
princes fera long,1
fera long parce,1
long parce assez,1
parce assez empeschez,1
assez empeschez arrestz,1
empeschez arrestz matin,1
arrestz matin prononcer,1
matin prononcer marillac,1
prononcer marillac morvilliers,1
marillac morvilliers harangues,1
morvilliers harangues faict,1
harangues faict estat,1
faict estat ledict,1
estat ledict seigneur,1
ledict seigneur roi,1
seigneur roi veneu,1
roi veneu dernièrement,1
veneu dernièrement fontainebleau,1
dernièrement fontainebleau délibéra,1
fontainebleau délibéra donner,1
délibéra donner ordre,1
donner ordre principaulx,1
ordre principaulx affaires,1
principaulx affaires faire,1
affaires faire assemblée,1
faire assemblée gens,1
assemblée gens conseil,1
gens conseil privé,1
conseil privé grands,1
privé grands officierz,1
grands officierz connestable,1
officierz connestable mareschaulx,1
connestable mareschaulx france,1
mareschaulx france chevaliers,1
france chevaliers ordre,1
chevaliers ordre aultres,1
ordre aultres grauds,1
aultres grauds seigneurs,1
grauds seigneurs cé,1
seigneurs cé faict,1
cé faict assemblée,1
faict assemblée grande,1
assemblée grande grands,1
grande grands personnes,1
grands personnes miz,1
personnes miz délibération,1
miz délibération principalement,1
délibération principalement quelz,1
principalement quelz moyens,1
quelz moyens appaiser,1
moyens appaiser séditions,1
appaiser séditions royaume,1
séditions royaume délibération,1
royaume délibération telle,1
délibération telle tous,1
telle tous voix,1
tous voix trouvé,1
voix trouvé bonne,1
trouvé bonne croyt,1
bonne croyt nostre,1
croyt nostre seigneur,1
nostre seigneur assisté,1
seigneur assisté prie,1
assisté prie effects,1
prie effects ensuyvent,1
effects ensuyvent ladicte,1
ensuyvent ladicte court,1
ladicte court entendeue,1
court entendeue ja,1
entendeue ja publiée,1
ja publiée assemblera,1
publiée assemblera trois,1
assemblera trois estatz,1
trois estatz dixième,1
estatz dixième décembre,1
dixième décembre prochain,1
décembre prochain janvier,1
prochain janvier ensuyvant,1
janvier ensuyvant conseil,1
ensuyvant conseil possible,1
conseil possible univer,1
possible univer sel,1
univer sel sinon,1
sel sinon national,1
sinon national vouldroit,1
national vouldroit pouvoir,1
vouldroit pouvoir répéter,1
pouvoir répéter zelle,1
répéter zelle affection,1
zelle affection prudence,1
affection prudence saigesse,1
prudence saigesse ceulx,1
saigesse ceulx assisté,1
ceulx assisté ladicte,1
assisté ladicte court,1
ladicte court peu,1
court peu entendre,1
peu entendre dicte,1
entendre dicte délibération,1
dicte délibération non,1
délibération non causes,1
non causes moyens,1
causes moyens déduitz,1
moyens déduitz icelle,1
déduitz icelle roy,1
icelle roy veoyant,1
roy veoyant émotions,1
veoyant émotions procéder,1
émotions procéder cause,1
procéder cause religion,1
cause religion parce,1
religion parce ceulx,1
parce ceulx couvrent,1
ceulx couvrent manteau,1
couvrent manteau chascung,1
manteau chascung part,1
chascung part religion,1
part religion bouche,1
religion bouche pensé,1
bouche pensé satisfaire,1
pensé satisfaire ceulx,1
satisfaire ceulx veulent,1
ceulx veulent establissement,1
veulent establissement religion,1
establissement religion poinct,1
religion poinct veu,1
poinct veu meilleur,1
veu meilleur moyen,1
meilleur moyen conseil,1
moyen conseil lequel,1
