token_,count
harangue dudict sieur,1
dudict sieur chancelier,1
sieur chancelier veneu,1
chancelier veneu parlement,1
veneu parlement part,1
parlement part roy,1
part roy avoir,1
roy avoir advis,1
avoir advis plusieurs,1
advis plusieurs points,1
plusieurs points touchant,1
points touchant édicts,1
touchant édicts faicts,1
édicts faicts boy,1
faicts boy faict,1
boy faict religion,1
faict religion aultres,1
religion aultres choses,1
aultres choses conteneues,1
choses conteneues dix,1
conteneues dix huitième,1
dix huitième jour,1
huitième jour mois,1
jour mois juin,1
mois juin mil,1
juin mil cinq,1
mil cinq cent,1
cinq cent soixante,1
cent soixante extr,1
soixante extr reg,1
extr reg da,1
reg da conseil,1
da conseil parl,1
conseil parl paris,1
parl paris cotté,1
paris cotté vi,1
cotté vi xi,1
vi xi fol,1
xi fol ovap,1
fol ovap zvr,1
ovap zvr monsieur,1
zvr monsieur messire,1
monsieur messire michel,1
messire michel hospital,1
michel hospital chevallier,1
hospital chevallier chancellier,1
chevallier chancellier france,1
chancellier france entre,1
france entre huict,1
entre huict neuf,1
huict neuf heures,1
neuf heures veneu,1
heures veneu court,1
veneu court accompaigné,1
court accompaigné mm,1
accompaigné mm martin,1
mm martin fumée,1
martin fumée étienne,1
fumée étienne potier,1
étienne potier francois,1
potier francois aubespine,1
francois aubespine martin,1
aubespine martin beaulne,1
martin beaulne maistres,1
beaulne maistres requestes,1
maistres requestes hostel,1
requestes hostel roy,1
hostel roy dict,1
roy dict toutes,1
dict toutes chambres,1
toutes chambres assemblées,1
chambres assemblées ledict,1
assemblées ledict seigneur,1
ledict seigneur envoyé,1
seigneur envoyé céans,1
envoyé céans prendre,1
céans prendre conseil,1
prendre conseil advis,1
conseil advis certaines,1
advis certaines choses,1
certaines choses orroient,1
choses orroient estimant,1
orroient estimant conseillers,1
estimant conseillers non,1
conseillers non seulement,1
non seulement juger,1
seulement juger procez,1
juger procez aussy,1
procez aussy plus,1
aussy plus grandz,1
plus grandz affaires,1
grandz affaires estat,1
affaires estat quand,1
estat quand plaist,1
quand plaist requérir,1
plaist requérir fera,1
