token_,count
harangue septembre roy,1
septembre roy aage,1
roy aage plus,1
aage plus avancé,1
plus avancé mesme,1
avancé mesme remonstré,1
mesme remonstré amplement,1
remonstré amplement volonté,1
amplement volonté désir,1
volonté désir veoir,1
désir veoir bonne,1
veoir bonne union,1
bonne union tranquillité,1
union tranquillité entre,1
tranquillité entre subjects,1
entre subjects sisteroit,1
subjects sisteroit continuellement,1
sisteroit continuellement ceste,1
continuellement ceste compagnie,1
ceste compagnie espérant,1
compagnie espérant sortiroit,1
espérant sortiroit pareil,1
sortiroit pareil fruict,1
pareil fruict sortit,1
fruict sortit remonstrance,1
sortit remonstrance constantin,1
remonstrance constantin grand,1
constantin grand concile,1
grand concile nice,1
concile nice auquel,1
nice auquel présida,1
auquel présida liz,1
présida liz estoient,1
liz estoient là,1
estoient là assemblez,1
là assemblez comme,1
assemblez comme peu,1
comme peu entendre,1
peu entendre propoz,1
entendre propoz roy,1
propoz roy afin,1
roy afin pro,1
afin pro céder,1
pro céder réformation,1
céder réformation moeurz,1
réformation moeurz doc,1
moeurz doc trine,1
doc trine ainsy,1
trine ainsy monstré,1
ainsy monstré vouloir,1
monstré vouloir faire,1
vouloir faire feux,1
faire feux roys,1
feux roys henry,1
roys henry françoys,1
henry françoys père,1
françoys père frère,1
père frère peu,1
frère peu exécuter,1
peu exécuter préveneus,1
exécuter préveneus mort,1
préveneus mort roys,1
mort roys commiz,1
roys commiz dieu,1
commiz dieu gouver,1
dieu gouver ner,1
gouver ner peuple,1
ner peuple pluspart,1
peuple pluspart leurs,1
pluspart leurs inten,1
leurs inten tions,1
inten tions régies,1
tions régies providence,1
régies providence croire,1
providence croire bonté,1
croire bonté mué,1
bonté mué moeurs,1
mué moeurs princes,1
moeurs princes remesdier,1
princes remesdier mal,1
remesdier mal pullulant,1
mal pullulant royaulme,1
pullulant royaulme pourvoyant,1
royaulme pourvoyant cecy,1
pourvoyant cecy ue,1
cecy ue faut,1
ue faut imiter,1
faut imiter mé,1
imiter mé harangues,1
mé harangues decin,1
harangues decin lequel,1
decin lequel appelé,1
lequel appelé guérir,1
appelé guérir griesve,1
guérir griesve maladie,1
griesve maladie use,1
maladie use remède,1
use remède allégeant,1
remède allégeant patient,1
allégeant patient quelque,1
patient quelque temps,1
quelque temps seulement,1
temps seulement ains,1
seulement ains convient,1
ains convient chercher,1
convient chercher cause,1
chercher cause origine,1
cause origine oster,1
origine oster desraciner,1
oster desraciner tout,1
desraciner tout convient,1
tout convient attendre,1
convient attendre concile,1
attendre concile général,1
concile général universel,1
général universel pourra,1
universel pourra faire,1
pourra faire non,1
faire non si,1
non si tost,1
si tost noz,1
tost noz affaires,1
noz affaires requièrent,1
affaires requièrent veu,1
requièrent veu ungs,1
veu ungs princes,1
ungs princes different,1
princes different envoyer,1
different envoyer aultres,1
envoyer aultres veulent,1
aultres veulent aulcunement,1
veulent aulcunement entendre,1
aulcunement entendre meilleur,1
entendre meilleur cependant,1
meilleur cependant guérir,1
cependant guérir si,1
guérir si griefve,1
si griefve maladie,1
griefve maladie veoyons,1
maladie veoyons croistre,1
veoyons croistre jour,1
croistre jour jour,1
jour jour user,1
jour user remédes,1
user remédes présens,1
remédes présens domestiques,1
présens domestiques sans,1
domestiques sans attendre,1
sans attendre loingtains,1
attendre loingtains estrangiers,1
loingtains estrangiers craincte,1
estrangiers craincte tout,1
craincte tout gaste,1
tout gaste avant,1
gaste avant arrivent,1
avant arrivent ressemblant,1
arrivent ressemblant ceulx,1
ressemblant ceulx perdeu,1
ceulx perdeu goust,1
perdeu goust laissent,1
goust laissent bonnes,1
laissent bonnes herbes,1
bonnes herbes croissantes,1
herbes croissantes leurs,1
croissantes leurs jardins,1
leurs jardins aller,1
jardins aller chercher,1
aller chercher égypte,1
chercher égypte indes,1
égypte indes médecin,1
indes médecin cogneu,1
médecin cogneu malade,1
cogneu malade santé,1
malade santé plus,1
santé plus propre,1
plus propre guérir,1
propre guérir ordonner,1
guérir ordonner remédes,1
ordonner remédes convenables,1
remédes convenables celuy,1
convenables celuy veist,1
celuy veist oncques,1
veist oncques concile,1
oncques concile général,1
concile général tenir,1
général tenir gens,1
tenir gens pluspart,1
gens pluspart estrangiers,1
pluspart estrangiers non,1
estrangiers non congnoissant,1
non congnoissant noz,1
congnoissant noz af,1
noz af faires,1
af faires quand,1
faires quand pape,1
quand pape mesme,1
pape mesme vouldroit,1
mesme vouldroit enten,1
vouldroit enten dre,1
enten dre contrainct,1
dre contrainct aider,1
contrainct aider eulx,1
aider eulx tous,1
eulx tous pères,1
tous pères frères,1
pères frères parens,1
frères parens amys,1
parens amys malades,1
amys malades harangues,1
malades harangues conguoissant,1
harangues conguoissant long,1
conguoissant long temps,1
long temps aultre,1
temps aultre panseront,1
aultre panseront mieulx,1
panseront mieulx feroient,1
mieulx feroient estrangiers,1
feroient estrangiers partant,1
estrangiers partant besoing,1
partant besoing attendre,1
besoing attendre concile,1
attendre concile géné,1
concile géné ral,1
géné ral réformer,1
ral réformer quant,1
réformer quant aulcuns,1
quant aulcuns disoient,1
aulcuns disoient fera,1
disoient fera rien,1
fera rien ceste,1
rien ceste voye,1
ceste voye doibt,1
voye doibt tenir,1
doibt tenir deux,1
tenir deux conciles,1
deux conciles mesme,1
conciles mesme temps,1
mesme temps dict,1
temps dict estre,1
dict estre pre,1
estre pre miére,1
pre miére fois,1
miére fois ayt,1
fois ayt veu,1
ayt veu deux,1
veu deux ensemble,1
deux ensemble pourra,1
ensemble pourra rédiger,1
pourra rédiger escript,1
rédiger escript résolutions,1
escript résolutions prendront,1
résolutions prendront icy,1
prendront icy envoyer,1
icy envoyer cahyers,1
envoyer cahyers pape,1
cahyers pape souscrire,1
pape souscrire cela,1
souscrire cela observé,1
cela observé beaucoup,1
observé beaucoup conciles,1
beaucoup conciles provinciaulx,1
conciles provinciaulx assemblez,1
provinciaulx assemblez aucthorité,1
assemblez aucthorité charlemaigne,1
aucthorité charlemaigne villes,1
charlemaigne villes léans,1
villes léans arles,1
léans arles aix,1
arles aix souvent,1
aix souvent erreur,1
souvent erreur semée,1
erreur semée église,1
semée église ge,1
église ge néraulx,1
ge néraulx avoir,1
néraulx avoir ostée,1
avoir ostée provinciaulx,1
ostée provinciaulx tesmoing,1
provinciaulx tesmoing concile,1
tesmoing concile arimini,1
concile arimini depuis,1
arimini depuis lequel,1
depuis lequel sainct,1
lequel sainct hilaire,1
sainct hilaire évesque,1
hilaire évesque poictiers,1
évesque poictiers assembla,1
poictiers assembla deca,1
assembla deca secretement,1
deca secretement dix,1
secretement dix dix,1
dix dix évesques,1
dix évesques fust,1
évesques fust moyen,1
fust moyen tenir,1
moyen tenir concile,1
tenir concile lequel,1
concile lequel hérésie,1
lequel hérésie arrienne,1
hérésie arrienne fust,1
arrienne fust jetée,1
fust jetée hors,1
jetée hors gaules,1
hors gaules parquoy,1
gaules parquoy doibvent,1
parquoy doibvent doubter,1
doibvent doubter aussy,1
doubter aussy bien,1
aussy bien faire,1
bien faire possible,1
faire possible mieulx,1
possible mieulx concile,1
mieulx concile national,1
concile national général,1
national général mesmement,1
général mesmement favorisant,1
mesmement favorisant tant,1
favorisant tant louable,1
tant louable entreprinse,1
louable entreprinse volunté,1
entreprinse volunté roy,1
volunté roy em,1
roy em ployera,1
em ployera toute,1
ployera toute puissance,1
toute puissance aucthorité,1
puissance aucthorité exécuter,1
aucthorité exécuter feront,1
exécuter feront meure,1
feront meure saine,1
meure saine délibération,1
saine délibération premier,1
délibération premier principal,1
premier principal moyen,1
principal moyen harangues,1
moyen harangues procéder,1
harangues procéder humilité,1
procéder humilité tout,1
humilité tout ainsy,1
tout ainsy assemblez,1
ainsy assemblez corps,1
assemblez corps estre,1
corps estre aussy,1
estre aussy uniz,1
aussy uniz esprit,1
uniz esprit adviendra,1
esprit adviendra si,1
adviendra si chascung,1
si chascung eulx,1
chascung eulx estime,1
eulx estime point,1
estime point dessus,1
point dessus aultre,1
dessus aultre plus,1
aultre plus savans,1
plus savans mesprisent,1
savans mesprisent leurs,1
mesprisent leurs inférieurs,1
leurs inférieurs moins,1
inférieurs moins doctes,1
moins doctes portent,1
doctes portent envie,1
portent envie aultres,1
envie aultres si,1
aultres si laisse,1
si laisse toutes,1
laisse toutes subtilitez,1
toutes subtilitez curieuses,1
