token_,count
présidens gens roy,2
ar arr ira,1
arr ira aras,1
ira aras are,1
aras are are,1
are are art,1
are art art,1
art art ss,1
art ss lit,1
ss lit justice,1
lit justice teneu,1
justice teneu roy,1
teneu roy charles,1
roy charles ix,1
charles ix court,1
ix court lement,1
court lement bourdeaulx,1
lement bourdeaulx avril,1
bourdeaulx avril avant,1
avril avant pasques,1
avant pasques ensemble,1
pasques ensemble harangue,1
ensemble harangue prononca,1
harangue prononca chancelier,1
prononca chancelier hospital,1
chancelier hospital sg,1
hospital sg lz,1
sg lz icz,1
lz icz chancelier,1
icz chancelier aprés,1
chancelier aprés avoir,1
aprés avoir salué,1
avoir salué roy,1
salué roy estre,1
roy estre mis,1
estre mis chaire,1
mis chaire dict,1
chaire dict aulcungs,1
dict aulcungs cy,1
aulcungs cy devant,1
cy devant teneu,1
devant teneu lieu,1
teneu lieu quil,1
lieu quil tient,1
quil tient consommé,1
tient consommé leurs,1
consommé leurs propoz,1
leurs propoz loüer,1
propoz loüer justice,1
loüer justice institution,1
justice institution parlemens,1
institution parlemens autho,1
parlemens autho rité,1
autho rité iceulx,1
rité iceulx chose,1
iceulx chose loüable,1
chose loüable diroit,1
loüable diroit sembleroit,1
diroit sembleroit propre,1
sembleroit propre convenable,1
propre convenable lieu,1
convenable lieu grands,1
lieu grands roys,1
grands roys successeurs,1
roys successeurs alexandre,1
successeurs alexandre scavoir,1
alexandre scavoir roy,1
scavoir roy épirotes,1
roy épirotes aultres,1
épirotes aultres grecs,1
aultres grecs lesquelz,1
grecs lesquelz guerre,1
lesquelz guerre contre,1
guerre contre estant,1
contre estant approchez,1
estant approchez prés,1
approchez prés camp,1
prés camp romains,1
camp romains marchérent,1
romains marchérent bataille,1
marchérent bataille vie,1
bataille vie veoir,1
vie veoir fins,1
veoir fins montérent,1
fins montérent lieu,1
montérent lieu éminent,1
lieu éminent où,1
éminent où veirent,1
où veirent marcher,1
veirent marcher lesdicts,1
marcher lesdicts recueil,1
lesdicts recueil divers,1
recueil divers mémoires,1
divers mémoires harangues,1
mémoires harangues etc,1
harangues etc publié,1
etc publié chez,1
publié chez pierre,1
chez pierre chevalier,1
pierre chevalier paris,1
chevalier paris in,1
paris in page,1
in page suivantes,1
page suivantes manuscrit,1
suivantes manuscrit dupuy,1
manuscrit dupuy bibliothéque,1
dupuy bibliothéque roi,1
bibliothéque roi harangues,1
roi harangues romains,1
harangues romains si,1
romains si bon,1
si bon équipaige,1
bon équipaige ordre,1
équipaige ordre dirent,1
ordre dirent incontinent,1
dirent incontinent voilà,1
incontinent voilà armée,1
voilà armée marche,1
armée marche non,1
marche non barbare,1
non barbare grecque,1
barbare grecque paulus,1
grecque paulus æmilius,1
paulus æmilius aprés,1
æmilius aprés avoir,1
aprés avoir vaincu,1
avoir vaincu cédoniens,1
vaincu cédoniens fist,1
cédoniens fist grand,1
fist grand banquet,1
grand banquet lequel,1
banquet lequel ordonna,1
lequel ordonna feit,1
ordonna feit place,1
feit place milieu,1
place milieu disoit,1
milieu disoit mesme,1
disoit mesme art,1
mesme art ordonner,1
art ordonner armée,1
ordonner armée comme,1
armée comme festin,1
comme festin pareille,1
festin pareille raison,1
pareille raison icy,1
raison icy quelques,1
icy quelques estrangiers,1
quelques estrangiers vissent,1
estrangiers vissent cest,1
vissent cest ordre,1
cest ordre diroient,1
ordre diroient point,1
diroient point court,1
point court bar,1
court bar bares,1
bar bares comme,1
bares comme estoient,1
comme estoient anciennement,1
estoient anciennement pays,1
anciennement pays court,1
pays court françois,1
court françois roys,1
françois roys prédécesseurs,1
roys prédécesseurs imitateurs,1
prédécesseurs imitateurs romains,1
imitateurs romains faict,1
romains faict meilleurs,1
faict meilleurs plusieurs,1
meilleurs plusieurs leurs,1
plusieurs leurs françois,1
leurs françois faire,1
françois faire adressant,1
faire adressant parole,1
adressant parole roy,1
parole roy dict,1
roy dict sire,1
dict sire advient,1
sire advient ceste,1
advient ceste assistance,1
ceste assistance quand,1
assistance quand petit,1
quand petit approché,1
petit approché auprès,1
approché auprès grand,1
auprès grand plus,1
grand plus rien,1
plus rien présence,1
rien présence honore,1
présence honore ceste,1
honore ceste compai,1
ceste compai gnie,1
compai gnie quand,1
gnie quand tenez,1
quand tenez graces,1
tenez graces jour,1
graces jour vendredy,1
jour vendredy fois,1
vendredy fois an,1
fois an prédécesseurs,1
an prédécesseurs accoustumé,1
prédécesseurs accoustumé tenir,1
accoustumé tenir tous,1
tenir tous vendredys,1
tous vendredys aulcungs,1
vendredys aulcungs ceulx,1
aulcungs ceulx assistent,1
ceulx assistent assiz,1
assistent assiz aprés,1
assiz aprés vacquez,1
aprés vacquez faict,1
vacquez faict justice,1
faict justice honorez,1
justice honorez tous,1
honorez tous ceulx,1
tous ceulx assistent,1
ceulx assistent excep,1
assistent excep tant,1
excep tant royne,1
tant royne monsieur,1
royne monsieur assiz,1
monsieur assiz comme,1
assiz comme princes,1
comme princes sang,1
princes sang sous,1
sang sous parlement,1
sous parlement harangues,1
parlement harangues quant,1
