token_,count
cette,5
tous,4
assemblée,3
royaume,3
cause,3
estats,3
noblesse,3
roy,3
harangues,3
dont,3
état,3
contre,3
plus,3
généraux,3
national,3
concile,3
général,3
chancelier,2
estat,2
maladie,2
aisé,2
mal,2
racine,2
religion,2
peuple,2
ministres,2
remède,2
quoy,2
raison,2
où,2
compte,2
peu,2
cardinal,2
lorraine,2
ordre,2
termes,2
liv,2
dit,2
ordres,2
étoient,2
roi,2
apporter,2
enfin,2
chaque,2
guises,2
convocation,2
états,2
hospital,2
ceulx,2
là,2
fontainebleau,1
aout,1
remonstra,1
longue,1
déduction,1
affaires,1
quelles,1
comparé,1
dangereuse,1
dict,1
estre,1
guérir,1
pourveu,1
sceust,1
voyt,1
troublés,1
corrompuz,1
divisée,1
opinions,1
malcontente,1
appovri,1
grandement,1
refroidy,1
zelle,1
bonne,1
volonté,1
souloit,1
porter,1
prince,1
si,1
source,1
taut,1
calamitez,1
pouvoit,1
descovrir,1
cela,1
fault,1
travailler,1
pleu,1
faire,1
ceste,1
semblée,1
légitimement,1
composée,1
hormis,1
tiers,1
nullement,1
nécessaire,1
parce,1
but,1
fin,1
tendoit,1
soulagement,1
repos,1
iceluy,1
ll,1
thou,1
rend,1
harangue,1
pres,1
après,1
parlèrent,1
duc,1
guise,1
premier,1
rendre,1
situation,1
armée,1
fois,1
administration,1
comman,1
dement,1
second,1
finances,1
direction,1
remis,1
première,1
séance,1
chacun,1
membres,1
bulletin,1
jour,1
déterminer,1
travail,1
mêmes,1
iii,1
xxv,1
chan,1
celier,1
servit,1
prolixes,1
compa,1
médecin,1
gouverner,1
homme,1
ac,1
cablé,1
inconnue,1
plusieurs,1
choses,1
désolation,1
foiblesse,1
magistrats,1
cor,1
ruption,1
glissée,1
ajouta,1
esprits,1
indisposez,1
ct,1
principaux,1
sans,1
alié,1
nation,1
générale,1
connue,1
püt,1
conséquent,1
plupart,1
satisfaits,1
présent,1
alarmés,1
avenir,1
quelques,1
uns,1
motifs,1
grand,1
nombre,1
vues,1
ambi,1
tion,1
suscité,1
troubles,1
ainsi,1
falloit,1
tâcher,1
connoitre,1
origine,1
remédes,1
convenables,1
rien,1
cœur,1
apprendre,1
présents,1
comment,1
pourroit,1
soulager,1
conserver,1
prérogatives,1
maintenir,1
autorité,1
lo,1
précaution,1
imaginée,1
moins,1
in,1
térèt,1
intérét,1
inutile,1
voulait,1
surtout,1
éluder,1
efforts,1
toute,1
éloquence,1
échouereut,1
point,1
discours,1
monluc,1
marillac,1
mor,1
villiers,1
coligny,1
triomphérent,1
obstacles,1
besoin,1
ap,1
puyer,1
courage,1
talents,1
trois,1
orateurs,1
édits,1
proposa,1
adoptés,1
con,1
cile,1
décidée,1
effet,1
conseil,1
notables,1
pris,1
exclusivement,1
clergé,1
néanmoins,1
éner,1
décidé,1
août,1
tiendroient,1
meaux,1
dixième,1
décembre,1
atten,1
dant,1
convoqueroit,1
province,1
dresser,1
leurs,1
cahiers,1
choisir,1
elles,1
vouldroient,1
députer,1
évesques,1
assembleroient,1
dixieme,1
janvier,1
partout,1
trouveroit,1
envoyer,1
délibérer,1
convo,1
cation,1
défault,1
cependant,1
procédé,1
voie,1
justice,1
religionnaires,1
sinon,1
éleveroient,1
armes,1
mezeray,1
xix,1
gie,1
sagesse,1
décisions,1
alarmerent,1
parti,1
cour,1
rome,1
crainte,1
france,1
déter,1
mina,1
pape,1
ouvrir,1
bologne,1
ensuite,1
trente,1
voyez,1
ci,1
dessus,1
essai,1
vie,1
ouvrages,1
suivantes,1
