token_,count
roy,22
aultres,8
leurs,8
estats,8
faire,8
estat,7
estoient,6
trois,6
royne,5
royaulme,5
ordre,5
harangues,5
ceulx,5
temps,5
sans,5
despenses,5
plus,5
dict,5
où,5
gabelles,5
affaires,4
peu,4
avoir,4
tel,4
chascung,4
prince,4
millions,4
chose,4
six,4
llesdicts,4
chancelier,3
faictes,3
selon,3
mesme,3
falloit,3
bien,3
nécessité,3
louis,3
xii,3
tailles,3
subvenir,3
doibt,3
conseil,3
livres,3
parce,3
aulcung,3
aydes,3
harangue,2
états,2
premier,2
mére,2
donner,2
ci,2
aprés,2
pays,2
non,2
bon,2
jamais,2
loyx,2
subjects,2
ad,2
telles,2
roit,2
tout,2
toutesfois,2
pouvoit,2
ayder,2
cause,2
privé,2
debvoit,2
faict,2
remons,2
disant,2
deux,2
mille,2
quil,2
dont,2
quinze,2
surplus,2
dlesdicts,2
grande,2
vie,2
attendre,2
guerre,2
biens,2
advisé,2
domaine,2
pro,2
noblesse,2
lieux,2
prendroit,2
quart,2
tiers,2
sent,2
droicts,2
vin,2
ans,2
deniers,2
roient,2
frais,2
auxdicts,2
entrer,2
it,1
généraux,1
orléans,1
omise,1
rang,1
janvier,1
style,1
ancien,1
voyez,1
volume,1
page,1
suivantes,1
monsieur,1
hospital,1
estant,1
chaire,1
costé,1
fit,1
imposer,1
silence,1
assistans,1
commença,1
monstrant,1
bénévolence,1
necessitez,1
ezquelles,1
tombez,1
calamité,1
guerres,1
mariaiges,1
adveneus,1
audict,1
vouloit,1
édicts,1
ordonnances,1
seroient,1
moeurs,1
peuple,1
estrangiers,1
di,1
sant,1
traict,1
desireroit,1
advis,1
receu,1
france,1
romains,1
empereurs,1
exercer,1
tyran,1
nie,1
envers,1
tyrannie,1
gouverneurs,1
usurpé,1
ministration,1
publicque,1
eulx,1
agrandir,1
augmenter,1
richesses,1
pur,1
sang,1
pau,1
vres,1
nombre,1
infiny,1
procez,1
faulte,1
corruption,1
magistrats,1
disoient,1
ministres,1
justice,1
quoy,1
con,1
seil,1
délibéré,1
policé,1
gouverné,1
bons,1
gistrats,1
requiz,1
suppression,1
plusieurs,1
offices,1
naguéres,1
érigez,1
remonstra,1
suppressions,1
pouvoient,1
sitost,1
rescompenser,1
rembourser,1
acheptées,1
patience,1
donne,1
content,1
remiz,1
lors,1
cela,1
nostre,1
petit,1
lequel,1
mineur,1
devant,1
espérance,1
vertus,1
veoit,1
reluire,1
doibvent,1
grandement,1
contenter,1
ayde,1
genz,1
espérer,1
royaul,1
fleuriroit,1
feit,1
infinies,1
trances,1
entre,1
choses,1
déja,1
diminué,1
mai,1
gaiges,1
pensions,1
jusqu,1
cents,1
tant,1
espéroit,1
retran,1
cher,1
dadvantaige,1
néantmoins,1
lement,1
resté,1
debte,1
demeuré,1
devable,1
quarante,1
sept,1
cent,1
lesquelz,1
couroient,1
grands,1
insupportables,1
intérests,1
deu,1
fort,1
poursuyvi,1
prestez,1
intérest,1
ceste,1
considération,1
ur,1
gente,1
com,1
mandé,1
prier,1
diminuer,1
quelque,1
faisant,1
trouveroient,1
mieulx,1
santé,1
né,1
cessité,1
remonstré,1
voulust,1
éspargner,1
éstoit,1
àsseuré,1
comme,1
homme,1
pru,1
dent,1
contraigue,1
ains,1
auparavant,1
pourvoir,1
prioit,1
ecclésiasticque,1
rachepter,1
aliesnez,1
présentement,1
fist,1
années,1
chaines,1
quant,1
second,1
sceu,1
visé,1
secourir,1
exposé,1
seulement,1
aussi,1
vies,1
personnes,1
tuition,1
fense,1
public,1
cest,1
effect,1
engagez,1
endebtez,1
expédient,1
endroicts,1
prenoit,1
droict,1
léveroit,1
muyd,1
sel,1
tournois,1
redebvances,1
ainsy,1
église,1
payeroient,1
contingente,1
portion,1
iiz,1
advisassent,1
quelques,1
meilleurs,1
moyens,1
regard,1
consentis,1
augmentation,1
perçoit,1
huitiesme,1
dou,1
ziesme,1
aultre,1
raisonnable,1
impost,1
remonstrant,1
daces,1
beu,1
venise,1
terres,1
subjectes,1
empire,1
domination,1
montent,1
an,1
ducats,1
demandoit,1
imposts,1
sub,1
ventions,1
si,1
plustost,1
trouvoit,1
acquitté,1
debtes,1
remet,1
troit,1
ancienne,1
forme,1
régne,1
autant,1
pou,1
voient,1
desfiance,1
employez,1
vouloir,1
acquict,1
commissent,1
esche,1
vins,1
villes,1
responsables,1
venir,1
purement,1
moindres,1
pourroit,1
encore,1
asseurance,1
commandé,1
entendre,1
ladicte,1
navarre,1
princes,1
obligeroient,1
mettroient,1
foy,1
demander,1
aul,1
cune,1
sez,1
hors,1
ordinaires,1
telz,1
levoit,1
contenteroit,1
dictes,1
tré,1
charge,1
àvoient,1
commiz,1
aulcune,1
accorder,1
retirassent,1
assemblas,1
gouvernemens,1
dedans,1
jour,1
may,1
comparussent,1
melun,1
feroit,1
response,1
cependant,1
donneroit,1
présente,1
suffiroit,1
gouverne,1
ment,1
envoyer,1
personnaige,1
deuement,1
in,1
struict,1
auroit,1
dire,1
remonstrer,1
veneus,1
admonestant,1
éviter,1
apporter,1
amples,1
mémoires,1
instructions,1
auroient,1
deman,1
der,1
requérir,1
vivre,1
paix,1
amitiez,1
concorde,1
ungs,1
sous,1
obéyssance,1
soub,1
verain,1
seigneur,1
dissension,1
sédition,1
religion,1
particuliers,1
b,1
remirent,1
cahiers,1
contenant,1
chaque,1
résumé,1
délibérations,1
servi,1
texte,1
donnances,1
rédigées,1
