token_,count
roy,68
plus,44
comme,42
aultres,36
roys,29
si,29
harangues,25
faire,25
leurs,25
estats,24
bien,24
cause,24
estre,19
religion,19
peuple,18
temps,17
non,15
tout,15
grand,15
subjects,15
nostre,14
tous,14
ceulx,14
tant,14
toutes,14
mesme,13
quand,13
prince,13
tenir,13
faict,13
armes,13
dieu,12
royaume,12
choses,12
grande,12
paix,12
entre,12
hommes,12
seigneur,11
mal,11
guerre,11
sans,11
chascung,11
bon,11
pays,11
peult,11
contre,11
ceste,10
deux,10
grands,10
eulx,10
aultre,10
conseil,10
biens,10
sédition,10
feu,9
avoir,9
bons,9
prendre,9
ainsi,9
ville,8
vie,8
maulvais,8
genz,8
justice,8
opinion,8
bonne,8
dont,8
dire,8
devant,8
villes,8
mort,7
souvent,7
séditions,7
princes,7
maison,7
aussi,7
raison,7
moyen,7
france,7
telle,7
femme,7
cela,7
garder,7
doibt,7
vivre,7
estat,7
église,7
estoient,6
obéyr,6
cy,6
chrestiens,6
messieurs,6
homme,6
peu,6
chose,6
dict,6
royaumes,6
forces,6
dit,6
personnes,6
honneur,6
charles,5
royne,5
combien,5
soy,5
beaucoup,5
advenir,5
ment,5
romains,5
tel,5
parce,5
anciens,5
adviz,5
nom,5
con,5
donner,5
loys,5
philippe,5
partie,5
aulcuns,5
disant,5
puissance,5
mieulx,5
doncques,5
injure,5
veulent,5
grandes,5
aultrement,5
prennent,5
oster,5
fust,5
jamais,5
fois,5
facon,5
père,5
subject,5
vouloir,5
besoing,5
aprés,5
ledict,5
semblable,5
loyx,5
quelque,5
ambition,5
ez,5
honneurs,5
per,5
pape,5
veoyons,4
donne,4
toutesfois,4
seulement,4
jour,4
jeune,4
jusques,4
donné,4
exemple,4
république,4
toute,4
repos,4
coustume,4
là,4
vient,4
plaintes,4
pourvoir,4
ordre,4
sub,4
autant,4
injures,4
lieu,4
famille,4
rome,4
pro,4
fort,4
séditieux,4
reste,4
guerres,4
division,4
nobles,4
mesmes,4
terre,4
presque,4
service,4
ordonnances,4
puis,4
lesdicts,4
celle,4
ennemy,4
corps,4
amytié,4
religions,4
hérétiques,4
évesque,4
troubles,4
vostre,4
frère,3
apporté,3
celles,3
seigneurz,3
osté,3
tellement,3
vertu,3
lequel,3
premier,3
estant,3
durant,3
personne,3
trés,3
gouverner,3
quelle,3
utile,3
certain,3
assemblée,3
affaires,3
ouyr,3
juges,3
causes,3
selon,3
enfans,3
aul,3
tres,3
encore,3
requestes,3
royale,3
semble,3
acte,3
audience,3
siens,3
fontainebleau,3
monde,3
long,3
plusieurs,3
tenant,3
fault,3
entendre,3
infinis,3
maulx,3
disoit,3
punir,3
plaisir,3
liberté,3
contrainct,3
moindre,3
prédécesseurs,3
obéys,3
voisins,3
uns,3
nombre,3
serfs,3
rien,3
veoir,3
contraire,3
sus,3
teneus,3
après,3
office,3
debvoir,3
adviendra,3
tousjours,3
régne,3
apaiser,3
édicts,3
seroient,3
moins,3
prières,3
charge,3
afin,3
elles,3
vault,3
souffrir,3
marius,3
povres,3
maisons,3
henry,3
main,3
tient,3
loy,3
plaist,3
maintenant,3
debvons,3
mesure,3
contenter,3
remède,3
soldats,3
sorte,3
feront,3
fin,3
italie,3
amy,3
repoz,3
obéyssance,3
sance,3
noblesse,3
force,3
comment,3
in,3
fils,3
diverses,3
sépare,3
mary,3
pére,3
concile,3
charité,3
légats,3
aussitost,3
chasser,3
seureté,3
défense,3
ouverture,2
donna,2
volonté,2
