token_,count
plus,16
si,16
roy,16
estre,12
faict,11
évangélistes,11
religion,10
harangues,10
ceulx,9
chose,9
comme,9
cela,8
dieu,8
con,7
royaulme,7
bon,7
moyen,7
bonne,7
fault,7
leurs,7
conscience,7
aultres,6
aujourd,6
huy,6
doibt,6
foy,6
mesme,6
concile,6
eulx,6
tout,6
contre,6
peuple,6
besoing,5
faire,5
sans,5
seulement,5
ycelle,5
ceste,5
entre,5
choses,5
veu,5
pourtant,5
peult,5
plusieurs,5
telle,4
aultre,4
salut,4
cause,4
doulceur,4
laquelle,4
obéyssance,4
combien,4
avant,4
quoy,4
tousjours,4
avoir,4
semble,4
saincte,4
lesdictz,4
bien,4
france,3
assemblée,3
ment,3
hommes,3
force,3
enseigner,3
temps,3
nombre,3
contraire,3
nonobstant,3
paix,3
principalement,3
point,3
seule,3
parole,3
ladicte,3
mesmes,3
présentée,3
conciles,3
mauvaise,3
doctrine,3
hérésie,3
aussi,3
considérer,3
quelque,3
genz,3
service,3
repoz,3
trouvera,3
grandz,3
pluspart,3
soyent,3
tous,3
royaume,3
faicte,2
poissy,2
audict,2
lieu,2
question,2
pourra,2
soyt,2
toutes,2
fois,2
appaiser,2
différendz,2
use,2
toute,2
puissent,2
rece,2
voir,2
instruction,2
rien,2
traire,2
dict,2
saint,2
nostre,2
depuis,2
seroient,2
pape,2
rigueur,2
passer,2
trois,2
tellement,2
maintenant,2
servir,2
veult,2
donner,2
adviz,2
cer,2
là,2
ordre,2
appelle,2
confession,2
commune,2
raisons,2
considérations,2
convenable,2
non,2
endroict,2
user,2
davantaige,2
lesquelz,2
vérité,2
oys,2
quant,2
ainsy,2
église,2
nice,2
trinité,2
cent,2
puisque,2
pourroient,2
escriture,2
croyent,2
jésus,2
christ,2
mort,2
admirable,2
voye,2
in,2
nom,2
appert,2
tiennent,2
taschent,2
néant,2
moins,2
procéder,2
lesquelles,2
subjectz,2
tant,2
quand,2
aucthorité,2
néantmoins,2
discipline,2
profession,2
part,2
bas,2
aage,2
états,2
fort,2
colloque,2
république,2
oultre,2
assemblées,2
lesdicts,2
roys,2
prince,2
auroit,2
poursuytes,2
aulcune,2
subjects,2
jugement,2
proposition,1
harangue,1
monsieur,1
chancelier,1
ville,1
prélats,1
dernière,1
impor,1
tance,1
procède,1
meure,1
délibération,1
transporté,1
affection,1
ticuliére,1
ains,1
conduict,1
sainct,1
désir,1
décider,1
tranquillité,1
publicque,1
déli,1
bére,1
subveneus,1
doibvent,1
observées,1
principale,1
bénignité,1
afin,1
erreur,1
violence,1
suivant,1
augustin,1
dih,1
gence,1
griefve,1
profitable,1
contraindre,1
soustraitz,1
commencé,1
multiplier,1
avoyt,1
ayt,1
espace,1
ans,1
servy,1
exterminer,1
moindrir,1
lequel,1
augmenté,1
peines,1
infiny,1
advertissement,1
garder,1
mestre,1
sl,1
commen,1
scavoir,1
adoulcir,1
rigueurs,1
passées,1
regard,1
reculés,1
féglise,1
ensuy,1
vent,1
premiérement,1
debvoir,1
office,1
aymer,1
procurer,1
prospérité,1
extérieure,1
sub,1
jectz,1
ames,1
át,1
nature,1
forcée,1
enseignée,1
domptée,1
violée,1
persuadée,1
vrayes,1
suffi,1
santes,1
traincte,1
laissé,1
cérémonies,1
an,1
ciennes,1
estoient,1
