token_,count
roy,72
plus,26
comme,25
harangues,22
ceste,19
dieu,19
bien,19
si,18
temps,18
aultre,16
aultres,15
faire,15
juges,15
non,14
an,13
estre,13
tout,13
sans,12
loy,12
jour,11
nostre,11
faict,11
seulement,10
toutes,10
messieurs,10
dict,10
choses,9
pays,9
ville,9
ainsy,9
veult,9
normandie,9
tant,9
anglois,9
royaulme,9
angleterre,9
calais,9
justice,9
seigneur,8
grace,8
beaucoup,8
celuy,8
aage,8
garder,8
rouen,7
charles,7
hommes,7
deux,7
grand,7
royne,7
ceulx,7
conseil,7
leurs,7
couronne,7
droict,7
jusques,7
trois,7
loyx,7
ordonnances,7
dont,7
poinct,7
tous,7
faictes,7
procez,7
parlement,6
majorité,6
villes,6
guerre,6
havre,6
vostre,6
peu,6
genz,6
contre,6
entre,6
france,6
cens,6
lequel,6
ans,6
vouleu,6
dire,6
rien,6
majeur,6
roi,6
ordonnance,6
peuple,6
échiquier,6
ancien,5
mére,5
toutesfois,5
roys,5
seigneurs,5
ennemys,5
nul,5
mesme,5
duché,5
philippe,5
depuis,5
chose,5
quatorze,5
telz,5
magistrats,5
contraire,5
aussy,5
fault,5
mieulx,5
jugemens,5
estes,5
poéte,4
mal,4
ez,4
mère,4
parlerai,4
majesté,4
celle,4
prinse,4
cause,4
victoire,4
debvez,4
toute,4
prince,4
entreprinse,4
raison,4
celles,4
tousjours,4
point,4
honneur,4
tenir,4
louis,4
session,4
com,4
ledict,4
forme,4
présent,4
bonne,4
iceluy,4
nom,4
où,4
regardez,4
ad,4
magistrat,4
ains,4
princes,4
dessus,4
quand,4
aprez,4
bon,4
rendre,4
jugement,4
causes,4
parties,4
juge,4
chancelier,4
compte,4
voulant,3
monstrer,3
journée,3
mairastre,3
oultre,3
advenir,3
pauvre,3
aussi,3
royaulmes,3
dis,3
puis,3
fort,3
pleine,3
touz,3
maulx,3
feust,3
dudict,3
obvier,3
avant,3
laquelle,3
plein,3
joye,3
heureuse,3
paris,3
bienz,3
chrestien,3
pouvoit,3
estoient,3
dedans,3
armes,3
puisse,3
moyen,3
premier,3
pré,3
mil,3
saint,3
feit,3
aprés,3
quarante,3
fin,3
con,3
auparavant,3
traicté,3
mauvais,3
peult,3
premiers,3
majeurs,3
grandes,3
création,3
administration,3
inconvéniens,3
durant,3
maistre,3
commander,3
elles,3
atteint,3
sage,3
avoir,3
assez,3
endroict,3
oster,3
ayt,3
donne,3
dit,3
tel,3
accompli,3
livres,3
veulent,3
doncques,3
sous,3
appartient,3
amys,3
privées,3
filz,3
devant,3
icelles,3
chascung,3
président,3
mois,3
souvent,3
chaque,3
terme,3
cour,3
méme,3
conseillers,3
révélateurs,3
déclaration,2
plupart,2
homme,2
riche,2
content,2
cela,2
advient,2
provinces,2
propoz,2
veu,2
jours,2
adviennent,2
prinses,2
combien,2
regret,2
sçavez,2
peine,2
mémoire,2
entrée,2
réjouir,2
principales,2
richesse,2
abondance,2
maines,2
murailles,2
opinion,2
dent,2
ancienz,2
parce,2
adveneu,2
charge,2
eulx,2
présence,2
lendemain,2
icelle,2
encore,2
gloire,2
croire,2
donné,2
faveur,2
long,2
laps,2
confirmer,2
querelles,2
querelle,2
histoire,2
duc,2
veneu,2
neuf,2
guillaume,2
quatre,2
succes,2
jouy,2
audict,2
cinquante,2
scavez,2
commencement,2
boulogne,2
duquel,2
régne,2
estant,2
chef,2
sept,2
édouard,2
second,2
pére,2
prétendoit,2
perte,2
contreveneu,2
chaux,2
faicte,2
vivre,2
régner,2
ci,2
vérité,2
noz,2
moins,2
prudence,2
vaillance,2
ordinaires,2
pourveoir,2
mort,2
lieux,2
viennent,2
décés,2
couronnement,2
quoy,2
jamais,2
oeil,2
attendre,2
sacre,2
romains,2
république,2
ministration,2
parlé,2
capables,2
légitime,2
faction,2
fasse,2
préjudice,2
nature,2
muer,2
ex,2
ducs,2
bel,2
sixième,2
grandz,2
inconvénienz,2
présens,2
quelque,2
né,2
cest,2
honneurs,2
dernier,2
règne,2
triste,2
religion,2
porter,2
partout,2
entend,2
anciens,2
lesdicts,2
mencement,2
profict,2
mesmement,2
paix,2
auxquelz,2
commande,2
obéyr,2
étrangiers,2
sceu,2
commandement,2
cette,2
envers,2
inimitié,2
exemple,2
capitaine,2
scipion,2
romainz,2
riches,2
recognoistre,2
semblable,2
part,2
officiers,2
courts,2
plaisirs,2
pauvreté,2
biens,2
tenez,2
besoing,2
église,2
maniére,2
voye,2
jurez,2
donnances,2
charges,2
ment,2
quil,2
teneus,2
orateur,2
main,2
législateur,2
trouvez,2
per,2
équité,2
ordre,2
juridiction,2
argent,2
tellement,2
loz,2
aimerois,2
trop,2
bonnes,2
gens,2
louange,2
nombre,2
grands,2
passé,2
icy,2
nobles,2
province,2
michel,2
titre,2
présidents,2
voix,2
révélent,2
feroit,2
veues,2
veoit,2
rapporter,2
faultes,2
estrange,2
faisant,2
harangue,1
ix,1
aoüt,1
xzssrzuns,1
grec,1
variété,1
inconstance,1
humaines,1
di,1
veoyons,1
sain,1
lade,1
honoré,1
deshonoré,1
privez,1
maisons,1
pri,1
vées,1
entrées,1
souverain,1
différentes,1
desquelles,1
journées,1
pouvons,1
appeler,1
premiére,1
douleurs,1
tristesses,1
chas,1
cung,1
scait,1
prirent,1
pardons,1
abolitions,1
octroya,1
généralement,1
habitans,1
peur,1
rafrais,1
chir,1
oubliées,1
abolies,1
apres,1
tour,1
heureux,1
voyaige,1
consolation,1
venant,1
