token_,count
roy,29
dieu,17
estre,14
temps,13
harangues,12
comme,12
nostre,11
plus,10
si,10
faict,9
leurs,9
tous,9
ceulx,8
tout,8
dire,8
aultre,8
peu,7
religion,7
bien,7
mesme,7
peult,7
estant,6
costé,6
non,6
tant,6
église,6
plusieurs,6
quand,6
ainsy,6
loyx,6
assemblée,5
évesques,5
autant,5
pourroit,5
con,5
sans,5
royaulme,5
lieu,5
ceste,5
seulement,5
encore,5
aultres,5
présent,4
quelque,4
armes,4
fault,4
quoy,4
faire,4
quelz,4
celuy,4
pro,4
messieurs,4
conseil,4
troubles,4
aussi,4
toutes,4
parlement,4
adviz,4
là,4
estoient,4
toutesfois,4
assemblées,4
édict,4
com,4
soy,4
an,3
auparavant,3
choses,3
vie,3
combien,3
divisions,3
ruyne,3
gens,3
guerre,3
quelle,3
victoire,3
seigneur,3
advis,3
trés,3
grace,3
deus,3
maison,3
appaiser,3
faicte,3
cause,3
grandes,3
cela,3
sorte,3
princes,3
estatz,3
depuis,3
genz,3
court,3
délibération,3
veult,3
feust,3
où,3
paix,3
dira,3
prince,3
laquelle,3
chose,3
sainct,3
loy,3
fin,3
dict,3
autun,3
diversité,2
jamais,2
voulant,2
laisser,2
porte,2
amendement,2
lequel,2
règne,2
deu,2
user,2
plustost,2
amen,2
dement,2
soing,2
mal,2
piz,2
veu,2
hérésies,2
veoit,2
eulx,2
conduire,2
seul,2
nouvelle,2
jours,2
davantaige,2
rien,2
veoyons,2
disoient,2
combattre,2
membres,2
corps,2
vouldroit,2
scavoir,2
soldatz,2
promettre,2
ment,2
oultre,2
part,2
contre,2
deux,2
parties,2
meilleur,2
souverain,2
prendre,2
face,2
donner,2
selon,2
humaine,2
gentium,2
discours,2
pouvoir,2
pouvez,2
esleus,2
tenez,2
parole,2
passé,2
mieulx,2
hommes,2
femmes,2
ville,2
lesquelz,2
ordonnance,2
abolition,2
grande,2
grand,2
point,2
aultrement,2
cognoissance,2
fontainebleau,2
illicites,2
interprétation,2
judges,2
voir,2
sang,2
seigneurs,2
privé,2
présence,2
mere,2
issue,2
veneu,2
ordonnances,2
police,2
oü,2
paris,2
navarre,2
donné,2
forme,2
don,2
accoustumé,2
icy,2
possible,2
toute,2
contenir,2
peuple,2
tranquillité,2
premier,2
direz,2
service,2
lorsque,2
vices,2
différend,2
dix,2
henry,2
jeunesse,2
amender,2
francois,2
personnes,2
heure,2
scays,2
debvroit,2
jugement,2
armée,2
avantaige,2
pouvons,2
comment,2
avoir,2
vies,2
mettre,2
ja,2
poissy,2
dispute,2
repoz,2
suivant,2
considérer,2
celles,2
républicques,2
mespris,2
coup,2
estat,2
tantost,2
peuvent,2
danger,2
ailleurs,2
fois,2
juste,2
expérience,2
monstré,2
impossible,2
souvient,2
opinions,2
modes,2
moyens,2
nom,2
barbe,2
auroient,2
meilleure,2
constituendá,2
vivre,2
aut,2
vierg,2
titre,2
harangue,1
michel,1
hospital,1
chancelier,1
france,1
états,1
génenaux,1
assemblés,1
saint,1
germain,1
laye,1
aout,1
sssisons,1
commencement,1
reli,1
gion,1
croysade,1
dissoleu,1
perdre,1
frappa,1
semondre,1
religions,1
creu,1
jus,1
ques,1
résistance,1
feu,1
glaive,1
dont,1
telles,1
procéder,1
résidence,1
prédication,1
pasteurz,1
curez,1
troupeaux,1
ainsi,1
satisfaict,1
ni,1
appaisé,1
trouver,1
trange,1
vont,1
anciennes,1
graves,1
dignes,1
vertueuz,1
résisté,1
différence,1
tiennent,1
place,1
chascung,1
applaudir,1
pesché,1
ré,1
formation,1
prins,1
hardiesse,1
manifester,1
régne,1
bas,1
aage,1
permiz,1
travailler,1
vouleu,1
ca,1
lamitez,1
doibt,1
aveuglez,1
conseilleront,1
mectre,1
print,1
capi,1
taines,1
voul,1
droit,1
bailler,1
telle,1
exécution,1
scureté,1
événe,1
personne,1
fesse,1
sçauroit,1
dom,1
mageable,1
peust,1
cheoir,1
esgal,1
comportant,1
passion,1
pose,1
suit,1
chemin,1
empesche,1
poinct,1
punisse,1
malfai,1
teurs,1
mandez,1
cogneus,1
pru,1
dence,1
sagesse,1
écrit,1
dissipat,1
consilia,1
renverse,1
guidez,1
conduits,1
crainte,1
vé,1
rité,1
mesmement,1
menez,1
rai,1
eslire,1
judicium,1
regi,1
dat,1
choi,1
sis,1
courts,1
advi,1
sez,1
respondre,1
attente,1
dignité,1
guidans,1
approuver,1
touche,1
révé,1
rence,1
jésus,1
christ,1
offenserez,1
malum,1
consilium,1
consultori,1
pessimum,1
venir,1
matière,1
feray,1
cognoissez,1
pourrez,1
délibérer,1
pourvoir,1
advenir,1
scavez,1
tra,1
vaillent,1
sexes,1
jeunes,1
vieils,1
nobles,1
roturiers,1
