token_,count
roy,42
plus,30
justice,20
si,18
bien,18
église,18
leurs,17
sans,15
ceste,15
comme,14
harangues,14
royaulme,13
faire,13
fault,12
armes,11
aultre,11
faict,11
guerre,11
aultres,10
biens,10
mille,10
peult,9
tout,9
roys,9
millions,9
deux,8
estat,8
tous,8
lesdict,8
cent,8
livres,8
chascung,7
non,7
ainsy,7
payer,7
grande,7
chose,6
dieu,6
tant,6
mesme,6
prendre,6
nécessité,6
quand,6
raison,6
fust,6
argent,6
chancelier,5
contre,5
aussy,5
estrangers,5
nom,5
honneur,5
celle,5
esglise,5
estre,5
peuple,5
moyens,5
rentes,5
falloit,5
peu,5
partie,5
vendre,5
vente,5
genz,5
recouvrer,5
tournoys,5
france,4
parlement,4
conservation,4
paix,4
cela,4
prédécesseurs,4
nostre,4
seulement,4
mieulx,4
penser,4
pré,4
estoient,4
main,4
grand,4
entrée,4
dict,4
temps,4
affaires,4
debtes,4
encore,4
taille,4
trouvé,4
domaine,4
reistres,4
con,4
dix,4
nécessaire,4
rien,4
suisses,4
havre,4
moyen,4
regarde,3
an,3
poinct,3
fort,3
subjects,3
hommes,3
palais,3
ville,3
villes,3
figure,3
repoz,3
pére,3
grands,3
seigneurs,3
là,3
jamais,3
eulx,3
viennent,3
maison,3
faicte,3
forte,3
entendre,3
meu,3
aliénation,3
somme,3
ungs,3
feust,3
ceulx,3
raisons,3
conserver,3
avoir,3
difficulté,3
majestés,3
conseil,3
trois,3
estant,3
mectre,3
seize,3
payement,3
telle,3
pourquoy,3
suffire,3
achapt,3
francz,3
vault,3
vostre,3
perdre,3
perte,3
soixante,3
quatre,3
veult,3
trés,3
solemnité,3
édit,3
charles,2
paris,2
mai,2
voisinz,2
armée,2
puissance,2
lesquelz,2
asie,2
premier,2
celuy,2
auquel,2
bonnes,2
possible,2
dlesdicts,2
sainctes,2
celles,2
souverain,2
seigneur,2
présentement,2
faisant,2
service,2
religion,2
nuls,2
donné,2
possessions,2
plusieurs,2
lieux,2
saint,2
souveraine,2
désiré,2
noms,2
moeurs,2
mieux,2
princes,2
long,2
propre,2
besoing,2
force,2
grandes,2
bres,2
jour,2
aprés,2
lieu,2
garder,2
cérémonies,2
plustost,2
ancien,2
veneue,2
causes,2
envoyé,2
lever,2
opinion,2
quelques,2
croyt,2
bons,2
serviteurs,2
entendeu,2
vouldront,2
toutes,2
contraincts,2
donc,2
servy,2
tels,2
vouleu,2
avant,2
blois,2
vieilles,2
camp,2
orléans,2
regarder,2
entretenir,2
disoient,2
quelque,2
arrester,2
nouvelle,2
laquelle,2
vies,2
puisse,2
année,2
octroy,2
pourra,2
quart,2
porte,2
toucher,2
ayder,2
sien,2
aydes,2
niers,2
dés,2
lors,2
huit,2
prompt,2
présenté,2
sinon,2
esga,2
prix,2
édict,2
entre,2
charges,2
italiens,2
soulde,2
deu,2
quinze,2
promptement,2
sainct,2
jehan,2
cinq,2
six,2
aultrement,2
cest,2
cinquante,2
quelle,2
exemple,2
succession,2
danger,2
dira,2
assez,2
vray,2
royne,2
ordre,2
gendarmerye,2
presse,2
alliez,2
contenter,2
ladicte,2
trente,2
recepte,2
monte,2
vérité,2
fondement,2
dessus,2
ment,2
évesques,2
tient,2
né,2
cessité,2
vendeu,2
doibt,2
