token_,count
roy,15
non,13
comme,13
si,13
aultres,12
faict,12
ceste,11
justice,11
plus,11
dict,10
fault,10
harangues,10
roys,10
ceulx,10
court,10
leurs,8
dieu,8
estre,8
eulx,8
parce,7
prie,7
tous,7
chascung,7
sans,7
grand,7
judges,7
mesme,7
elles,7
temps,6
compaignie,6
doibt,6
bien,6
in,6
quand,6
com,6
authorité,6
choses,5
contre,5
garder,5
subjectz,5
sed,4
bonne,4
honneur,4
pouvoir,4
rien,4
paix,4
aussy,4
seulement,4
princes,4
tant,4
puissance,4
dire,4
ainsy,4
penser,4
chose,4
aultre,4
depuis,4
veu,4
estoient,4
faictes,4
ordonnances,4
celuy,4
mihi,3
part,3
volonté,3
prince,3
lieu,3
faicts,3
ad,3
veoit,3
là,3
quelz,3
grands,3
grandes,3
bons,3
hommes,3
cela,3
quelquefois,3
quelque,3
faire,3
remonstrances,3
veulent,3
mauvais,3
devant,3
admoneste,3
jusqu,3
viennent,3
peuvent,3
mespriser,3
aultruy,3
plaincte,3
ladicte,3
doibvent,3
autant,3
propoz,2
aussi,2
desire,2
tel,2
ordre,2
royaulme,2
exemple,2
auquel,2
louez,2
soy,2
subjects,2
receu,2
dieux,2
neque,2
entre,2
jours,2
romains,2
armes,2
habit,2
contraire,2
lieux,2
parle,2
dont,2
cognoissance,2
toutes,2
toutesfois,2
tort,2
prudence,2
judicum,2
toute,2
sçait,2
escript,2
ainsi,2
puis,2
sance,2
juges,2
soing,2
tousjours,2
user,2
conseil,2
opposer,2
volontez,2
vou,2
aigrir,2
jeune,2
avoir,2
doulceur,2
intérest,2
beau,2
erreur,2
plusieurs,2
fort,2
peu,2
parler,2
face,2
honneste,2
opi,2
venir,2
aprez,2
ensemble,2
personnaiges,2
don,2
facent,2
dissension,2
parties,2
bon,2
accord,2
scavoir,2
compaignon,2
ayt,2
regardons,2
pense,2
fraternellement,2
différends,2
plainctes,2
regard,2
raisonnable,2
juridiction,2
administration,2
unes,2
judgez,2
observées,2
moyen,2
garde,2
llesdictes,2
veult,2
encore,2
avarice,2
diligens,2
ordonné,2
point,2
blasme,2
cause,2
ordon,2
nances,2
présent,2
partie,2
llesdicts,2
opinione,2
prédécesseurs,2
vertueux,2
lors,2
tout,2
où,2
retourner,2
repoz,2
jam,2
harangue,1
sieur,1
chancelier,1
hospital,1
ouverture,1
parlement,1
vendredy,1
novembre,1
mxssix,1
vns,1
tiendray,1
long,1
permet,1
docendi,1
estis,1
admonendi,1
prendre,1
diray,1
vient,1
requiert,1
soubve,1
rain,1
servir,1
suivant,1
ordo,1
senatorius,1
specimen,1
esto,1
ceteris,1
mirer,1
souhaiter,1
tache,1
macule,1
sine,1
exceptione,1
aliquá,1
considère,1
députez,1
administrer,1
soubveraine,1
mettant,1
mains,1
biens,1
vies,1
corps,1
donne,1
royal,1
exercée,1
ycelle,1
àdministrer,1
homère,1
machinas,1
naves,1
eratas,1
expugnandas,1
urbes,1
justitiam,1
recogneu,1
monstré,1
estude,1
amour,1
statues,1
militaire,1
salle,1
palais,1
représentez,1
civil,1
robe,1
longue,1
velut,1
togati,1
démonstrant,1
aimé,1
art,1
scels,1
habillez,1
rendant,1
seigneurs,1
ordonnez,1
puissent,1
salomon,1
édifier,1
édifices,1
assemblé,1
richesses,1
science,1
loué,1
juge,1
mens,1
daniel,1
semblablement,1
célébré,1
femme,1
accusée,1
saulvée,1
jugement,1
nomen,1
nation,1
combien,1
juifs,1
contentez,1
tite,1
live,1
consules,1
prætores,1
ceterique,1
magistratus,1
nomine,1
censebantur,1
jésus,1
christ,1
voulant,1
honorer,1
disciples,1
promet,1
judgeront,1
tribuz,1
israél,1
recognoistre,1
grande,1
pensez,1
hominis,1
judicium,1
dei,1
exercetis,1
vostre,1
tableau,1
ayent,1
ressort,1
enseigner,1
imiter,1
judger,1
passion,1
faveur,1
acception,1
personne,1
appelés,1
dadvantage,1
exercent,1
judgement,1
cognoistre,1
ledict,1
prié,1
prins,1
commandent,1
semble,1
juste,1
modestie,1
