token_,count
roy,12
comme,11
plus,10
faire,7
aultres,6
frére,6
non,6
fréres,6
bien,5
estre,5
deux,5
tous,5
guerre,5
trés,4
celle,4
harangues,4
aultre,4
ceste,4
amytié,4
estes,4
chancelier,3
toutes,3
enfans,3
nature,3
seulement,3
encore,3
quand,3
ainsy,3
ceulx,3
leurs,3
bonne,3
doibt,3
ez,3
frère,3
royaulme,3
égal,3
paix,3
subject,3
général,3
chef,3
harangue,2
frères,2
envers,2
escript,2
ancien,2
autheur,2
poinct,2
jambe,2
monstrer,2
corps,2
laquelle,2
auroit,2
disoit,2
bon,2
lieu,2
ycelle,2
autant,2
naturelle,2
tout,2
cette,2
si,2
grand,2
point,2
com,2
veult,2
dire,2
affaires,2
tant,2
estrangier,2
souvent,2
filz,2
trouve,2
grande,2
chose,2
monsieur,2
tousjours,2
honneur,2
lieux,2
endroicts,2
choses,2
puissance,2
temps,2
aussy,2
quant,2
capitaine,2
subjectz,2
siéges,2
air,1
prononcée,1
hospital,1
parlement,1
paris,1
novembre,1
amitiez,1
bienveillance,1
ungs,1
surpassent,1
sans,1
erf,1
excepter,1
celles,1
pères,1
mères,1
dict,1
cela,1
appertement,1
remarqué,1
dieu,1
humaine,1
doué,1
œil,1
oreille,1
tung,1
bras,1
chascung,1
voulant,1
là,1
fraternité,1
cest,1
hérodote,1
femme,1
préféroit,1
amitié,1
propres,1
disant,1
raison,1
perdeu,1
slesdicts,1
moyen,1
pouvoir,1
pére,1
mere,1
ennemys,1
cherchent,1
amour,1
appuy,1
ailleurs,1
semblent,1
coupent,1
prennent,1
bois,1
amy,1
tié,1
estran,1
gere,1
attachée,1
rapportée,1
fraternelle,1
ombre,1
auprèsles,1
images,1
combien,1
affection,1
naturellement,1
entre,1
commenca,1
premiérement,1
corrompeue,1
défaillie,1
cain,1
abel,1
depuis,1
édifiérent,1
rome,1
plusieurs,1
oubliez,1
nombre,1
bons,1
exemples,1
toutesfois,1
vrays,1
dépravez,1
monstré,1
estimé,1
riche,1
puissant,1
héritage,1
scauroient,1
avoir,1
tellement,1
publics,1
privez,1
ayder,1
propos,1
sert,1
petit,1
vers,1
grec,1
faille,1
égaler,1
faict,1
trouvez,1
mal,1
con,1
traire,1
successeur,1
alexandre,1
antigone,1
oyoit,1
quelques,1
bassadeurs,1
vouloit,1
reprendre,1
feit,1
voir,1
concorde,1
priant,1
seroient,1
retour,1
ra,1
conter,1
veue,1
grandz,1
empires,1
estu,1
dient,1
abattre,1
défaire,1
seureté,1
disent,1
domination,1
barbarie,1
ailleurz,1
nation,1
barbare,1
chrestienne,1
turcs,1
france,1
touté,1
veoit,1
scavez,1
teneu,1
prés,1
majesté,1
élevé,1
entreteneu,1
aujourd,1
hui,1
honoré,1
certai,1
nement,1
vulgaire,1
oultre,1
soing,1
vigi,1
lance,1
prins,1
royne,1
vostre,1
mère,1
intéressée,1
conservation,1
nourrir,1
beuvant,1
mangeant,1
jours,1
ensemble,1
vesteus,1
ordi,1
nairement,1
mesmes,1
habits,1
jouissans,1
ticipans,1
fruictz,1
plaisirs,1
prend,1
partageant,1
apanageant,1
haultement,1
ri,1
chement,1
appartient,1
peut,1
communes,1
arrivées,1
rare,1
singuliére,1
jalousie,1
roys,1
grandeur,1
soigneuse,1
volonté,1
presque,1
compaignon,1
gouvernement,1
attribuant,1
infinie,1
déterminée,1
certain,1
province,1
certaine,1
fonction,1
action,1
pays,1
obéyssance,1
pleine,1
liberté,1
disposer,1
sorte,1
possible,1
faveur,1
donnez,1
seurance,1
user,1
dis,1
parce,1
sous,1
viennent,1
partaige,1
supérieur,1
véritablement,1
nostre,1
inférieur,1
facon,1
espérons,1
userez,1
sortes,1
forces,1
lieutenant,1
représentant,1
personne,1
civils,1
oü,1
diverses,1
différentes,1
fins,1
offices,1
tend,1
vaincre,1
endom,1
maiger,1
ennemy,1
conserver,1
garder,1
vivre,1
repoz,1
peult,1
puissances,1
accumulées,1
mandant,1
ainsi,1
soubtient,1
personnes,1
privée,1
charles,1
va,1
lois,1
royale,1
prie,1
vouloir,1
penser,1
double,1
aimer,1
ferez,1
exécuterez,1
aimant,1
profict,1
utilité,1
réjouissons,1
pleu,1
élection,1
honorer,1
charge,1
doubtons,1
voyons,1
advenir,1
attendons,1
ver,1
tuz,1
bontés,1
saiges,1
conseils,1
b,1
achevée,1
duc,1
anjou,1
princes,1
président,1
etc,1
jusqu,1
alors,1
assis,1
bas,1
montés,1
supérieurs,1
donné,1
ordre,1
ouvrir,1
portes,1
lettres,1
patentes,1
roi,1
lues,1
avocat,1
baptiste,1
dumenil,1
aprés,1
