token_,count
court,31
roy,25
faict,23
plus,20
aultres,17
harangues,16
si,16
conseil,14
ladicte,13
comme,12
aultre,11
peult,11
sans,11
faire,10
trois,10
chascung,10
leurs,10
estre,10
bien,10
justice,9
ceste,9
juges,9
édict,9
dict,8
tous,8
ceulx,8
religion,8
veu,8
fault,8
deux,8
compagnie,8
procèz,8
lettres,8
fust,8
privé,7
part,7
quelque,7
quoy,7
concile,7
non,7
genz,7
mal,7
procez,7
marchandise,7
toutes,6
chose,6
aussi,6
ledict,6
bonne,6
prie,6
estatz,6
temps,6
quelques,6
parlement,5
france,5
seigneur,5
dire,5
parce,5
grande,5
meilleur,5
pourra,5
con,5
scait,5
estant,5
laquelle,5
pays,5
jours,5
eulx,5
tenir,5
tant,5
grand,5
subjects,5
depuis,5
ez,5
biens,5
foy,5
appel,5
audict,5
dudict,4
choses,4
estat,4
ordre,4
affaires,4
gens,4
grands,4
quelz,4
icelle,4
cause,4
moyen,4
armes,4
faulte,4
maulvais,4
ville,4
guerre,4
contre,4
avoir,4
céans,4
parlements,4
quand,4
droict,4
président,4
combes,4
aydes,4
paris,3
veneu,3
maistres,3
entendre,3
long,3
assez,3
arrestz,3
assemblée,3
miz,3
délibération,3
moyens,3
appaiser,3
royaume,3
telle,3
trouvé,3
veulent,3
subjectz,3
dont,3
puisse,3
juger,3
opinion,3
provinces,3
in,3
vivre,3
où,3
force,3
dieu,3
icy,3
bon,3
ment,3
pluspart,3
table,3
observé,3
regard,3
propoz,3
prendre,3
ailleurz,3
combien,3
ordonné,3
dicts,3
édicts,3
doibt,3
main,3
conseiller,3
homme,3
question,3
cents,3
condamné,3
garde,3
ans,3
toute,3
transaction,3
ad,3
concerne,3
parents,3
marchands,3
villes,3
point,3
vuider,3
dif,3
entre,3
raison,3
statut,3
premier,3
néantmoins,3
desjardins,3
conseillers,2
martin,2
elles,2
autres,2
fera,2
matin,2
roi,2
officierz,2
personnes,2
séditions,2
assisté,2
ja,2
possible,2
sinon,2
vouldroit,2
pouvoir,2
peu,2
dicte,2
causes,2
émotions,2
couvrent,2
manteau,2
lequel,2
pré,2
parler,2
devant,2
église,2
pourveu,2
veoyent,2
voulunté,2
encore,2
contenter,2
présentez,2
semble,2
autrefois,2
aulcuns,2
compaignie,2
zèle,2
riches,2
voisins,2
amys,2
observée,2
core,2
plustost,2
hors,2
sub,2
espérance,2
lors,2
em,2
pescher,2
veult,2
maistre,2
lieu,2
maintenant,2
diverses,2
jus,2
oreilles,2
cette,2
laisse,2
confirmer,2
ains,2
plusieurs,2
contraire,2
faicte,2
saint,2
beaucoup,2
offices,2
facon,2
intention,2
cependant,2
quod,2
seulement,2
ordonnances,2
anciennes,2
proposé,2
uns,2
affaire,2
vouloit,2
veoir,2
nécessaire,2
laisser,2
certain,2
cela,2
transactions,2
receu,2
loix,2
pen,2
sions,2
jeunesse,2
chastelet,2
italie,2
incidents,2
pro,2
res,2
jusjurandum,2
hommes,2
néanmoins,2
souvent,2
particulier,2
afin,2
accoustumé,2
transiger,2
semblable,2
différends,2
jugements,2
va,2
trouve,2
grandement,2
peine,2
celuy,2
plaident,2
lyon,2
robe,2
courte,2
advocats,2
siéges,2
mar,2
chands,2
forme,2
quatre,2
cet,2
peuvent,2
trouver,2
estrange,2
férends,2
apprendre,2
empesché,2
queue,2
arbitres,2
passer,2
présidents,2
quelquefois,2
statuts,2
chrestiens,2
auroit,2
remonstrances,2
pareatis,2
certaines,2
personnel,2
réglait,2
droit,2
code,2
coutumier,2
normandie,2
chaque,2
trop,2
thoulouse,2
procéz,2
sergents,2
souveraine,2
narré,2
celle,2
exécution,2
généraulx,2
seil,2
juge,2
aigreur,2
advisé,2
information,2
rapportée,2
aprés,2
arrest,2
exécuter,2
office,2
faictes,2
debvoir,2
bertrand,2
condamnez,2
pendu,2
harangue,1
al,1
septembre,1
cou,1
rd,1
huy,1
monsieur,1
chancelier,1
messire,1
michel,1
hospital,1
chevalier,1
suivy,1
sieurs,1
archevesque,1
vien,1
évesque,1
orléans,1
fumée,1
yves,1
rubay,1
rené,1
bourgneuf,1
requestes,1
hostel,1
chambres,1
assemblées,1
venu,1
appartenant,1
peust,1
favoriser,1
chargé,1
unes,1
concernant,1
tat,1
universel,1
princes,1
empeschez,1
prononcer,1
marillac,1
morvilliers,1
dernièrement,1
fontainebleau,1
délibéra,1
donner,1
principaulx,1
connestable,1
mareschaulx,1
chevaliers,1
grauds,1
seigneurs,1
cé,1
principalement,1
voix,1
croyt,1
nostre,1
effects,1
ensuyvent,1
entendeue,1
publiée,1
assemblera,1
dixième,1
décembre,1
prochain,1
janvier,1
ensuyvant,1
univer,1
sel,1
national,1
répéter,1
zelle,1
affection,1
prudence,1
saigesse,1
déduitz,1
veoyant,1
procéder,1
bouche,1
pensé,1
satisfaire,1
establissement,1
poinct,1
congneu,1
harangufs,1
fauldra,1
arrester,1
parer,1
fallu,1
mestre,1
apres,1
pourverront,1
plainctes,1
doléances,1
composés,1
comparoistront,1
putez,1
ouy,1
librement,1
tierz,1
déduire,1
gravesses,1
charges,1
oppression,1
noblesse,1
payement,1
touche,1
lon,1
gueur,1
el,1
sentiront,1
grévez,1
remiz,1
suit,1
prés,1
vray,1
tenter,1
nonobstant,1
beau,1
coup,1
meuz,1
mauvaise,1
persévérans,1
satisfera,1
donneront,1
plaine,1
vouloir,1
apprend,1
remedes,1
posent,1
llz,1
monstrent,1
mutationem,1
rum,1
auxquelz,1
doibve,1
deffendre,1
augmenter,1
ores,1
ayt,1
advertissemens,1
jour,1
rouen,1
provence,1
daulphiné,1
repos,1
paisible,1
illis,1
castris,1
sunt,1
perditi,1
egentes,1
homines,1
tendent,1
esgaler,1
querunt,1
novas,1
tabulas,1
soldatz,1
