token_,count
roy,18
mal,16
faict,13
fault,11
dieu,11
faire,11
si,11
conseil,10
ceste,10
plus,9
harangues,9
comme,9
religion,8
court,8
non,8
princes,8
sans,8
leurs,8
bonne,7
ainsi,7
temps,7
édictz,7
concile,7
avoir,6
bien,6
roys,6
cela,6
tout,6
advis,5
aultres,5
dict,5
cy,5
royaulme,5
tous,5
ceulx,5
depuis,5
grand,5
quelquesfois,5
veneu,4
choses,4
assemblées,4
seulement,4
peulvent,4
dire,4
genz,4
parmy,4
eulx,4
peuple,4
selon,4
judges,4
plusieurs,3
jour,3
entre,3
francois,3
toutes,3
céans,3
prendre,3
affaires,3
fera,3
long,3
parce,3
seigneurs,3
cause,3
juges,3
toutesfois,3
peult,3
estre,3
coup,3
soubz,3
volonté,3
lesdictz,3
maladie,3
loyx,3
voulu,3
entendre,3
assemblée,3
bon,3
és,3
aucungs,3
com,3
aussi,3
mains,3
ladicte,3
chancelier,2
dix,2
mois,2
cinq,2
heures,2
martin,2
fumée,2
maistres,2
requestes,2
ledict,2
procez,2
aussy,2
grandz,2
estat,2
quand,2
assez,2
après,2
privé,2
viendront,2
scavent,2
puis,2
trente,2
médecins,2
remédier,2
dira,2
peu,2
dés,2
cestuy,2
jours,2
affaire,2
tel,2
ayder,2
confesser,2
user,2
chrestiens,2
honneur,2
monde,2
église,2
anciens,2
hérésies,2
amender,2
réformer,2
enverz,2
pape,2
universel,2
vray,2
saiges,2
usé,2
lesquelz,2
rendu,2
fruict,2
semble,2
évesques,2
tenir,2
réformation,2
quant,2
prélatz,2
sortira,2
quelque,2
veoit,2
accidens,2
principale,2
principal,2
opinion,2
ayent,2
main,2
églises,2
vont,2
gens,2
maulvais,2
rapport,2
trouve,2
doubte,2
quel,2
reméde,2
compaignie,2
devant,2
faictz,2
conventicules,2
maisons,2
garder,2
changer,2
aigrir,2
scait,2
diront,2
change,2
chan,2
aultre,2
an,2
édict,2
oster,2
chose,2
force,2
gouverneurs,2
face,2
judge,2
aulcungs,2
trouvent,2
regarder,2
grace,2
mis,2
chascung,2
espére,2
commandé,2
parler,2
demain,2
harangue,1
dudict,1
sieur,1
parlement,1
part,1
points,1
touchant,1
édicts,1
faicts,1
boy,1
conteneues,1
huitième,1
juin,1
mil,1
cent,1
soixante,1
extr,1
reg,1
da,1
parl,1
paris,1
cotté,1
vi,1
xi,1
fol,1
ovap,1
zvr,1
monsieur,1
messire,1
michel,1
hospital,1
chevallier,1
chancellier,1
france,1
huict,1
neuf,1
accompaigné,1
mm,1
étienne,1
potier,1
aubespine,1
beaulne,1
hostel,1
chambres,1
seigneur,1
envoyé,1
certaines,1
orroient,1
estimant,1
conseillers,1
juger,1
plaist,1
requérir,1
discours,1
propoz,1
déclarer,1
congneus,1
entendra,1
visiter,1
régné,1
ans,1
auquel,1
difficile,1
donner,1
médecine,1
dient,1
znveteratus,1
morbus,1
facilè,1
cura,1
tur,1
attendeu,1
gaigné,1
telle,1
ment,1
quil,1
maintenant,1
malaysé,1
veoir,1
entendent,1
trés,1
trois,1
derniers,1
mémoire,1
commen,1
cement,1
feu,1
henri,1
it,1
aprés,1
filx,1
aisné,1
ii,1
ordonnances,1
estably,1
exécution,1
iceulx,1
ordinaires,1
extraordinaires,1
empesché,1
ayt,1
passé,1
oultre,1
retardé,1
chancre,1
gaigne,1
jusque,1
presque,1
accabler,1
pro,1
poz,1
règne,1
jeune,1
core,1
aage,1
poulvoir,1
commander,1
requiert,1
senteut,1
accreu,1
imprudence,1
malice,1
prédécesseurs,1
recog,1
noistre,1
vérité,1
prédécesseurz,1
cuydé,1
chasser,1
curer,1
pugnir,1
toient,1
tumbez,1
erreurs,1
remédes,1
humains,1
néantmoins,1
puni,1
tion,1
envoyées,1
noz,1
faultes,1
péchez,1
falloit,1
remèdes,1
divins,1
spirituelz,1
semblée,1
teneuz,1
premiers,1
cognoissent,1
facultez,1
permises,1
cognoistre,1
voyé,1
lieu,1
mé,1
decine,1
défendre,1
assaillir,1
penser,1
voyoit,1
amendez,1
réformez,1
é,1
glise,1
assaillent,1
ennemys,1
loing,1
laisser,1
provision,1
gar,1
nison,1
maison,1
dextre,1
sénestre,1
teneu,1
grande,1
instance,1
remède,1
duquel,1
prudens,1
mectre,1
fin,1
debvons,1
imiter,1
papes,1
empeschez,1
ailleurs,1
estimé,1
dis,1
souldroit,1
aisément,1
autrefois,1
pourchas,1
commencé,1
assemblé,1
résolution,1
tourné,1
pressant,1
dernier,1
prié,1
voyent,1
derniere,1
despesche,1
receue,1
rome,1
appeller,1
sé,1
mondre,1
vingtième,1
juillet,1
prochain,1
pré,1
parer,1
prestz,1
voyage,1
où,1
seroient,1
prestes,1
résolu,1
traictera,1
intention,1
assistera,1
inspirera,1
espérer,1
démourant,1
souvent,1
corps,1
malade,1
crainctz,1
prédisent,1
fiebvre,1
survient,1
lade,1
mort,1
périlleuz,1
nouvelle,1
entrée,1
avant,1
espritz,1
hommes,1
