token_,count
conseil,8
plus,6
dieu,5
leurs,5
eulx,5
bien,5
harangues,4
lequel,4
tout,4
si,4
sans,4
roy,3
mesme,3
assemblez,3
entendre,3
faire,3
guérir,3
temps,3
ains,3
chercher,3
attendre,3
général,3
pourra,3
estrangiers,3
tenir,3
tous,3
doibvent,3
aussy,3
ceste,2
nice,2
comme,2
peu,2
afin,2
pro,2
ainsy,2
roys,2
exécuter,2
pluspart,2
princes,2
ue,2
maladie,2
seulement,2
convient,2
cause,2
non,2
noz,2
veu,2
envoyer,2
aultres,2
jour,2
user,2
remédes,2
craincte,2
ceulx,2
congnoissant,2
pape,2
aultre,2
mieulx,2
besoing,2
rien,2
deux,2
conseils,2
dict,2
estre,2
provinciaulx,2
aucthorité,2
erreur,2
dix,2
fust,2
moyen,2
hérésie,2
tant,2
toute,2
plusieurs,2
con,2
patriarche,2
hospital,2
cardinal,2
assemblée,2
chancelier,2
harangue,1
septembre,1
aage,1
avancé,1
remonstré,1
amplement,1
volonté,1
désir,1
veoir,1
bonne,1
union,1
tranquillité,1
entre,1
subjects,1
sisteroit,1
continuellement,1
compagnie,1
espérant,1
sortiroit,1
pareil,1
fruict,1
sortit,1
remonstrance,1
constantin,1
grand,1
auquel,1
présida,1
liz,1
estoient,1
là,1
propoz,1
céder,1
réformation,1
moeurz,1
doc,1
trine,1
monstré,1
vouloir,1
feux,1
henry,1
françoys,1
père,1
frère,1
préveneus,1
mort,1
commiz,1
gouver,1
ner,1
peuple,1
inten,1
tions,1
régies,1
providence,1
croire,1
bonté,1
mué,1
moeurs,1
remesdier,1
mal,1
pullulant,1
royaulme,1
pourvoyant,1
cecy,1
faut,1
imiter,1
mé,1
decin,1
appelé,1
griesve,1
use,1
remède,1
allégeant,1
patient,1
quelque,1
origine,1
oster,1
desraciner,1
universel,1
tost,1
affaires,1
requièrent,1
ungs,1
different,1
veulent,1
aulcunement,1
meilleur,1
cependant,1
griefve,1
veoyons,1
croistre,1
présens,1
domestiques,1
loingtains,1
gaste,1
avant,1
arrivent,1
ressemblant,1
perdeu,1
goust,1
laissent,1
bonnes,1
herbes,1
croissantes,1
jardins,1
aller,1
égypte,1
indes,1
médecin,1
cogneu,1
malade,1
santé,1
propre,1
ordonner,1
convenables,1
celuy,1
veist,1
oncques,1
gens,1
af,1
faires,1
quand,1
vouldroit,1
enten,1
dre,1
contrainct,1
aider,1
pères,1
frères,1
parens,1
amys,1
malades,1
conguoissant,1
long,1
panseront,1
feroient,1
partant,1
géné,1
ral,1
réformer,1
quant,1
aulcuns,1
disoient,1
fera,1
voye,1
doibt,1
pre,1
miére,1
fois,1
ayt,1
ensemble,1
rédiger,1
escript,1
résolutions,1
prendront,1
icy,1
cahyers,1
souscrire,1
cela,1
observé,1
beaucoup,1
charlemaigne,1
villes,1
léans,1
arles,1
aix,1
souvent,1
semée,1
église,1
ge,1
néraulx,1
avoir,1
ostée,1
tesmoing,1
arimini,1
depuis,1
sainct,1
hilaire,1
évesque,1
poictiers,1
assembla,1
deca,1
secretement,1
évesques,1
arrienne,1
jetée,1
hors,1
gaules,1
parquoy,1
doubter,1
possible,1
national,1
mesmement,1
favorisant,1
louable,1
entreprinse,1
volunté,1
em,1
ployera,1
puissance,1
feront,1
meure,1
saine,1
délibération,1
premier,1
principal,1
procéder,1
humilité,1
corps,1
uniz,1
esprit,1
adviendra,1
chascung,1
estime,1
point,1
dessus,1
savans,1
mesprisent,1
inférieurs,1
moins,1
doctes,1
portent,1
envie,1
laisse,1
toutes,1
subtilitez,1
curieuses,1
disputes,1
exem,1
ple,1
bon,1
homme,1
filz,1
crucifié,1
sim,1
plicité,1
amenda,1
grands,1
phi,1
losophes,1
dialecticiens,1
assistant,1
gastoient,1
altercations,1
remonstrant,1
jésus,1
christ,1
apostres,1
usé,1
telz,1
moyens,1
réduire,1
monde,1
livres,1
parole,1
former,1
icelle,1
oultre,1
estimer,1
ennemys,1
nouvelle,1
religion,1
chrestiens,1
baptisez,1
condamner,1
préjudices,1
appeler,1
rechercher,1
fermer,1
porte,1
recevoir,1
doulceur,1
fans,1
contre,1
aigreur,1
opinias,1
treté,1
prenant,1
exemple,1
alexandre,1
alexandrie,1
arrogance,1
perdit,1
arrius,1
nestore,1
constanti,1
nople,1
tomba,1
aprés,1
grande,1
poisent,1
quelle,1
importance,1
laisser,1
juges,1
pourtant,1
sayent,1
monstrer,1
repréhension,1
jugent,1
affection,1
discerneront,1
gardé,1
avarice,1
ambition,1
faulte,1
tiendra,1
finalement,1
remercier,1
loisir,1
donne,1
recongnoistre,1
faisant,1
aultrement,1
assurent,1
mettra,1
main,1
mesmes,1
premiers,1
sentiront,1
jugement,1
infinis,1
maulx,1
calamitez,1
b,1
peinel,1
fini,1
parler,1
tournon,1
leva,1
furieux,1
suivi,1
collègues,1
approcha,1
roi,1
déclara,1
nom,1
senti,1
rendre,1
cette,1
respect,1
ordres,1
majesté,1
discours,1
énoncé,1
positions,1
pu,1
prévoir,1
demanda,1
donnát,1
communication,1
püt,1
répondre,1
refusa,1
suffisam,1
ment,1
entendu,1
lorraine,1
appuya,1
