token_,count
roy,35
faire,19
plus,19
justice,14
comme,14
dict,13
harangues,13
quand,13
ceulx,12
faict,11
aultres,10
ordonnances,10
estes,10
aussy,10
court,9
si,9
fault,9
non,8
ordonnance,8
vostre,8
trop,8
avoir,7
leurs,7
bien,7
estre,6
chose,6
point,6
voulez,6
entre,6
debvez,6
ressort,6
procez,6
faictes,6
poinct,6
cela,6
aprés,5
contre,5
profict,5
garder,5
conseil,5
présent,5
chancelier,4
aulcungs,4
roi,4
bon,4
grand,4
icy,4
estoient,4
pays,4
prédécesseurs,4
ceste,4
an,4
tous,4
tout,4
messieurs,4
beaucoup,4
aussi,4
forces,4
mal,4
encore,4
gardez,4
céans,4
président,4
dire,4
servy,4
aultre,4
ayt,4
cause,4
grande,4
art,3
cy,3
devant,3
lieu,3
parlemens,3
estant,3
romains,3
veoir,3
ordre,3
disoit,3
cest,3
plusieurs,3
adressant,3
parole,3
rien,3
tant,3
royne,3
parlement,3
honneur,3
judger,3
maison,3
dont,3
aulcung,3
aultrement,3
judges,3
monde,3
tost,3
gens,3
ordon,3
nances,3
plaist,3
adverty,3
estats,3
présidens,3
vient,3
serois,3
sans,3
veu,3
genz,3
conseiller,3
jamais,3
là,3
celuy,3
dieu,3
puisse,3
are,2
teneu,2
lement,2
bourdeaulx,2
avant,2
harangue,2
prononca,2
hospital,2
quil,2
propoz,2
roys,2
scavoir,2
lesquelz,2
guerre,2
prés,2
vie,2
chez,2
paris,2
in,2
page,2
voilà,2
armée,2
lequel,2
place,2
mesme,2
raison,2
quelques,2
françois,2
sire,2
petit,2
tenir,2
assistent,2
assiz,2
monsieur,2
sang,2
sous,2
premier,2
veoit,2
exemple,2
quelque,2
ainsi,2
vray,2
lesquelles,2
loy,2
disent,2
dis,2
trouvé,2
faultes,2
toutesfois,2
pis,2
opinions,2
ouy,2
meurtres,2
voicy,2
publiée,2
vol,2
saiges,2
estimez,2
romain,2
aulx,2
aujourd,2
huy,2
rue,2
veois,2
public,2
marry,2
moy,2
communiquer,2
registres,2
gouverneurs,2
tuer,2
veulent,2
force,2
oultre,2
nommeray,2
commissaires,2
meschant,2
homme,2
laisser,2
commencement,2
meurtre,2
groz,2
feray,2
cestuy,2
fasse,2
grace,2
toutes,2
crainct,2
marchands,2
mieulx,2
longue,2
advocat,2
tholose,2
familiarité,2
amitiez,2
mettre,2
parties,2
maulvais,2
pourquoy,2
telles,2
lieutenans,2
forts,2
garde,2
gardes,2
tantost,2
costé,2
estat,2
trois,2
jours,2
appeler,2
vu,2
droit,2
ar,1
arr,1
ira,1
aras,1
ss,1
lit,1
charles,1
ix,1
avril,1
pasques,1
ensemble,1
sg,1
lz,1
icz,1
salué,1
mis,1
chaire,1
tient,1
consommé,1
loüer,1
institution,1
autho,1
rité,1
iceulx,1
loüable,1
diroit,1
sembleroit,1
propre,1
convenable,1
grands,1
successeurs,1
alexandre,1
épirotes,1
grecs,1
approchez,1
camp,1
marchérent,1
bataille,1
fins,1
montérent,1
éminent,1
où,1
veirent,1
marcher,1
lesdicts,1
recueil,1
divers,1
mémoires,1
etc,1
publié,1
pierre,1
chevalier,1
suivantes,1
manuscrit,1
dupuy,1
bibliothéque,1
équipaige,1
dirent,1
incontinent,1
marche,1
barbare,1
grecque,1
paulus,1
æmilius,1
vaincu,1
cédoniens,1
fist,1
banquet,1
ordonna,1
feit,1
milieu,1
ordonner,1
festin,1
pareille,1
estrangiers,1
vissent,1
diroient,1
bar,1
bares,1
anciennement,1
imitateurs,1
meilleurs,1
advient,1
assistance,1
approché,1
auprès,1
présence,1
honore,1
compai,1
gnie,1
tenez,1
graces,1
jour,1
vendredy,1
fois,1
accoustumé,1
vendredys,1
vacquez,1
honorez,1
excep,1
princes,1
quant,1
bas,1
assez,1
recevions,1
seule,1
cérémonie,1
cevoir,1
utilité,1
recevra,1
donc,1
ici,1
donnez,1
dience,1
demandent,1
note,1
toute,1
vertu,1
subjectz,1
second,1
claré,1
gardées,1
souffle,1
oreilles,1
plainct,1
trompez,1
déclaré,1
assistans,1
crussent,1
hors,1
veult,1
caz,1
réserve,1
donnances,1
juré,1
veneue,1
admonester,1
chefs,1
courts,1
commiz,1
pensez,1
siéges,1
empruntez,1
cognoissiez,1
selon,1
légitimes,1
jugemens,1
astricta,1
legibus,1
veneu,1
père,1
mille,1
vit,1
soy,1
informer,1
serviteurs,1
porte,1
enquiz,1
peuple,1
contes,1
diray,1
profictable,1
derniérement,1
institué,1
cent,1
deux,1
ans,1
moindre,1
excuse,1
despartir,1
oublié,1
anciennes,1
excu,1
sable,1
vieil,1
lesse,1
desbauchez,1
vieulx,1
adventeure,1
desquelz,1
suyvies,1
elles,1
poisent,1
comptent,1
parler,1
pilleries,1
pu,1
blicques,1
commises,1
receu,1
beau,1
coup,1
plainctes,1
dissensions,1
réglée,1
aul,1
tres,1
rendiez,1
compte,1
première,1
faulte,1
désobéyssance,1
portez,1
présentées,1
remonstrances,1
faites,1
oyra,1
ostez,1
puissance,1
royale,1
obéyr,1
royales,1
oster,1
domaine,1
faicte,1
requeste,1
encoré,1
parleray,1
cette,1
heure,1
requerir,1
solliciter,1
publications,1
édicts,1
proposer,1
mé,1
états,1
orléans,1
voyez,1
suiv,1
texte,1
annoté,1
lio,1
moire,1
desquelles,1
leray,1
long,1
pense,1
cuidez,1
prudence,1
limitée,1
sages,1
acquiz,1
paix,1
marcus,1
varro,1
quelquefois,1
telle,1
contestation,1
sénat,1
sentoient,1
oignons,1
estomac,1
haleine,1
bonne,1
sens,1
entendement,1
affectez,1
eulx,1
traictera,1
traictoit,1
horace,1
comparaison,1
nier,1
cheval,1
doulcement,1
apprendre,1
ruer,1
fasche,1
scays,1
défendeu,1
révéler,1
secrets,1
pourtant,1
rapporter,1
méprisez,1
iii,1
arrests,1
mettez,1
pardessus,1
reçues,1
interprétez,1
interpréter,1
seul,1
