token_,count
ledict duché,8
ledict comté,5
comté namur,4
mémoires état,4
duc lorraine,3
duché lorraine,3
guerres cause,2
comte henry,2
comte flandres,2
empereur constantinople,2
baul doin,2
ii empereur,2
empereur henry,2
hugues capet,2
premier empereur,2
frére dudict,2
dudict othon,2
succéda audict,2
audict duché,2
donna ledict,2
comtes ardennes,2
dudict duc,2
duché brabant,2
bl ua,1
ua ara,1
ara ar,1
ar copie,1
copie mémoire,1
mémoire touchant,1
touchant namur,1
namur lorraine,1
lorraine escript,1
escript main,1
main monsieur,1
monsieur chancelier,1
chancelier hospital,1
hospital namur,1
namur deux,1
deux rivières,1
rivières meuse,1
meuse sambre,1
sambre sabris,1
sabris latin,1
latin rassemble,1
rassemble sabris,1
sabris perd,1
perd nom,1
nom trouve,1
trouve auprès,1
auprès namur,1
namur force,1
force marbre,1
marbre noir,1
noir ci,1
ci devant,1
devant grandes,1
grandes guerres,1
cause comté,1
comté entre,1
entre princes,1
princes flandres,1
flandres luxembourg,1
luxembourg lorraine,1
lorraine parce,1
parce voulant,1
voulant comte,1
henry namur,1
namur mourut,1
mourut sans,1
sans hoirs,1
hoirs quitter,1
quitter ledict,1
comté bauldoin,1
bauldoin cousin,1
cousin comte,1
comte hainault,1
hainault père,1
père bauldoin,1
bauldoin comte,1
flandres depuis,1
depuis empereur,1
constantinople debvoit,1
debvoit venir,1
venir succession,1
succession ledict,1
namur parce,1
parce ledict,1
ledict baul,1
doin comte,1
comte haynault,1
haynault filz,1
filz sœur,1
sœur germaine,1
germaine dudict,1
dudict henry,1
henry nommée,1
nommée adéle,1
adéle donner,1
donner valeran,1
valeran comte,1
comte luxembourg,1
luxembourg filz,1
filz aultre,1
aultre sœur,1
sœur plus,1
plus jeune,1
jeune nom,1
nom ysabeau,1
ysabeau vinrent,1
vinrent bataille,1
bataille victoire,1
victoire ledict,1
ledict comte,1
comte bauldoin,1
bauldoin prins,1
prins comte,1
comte valeran,1
valeran beaucoup,1
beaucoup aul,1
aul mémoires,1
état tres,1
tres seigneurs,1
seigneurs compaignie,1
compaignie lequel,1
lequel valeran,1
valeran issir,1
issir sortir,1
sortir prison,1
prison délaissa,1
délaissa audict,1
audict bauldoin,1
bauldoin ledict,1
namur depuis,1
depuis laroyne,1
laroyne blanche,1
blanche mére,1
mére roy,1
roy sainct,1
sainct loys,1
loys achepta,1
achepta ledict,1
namur baul,1
doin ii,1
constantinople lequel,1
lequel ycelle,1
ycelle royne,1
royne bailla,1
bailla douaire,1
douaire marie,1
marie impé,1
impé ratrice,1
ratrice gréce,1
gréce fille,1
fille jehan,1
jehan briene,1
briene roy,1
roy hiérusalem,1
hiérusalem femme,1
femme dudict,1
dudict bauldoin,1
bauldoin ii,1
empereur si,1
si prins,1
prins force,1
force henry,1
henry comte,1
comte luxem,1
luxem bourg,1
bourg ayeul,1
ayeul empereur,1
henry vii,1
vii depuis,1
depuis comte,1
henry luxembourg,1
luxembourg bailla,1
bailla fille,1
fille ysabeau,1
ysabeau mariaige,1
mariaige comte,1
flandres guy,1
guy ampètre,1
ampètre ledict,1
namur dot,1
dot ainsy,1
ainsy vint,1
vint maison,1
maison flandres,1
flandres tellement,1
tellement tous,1
tous estats,1
estats présent,1
présent maison,1
maison bourgongne,1
bourgongne vinrent,1
vinrent duc,1
duc philippes,1
philippes pere,1
pere charles,1
charles dernier,1
dernier duc,1
duc chapitre,1
chapitre boubat,1
boubat lorraine,1
lorraine appelée,1
appelée lothaire,1
lothaire auquel,1
auquel donnée,1
donnée partaige,1
partaige loys,1
loys fils,1
fils charle,1
charle maigne,1
maigne contenoit,1
contenoit lors,1
lors brabant,1
brabant liége,1
liége depuis,1
depuis race,1
race charlemaigne,1
charlemaigne finie,1
finie france,1
france celle,1
celle hugues,1
capet régna,1
régna plusieurs,1
plusieurs guerres,1
cause dudict,1
dudict duché,1
duché mémoires,1
état lorraine,1
lorraine entre,1
entre empereurs,1
empereurs allemaigne,1
allemaigne roys,1
roys france,1
france othon,1
othon premier,1
empereur desconfit,1
desconfit frére,1
frére henry,1
henry rebellé,1
rebellé éberard,1
éberard frére,1
frére conrard,1
conrard premier,1
empereur ensemble,1
ensemble gisil,1
gisil bert,1
bert duc,1
lorraine beau,1
beau frére,1
othon maria,1
maria sœur,1
sœur gebergue,1
gebergue vefve,1
vefve dudict,1
dudict gisilbert,1
gisilbert loys,1
loys iv,1
iv roy,1
roy france,1
france surnommé,1
surnommé trans,1
trans marin,1
marin là,1
là cessa,1
cessa guerre,1
guerre cause,1
cause duché,1
lorraine ledict,1
ledict othon,1
othon bailla,1
bailla ledict,1
lorraine comte,1
comte othon,1
othon depuis,1
depuis conrard,1
conrard duc,1
duc suève,1
suève ensemble,1
ensemble fille,1
fille femme,1
femme lequel,1
lequel conrard,1
conrard jouyt,1
jouyt guéres,1
guéres succéda,1
duché brunon,1
brunon archevesque,1
archevesque colonie,1
colonie cologne,1
cologne frére,1
othon deffendit,1
deffendit contre,1
contre comte,1
comte raynier,1
raynier aultres,1
aultres tenant,1
tenant party,1
party france,1
france comme,1
comme parent,1
parent duc,1
duc gisilbert,1
gisilbert depuis,1
depuis othon,1
othon empereur,1
empereur donna,1
duché charles,1
charles frére,1
frére roy,1
roy lothaire,1
lothaire france,1
france lequel,1
lequel charles,1
charles aprés,1
aprés mort,1
mort frère,1
frère fils,1
fils frére,1
frére vouleut,1
vouleut faire,1
faire roy,1
roy prins,1
prins mené,1
mené orléans,1
orléans où,1
où mourut,1
mourut prisonnier,1
prisonnier fils,1
fils othon,1
othon aprés,1
aprés vint,1
vint couronne,1
couronne france,1
france hugues,1
capet othon,1
othon ii,1
ii donna,1
lorraine godefroy,1
godefroy fils,1
fils go,1
go louis,1
louis outre,1
outre mer,1
mer mémoires,1
état defroy,1
defroy comte,1
comte ardennes,1
ardennes ledict,1
