token_,count
aujourd huy,9
aultre chose,8
long temps,5
peult estre,4
toutes choses,4
tous ceulx,4
tout cela,4
si grande,4
donner loy,4
nostre roy,4
bon droict,4
guerre paix,3
plus grand,3
princes peuples,3
leurs vies,3
leurs ennemys,3
aultre veult,3
pauvre france,3
plus fort,3
ainsy disoit,3
si roy,3
comme toutes,2
toutes aultres,2
roy plus,2
tous princes,2
cause roy,2
plus juste,2
tiennent party,2
vie liberté,2
cy devant,2
ceste heure,2
depuis peu,2
sans discipline,2
roi espagne,2
maisons femmes,2
veult aultre,2
con traire,2
ceste guerre,2
voire direz,2
dict étymol,2
étymol ménage,2
comme dict,2
roy peult,2
cam paigne,2
entre eulx,2
anciens estoient,2
vic toire,2
tout monde,2
leurs maisons,2
nostre pauvre,2
feu sang,2
toutes fois,2
chascung scait,2
peult faire,2
faire perdre,2
mémoires leurs,2
longueur guerre,2
lire dieu,2
peuvent estre,2
si mal,2
guerres civiles,2
estat roy,2
mespriz contemnement,2
déses poir,2
dernier metz,2
bon roy,2
guerre comme,2
cy dessus,2
si ceste,2
romain disoit,2
encore aultre,2
leurs servyces,2
hommes temps,2
couronne roy,2
si hault,2
hault leurs,2
mauvais augure,2
envers peuple,2
cest adviz,2
troubler estat,2
sans doute,2
tout ainsy,2
gloire dieu,2
hommes non,2
bien certain,2
pauvres genz,2
faire guerre,2
toutes leurs,2
leurs desseins,2
toutes loyx,2
encore aujourd,2
contre leurs,2
estat repoz,2
public dissuader,2
peu ple,2
loy subjects,2
capi tuler,2
quelque chose,2
peuple romain,2
plus tost,2
ceste liberté,2
aultres estats,2
ungs aultres,2
observation laquelle,2
plus jamais,2
salut peuple,2
honneur roy,2
roy estre,2
rien plus,2
dissensions civiles,2
cest estat,2
depuis an,2
per pétuel,2
jamais contre,2
aultre tant,2
paix discours,1
discours chancelier,1
chancelier hospital,1
hospital exhorter,1
exhorter charles,1
charles ix,1
ix donner,1
donner paix,1
paix subjects,1
subjects manuscrit,1
manuscrit pages,1
pages in,1
in folio,1
folio dépót,1
dépót mesm,1
mesm biblioth,1
biblioth roy,1
roy ii,1
ii but,1
but guerre,1
paix laquelle,1
laquelle acquiert,1
acquiert composition,1
composition pleine,1
pleine entiére,1
entiére victoire,1
victoire voye,1
voye composition,1
composition semble,1
semble mal,1
mal seure,1
seure deffiance,1
deffiance réciproque,1
réciproque mutuelles,1
mutuelles haines,1
haines injures,1
injures subsis,1
subsis tance,1
tance deux,1
deux religions,1
religions diverses,1
diverses certai,1
certai nes,1
nes maisons,1
maisons aheurtées,1
aheurtées discorde,1
discorde ailleurs,1
ailleurs semble,1
semble peu,1
peu honorable,1
honorable ceste,1
ceste glorieuse,1
glorieuse triomphante,1
triomphante couronne,1
couronne joinct,1
joinct moyens,1
moyens si,1
si perplex,1
perplex peult,1
peult voir,1
voir chef,1
chef queue,1
queue lumiére,1
lumiére adresse,1
adresse victoire,1
victoire comme,1
aultres choses,1
choses hors,1
hors nostre,1
nostre pouvoir,1
pouvoir seule,1
seule main,1
main dieu,1
dieu peult,1
estre doubteuse,1
doubteuse passé,1
passé enseigne,1
enseigne combien,1
combien difficile,1
difficile exemples,1
exemples aultres,1
aultres estatz,1
estatz combien,1
combien pé,1
pé rilleuse,1
rilleuse incertaine,1
incertaine mémoires,1
mémoires roy,1
plus hommes,1
hommes vray,1
vray trouve,1
trouve deux,1
deux foiz,1
foiz plus,1
plus batailles,1
batailles gaignées,1
gaignées moindre,1
moindre nombre,1
nombre plus,1
grand dont,1
dont tous,1
peuples judgé,1
judgé recogneu,1
recogneu victoires,1
victoires estre,1
estre données,1
données ciel,1
ciel cause,1
juste crois,1
crois dieu,1
dieu sert,1
sert telz,1
telz instrumens,1
instrumens occa,1
occa sions,1
sions plaist,1
plaist punir,1
punir iniquitez,1
iniquitez jadis,1
jadis servy,1
servy babyloniens,1
babyloniens mat,1
mat ter,1
ter peuple,1
peuple naguéres,1
naguéres turcs,1
turcs sem,1
sem blables,1
blables pouvons,1
pouvons nier,1
nier desguiser,1
desguiser justement,1
justement ire,1
ire allumée,1
allumée contre,1
contre doncques,1
doncques apparence,1
apparence genz,1
genz icy,1
icy quelque,1
quelque meschantz,1
meschantz estimions,1
estimions soyent,1
soyent fléaux,1
fléaux vengeance,1
vengeance faict,1
faict veoyons,1
veoyons toutes,1
choses jusques,1
jusques icy,1
icy suc,1
suc cédé,1
cédé fort,1
fort propoz,1
propoz contre,1
contre espérance,1
espérance discours,1
discours hommes,1
hommes peu,1
peu finances,1
finances ac,1
ac corde,1
corde mesnagent,1
mesnagent bien,1
bien prin,1
prin cipal,1
cipal plus,1
plus eulx,1
eulx voire,1
voire mal,1
