token_,count
charles ix,2
loyx ordonnances,2
tous ceulx,2
ez choses,2
cest honneur,2
souligné manuscrit,2
manuscrit mémoires,2
comte sommerset,2
sans doute,2
roi charles,1
ix reine,1
reine mere,1
mere extrait,1
extrait bordereau,1
bordereau mémoires,1
mémoires instructions,1
instructions écrit,1
écrit main,1
main michel,1
michel hospital,1
hospital manusc,1
manusc biblioth,1
biblioth roi,1
roi jestois,1
jestois personne,1
personne privée,1
privée vivrois,1
vivrois paix,1
paix chascung,1
chascung comme,1
comme faics,1
faics amys,1
amys hantent,1
hantent voysins,1
voysins champs,1
champs ville,1
ville nul,1
nul procez,1
procez dif,1
dif férend,1
férend personne,1
personne estant,1
estant chancelier,1
chancelier chef,1
chef justice,1
justice france,1
france soubz,1
soubz voz,1
voz majestez,1
majestez conseiller,1
conseiller premier,1
premier roy,1
roy conservateur,1
conservateur voz,1
voz biens,1
biens voz,1
voz droicts,1
droicts vostre,1
vostre grandeur,1
grandeur majesté,1
majesté voz,1
voz loyx,1
ordonnances voz,1
voz subjectz,1
subjectz peult,1
peult estre,1
estre faisant,1
faisant estat,1
estat offense,1
offense tous,1
ceulx entreprennent,1
entreprennent vostre,1
vostre majesté,1
majesté droicts,1
droicts do,1
do maines,1
maines loyx,1
ordonnances cest,1
cest droict,1
droict jamais,1
jamais craincte,1
craincte plaire,1
plaire encourir,1
encourir inimytié,1
inimytié estant,1
estant résoleu,1
résoleu servyr,1
servyr sire,1
sire non,1
non gré,1
gré vostre,1
vostre mémoires,1
mémoires scachant,1
scachant mal,1
mal aisé,1
aisé complaire,1
complaire dieu,1
dieu ensemble,1
ensemble monde,1
monde jamais,1
jamais cherché,1
cherché tant,1
tant nom,1
nom bon,1
bon homme,1
homme faisant,1
faisant plaisir,1
plaisir tous,1
tous estre,1
estre ferme,1
ferme scachant,1
scachant définition,1
définition justice,1
justice con,1
con stante,1
stante perpétuelle,1
perpétuelle voulonté,1
voulonté garder,1
garder bailler,1
bailler chascung,1
chascung sien,1
sien appartient,1
appartient mesme,1
mesme temps,1
temps corrompeu,1
corrompeu fault,1
fault venir,1
venir droicture,1
droicture plier,1
plier contraire,1
contraire comme,1
comme arc,1
arc verge,1
verge corbe,1
corbe dirois,1
dirois voulontiers,1
voulontiers ancien,1
ancien disoit,1
disoit pouvez,1
pouvez souffrir,1
souffrir endurer,1
endurer moy,1
moy toutesfois,1
toutesfois ez,1
choses indifférentes,1
indifférentes dépendent,1
dépendent seule,1
seule grace,1
grace prince,1
prince sans,1
sans injures,1
injures privez,1
privez rends,1
rends aisé,1
aisé facile,1
facile fais,1
fais tant,1
tant plus,1
plus rigidement,1
rigidement trouvé,1
trouvé àage,1
àage roy,1
roy jeune,1
jeune bonté,1
bonté mesme,1
mesme remet,1
remet toutes,1
toutes choses,1
choses conseil,1
conseil grand,1
grand reproche,1
reproche tousjours,1
tousjours si,1
si servyons,1
servyons fidèlement,1
fidèlement quelle,1
quelle excuse,1
excuse vers,1
vers caton,1
caton repris,1
repris pérfectè,1
pérfectè nimis,1
nimis gereret,1
gereret rempublicam,1
rempublicam sire,1
sire puisqu,1
puisqu plaist,1
plaist faire,1
faire cest,1
honneur entendre,1
entendre intentions,1
intentions partye,1
partye vie,1
vie actions,1
actions tiens,1
tiens ceste,1
ceste reigle,1
reigle toutes,1
toutes facon,1
facon composée,1
composée temps,1
temps mémoires,1
mémoires lieu,1
lieu descouvre,1
descouvre bientost,1
bientost cette,1
cette feintise,1
feintise dissimulation,1
dissimulation vertu,1
vertu durée,1
durée faict,1
faict justice,1
justice finances,1
finances église,1
église sorté,1
sorté genz,1
genz envers,1
envers tous,1
tous grands,1
grands petits,1
petits riches,1
riches puissans,1
puissans foibles,1
foibles pauvres,1
pauvres cardinaulx,1
cardinaulx preslats,1
preslats princes,1
princes seigneurs,1
seigneurs parlement,1
