token_,count
('mémoires', 'état'),192
('an', 'mil'),170
('quatre', 'cent'),104
('mil', 'quatre'),101
('cinq', 'cent'),58
('trois', 'cent'),57
('mil', 'cinq'),56
('cent', 'quatre'),51
('mille', 'livres'),49
('mil', 'trois'),48
('quatre', 'vingt'),48
('jour', 'mois'),47
('foy', 'hommaige'),43
('cent', 'soixante'),42
('cent', 'trente'),29
('deux', 'cent'),29
('cent', 'quarante'),28
('ledict', 'duc'),27
('roy', 'loys'),26
('mil', 'deux'),24
('cent', 'mille'),23
('cent', 'vingt'),22
('roy', 'angleterre'),22
('audict', 'duc'),21
('loys', 'xi'),20
('état', 'an'),19
('cent', 'cinquante'),18
('court', 'parlement'),18
('mille', 'escus'),16
('livres', 'rente'),16
('dix', 'neuf'),13
('vingt', 'dix'),13
('entre', 'mains'),12
('vingt', 'deux'),12
('audict', 'an'),12
('parlement', 'paris'),11
('hoirs', 'masles'),11
('vingt', 'cinq'),11
('duc', 'bourgongne'),11
('chambre', 'comptes'),11
('cent', 'dix'),11
('dix', 'huict'),11
('procureur', 'général'),11
('soixante', 'dix'),10
('comte', 'flandres'),10
('lettres', 'patentes'),10
('comte', 'provence'),10
('loys', 'xii'),10
('feit', 'foy'),10
('duc', 'berry'),10
('ceste', 'paix'),10
('traicté', 'faict'),9
('vingt', 'trois'),9
('ledict', 'jean'),9
('lan', 'mil'),9
('sainct', 'paul'),9
('procureur', 'roy'),9
('sans', 'préjudice'),9
('vie', 'durant'),9
('part', 'roy'),9
('roy', 'fera'),9
('mois', 'juin'),8
('cent', 'quinze'),8
('quarante', 'huict'),8
('traicté', 'paix'),8
('jehan', 'comte'),8
('duc', 'bretaigne'),8
('feit', 'hommaige'),8
('hom', 'maige'),8
('feit', 'don'),8
('philippes', 'bel'),8
('aultres', 'terres'),8
('trois', 'mille'),8
('dudict', 'comté'),8
('présent', 'traicté'),8
('cinquante', 'six'),7
('mois', 'juillet'),7
('mois', 'aoust'),7
('droicts', 'royaulx'),7
('tant', 'seulement'),7
('philippes', 'valois'),7
('charles', 'vii'),7
('tous', 'droicts'),7
('lesdictes', 'terres'),7
('roy', 'espaigne'),7
('hommaige', 'lige'),7
('six', 'mille'),7
('trente', 'cinq'),7
('dix', 'mille'),7
('roy', 'pourra'),7
('livres', 'parisis'),7
('faire', 'foy'),7
('vingt', 'ans'),7
('cou', 'ronne'),7
('angle', 'terre'),7
('lille', 'douay'),7
('traicté', 'arras'),7
('officiers', 'roy'),7
('septiesme', 'jour'),6
('faict', 'entre'),6
('roy', 'francois'),6
('maistre', 'requestes'),6
('mois', 'may'),6
('lesdicts', 'seigneurs'),6
('tous', 'aultres'),6
('bour', 'gongne'),6
('ledict', 'duché'),6
('roy', 'rené'),6
('plus', 'demandoit'),6
('trente', 'sept'),6
('hommaige', 'faict'),6
('contre', 'tous'),6
('entre', 'charles'),6
('dudict', 'charles'),6
('dix', 'sept'),6
('roy', 'successeurs'),6
('si', 'ledict'),6
('deux', 'ans'),6
('roy', 'navarre'),6
('deux', 'mille'),6
('charles', 'fils'),6
('domini', 'regis'),6
('sainct', 'omer'),6
('deux', 'roys'),6
('bar', 'seine'),6
('roys', 'castille'),6
('roy', 'veult'),6
('roy', 'accorde'),6
('royaulme', 'naples'),6
('mois', 'febvrier'),5
('entre', 'lesdicts'),5
('roy', 'contraire'),5
('roy', 'françois'),5
('mois', 'septembre'),5
('neuviesme', 'jour'),5
('louys', 'onziesme'),5
('em', 'pereur'),5
('léze', 'majesté'),5
('quatre', 'cents'),5
('hommaige', 'ressort'),5
('appa', 'naige'),5
('fault', 'noter'),5
('dudict', 'philippes'),5
('cent', 'douze'),5
('duc', 'lorraine'),5
('duc', 'bourbon'),5
('dix', 'ans'),5
('contre', 'ledict'),5
('sans', 'enfans'),5
('genz', 'église'),5
('hommaige', 'dudict'),5
('toutes', 'aultres'),5
('desdictes', 'terres'),5
('duc', 'guyenne'),5
('grand', 'conseil'),5
('roy', 'catholique'),5
('ladicte', 'principaulté'),5
('vingt', 'onze'),5
('ledict', 'marquis'),5
('serment', 'fidélité'),5
('vingt', 'six'),5
('comte', 'nassau'),5
('bre', 'taigne'),5
('tout', 'droict'),5
('vingt', 'mille'),5
('dict', 'duc'),5
('charles', 'viii'),5
('charles', 'vi'),5
('genz', 'guerre'),5
('bar', 'feit'),5
('soixante', 'mille'),5
('jehan', 'duc'),5
('madame', 'marguerite'),5
('cents', 'livres'),5
('sainct', 'loys'),5
('charles', 'valois'),5
('dudict', 'jean'),5
('alencon', 'perche'),5
('vingt', 'treize'),5
('comté', 'poictou'),5
('roy', 'angle'),5
('ladicte', 'dame'),5
('comte', 'sainct'),5
('cinquante', 'mille'),5
('douay', 'orchies'),5
('faict', 'foy'),5
('roy', 'baillera'),5
('arthois', 'charolois'),5
('ressort', 'soubveraineté'),5
('roy', 'romains'),5
('duché', 'bourgongne'),5
('comte', 'dunois'),5
('flandres', 'arthois'),5
('ceulx', 'comté'),5
('val', 'aouste'),5
('aultres', 'droicts'),4
('flan', 'dres'),4
('sainct', 'andré'),4
('différend', 'entre'),4
('cinq', 'ans'),4
('ungs', 'aultres'),4
('depuis', 'an'),4
('trente', 'neuf'),4
('duc', 'savoye'),4
('feit', 'entendre'),4
('ledict', 'sieur'),4
('servyce', 'roy'),4
('charles', 'cinquiesme'),4
('ladicte', 'ville'),4
('juillet', 'mil'),4
('mars', 'mil'),4
('quarante', 'deux'),4
('aultre', 'part'),4
('soubverain', 'seigneur'),4
