token_,count
('mil', 'quatre', 'cent'),100
('an', 'mil', 'quatre'),66
('mil', 'cinq', 'cent'),56
('mil', 'trois', 'cent'),48
('cent', 'quatre', 'vingt'),48
('an', 'mil', 'cinq'),46
('an', 'mil', 'trois'),36
('quatre', 'cent', 'quatre'),29
('quatre', 'cent', 'soixante'),24
('mil', 'deux', 'cent'),24
('mémoires', 'état', 'an'),19
('état', 'an', 'mil'),19
('an', 'mil', 'deux'),19
('trois', 'cent', 'soixante'),15
('roy', 'loys', 'xi'),14
('cinq', 'cent', 'quarante'),13
('quatre', 'vingt', 'dix'),13
('mille', 'livres', 'rente'),13
('quatre', 'cent', 'trente'),12
('cent', 'soixante', 'dix'),10
('cent', 'mille', 'livres'),10
('deux', 'cent', 'quatre'),10
('cinq', 'cent', 'cinquante'),9
('quatre', 'cent', 'quarante'),9
('feit', 'foy', 'hommaige'),9
('jour', 'mois', 'juin'),8
('cent', 'mille', 'escus'),8
('trois', 'cent', 'quatre'),8
('trois', 'cent', 'trente'),8
('cinq', 'cent', 'vingt'),7
('cinq', 'cent', 'trente'),7
('cent', 'quarante', 'huict'),7
('jour', 'mois', 'aoust'),7
('roy', 'loys', 'xii'),7
('cent', 'trente', 'cinq'),7
('trois', 'mille', 'livres'),7
('septiesme', 'jour', 'mois'),6
('jour', 'mois', 'juillet'),6
('court', 'parlement', 'paris'),6
('cent', 'trente', 'sept'),6
('quatre', 'cent', 'vingt'),6
('vingt', 'dix', 'huict'),6
('foy', 'hommaige', 'roy'),6
('quatre', 'vingt', 'deux'),6
('cinq', 'cent', 'quinze'),5
('jour', 'mois', 'may'),5
('cent', 'cinquante', 'six'),5
('lan', 'mil', 'trois'),5
('quatre', 'vingt', 'onze'),5
('trois', 'cent', 'vingt'),5
('cent', 'vingt', 'cinq'),5
('quatre', 'cent', 'dix'),5
('quatre', 'cent', 'cinquante'),5
('deux', 'mille', 'livres'),5
('faire', 'foy', 'hommaige'),5
('bar', 'feit', 'foy'),5
('quatre', 'vingt', 'treize'),5
('roy', 'angle', 'terre'),5
('comte', 'sainct', 'paul'),5
('lille', 'douay', 'orchies'),5
('jour', 'mois', 'febvrier'),4
('depuis', 'an', 'mil'),4
('cent', 'trente', 'neuf'),4
('trois', 'cent', 'quarante'),4
('cent', 'quarante', 'deux'),4
('crime', 'léze', 'majesté'),4
('roy', 'charles', 'vii'),4
('quatre', 'vingt', 'trois'),4
('dés', 'an', 'mil'),4
('cent', 'soixante', 'cinq'),4
('cent', 'cinquante', 'cinq'),4
('quarante', 'mille', 'livres'),4
('cent', 'soixante', 'quinze'),4
('octobre', 'mil', 'quatre'),4
('roy', 'charles', 'vi'),4
('neuviesme', 'jour', 'mois'),4
('cent', 'soixante', 'huict'),4
('quatre', 'mille', 'livres'),4
('foy', 'hom', 'maige'),4
('mémoires', 'état', 'dict'),4
('cent', 'vingt', 'deux'),4
('vingt', 'dix', 'neuf'),4
('deux', 'cent', 'vingt'),4
('hommaige', 'lige', 'roy'),4
('faict', 'foy', 'hommaige'),4
('quatre', 'cent', 'mille'),4
('délaissera', 'audict', 'duc'),4
('tant', 'nom', 'comme'),3
('abbé', 'sainct', 'gal'),3
('douziesme', 'jour', 'mois'),3
('cent', 'mil', 'escus'),3
('cinquiesme', 'jour', 'mois'),3
('entre', 'lesdicts', 'seigneurs'),3
('roy', 'feit', 'entendre'),3
('cent', 'quarante', 'neuf'),3
('soixante', 'dix', 'neuf'),3
('dix', 'neuviesme', 'jour'),3
('juillet', 'mil', 'quatre'),3
('mars', 'mil', 'quatre'),3
('mémoires', 'état', 'trois'),3
('jour', 'mois', 'mars'),3
('trois', 'cent', 'quinze'),3
('quatorziesme', 'jour', 'mois'),3
('foy', 'hommaige', 'ressort'),3
('traicté', 'paix', 'faict'),3
('cent', 'soixante', 'trois'),3
('cinq', 'cent', 'douze'),3
('ez', 'dicts', 'pays'),3
('quatre', 'vingt', 'cinq'),3
('cinq', 'cent', 'quatorze'),3
('hommaige', 'an', 'mil'),3
('roy', 'philippes', 'bel'),3
('comte', 'provence', 'roy'),3
('toutes', 'aultres', 'terres'),3
('cent', 'quarante', 'trois'),3
('jour', 'mois', 'octobre'),3
('quatre', 'vingt', 'six'),3
('feit', 'hommaige', 'roy'),3
('mémoires', 'état', 'oultre'),3
('propres', 'cousts', 'despends'),3
('foy', 'hommaige', 'lige'),3
('quinze', 'mille', 'livres'),3
('feit', 'roy', 'loys'),3
('jour', 'mois', 'septembre'),3
('cent', 'trente', 'deux'),3
('six', 'mille', 'livres'),3
('somme', 'six', 'vingt'),3
('six', 'vingt', 'mille'),3
('cent', 'cinquante', 'huict'),3
('cent', 'dix', 'huict'),3
('chambre', 'comptes', 'paris'),3
('mille', 'livres', 'parisis'),3
('parce', 'mémoires', 'état'),3
('soixante', 'mille', 'livres'),3
('vingt', 'deuxiesme', 'jour'),3
('deuxiesme', 'jour', 'mois'),3
('jouyr', 'vie', 'durant'),3
('quatre', 'vingt', 'quatre'),3
('cinq', 'cent', 'dix'),3
('entre', 'roy', 'charles'),3
('cents', 'livres', 'rente'),3
('mille', 'livres', 'roy'),3
('mémoires', 'état', 'roy'),3
('deux', 'cent', 'soixante'),3
('livres', 'parisis', 'rente'),3
('comté', 'an', 'mil'),3
('aoust', 'audict', 'an'),3
('per', 'duos', 'milites'),3
('cent', 'vingt', 'huict'),3
('an', 'mil', 'cent'),3
('mil', 'cent', 'quatre'),3
('vingt', 'cinq', 'mille'),3
('six', 'cent', 'mille'),3
('court', 'parlement', 'chambre'),3
('parlement', 'chambre', 'comptes'),3
('jehan', 'comte', 'dunois'),3
('sans', 'préjudice', 'droict'),3
('mariaige', 'entre', 'charles'),3
('comprinz', 'ceste', 'paix'),3
('flandres', 'arthois', 'charolois'),3
('duc', 'berry', 'hiérosme'),3
('berry', 'hiérosme', 'morou'),3
