token_,count
ledict comté namur,4
bauldoin ii empereur,2
frére dudict othon,2
ledict duché lorraine,2
succéda audict duché,2
donna ledict duché,2
copie mémoire touchant,1
mémoire touchant namur,1
touchant namur lorraine,1
namur lorraine escript,1
lorraine escript main,1
escript main monsieur,1
main monsieur chancelier,1
monsieur chancelier hospital,1
chancelier hospital namur,1
hospital namur deux,1
namur deux rivières,1
deux rivières meuse,1
rivières meuse sambre,1
meuse sambre sabris,1
sambre sabris latin,1
sabris latin rassemble,1
latin rassemble sabris,1
rassemble sabris perd,1
sabris perd nom,1
perd nom trouve,1
nom trouve auprès,1
trouve auprès namur,1
auprès namur force,1
namur force marbre,1
force marbre noir,1
marbre noir ci,1
noir ci devant,1
ci devant grandes,1
devant grandes guerres,1
grandes guerres cause,1
guerres cause comté,1
cause comté entre,1
comté entre princes,1
entre princes flandres,1
princes flandres luxembourg,1
flandres luxembourg lorraine,1
luxembourg lorraine parce,1
lorraine parce voulant,1
parce voulant comte,1
voulant comte henry,1
comte henry namur,1
henry namur mourut,1
namur mourut sans,1
mourut sans hoirs,1
sans hoirs quitter,1
hoirs quitter ledict,1
quitter ledict comté,1
ledict comté bauldoin,1
comté bauldoin cousin,1
bauldoin cousin comte,1
cousin comte hainault,1
comte hainault père,1
hainault père bauldoin,1
père bauldoin comte,1
bauldoin comte flandres,1
comte flandres depuis,1
flandres depuis empereur,1
depuis empereur constantinople,1
empereur constantinople debvoit,1
constantinople debvoit venir,1
debvoit venir succession,1
venir succession ledict,1
succession ledict comté,1
comté namur parce,1
namur parce ledict,1
parce ledict bauldoin,1
ledict bauldoin comte,1
bauldoin comte haynault,1
comte haynault filz,1
haynault filz sœur,1
filz sœur germaine,1
sœur germaine dudict,1
germaine dudict henry,1
dudict henry nommée,1
henry nommée adéle,1
nommée adéle donner,1
adéle donner valeran,1
donner valeran comte,1
valeran comte luxembourg,1
comte luxembourg filz,1
luxembourg filz aultre,1
filz aultre sœur,1
aultre sœur plus,1
sœur plus jeune,1
plus jeune nom,1
jeune nom ysabeau,1
nom ysabeau vinrent,1
ysabeau vinrent bataille,1
vinrent bataille victoire,1
bataille victoire ledict,1
victoire ledict comte,1
ledict comte bauldoin,1
comte bauldoin prins,1
bauldoin prins comte,1
prins comte valeran,1
comte valeran beaucoup,1
valeran beaucoup aul,1
beaucoup aul mémoires,1
aul mémoires état,1
mémoires état tres,1
état tres seigneurs,1
tres seigneurs compaignie,1
seigneurs compaignie lequel,1
compaignie lequel valeran,1
lequel valeran issir,1
valeran issir sortir,1
issir sortir prison,1
sortir prison délaissa,1
prison délaissa audict,1
délaissa audict bauldoin,1
audict bauldoin ledict,1
bauldoin ledict comté,1
comté namur depuis,1
namur depuis laroyne,1
depuis laroyne blanche,1
laroyne blanche mére,1
blanche mére roy,1
mére roy sainct,1
roy sainct loys,1
sainct loys achepta,1
loys achepta ledict,1
achepta ledict comté,1
comté namur bauldoin,1
namur bauldoin ii,1
ii empereur constantinople,1
empereur constantinople lequel,1
constantinople lequel ycelle,1
lequel ycelle royne,1
ycelle royne bailla,1
royne bailla douaire,1
bailla douaire marie,1
douaire marie impé,1
marie impé ratrice,1
impé ratrice gréce,1
ratrice gréce fille,1
gréce fille jehan,1
fille jehan briene,1
jehan briene roy,1
briene roy hiérusalem,1
roy hiérusalem femme,1
hiérusalem femme dudict,1
femme dudict bauldoin,1
dudict bauldoin ii,1
ii empereur si,1
empereur si prins,1
si prins force,1
prins force henry,1
force henry comte,1
henry comte luxem,1
comte luxem bourg,1
luxem bourg ayeul,1
bourg ayeul empereur,1
ayeul empereur henry,1
empereur henry vii,1
henry vii depuis,1
vii depuis comte,1
depuis comte henry,1
comte henry luxembourg,1
henry luxembourg bailla,1
luxembourg bailla fille,1
bailla fille ysabeau,1
fille ysabeau mariaige,1
ysabeau mariaige comte,1
mariaige comte flandres,1
comte flandres guy,1
flandres guy ampètre,1
guy ampètre ledict,1
ampètre ledict comté,1
comté namur dot,1
namur dot ainsy,1
dot ainsy vint,1
ainsy vint maison,1
vint maison flandres,1
maison flandres tellement,1
flandres tellement tous,1
tellement tous estats,1
tous estats présent,1
estats présent maison,1
présent maison bourgongne,1
maison bourgongne vinrent,1
bourgongne vinrent duc,1
vinrent duc philippes,1
duc philippes pere,1
philippes pere charles,1
pere charles dernier,1
charles dernier duc,1
dernier duc chapitre,1
duc chapitre boubat,1
chapitre boubat lorraine,1
boubat lorraine appelée,1
lorraine appelée lothaire,1
appelée lothaire auquel,1
lothaire auquel donnée,1
auquel donnée partaige,1
donnée partaige loys,1
partaige loys fils,1
loys fils charle,1
fils charle maigne,1
charle maigne contenoit,1
maigne contenoit lors,1
contenoit lors brabant,1
lors brabant liége,1
brabant liége depuis,1
liége depuis race,1
depuis race charlemaigne,1
race charlemaigne finie,1
charlemaigne finie france,1
finie france celle,1
france celle hugues,1
celle hugues capet,1
hugues capet régna,1
capet régna plusieurs,1
régna plusieurs guerres,1
plusieurs guerres cause,1
guerres cause dudict,1
cause dudict duché,1
dudict duché mémoires,1
duché mémoires état,1
mémoires état lorraine,1
état lorraine entre,1
lorraine entre empereurs,1
entre empereurs allemaigne,1
empereurs allemaigne roys,1
allemaigne roys france,1
roys france othon,1
france othon premier,1
othon premier empereur,1
premier empereur desconfit,1
empereur desconfit frére,1
desconfit frére henry,1
frére henry rebellé,1
henry rebellé éberard,1
rebellé éberard frére,1
éberard frére conrard,1
frére conrard premier,1
conrard premier empereur,1
premier empereur ensemble,1
empereur ensemble gisil,1
ensemble gisil bert,1
gisil bert duc,1
bert duc lorraine,1
duc lorraine beau,1
lorraine beau frére,1
beau frére dudict,1
dudict othon maria,1
othon maria sœur,1
maria sœur gebergue,1
sœur gebergue vefve,1
gebergue vefve dudict,1
vefve dudict gisilbert,1
dudict gisilbert loys,1
gisilbert loys iv,1
loys iv roy,1
iv roy france,1
roy france surnommé,1
france surnommé trans,1
surnommé trans marin,1
trans marin là,1
marin là cessa,1
là cessa guerre,1
cessa guerre cause,1
guerre cause duché,1
cause duché lorraine,1
duché lorraine ledict,1
lorraine ledict othon,1
ledict othon bailla,1
othon bailla ledict,1
bailla ledict duché,1
duché lorraine comte,1
lorraine comte othon,1
comte othon depuis,1
othon depuis conrard,1
depuis conrard duc,1
conrard duc suève,1
duc suève ensemble,1
suève ensemble fille,1
ensemble fille femme,1
fille femme lequel,1
femme lequel conrard,1
lequel conrard jouyt,1
conrard jouyt guéres,1
jouyt guéres succéda,1
guéres succéda audict,1
audict duché brunon,1
duché brunon archevesque,1
brunon archevesque colonie,1
archevesque colonie cologne,1
colonie cologne frére,1
cologne frére dudict,1
dudict othon deffendit,1
othon deffendit contre,1
deffendit contre comte,1
contre comte raynier,1
comte raynier aultres,1
raynier aultres tenant,1
aultres tenant party,1
tenant party france,1
party france comme,1
france comme parent,1
comme parent duc,1
