token_,count
tous princes peuples,2
dict étymol ménage,2
roy peult estre,2
peult faire perdre,2
si hault leurs,2
encore aujourd huy,2
donner loy subjects,2
guerre paix discours,1
paix discours chancelier,1
discours chancelier hospital,1
chancelier hospital exhorter,1
hospital exhorter charles,1
exhorter charles ix,1
charles ix donner,1
ix donner paix,1
donner paix subjects,1
paix subjects manuscrit,1
subjects manuscrit pages,1
manuscrit pages in,1
pages in folio,1
in folio dépót,1
folio dépót mesm,1
dépót mesm biblioth,1
mesm biblioth roy,1
biblioth roy ii,1
roy ii but,1
ii but guerre,1
but guerre paix,1
guerre paix laquelle,1
paix laquelle acquiert,1
laquelle acquiert composition,1
acquiert composition pleine,1
composition pleine entiére,1
pleine entiére victoire,1
entiére victoire voye,1
victoire voye composition,1
voye composition semble,1
composition semble mal,1
semble mal seure,1
mal seure deffiance,1
seure deffiance réciproque,1
deffiance réciproque mutuelles,1
réciproque mutuelles haines,1
mutuelles haines injures,1
haines injures subsis,1
injures subsis tance,1
subsis tance deux,1
tance deux religions,1
deux religions diverses,1
religions diverses certai,1
diverses certai nes,1
certai nes maisons,1
nes maisons aheurtées,1
maisons aheurtées discorde,1
aheurtées discorde ailleurs,1
discorde ailleurs semble,1
ailleurs semble peu,1
semble peu honorable,1
peu honorable ceste,1
honorable ceste glorieuse,1
ceste glorieuse triomphante,1
glorieuse triomphante couronne,1
triomphante couronne joinct,1
couronne joinct moyens,1
joinct moyens si,1
moyens si perplex,1
si perplex peult,1
perplex peult voir,1
peult voir chef,1
voir chef queue,1
chef queue lumiére,1
queue lumiére adresse,1
lumiére adresse victoire,1
adresse victoire comme,1
victoire comme toutes,1
comme toutes aultres,1
toutes aultres choses,1
aultres choses hors,1
choses hors nostre,1
hors nostre pouvoir,1
nostre pouvoir seule,1
pouvoir seule main,1
seule main dieu,1
main dieu peult,1
dieu peult estre,1
peult estre doubteuse,1
estre doubteuse passé,1
doubteuse passé enseigne,1
passé enseigne combien,1
enseigne combien difficile,1
combien difficile exemples,1
difficile exemples aultres,1
exemples aultres estatz,1
aultres estatz combien,1
estatz combien pé,1
combien pé rilleuse,1
pé rilleuse incertaine,1
rilleuse incertaine mémoires,1
incertaine mémoires roy,1
mémoires roy plus,1
roy plus hommes,1
plus hommes vray,1
hommes vray trouve,1
vray trouve deux,1
trouve deux foiz,1
deux foiz plus,1
foiz plus batailles,1
plus batailles gaignées,1
batailles gaignées moindre,1
gaignées moindre nombre,1
moindre nombre plus,1
nombre plus grand,1
plus grand dont,1
grand dont tous,1
dont tous princes,1
princes peuples judgé,1
peuples judgé recogneu,1
judgé recogneu victoires,1
recogneu victoires estre,1
victoires estre données,1
estre données ciel,1
données ciel cause,1
ciel cause roy,1
cause roy plus,1
roy plus juste,1
plus juste crois,1
juste crois dieu,1
crois dieu sert,1
dieu sert telz,1
sert telz instrumens,1
telz instrumens occa,1
instrumens occa sions,1
occa sions plaist,1
sions plaist punir,1
plaist punir iniquitez,1
punir iniquitez jadis,1
iniquitez jadis servy,1
jadis servy babyloniens,1
servy babyloniens mat,1
babyloniens mat ter,1
mat ter peuple,1
ter peuple naguéres,1
peuple naguéres turcs,1
naguéres turcs sem,1
turcs sem blables,1
sem blables pouvons,1
blables pouvons nier,1
pouvons nier desguiser,1
nier desguiser justement,1
desguiser justement ire,1
justement ire allumée,1
ire allumée contre,1
allumée contre doncques,1
contre doncques apparence,1
doncques apparence genz,1
apparence genz icy,1
genz icy quelque,1
icy quelque meschantz,1
quelque meschantz estimions,1
meschantz estimions soyent,1
estimions soyent fléaux,1
soyent fléaux vengeance,1
fléaux vengeance faict,1
vengeance faict veoyons,1
faict veoyons toutes,1
veoyons toutes choses,1
toutes choses jusques,1
choses jusques icy,1
jusques icy suc,1
icy suc cédé,1
suc cédé fort,1
cédé fort propoz,1
fort propoz contre,1
propoz contre espérance,1
contre espérance discours,1
espérance discours hommes,1
discours hommes peu,1
hommes peu finances,1
peu finances ac,1
finances ac corde,1
ac corde mesnagent,1
corde mesnagent bien,1
mesnagent bien prin,1
bien prin cipal,1
prin cipal plus,1
cipal plus eulx,1
plus eulx voire,1
eulx voire mal,1
voire mal mesnagée,1
mal mesnagée comme,1
mesnagée comme moins,1
comme moins aussy,1
moins aussy plus,1
aussy plus moyenz,1
plus moyenz eulx,1
moyenz eulx recou,1
eulx recou vrer,1
recou vrer estant,1
vrer estant plus,1
estant plus négligeans,1
plus négligeans eulx,1
négligeans eulx affaires,1
eulx affaires moins,1
affaires moins nécessité,1
moins nécessité ouvre,1
nécessité ouvre tousjours,1
ouvre tousjours recouvrer,1
tousjours recouvrer aussy,1
recouvrer aussy tous,1
aussy tous ceulx,1
tous ceulx tiennent,1
ceulx tiennent party,1
tiennent party engageront,1
party engageront mémoires,1
engageront mémoires jusques,1
mémoires jusques leurs,1
jusques leurs chemises,1
leurs chemises conserver,1
chemises conserver eulx,1
conserver eulx vie,1
eulx vie liberté,1
vie liberté estant,1
liberté estant vivement,1
estant vivement per,1
vivement per suadez,1
per suadez va,1
suadez va cela,1
va cela voulons,1
cela voulons despouiller,1
voulons despouiller aultre,1
despouiller aultre ailleurs,1
aultre ailleurs puissans,1
ailleurs puissans princes,1
puissans princes peu,1
princes peu ples,1
peu ples estrangiers,1
ples estrangiers estiment,1
estrangiers estiment ceste,1
estiment ceste cause,1
ceste cause appartenir,1
cause appartenir cy,1
appartenir cy devant,1
cy devant failly,1
devant failly moins,1
failly moins ceste,1
moins ceste heure,1
ceste heure liguez,1
heure liguez ticipent,1
liguez ticipent ouvertement,1
ticipent ouvertement leurs,1
ouvertement leurs entreprinses,1
leurs entreprinses genz,1
entreprinses genz ramassez,1
genz ramassez comme,1
ramassez comme mis,1
comme mis avant,1
mis avant depuis,1
avant depuis peu,1
depuis peu jours,1
peu jours esmeuz,1
jours esmeuz souslevez,1
esmeuz souslevez imprudence,1
souslevez imprudence sans,1
imprudence sans ordre,1
sans ordre sans,1
ordre sans chef,1
sans chef sans,1
chef sans discipline,1
sans discipline genz,1
discipline genz aguerriz,1
genz aguerriz réso,1
aguerriz réso leuz,1
réso leuz réduicts,1
leuz réduicts désespoir,1
réduicts désespoir pourtant,1
désespoir pourtant tenant,1
pourtant tenant collez,1
tenant collez conjoinctz,1
collez conjoinctz ensemble,1
conjoinctz ensemble sans,1
ensemble sans endurer,1
sans endurer désunisse,1
endurer désunisse moyens,1
désunisse moyens artifices,1
moyens artifices quelcon,1
artifices quelcon ques,1
quelcon ques comme,1
ques comme ceste,1
comme ceste liaison,1
ceste liaison union,1
liaison union despen,1
union despen roi,1
despen roi plutôt,1
roi plutôt guises,1
plutôt guises appelérent,1
guises appelérent secours,1
appelérent secours ligue,1
secours ligue catholique,1
ligue catholique roi,1
catholique roi espagne,1
roi espagne princes,1
espagne princes italie,1
princes italie suisses,1
italie suisses protestants,1
suisses protestants tour,1
protestants tour auxi,1
tour auxi liaires,1
auxi liaires princes,1
liaires princes protestants,1
princes protestants allemagne,1
protestants allemagne anglais,1
allemagne anglais cette,1
anglais cette double,1
cette double intervention,1
double intervention étrangers,1
intervention étrangers faut,1
étrangers faut attribuer,1
faut attribuer durée,1
attribuer durée guerres,1
durée guerres religion,1
guerres religion perpétuées,1
religion perpétuées pendant,1
perpétuées pendant quatre,1
pendant quatre régnes,1
quatre régnes événement,1
régnes événement prouvé,1
événement prouvé but,1
prouvé but roi,1
but roi espagne,1
roi espagne emparer,1
espagne emparer tróne,1
emparer tróne france,1
tróne france préjudice,1
