token_,count
moyen vivre ailleurs,2
fault conseiller estat,2
faire entendre raisons,2
mémoires etat monsieur,1
etat monsieur chancelier,1
monsieur chancelier hospital,1
chancelier hospital mis,1
hospital mis ordre,1
mis ordre refugf,1
ordre refugf établissement,1
refugf établissement conseil,1
établissement conseil estat,1
conseil estat qualités,1
estat qualités ct,1
qualités ct nombre,1
ct nombre conscillers,1
nombre conscillers divx,1
conscillers divx sortes,1
divx sortes personnes,1
sortes personnes considérer,1
personnes considérer establissement,1
considérer establissement conseil,1
establissement conseil estat,1
conseil estat scavoir,1
estat scavoir celles,1
scavoir celles conseillent,1
celles conseillent celles,1
conseillent celles conseil,1
celles conseil lées,1
conseil lées celles,1
lées celles conseillent,1
celles conseillent fault,1
conseillent fault sçavoir,1
fault sçavoir qualités,1
sçavoir qualités nécessaires,1
qualités nécessaires quel,1
nécessaires quel nom,1
quel nom bre,1
nom bre doibvent,1
bre doibvent estre,1
doibvent estre puissance,1
estre puissance doibt,1
puissance doibt donner,1
doibt donner ordre,1
donner ordre doibvent,1
ordre doibvent tenir,1
doibvent tenir opiner,1
tenir opiner examen,1
opiner examen affaires,1
examen affaires faict,1
affaires faict selon,1
faict selon portée,1
selon portée capacité,1
portée capacité chascung,1
capacité chascung premiere,1
chascung premiere qualité,1
premiere qualité conseil,1
qualité conseil estat,1
conseil estat estre,1
estat estre viril,1
estre viril expérimenté,1
viril expérimenté joins,1
expérimenté joins deux,1
joins deux ensemble,1
deux ensemble parce,1
ensemble parce expérience,1
parce expérience peult,1
expérience peult estre,1
peult estre homme,1
estre homme desjà,1
homme desjà aagé,1
desjà aagé vieillesse,1
aagé vieillesse mémoires,1
vieillesse mémoires sans,1
mémoires sans expérience,1
sans expérience icy,1
expérience icy inutile,1
icy inutile parce,1
inutile parce telles,1
parce telles affaires,1
telles affaires cognoissance,1
affaires cognoissance humeurs,1
cognoissance humeurs ticulieres,1
humeurs ticulieres princes,1
ticulieres princes peuples,1
princes peuples grands,1
peuples grands tres,1
grands tres nécessaire,1
tres nécessaire laquelle,1
nécessaire laquelle peult,1
laquelle peult avoir,1
peult avoir longue,1
avoir longue expérience,1
longue expérience encores,1
expérience encores répugnante,1
encores répugnante raison,1
répugnante raison néant,1
raison néant moins,1
néant moins différent,1
moins différent moyen,1
différent moyen intelligence,1
moyen intelligence affaires,1
intelligence affaires desquelles,1
affaires desquelles peult,1
desquelles peult avoir,1
peult avoir conjecture,1
avoir conjecture raisonnablement,1
conjecture raisonnablement con,1
raisonnablement con viendra,1
con viendra faire,1
viendra faire poinct,1
faire poinct vouldra,1
poinct vouldra mettre,1
vouldra mettre exécution,1
mettre exécution st,1
exécution st premierement,1
st premierement veu,1
premierement veu usaige,1
veu usaige quelque,1
usaige quelque aultre,1
quelque aultre endroit,1
aultre endroit oultre,1
endroit oultre saige,1
oultre saige amendement,1
saige amendement apportera,1
amendement apportera beau,1
apportera beau coup,1
beau coup plus,1
coup plus authorité,1
plus authorité crédict,1
authorité crédict résolu,1
crédict résolu tions,1
résolu tions conseil,1
tions conseil composé,1
conseil composé vieillards,1
composé vieillards composé,1
vieillards composé jeunes,1
composé jeunes gens,1
jeunes gens quelque,1
gens quelque suffisans,1
quelque suffisans capables,1
suffisans capables feussent,1
capables feussent lesquelz,1
feussent lesquelz peuvent,1
lesquelz peuvent estte,1
peuvent estte resputation,1
estte resputation bons,1
resputation bons conseillers,1
bons conseillers ceulx,1
conseillers ceulx seroient,1
ceulx seroient aussy,1
seroient aussy jeunes,1
aussy jeunes eulx,1
jeunes eulx pen,1
eulx pen aussy,1
pen aussy advisez,1
aussy advisez ceulx,1
advisez ceulx seroient,1
ceulx seroient plus,1
seroient plus vieulx,1
plus vieulx penseront,1
vieulx penseront estre,1
penseront estre dadvantaige,1
estre dadvantaige mua,1
dadvantaige mua tiere,1
mua tiere estat,1
tiere estat opinion,1
estat opinion moins,1
opinion moins force,1
moins force bien,1
force bien souvent,1
bien souvent plus,1
souvent plus effect,1
plus effect vérité,1
effect vérité rien,1
vérité rien plus,1
rien plus dangereux,1
plus dangereux subjects,1
dangereux subjects ayent,1
subjects ayent opinion,1
ayent opinion estre,1
opinion estre plus,1
estre plus saiges,1
plus saiges leurs,1
saiges leurs gou,1
leurs gou verneurs,1
gou verneurs facon,1
verneurs facon présomption,1
facon présomption estant,1
présomption estant tousjours,1
estant tousjours vieulx,1
tousjours vieulx plus,1
vieulx plus saiges,1
plus saiges jeunes,1
saiges jeunes poinct,1
jeunes poinct doubte,1
poinct doubte soyent,1
doubte soyent hospital,1
soyent hospital plus,1
hospital plus propres,1
plus propres conseiller,1
propres conseiller plus,1
conseiller plus résoleus,1
plus résoleus long,1
résoleus long exercice,1
long exercice ouyr,1
exercice ouyr peser,1
ouyr peser résouldre,1
peser résouldre grandes,1
résouldre grandes affaires,1
grandes affaires aultre,1
affaires aultre différence,1
aultre différence vieulx,1
différence vieulx jeunes,1
vieulx jeunes ceulx,1
jeunes ceulx cy,1
ceulx cy sang,1
cy sang chaud,1
sang chaud encore,1
chaud encore trompez,1
encore trompez fortune,1
trompez fortune rrestent,1
fortune rrestent ordinairement,1
rrestent ordinairement conseils,1
ordinairement conseils out,1
conseils out plus,1
out plus gnificence,1
plus gnificence monstre,1
gnificence monstre seureté,1
monstre seureté con,1
seureté con traire,1
con traire vieillards,1
traire vieillards tant,1
vieillards tant cause,1
tant cause nature,1
cause nature refroidie,1
nature refroidie expérience,1
refroidie expérience laquelle,1
expérience laquelle cours,1
laquelle cours vie,1
cours vie acquise,1
vie acquise avoir,1
acquise avoir vain,1
avoir vain exécuté,1
vain exécuté plusieurs,1
exécuté plusieurs choses,1
plusieurs choses desquelles,1
choses desquelles sceu,1
desquelles sceu venir,1
sceu venir bout,1
venir bout plus,1
bout plus volontiers,1
plus volontiers prennent,1
volontiers prennent plus,1
prennent plus seurs,1
plus seurs partys,1
seurs partys malheur,1
partys malheur faisant,1
malheur faisant ban,1
faisant ban der,1
ban der esprit,1
der esprit ouvrir,1
esprit ouvrir yeulx,1
ouvrir yeulx recognoistre,1
yeulx recognoistre mal,1
recognoistre mal eulx,1
mal eulx peuvent,1
eulx peuvent si,1
peuvent si bien,1
si bien faire,1
bien faire lors,1
faire lors expérimenté,1
lors expérimenté variété,1
expérimenté variété fortune,1
variété fortune comme,1
fortune comme remarqué,1
comme remarqué circonstances,1
remarqué circonstances accidens,1
circonstances accidens si,1
accidens si particulièrement,1
si particulièrement chose,1
particulièrement chose très,1
