token_,count
comte,16
ledict,16
duché,14
duc,13
lorraine,11
henry,9
dudict,9
brabant,9
namur,8
empereur,8
othon,8
comté,6
depuis,6
roy,6
fils,6
france,6
frére,6
louvain,6
cause,5
bauldoin,5
lequel,5
charles,5
flandres,4
mémoires,4
état,4
fille,4
godefroy,4
force,3
luxembourg,3
sœur,3
valeran,3
prins,3
audict,3
loys,3
ii,3
bailla,3
femme,3
vint,3
conrard,3
succéda,3
aprés,3
ardennes,3
comtes,3
barbeu,3
ar,2
deux,2
sabris,2
nom,2
guerres,2
entre,2
princes,2
parce,2
mourut,2
constantinople,2
succession,2
baul,2
doin,2
filz,2
ysabeau,2
vinrent,2
sainct,2
jehan,2
maison,2
philippes,2
lothaire,2
liége,2
hugues,2
capet,2
plusieurs,2
empereurs,2
premier,2
ensemble,2
gisilbert,2
colonie,2
comme,2
donna,2
où,2
partie,2
bruxelles,2
appelé,2
geoffroy,2
lembourg,2
temps,2
tient,2
bl,1
ua,1
ara,1
copie,1
mémoire,1
touchant,1
escript,1
main,1
monsieur,1
chancelier,1
hospital,1
rivières,1
meuse,1
sambre,1
latin,1
rassemble,1
perd,1
trouve,1
auprès,1
marbre,1
noir,1
ci,1
devant,1
grandes,1
voulant,1
sans,1
hoirs,1
quitter,1
cousin,1
hainault,1
père,1
debvoit,1
venir,1
haynault,1
germaine,1
nommée,1
adéle,1
donner,1
aultre,1
plus,1
jeune,1
bataille,1
victoire,1
beaucoup,1
aul,1
tres,1
seigneurs,1
compaignie,1
issir,1
sortir,1
prison,1
délaissa,1
laroyne,1
blanche,1
mére,1
achepta,1
ycelle,1
royne,1
douaire,1
marie,1
impé,1
ratrice,1
gréce,1
briene,1
hiérusalem,1
si,1
luxem,1
bourg,1
ayeul,1
vii,1
mariaige,1
guy,1
ampètre,1
dot,1
ainsy,1
tellement,1
tous,1
estats,1
présent,1
bourgongne,1
pere,1
dernier,1
chapitre,1
boubat,1
appelée,1
auquel,1
donnée,1
partaige,1
charle,1
maigne,1
contenoit,1
lors,1
race,1
charlemaigne,1
finie,1
celle,1
régna,1
allemaigne,1
roys,1
desconfit,1
rebellé,1
éberard,1
gisil,1
bert,1
beau,1
maria,1
gebergue,1
vefve,1
iv,1
surnommé,1
trans,1
marin,1
là,1
cessa,1
guerre,1
suève,1
jouyt,1
guéres,1
brunon,1
archevesque,1
cologne,1
deffendit,1
contre,1
raynier,1
aultres,1
tenant,1
party,1
parent,1
mort,1
frère,1
vouleut,1
faire,1
mené,1
orléans,1
prisonnier,1
couronne,1
go,1
louis,1
outre,1
mer,1
defroy,1
départy,1
pièces,1
dont,1
églises,1
nivèle,1
anvers,1
mar,1
quisat,1
empire,1
restoit,1
possédé,1
jusques,1
bouillon,1
eustache,1
bologne,1
quel,1
print,1
oncle,1
bossu,1
gothe,1
lon,1
donnèrent,1
descendans,1
estoient,1
ducs,1
costé,1
filles,1
finablement,1
rendit,1
ostant,1
noit,1
don,1
quart,1
teneu,1
longuement,1
héritiers,1
recouvra,1
tenoient,1
occupé,1
accomplit,1
promis,1
pére,1
couperoit,1
barbe,1
jusqu,1
couvert,1
appartenoit,1
dépendant,1
lignée,1
carle,1
peu,1
divisé,1
desquels,1
em,1
pereur,1
appelle,1
lothreich,1
lorrame,1
supérieure,1
tiennent,1
nostre,1
ceulx,1
descendent,1
frédéric,1
vaudemont,1
yoland,1
rené,1
sicile,1
bon,1
estat,1
institua,1
ordre,1
toison,1
principale,1
ville,1
leurs,1
premièrement,1
serment,1
université,1
fondée,1
privilége,1
baillé,1
parle,1
pape,1
martin,1
second,1
lieu,1
chastellenie,1
conseillers,1
justice,1
présidens,1
auditeurs,1
chambre,1
riviére,1
passe,1
ap,1
pelle,1
zenia,1
