token_,count
plus,64
roy,60
si,50
leurs,42
mémoires,39
ceste,34
comme,33
tout,27
aultre,25
estat,24
hommes,23
bien,23
eulx,23
sans,23
aultres,22
tous,22
faict,22
faire,21
toutes,20
ceulx,19
tant,18
poinct,18
guerre,17
paix,17
contre,17
chose,17
ainsy,17
dieu,16
estre,16
peuple,16
peu,15
subjects,14
peult,14
prince,14
mal,13
nostre,13
genz,13
liberté,13
france,13
donc,13
cela,12
mesme,12
temps,12
quand,12
bon,12
huy,12
encore,12
dont,11
jamais,11
fault,11
trés,11
non,11
estant,10
nécessité,10
veult,10
aujourd,10
armes,10
envers,10
droict,10
deux,9
grand,9
cause,9
moins,9
aussy,9
plusieurs,9
sang,9
loy,9
nom,9
victoire,8
moyens,8
choses,8
vray,8
quelque,8
voire,8
party,8
enfans,8
dict,8
naturel,8
dire,8
avoir,8
moyen,8
donner,7
couronne,7
fort,7
religion,7
repoz,7
ennemys,7
chascung,7
ennemy,7
ruyne,7
perte,7
toutesfois,7
grands,7
royaulme,7
loyx,7
justice,7
nature,7
disoit,7
fin,7
donne,7
vérité,7
maisons,6
chef,6
main,6
princes,6
estrangiers,6
cy,6
devant,6
plustost,6
tenir,6
con,6
déja,6
francois,6
estrangier,6
toute,6
là,6
bataille,6
ycelle,6
pauvre,6
cest,6
grandes,6
grande,6
rendre,6
rien,6
romain,6
esprit,6
majesté,6
authorité,6
seul,6
salut,6
public,6
discours,5
ailleurs,5
jusques,5
tousjours,5
depuis,5
ensemble,5
contraire,5
licence,5
mieulx,5
cœur,5
long,5
seulement,5
quant,5
mot,5
pays,5
armée,5
mille,5
aprés,5
telle,5
ment,5
lieu,5
scavoir,5
quoy,5
debvoir,5
obéyssance,5
roys,5
puisque,5
adviz,5
respublicque,5
estats,5
honneur,5
laquelle,4
semble,4
joinct,4
seule,4
nombre,4
victoires,4
punir,4
soyent,4
vengeance,4
propoz,4
tiennent,4
vie,4
per,4
discipline,4
désespoir,4
roi,4
cette,4
chefs,4
desquelz,4
an,4
ja,4
facon,4
costé,4
veoit,4
piz,4
lesquelz,4
sorte,4
vivre,4
craindre,4
entre,4
estoient,4
fera,4
souvent,4
monde,4
longueur,4
feu,4
enfin,4
pére,4
biens,4
petite,4
humanité,4
aulcung,4
aultrement,4
raison,4
civiles,4
mesmes,4
faulte,4
dessus,4
parler,4
ungs,4
vrays,4
gloire,4
faisant,4
publicque,4
conseil,4
esprits,4
sous,4
prudence,4
donné,4
doulcement,4
but,3
voye,3
haines,3
injures,3
discorde,3
voir,3
passé,3
combien,3
estatz,3
trouve,3
batailles,3
peuples,3
juste,3
pouvons,3
doncques,3
apparence,3
icy,3
veoyons,3
estiment,3
mis,3
avant,3
suisses,3
guerres,3
vies,3
joug,3
bonne,3
concorde,3
point,3
petit,3
retirer,3
naturelle,3
fran,3
direz,3
volonté,3
bons,3
premiers,3
françois,3
oultre,3
laisse,3
doibt,3
malade,3
peste,3
forces,3
combattre,3
capitaines,3
part,3
res,3
conditions,3
regard,3
diray,3
sinon,3
mort,3
conscience,3
conservation,3
achever,3
laisser,3
beaucoup,3
espoir,3
enfant,3
veu,3
celle,3
ayent,3
reste,3
perdre,3
trop,3
assez,3
dernier,3
respect,3
seroient,3
peuvent,3
mettre,3
rent,3
regarder,3
prés,3
vaincu,3
homme,3
mespriz,3
subject,3
veoir,3
saige,3
seigneurs,3
fidélité,3
servyce,3
hault,3
servyces,3
tion,3
tribut,3
ruyner,3
certains,3
vraye,3
quel,3
membres,3
nécessaire,3
manifeste,3
tend,3
guérison,3
où,3
selon,3
actions,3
pluspart,3
craincte,3
puisqu,3
estrange,3
partie,3
sénat,3
proprement,3
vostre,3
capituler,3
exemple,3
cher,3
observation,3
menaces,3
tra,3
esteindre,3
tiltre,3
maugré,3
faictes,3
subjectz,3
charles,2
manuscrit,2
ii,2
composition,2
pleine,2
entiére,2
certai,2
nes,2
honorable,2
lumiére,2
adresse,2
hors,2
pouvoir,2
ciel,2
sert,2
servy,2
ter,2
naguéres,2
nier,2
desguiser,2
justement,2
allumée,2
fléaux,2
espérance,2
finances,2
recou,2
affaires,2
vivement,2
despouiller,2
puissans,2
heure,2
ouvertement,2
jours,2
ordre,2
aguerriz,2
pourtant,2
tenant,2
artifices,2
ques,2
union,2
espagne,2
protestants,2
quatre,2
seureté,2
