token_,count
roy,12
mémoires,7
tous,7
contre,7
justice,6
plus,6
comme,5
voz,5
biens,5
toutesfois,5
ceste,5
estant,4
ceulx,4
cest,4
dieu,4
moy,4
choses,4
tousjours,4
faict,4
grands,4
manuscrit,4
leurs,4
personne,3
paix,3
vostre,3
loyx,3
estre,3
non,3
mal,3
con,3
temps,3
grace,3
sans,3
conseil,3
si,3
honneur,3
église,3
genz,3
quelque,3
mémoire,3
étre,3
aprés,3
roi,2
charles,2
ix,2
écrit,2
chascung,2
chancelier,2
majestez,2
conseiller,2
droicts,2
majesté,2
ordonnances,2
subjectz,2
faisant,2
offense,2
jamais,2
sire,2
gré,2
scachant,2
aisé,2
tant,2
bon,2
bailler,2
mesme,2
fault,2
disoit,2
ez,2
prince,2
injures,2
rends,2
facile,2
toutes,2
grand,2
vie,2
lieu,2
cette,2
riches,2
foibles,2
princes,2
seigneurs,2
aultres,2
gouverneurs,2
espaigne,2
angleterre,2
seul,2
espérant,2
partial,2
pape,2
royne,2
tourne,2
souligné,2
aulcungs,2
veulent,2
particulier,2
servy,2
fraische,2
avarice,2
cruaulté,2
avoir,2
quand,2
guerre,2
mort,2
quant,2
aultre,2
profict,2
chose,2
mesmoire,2
faicts,2
religion,2
vengeance,2
lettre,2
comte,2
sommerset,2
correction,2
indique,2
parait,2
mot,2
doute,2
original,2
titre,2
sceaux,2
reine,1
mere,1
extrait,1
bordereau,1
instructions,1
main,1
michel,1
hospital,1
manusc,1
biblioth,1
jestois,1
privée,1
vivrois,1
faics,1
amys,1
hantent,1
voysins,1
champs,1
ville,1
nul,1
procez,1
dif,1
férend,1
chef,1
france,1
soubz,1
premier,1
conservateur,1
grandeur,1
peult,1
estat,1
entreprennent,1
do,1
maines,1
droict,1
craincte,1
plaire,1
encourir,1
inimytié,1
résoleu,1
servyr,1
complaire,1
ensemble,1
monde,1
cherché,1
nom,1
homme,1
plaisir,1
ferme,1
définition,1
stante,1
perpétuelle,1
voulonté,1
garder,1
sien,1
appartient,1
corrompeu,1
venir,1
droicture,1
plier,1
contraire,1
arc,1
verge,1
corbe,1
dirois,1
voulontiers,1
ancien,1
pouvez,1
souffrir,1
endurer,1
indifférentes,1
dépendent,1
seule,1
privez,1
fais,1
rigidement,1
trouvé,1
àage,1
jeune,1
bonté,1
remet,1
reproche,1
servyons,1
fidèlement,1
quelle,1
excuse,1
vers,1
caton,1
repris,1
pérfectè,1
nimis,1
gereret,1
rempublicam,1
puisqu,1
plaist,1
faire,1
entendre,1
intentions,1
partye,1
actions,1
tiens,1
reigle,1
facon,1
composée,1
descouvre,1
bientost,1
feintise,1
dissimulation,1
vertu,1
durée,1
finances,1
sorté,1
envers,1
petits,1
puissans,1
pauvres,1
cardinaulx,1
preslats,1
parlement,1
haillifs,1
séneschaulx,1
àvecque,1
révérence,1
ap,1
partient,1
regard,1
estrangiers,1
papes,1
roys,1
serment,1
lequel,1
crains,1
aulcune,1
appuyé,1
aymant,1
debvoir,1
amour,1
naturel,1
obligation,1
espé,1
rance,1
crédict,1
faveur,1
cela,1
sou,1
vent,1
advient,1
empereur,1
magnez,1
tramontane,1
herbe,1
suit,1
soleil,1
flatteur,1
touchent,1
regarde,1
choisir,1
profictables,1
agréables,1
scaura,1
jour,1
certes,1
content,1
satisfaict,1
contentement,1
conscience,1
doubtant,1
sèment,1
bruict,1
tirer,1
amener,1
envie,1
sup,1
plie,1
laissons,1
généralitez,1
calomnie,1
soupçon,1
vérité,1
venons,1
pouvons,1
cognoistre,1
icy,1
devant,1
nostre,1
at,1
tendeu,1
état,1
récente,1
mercy,1
charge,1
corruption,1
ambition,1
core,1
semble,1
approche,1
sévérité,1
délivre,1
commissions,1
tourmenter,1
travailler,1
personnes,1
remis,1
donner,1
ré,1
mission,1
