token_,count
plus,23
estat,21
conseil,20
estre,18
fault,14
affaires,14
bien,14
faire,12
si,12
leurs,10
ceulx,9
aultres,9
sans,8
aussy,8
conseiller,8
comme,8
moins,7
moyen,7
poinct,7
adviz,7
raisons,7
mémoires,6
doibvent,6
expérience,6
peult,6
nécessaire,6
aultre,6
estant,6
fortune,6
peu,6
hospital,5
celles,5
doibt,5
faict,5
avoir,5
conseillers,5
plusieurs,5
esprit,5
envers,5
non,5
ailleurs,5
celuy,5
officiers,5
nombre,4
quel,4
puissance,4
donner,4
laquelle,4
raison,4
veu,4
quelque,4
vieillards,4
jeunes,4
ayent,4
tousjours,4
résouldre,4
grandes,4
encore,4
mal,4
chose,4
afin,4
trop,4
fois,4
ungs,4
mesme,4
prince,4
elles,4
magistrats,4
ordre,3
établissement,3
qualité,3
parce,3
homme,3
princes,3
mettre,3
composé,3
seroient,3
eulx,3
vieulx,3
opinion,3
souvent,3
facon,3
soyent,3
ouyr,3
cy,3
conseils,3
choses,3
faisant,3
grande,3
ment,3
toutesfois,3
propoz,3
charges,3
où,3
ques,3
auquel,3
changer,3
pré,3
peur,3
biens,3
italie,3
bonne,3
judgement,3
party,3
aultant,3
temps,3
quelques,3
surtout,3
vient,3
entendre,3
forme,3
rr,2
qualités,2
ct,2
sortes,2
considérer,2
scavoir,2
conseillent,2
tenir,2
opiner,2
expérimenté,2
vieillesse,2
cognoissance,2
tres,2
desquelles,2
con,2
oultre,2
coup,2
gens,2
capables,2
peuvent,2
saiges,2
doubte,2
peser,2
ordinairement,2
monstre,2
seureté,2
cause,2
nature,2
venir,2
volontiers,2
partys,2
très,2
vent,2
trouvant,2
seule,2
aage,2
telz,2
genz,2
pourquoy,2
tomber,2
ordinaire,2
enfin,2
péril,2
contre,2
entre,2
hospitai,2
meilleur,2
nostre,2
but,2
aultrement,2
maulvais,2
plustost,2
ambition,2
soy,2
empereur,2
rome,2
auroient,2
penser,2
ordonné,2
retraicte,2
toujours,2
vivre,2
contraire,2
ennemy,2
certain,2
intérest,2
lorsque,2
parmy,2
jeu,2
craincte,2
perdre,2
besoing,2
irrésolution,2
oublier,2
cette,2
ennemys,2
inconvéniens,2
rai,2
sons,2
contraires,2
ad,2
jamais,2
couvrir,2
considération,2
part,2
préveoyance,2
patience,2
discours,2
nement,2
bon,2
tout,2
grand,2
avant,2
suite,2
anciens,2
juridiction,2
particuliers,2
richesses,2
rar,1
tett,1
iir,1
etat,1
monsieur,1
chancelier,1
mis,1
refugf,1
conscillers,1
divx,1
personnes,1
establissement,1
lées,1
sçavoir,1
nécessaires,1
nom,1
bre,1
examen,1
selon,1
portée,1
capacité,1
chascung,1
premiere,1
viril,1
joins,1
deux,1
ensemble,1
desjà,1
aagé,1
icy,1
inutile,1
telles,1
humeurs,1
ticulieres,1
peuples,1
grands,1
longue,1
encores,1
répugnante,1
néant,1
différent,1
intelligence,1
conjecture,1
raisonnablement,1
viendra,1
vouldra,1
exécution,1
st,1
premierement,1
usaige,1
endroit,1
saige,1
amendement,1
apportera,1
beau,1
authorité,1
crédict,1
résolu,1
tions,1
suffisans,1
feussent,1
lesquelz,1
estte,1
resputation,1
bons,1
pen,1
advisez,1
penseront,1
dadvantaige,1
mua,1
tiere,1
force,1
effect,1
vérité,1
