token_,count
ceste compaignie,6
comme dict,6
bien faict,4
genz roy,4
aultres judges,3
bon judge,3
aultre chose,3
entre eulx,3
baillifs séneschaulx,3
doibvent estre,3
long temps,3
tous jours,2
lieu où,2
aulcune chose,2
plus excellent,2
service roy,2
princes chanceliers,2
dicts affaires,2
chanceliers comme,2
intelligence peult,2
justice judges,2
leurs offices,2
faire procez,2
fault faire,2
celuy plainct,2
bons judges,2
vir bonus,2
homme bien,2
genz bien,2
temps passé,2
offices judicature,2
faictes comme,2
ordon nances,2
nommez roy,2
leurs lettres,2
comme celles,2
rendre compte,2
récusa tions,2
profict comme,2
chascung doibt,2
grande plus,2
roy louys,2
deux trois,2
quand elles,2
grand chambre,2
chambre plaidoyer,2
aprez avoir,2
entre deux,2
quelque chose,2
ez procez,2
estre trompez,2
veu céans,2
assez diligens,2
sans estre,2
aultre négligence,2
affaires publicques,2
publicques comme,2
aultres lettres,2
lettres patentes,2
toutes choses,2
avant soyent,2
aultres affaires,2
bien receues,2
doibt estre,2
aultres choses,2
plus grand,2
personne roy,2
judge craintif,2
bien garder,2
premier président,2
ceste maison,2
administrer justice,2
scavoient tant,2
tant loyx,2
commissions force,2
bon mères,2
céans temps,2
roy faict,2
trois mois,2
douze cents,2
cents escus,2
tout monde,2
deux mois,2
remonstrances chancelier,1
chancelier hospital,1
hospital court,1
court parlement,1
parlement juillet,1
juillet pe,1
pe rs,1
rs encore,1
encore veoye,1
veoye tous,1
jours esprit,1
esprit bénévolement,1
bénévolement souvent,1
souvent aulcung,1
aulcung personne,1
personne toutesfois,1
toutesfois prends,1
prends grand,1
grand playsir,1
playsir veoir,1
veoir tous,1
tous ensemble,1
ensemble lieu,1
où jay,1
jay usé,1
usé partie,1
partie bons,1
bons ans,1
ans afin,1
afin visitation,1
visitation seulement,1
seulement agréable,1
agréable moy,1
moy aussy,1
aussy fructueuse,1
fructueuse parleray,1
parleray peu,1
peu affaires,1
affaires justice,1
justice peu,1
peu celles,1
celles mesmes,1
mesmes appartiennent,1
appartiennent ceste,1
compaignie scaurois,1
scaurois mieulx,1
mieulx propoz,1
propoz parler,1
parler justice,1
justice lieu,1
où establie,1
establie prin,1
prin cipale,1
cipale souveraine,1
souveraine non,1
non poinct,1
poinct intention,1
intention reprendre,1
reprendre arguer,1
arguer noller,1
noller aulcune,1
chose cognoissant,1
cognoissant plus,1
plus matière,1
matière moy,1
moy nul,1
nul conférence,1
conférence familiére,1
familiére fraternelle,1
fraternelle recognoistre,1
recognoistre mot,1
mot jamais,1
jamais francais,1
francais erreur,1
erreur opiste,1
opiste sens,1
sens indique,1
indique b,1
b mer,1
mer norrcir,1
norrcir harangues,1
harangues faultes,1
faultes commun,1
commun accord,1
accord remédier,1
remédier possible,1
possible combien,1
combien pense,1
pense faire,1
faire comme,1
dict meo,1
meo jure,1
jure passant,1
passant presque,1
presque tous,1
tous ceste,1
compaignie ans,1
ans aage,1
aage honneur,1
honneur dignité,1
dignité estant,1
estant premier,1
premier non,1
non lorsque,1
lorsque feus,1
feus esleu,1
esleu aultre,1
aultre plus,1
excellent partyes,1
partyes plus,1
plus requises,1
requises encore,1
encore attribue,1
attribue dieu,1
dieu donna,1
donna roy,1
roy souvenance,1
souvenance moy,1
moy absent,1
absent faict,1
faict cours,1
cours prez,1
prez fin,1
fin vins,1
vins cest,1
cest estat,1
estat chancelier,1
chancelier temps,1
temps trouble,1
trouble fort,1
fort turbulent,1
turbulent jamais,1
jamais heure,1
heure repoz,1
repoz durant,1
durant sept,1
sept ans,1
ans encoureu,1
encoureu plusieurs,1
plusieurs peines,1
peines inimitiez,1
inimitiez chargées,1
chargées ni,1
ni rechargées,1
rechargées refusées,1
refusées service,1
roy public,1
public doibs,1
doibs servir,1
servir exemple,1
exemple enseignement,1
enseignement postérité,1
postérité desirer,1
desirer hault,1
hault lieu,1
lieu honneur,1
honneur puis,1
puis dire,1
dire escript,1
escript prince,1
prince parlant,1
parlant diadesme,1
diadesme appeloit,1
appeloit malheureux,1
malheureux drapeau,1
drapeau disoit,1
disoit scauroit,1
scauroit maulx,1
maulx miséres,1
miséres cachés,1
cachés sous,1
sous iceluy,1
iceluy daigneroit,1
daigneroit lever,1
lever terre,1
terre quiconque,1
quiconque desire,1
desire charge,1
charge desire,1
desire peines,1
peines travail,1
travail malheur,1
malheur suit,1
suit feust,1
feust temps,1
temps roys,1
roys princes,1
chanceliers venoient,1
venoient souvent,1
souvent céans,1
céans séyoient,1
séyoient judgeoient,1
judgeoient roys,1
roys séparés,1
séparés leurs,1
leurs harangues,1
harangues grandes,1
grandes affaires,1
affaires si,1
si ose,1
ose dire,1
dire plaisir,1
plaisir chanceliers,1
chanceliers ambition,1
ambition tenir,1
tenir prés,1
prés personnes,1
personnes roys,1
roys aussy,1
aussy dicts,1
affaires guéres,1
guéres permiz,1
permiz éloignassent,1
éloignassent veulx,1
veulx dire,1
dire cela,1
cela adveneu,1
adveneu faulte,1
faulte ceste,1
compaignie digne,1
digne présence,1
présence assistance,1
assistance grand,1
grand roy,1
roy dicts,1
dicts princes,1
dict anciennement,1
anciennement dieux,1
dieux fréquentoient,1
fréquentoient cy,1
