token_,count
cette compagnie laquelle,2
roy commandé dire,2
remonstrances monsieur chancelier,1
monsieur chancelier hospital,1
chancelier hospital parlement,1
hospital parlement touchant,1
parlement touchant estat,1
touchant estat royaume,1
estat royaume distribution,1
royaume distribution justice,1
distribution justice union,1
justice union entre,1
union entre officiers,1
entre officiers icelle,1
officiers icelle voyez,1
icelle voyez essai,1
voyez essai vie,1
essai vie ouvrages,1
vie ouvrages hospital,1
ouvrages hospital page,1
hospital page crrounv,1
page crrounv avr,1
crrounv avr monsieur,1
avr monsieur chancelier,1
monsieur chancelier france,1
chancelier france messire,1
france messire michel,1
messire michel hospital,1
michel hospital chevalier,1
hospital chevalier veneu,1
chevalier veneu court,1
veneu court suivy,1
court suivy sieur,1
suivy sieur avanson,1
sieur avanson conseiller,1
avanson conseiller roy,1
conseiller roy conseil,1
roy conseil privé,1
conseil privé mm,1
privé mm nicolas,1
mm nicolas dupré,1
nicolas dupré guillaume,1
dupré guillaume bertrand,1
guillaume bertrand arnoul,1
bertrand arnoul boucher,1
arnoul boucher yven,1
boucher yven rubay,1
yven rubay maistres,1
rubay maistres requestes,1
maistres requestes ordinaires,1
requestes ordinaires hos,1
ordinaires hos tel,1
hos tel dudict,1
tel dudict seigneur,1
dudict seigneur estant,1
seigneur estant assis,1
estant assis dict,1
assis dict ladicte,1
dict ladicte court,1
ladicte court toutes,1
court toutes chambres,1
toutes chambres assemblées,1
chambres assemblées bonne,1
assemblées bonne envye,1
bonne envye venir,1
envye venir visiter,1
venir visiter cette,1
visiter cette compagnie,1
compagnie laquelle usé,1
laquelle usé bonne,1
usé bonne partie,1
bonne partie ans,1
partie ans occasion,1
ans occasion offerte,1
occasion offerte roy,1
offerte roy commandé,1
commandé dire part,1
dire part orront,1
part orront trois,1
orront trois choses,1
trois choses principale,1
choses principale concerne,1
principale concerne ledict,1
concerne ledict seigneur,1
ledict seigneur estat,1
seigneur estat universel,1
estat universel sub,1
universel sub jectz,1
sub jectz seconde,1
jectz seconde touche,1
seconde touche ceste,1
touche ceste ville,1
ceste ville capitalle,1
ville capitalle royaume,1
capitalle royaume troisiesme,1
royaume troisiesme appartient,1
troisiesme appartient corps,1
appartient corps quant,1
corps quant ledict,1
quant ledict seigneur,1
ledict seigneur venu,1
seigneur venu ja,1
venu ja couronne,1
ja couronne harangues,1
couronne harangues trouvé,1
harangues trouvé recueilli,1
trouvé recueilli succession,1
recueilli succession feu,1
succession feu roy,1
feu roy père,1
roy père embroullée,1
père embroullée empeschée,1
embroullée empeschée debtes,1
empeschée debtes aultres,1
debtes aultres grands,1
aultres grands affaires,1
grands affaires ressemblé,1
affaires ressemblé héritier,1
ressemblé héritier appréhende,1
héritier appréhende succession,1
appréhende succession apparence,1
succession apparence grandes,1
apparence grandes richesses,1
grandes richesses famille,1
richesses famille mal,1
famille mal obéissante,1
mal obéissante mal,1
obéissante mal moriginée,1
mal moriginée aultres,1
moriginée aultres choses,1
aultres choses empes,1
choses empes chent,1
empes chent long,1
chent long temps,1
long temps cela,1
temps cela adveneu,1
cela adveneu audict,1
adveneu audict seigneur,1
audict seigneur lequel,1
seigneur lequel estant,1
lequel estant veneu,1
estant veneu ceste,1
veneu ceste succession,1
ceste succession trouvé,1
succession trouvé tant,1
trouvé tant debtes,1
tant debtes constituées,1
debtes constituées feuz,1
constituées feuz roys,1
feuz roys francois,1
roys francois henry,1
francois henry ayeul,1
henry ayeul pére,1
ayeul pére nécessitez,1
pére nécessitez guerre,1
nécessitez guerre quand,1
guerre quand employ,1
quand employ roit,1
employ roit tout,1
roit tout revenu,1
tout revenu dix,1
revenu dix ans,1
dix ans pourroit,1
ans pourroit estre,1
pourroit estre quitte,1
estre quitte peult,1
quitte peult dire,1
peult dire icy,1
dire icy combien,1
icy combien bon,1
combien bon sçeu,1
bon sçeu partout,1
sçeu partout plus,1
partout plus quarante,1
plus quarante trois,1
quarante trois millions,1
trois millions deuz,1
millions deuz dont,1
deuz dont courent,1
dont courent in,1
courent in térestz,1
in térestz pourroit,1
térestz pourroit dire,1
pourroit dire feu,1
dire feu roy,1
feu roy laissé,1
roy laissé paix,1
laissé paix bien,1
paix bien laquelle,1
bien laquelle peult,1
laquelle peult jouyr,1
peult jouyr mal,1
jouyr mal guerre,1
mal guerre amène,1
guerre amène meure,1
amène meure grande,1
meure grande multitude,1
grande multitude af,1
multitude af faires,1
af faires domesticques,1
faires domesticques oultre,1
domesticques oultre debtes,1
oultre debtes mangent,1
debtes mangent maison,1
mangent maison pensions,1
maison pensions gages,1
pensions gages deuz,1
gages deuz aulcuns,1
deuz aulcuns deux,1
aulcuns deux trois,1
deux trois quatre,1
trois quatre cinq,1
quatre cinq années,1
cinq années seigneurs,1
années seigneurs officiers,1
seigneurs officiers domesticques,1
officiers domesticques aultres,1
domesticques aultres trés,1
aultres trés grand,1
trés grand nombre,1
grand nombre ceste,1
nombre ceste dicte,1
ceste dicte compagnie,1
dicte compagnie peult,1
compagnie peult scavoir,1
peult scavoir sans,1
scavoir sans deu,1
sans deu gendarmerye,1
deu gendarmerye scauroit,1
gendarmerye scauroit estimer,1
scauroit estimer combien,1
estimer combien cela,1
combien cela peult,1
cela peult monter,1
peult monter sans,1
monter sans tant,1
sans tant aultres,1
tant aultres debtes,1
aultres debtes harangles,1
debtes harangles ticulières,1
harangles ticulières prestz,1
ticulières prestz aultrement,1
prestz aultrement fault,1
aultrement fault avoir,1
fault avoir quoy,1
avoir quoy satisfaire,1
quoy satisfaire tant,1
satisfaire tant loing,1
tant loing roy,1
loing roy acquitter,1
roy acquitter acreu,1
acquitter acreu subsides,1
acreu subsides daces,1
subsides daces aydes,1
daces aydes osté,1
aydes osté uns,1
osté uns dimi,1
uns dimi nué,1
dimi nué aultres,1
nué aultres laissé,1
aultres laissé lever,1
laissé lever cinquante,1
lever cinquante mille,1
cinquante mille hommes,1
mille hommes pied,1
hommes pied levoyent,1
pied levoyent plus,1
levoyent plus part,1
plus part villes,1
part villes royaume,1
villes royaume capitation,1
royaume capitation dangereuse,1
capitation dangereuse mutinement,1
dangereuse mutinement sédition,1
mutinement sédition aultres,1
sédition aultres imposition,1
