token_,count
aultres,26
roy,20
plus,18
ceste,14
faict,14
mal,13
sans,13
court,12
peult,11
comme,11
fault,10
harangues,9
justice,8
tout,8
faire,8
religion,8
royaume,7
tant,7
quand,7
bien,7
avoir,7
gens,7
aussi,7
seigneur,6
dict,6
venir,6
dire,6
ledict,6
debtes,6
temps,6
cela,6
estre,6
grande,6
où,6
chancelier,5
estat,5
icelle,5
conseil,5
cette,5
compagnie,5
laquelle,5
partie,5
bon,5
si,5
juges,5
non,5
dieu,5
cy,5
édict,5
contre,5
officierz,5
hospital,4
parlement,4
officiers,4
tel,4
usé,4
trois,4
choses,4
quant,4
roys,4
icy,4
dont,4
deux,4
nombre,4
uns,4
payer,4
ceulx,4
bons,4
meurs,4
corrompeuz,4
veu,4
com,4
prendre,4
eulx,4
séditions,4
plusieurs,4
parties,4
entre,3
conseiller,3
ladicte,3
bonne,3
part,3
ville,3
succession,3
feu,3
grands,3
affaires,3
adveneu,3
guerre,3
pourroit,3
combien,3
paix,3
maison,3
aulcuns,3
cinq,3
seigneurs,3
deu,3
quoy,3
villes,3
sédition,3
peuple,3
peu,3
tous,3
église,3
cause,3
leurs,3
veoyt,3
prie,3
avarice,3
pluspart,3
fort,3
con,3
payez,3
main,3
princes,3
vivre,3
facon,3
quelques,3
veult,3
armes,3
ainsi,3
opinion,3
désire,3
procéder,3
force,3
gouverneurs,3
honneur,3
mectre,3
ordre,3
parce,3
procès,3
chambre,3
remonstrances,2
monsieur,2
france,2
veneu,2
sieur,2
mm,2
estant,2
toutes,2
chambres,2
assemblées,2
ans,2
commandé,2
principale,2
universel,2
corps,2
couronne,2
trouvé,2
grandes,2
famille,2
lequel,2
henry,2
partout,2
deuz,2
laissé,2
multitude,2
af,2
domesticques,2
quatre,2
trés,2
grand,2
prestz,2
subsides,2
hommes,2
fallu,2
pays,2
charges,2
veoir,2
tost,2
bout,2
faulte,2
contrainct,2
raison,2
congnoissent,2
donner,2
fin,2
malice,2
regard,2
estatz,2
croyt,2
préluyre,2
désordre,2
peuvent,2
excuse,2
siége,2
jours,2
admoneste,2
celles,2
cent,2
an,2
seullement,2
assez,2
souloit,2
mestier,2
subjectz,2
estans,2
contens,2
mauvaise,2
mestre,2
aisé,2
doyt,2
coup,2
fust,2
celle,2
pape,2
devant,2
premier,2
voyant,2
tirer,2
herbes,2
laisser,2
souvent,2
malladies,2
causes,2
nent,2
exécutions,2
présent,2
chez,2
chose,2
anciens,2
esperit,2
haro,2
porte,2
prélatz,2
résidence,2
sou,2
nécessaire,2
per,2
provinces,2
telles,2
ré,2
doybt,2
trouver,2
puissance,2
appel,2
exemple,2
pendu,2
aulcun,2
advertissement,2
paris,2
ment,2
dignité,2
mieulx,2
facile,2
vienne,2
hors,2
quelz,2
quartier,2
céans,2
rapport,2
entendu,2
aisément,2
maintenant,2
disoit,2
celuy,2
pense,2
commandement,2
compte,2
donnez,2
encore,2
semblables,2
arrest,2
faisoit,2
conseillerz,2
suspicion,2
viennent,2
évocations,2
membres,2
autre,2
ties,2
vuider,2
procureurs,2
président,2
procés,2
cour,2
touchant,1
distribution,1
union,1
voyez,1
essai,1
vie,1
ouvrages,1
page,1
crrounv,1
avr,1
messire,1
michel,1
chevalier,1
suivy,1
avanson,1
privé,1
nicolas,1
dupré,1
guillaume,1
bertrand,1
arnoul,1
boucher,1
yven,1
rubay,1
maistres,1
requestes,1
ordinaires,1
hos,1
dudict,1
assis,1
envye,1
visiter,1
occasion,1
offerte,1
orront,1
concerne,1
sub,1
jectz,1
seconde,1
touche,1
capitalle,1
troisiesme,1
appartient,1
venu,1
ja,1
recueilli,1
père,1
embroullée,1
empeschée,1
ressemblé,1
héritier,1
appréhende,1
apparence,1
richesses,1
obéissante,1
moriginée,1
empes,1
chent,1
long,1
audict,1
constituées,1
feuz,1
francois,1
ayeul,1
pére,1
nécessitez,1
employ,1
roit,1
revenu,1
dix,1
quitte,1
sçeu,1
quarante,1
millions,1
courent,1
in,1
térestz,1
jouyr,1
amène,1
meure,1
faires,1
oultre,1
mangent,1
pensions,1
gages,1
années,1
dicte,1
scavoir,1
gendarmerye,1
scauroit,1
estimer,1
monter,1
harangles,1
ticulières,1
aultrement,1
satisfaire,1
loing,1
acquitter,1
acreu,1
daces,1
aydes,1
osté,1
dimi,1
nué,1
lever,1
cinquante,1
mille,1
pied,1
levoyent,1
capitation,1
dangereuse,1
mutinement,1
imposition,1
endroits,1
ra,1
baiz,1
tailles,1
abandonnoit,1
normandye,1
diminuent,1
reveneu,1
engendrez,1
plu,1
sieurs,1
malcontentemens,1
tisfaüctz,1
bienfaictz,1
accoustu,1
mez,1
cuydent,1
bourse,1
grosse,1
attribuent,1
adviser,1
retrenchement,1
scavent,1
sentent,1
injuriez,1
dit,1
ancien,1
vergongne,1
cecy,1
monstrer,1
bahir,1
joinct,1
cha,1
cun,1
harangufs,1
poste,1
er,1
reur,1
devroit,1
mauvais,1
exemples,1
noblesse,1
reteneus,1
payés,1
opprimer,1
payement,1
reculé,1
prennent,1
viollences,1
compaignye,1
principal,1
abbuz,1
subalternes,1
exempte,1
faultes,1
regarder,1
ambition,1
moindre,1
parvenir,1
grandz,1
honneurs,1
meslée,1
francs,1
gaing,1
perdre,1
mil,1
réputation,1
instruict,1
accoustumée,1
champs,1
simplicité,1
vicaires,1
parlent,1
dixmes,1
of,1
fraudes,1
rien,1
bonnes,1
moyen,1
desrober,1
science,1
el,1
craignans,1
harangifs,1
obéissans,1
magistratz,1
soldatz,1
meslez,1
parmy,1
querunt,1
res,1
novas,1
piller,1
riches,1
confusion,1
esbahir,1
remédier,1
promptement,1
rongné,1
dons,1
beaucoup,1
tenter,1
composé,1
créanciers,1
mence,1
gouverné,1
appétit,1
vouldroient,1
receue,1
chassée,1
remède,1
lieu,1
concile,1
acheminé,1
ordonné,1
accordé,1
espère,1
bientost,1
jusque,1
là,1
sayer,1
doulcement,1
cer,1
taine,1
vécu,1
mode,1
ancienne,1
francoys,1
second,1
cestui,1
erreurs,1
pulluloient,1
sarcler,1
bledz,1
néces,1
sare,1
mau,1
vaises,1
despuis,1
mesmes,1
annee,1
creu,1
multiplié,1
elles,1
surpassent,1
espys,1
tellement,1
bled,1
médecins,1
congnoistre,1
icelles,1
remédes,1
aigres,1
proficté,1
pren,1
doulz,1
chauldes,1
profictent,1
applicquent,1
froides,1
desdictz,1
portoit,1
fist,1
guérissoit,1
congnoissant,1
effect,1
vray,1
reméde,1
chercher,1
considérant,1
trouble,1
voi,1
sins,1
germanie,1
angleterre,1
escosse,1
obvier,1
dange,1
reuse,1
voyt,1
yssue,1
recouru,1
remedes,1
guarissent,1
homme,1
amende,1
honorable,1
prononce,1
motz,1
change,1
cceur,1
mue,1
oraisons,1
parole,1
persuadée,1
obstiné,1
erreur,1
licence,1
liberté,1
doibt,1
fermer,1
apres,1
rendre,1
bras,1
séculier,1
crient,1
crier,1
suyvissent,1
chemin,1
prouf,1
fiteroient,1
jus,1
ques,1
ainsy,1
vescu,1
vertu,1
indult,1
clément,1
cardinal,1
grantmont,1
apporta,1
fran,1
coys,1
commanca,1
question,1
zéle,1
admonester,1
debvoir,1
commancé,1
délibérer,1
advisera,1
remonstrer,1
adjouster,1
clarer,1
dyminuer,1
vouluntierz,1
enten,1
dra,1
changer,1
fera,1
concernent,1
biens,1
loisible,1
porter,1
mission,1
pourveu,1
mandé,1
ballifz,1
séneschaulx,1
ayans,1
sider,1
tenir,1
assistez,1
presvotz,1
mareschaulx,1
ceulz,1
feront,1
illicites,1
publicque,1
sommairement,1
estrange,1
telle,1
baillée,1
favoriser,1
prompt,1
camp,1
peur,1
séditieux,1
cens,1
prisonnierz,1
mener,1
espére,1
eschappe,1
ront,1
crime,1
aussitost,1
priz,1
flandres,1
italye,1
jugemens,1
criminelz,1
vouldroit,1
persuadast,1
feust,1
oppinion,1
sinon,1
longueur,1
craindre,1
moings,1
loy,1
temporelle,1
regardera,1
œil,1
pitié,1
icelluy,1
louenge,1
murailles,1
mérite,1
semblent,1
ménassent,1
campaigne,1
veoyent,1
purgé,1
besoing,1
sembler,1
rigoureux,1
pouvoit,1
transporter,1
ail,1
leurz,1
auroit,1
présidiaulx,1
importe,1
grandement,1
maramnglies,1
déliberé,1
insuffisans,1
baillez,1
coadjuteurs,1
officiaulx,1
saiges,1
paisibles,1
dispensez,1
sidence,1
suppression,1
offices,1
embrassé,1
passera,1
parolles,1
utilité,1
évidente,1
diminuer,1
mesme,1
honte,1
petit,1
creue,1
gaiges,1
finances,1
lagez,1
soldat,1
payé,1
fait,1
pis,1
beau,1
nécessité,1
officier,1
etla,1
particu,1
lier,1
toujours,1
bruit,1
fidelle,1
capitale,1
jaloux,1
fience,1
habitans,1
estait,1
crocheteurs,1
menuz,1
adveu,1
craint,1
sonnes,1
estranges,1
incongnués,1
vont,1
vien,1
forsbourgs,1
portans,1
advoués,1
semble,1
saigesse,1
omnia,1
tuta,1
timere,1
entendeu,1
mis,1
commance,1
achever,1
contineue,1
regarde,1
armez,1
hostes,1
déclarent,1
commissaires,1
quartenierz,1
mecte,1
chascung,1
bourgeoys,1
plustost,1
démourans,1
chascune,1
sepmaine,1
personnes,1
graves,1
autorisé,1
procéde,1
extraordinaire,1
lesdictz,1
missaires,1
jusques,1
suspendre,1
priver,1
face,1
chastellet,1
soyent,1
obéys,1
mectent,1
incontinent,1
requeste,1
présentée,1
tousjours,1
quelque,1
connivence,1
fois,1
échappé,1
gaste,1
oir,1
ains,1
mander,1
chastier,1
figure,1
pro,1
cès,1
continuer,1
basteries,1
faictes,1
gentilzhommes,1
familles,1
réglées,1
plaintes,1
rapporté,1
désunion,1
thoulouse,1
bordeaux,1
parlemens,1
bandes,1
gardé,1
prés,1
éclairée,1
soleil,1
factions,1
aydent,1
soucient,1
aprés,1
putains,1
vilaine,1
comparaison,1
solliciteurs,1
pouvoir,1
entretenir,1
réputa,1
tion,1
mayeurs,1
séant,1
ouir,1
excuses,1
amener,1
créa,1
ture,1
puisqu,1
demeuré,1
juge,1
particularités,1
rapportées,1
mai,1
sons,1
périssent,1
discorde,1
fleurissent,1
concorde,1
comment,1
pourront,1
appaiser,1
discordes,1
partys,1
accorder,1
entreprenoit,1
pacifier,1
aultruy,1
ordinaire,1
noise,1
femme,1
paiz,1
office,1
chrestiens,1
théâtre,1
mot,1
sitost,1
porté,1
salle,1
palais,1
ll,1
jour,1
publié,1
cents,1
lettres,1
missives,1
quelquefois,1
toutesfois,1
scait,1
avancon,1
archevesque,1
pices,1
estoient,1
haussées,1
parts,1
deffault,1
demy,1
escu,1
taxés,1
escuz,1
fréquence,1
partiz,1
enseigner,1
tient,1
notables,1
arrests,1
exemplis,1
sit,1
judicandum,1
fruict,1
garde,1
contrariété,1
estime,1
jugements,1
fier,1
trop,1
moins,1
touchoit,1
vérité,1
toute,1
inspire,1
plaist,1
difficultez,1
offrent,1
aller,1
enquérir,1
présidents,1
ciens,1
ores,1
excellents,1
perits,1
jeunes,1
ressort,1
parlements,1
cettuy,1
plaidant,1
veoyant,1
entrer,1
touchez,1
mesmement,1
procez,1
jugez,1
seiller,1
fondant,1
régler,1
parle,1
ici,1
oü,1
trouvent,1
déclare,1
sajet,1
vouloir,1
suivre,1
prédécesseur,1
olivier,1
faut,1
pareil,1
cas,1
évoquer,1
couseiller,1
relations,1
collègues,1
frappent,1
nuscrits,1
présente,1
sens,1
clair,1
mots,1
doute,1
omis,1
défigurés,1
copistes,1
facent,1
faille,1
demeurant,1
activité,1
abréviation,1
entend,1
avancer,1
rest,1
mandant,1
cacher,1
harlay,1
lors,1
incidents,1
voye,1
accourcir,1
contenter,1
après,1
perdu,1
contentoit,1
obstination,1
plaider,1
offre,1
plaisir,1
service,1
iv,1
b,1
époque,1
prononca,1
harangue,1
existait,1
lesquels,1
trouvaient,1
entrainaient,1
longs,1
débats,1
considérait,1
scan,1
dale,1
public,1
expliqua,1
franchement,1
réponse,1
disait,1
doivent,1
étre,1
jugés,1
privement,1
intra,1
parietes,1
domesticos,1
fallait,1
aigreur,1
priait,1
conduire,1
maniére,1
