token_,count
roy,41
plus,32
judges,31
aultres,30
harangues,27
bien,27
si,24
estre,23
comme,21
procez,21
faict,20
justice,17
roys,17
ceste,16
temps,16
dict,15
leurs,15
non,14
chose,13
aultre,13
partyes,13
fault,13
faire,12
quand,12
grand,11
céans,11
peult,11
avoir,11
tant,11
tout,11
encore,10
moy,10
eulx,10
entre,10
offices,10
sans,10
judge,10
elles,10
compaignie,9
premier,9
genz,9
celuy,9
ceulx,9
ez,9
chambres,9
tous,8
où,8
royaulme,8
ordonnances,8
deux,8
chambre,8
estes,8
mois,8
court,7
souvent,7
bons,7
affaires,7
dire,7
dont,7
plainctes,7
soyent,7
dient,7
mal,7
choses,7
présidens,7
lieu,6
jay,6
ans,6
aussy,6
dieu,6
fort,6
escript,6
faulte,6
moins,6
lettres,6
vostre,6
quelques,6
bon,6
petit,6
trois,6
puissance,6
doibt,6
bonne,6
office,6
grands,6
remonstrances,5
chancelier,5
parlement,5
jours,5
peu,5
honneur,5
estant,5
heure,5
sept,5
hommes,5
ainsy,5
néantmoins,5
aulcungs,5
conseil,5
contre,5
debvoir,5
ungs,5
veulent,5
suffisance,5
ores,5
faictes,5
assez,5
officiers,5
ordonnance,5
ordre,5
grande,5
quelque,5
vouloit,5
doibvent,5
différends,5
maison,5
aprez,5
ouy,5
cause,5
édictz,5
long,5
personne,4
toutesfois,4
seulement,4
mesmes,4
mieulx,4
parler,4
nul,4
jamais,4
combien,4
puis,4
chanceliers,4
grandes,4
ambition,4
cela,4
monde,4
bonté,4
depuis,4
puisque,4
lesdicts,4
nombre,4
diligence,4
avant,4
profict,4
chascung,4
mesme,4
maintenant,4
pensez,4
vertu,4
publicques,4
contraire,4
appel,4
religion,4
président,4
enfans,4
trop,4
diligens,4
telz,4
toutes,4
expédition,4
devant,4
garder,4
estoient,4
mères,4
afin,3
parleray,3
celles,3
propoz,3
aulcune,3
mot,3
accord,3
dignité,3
requises,3
cest,3
plusieurs,3
ni,3
service,3
public,3
servir,3
desire,3
charge,3
feust,3
princes,3
judgeoient,3
dicts,3
veulx,3
cy,3
retenir,3
absens,3
com,3
jour,3
partye,3
rien,3
tort,3
seigneurs,3
icy,3
témoings,3
besoing,3
cognoissent,3
pouvoir,3
lequel,3
sil,3
homme,3
donne,3
passé,3
élection,3
nommez,3
veoit,3
après,3
faicte,3
attendre,3
pays,3
authorité,3
penser,3
appeler,3
donné,3
estatz,3
prédécesseurs,3
ordonné,3
baillifs,3
séneschaulx,3
scayt,3
édict,3
prie,3
mandé,3
tousjours,3
corps,3
appartient,3
haine,3
gardent,3
con,3
négligence,3
servy,3
laquelle,3
demandent,3
toute,3
général,3
enquestes,3
loyx,3
gouverneurs,3
commissions,3
lesdictes,3
judger,3
douze,3
cinq,3
dernier,3
particulier,3
provision,3
cents,3
aulcung,2
veoir,2
ensemble,2
visitation,2
establie,2
poinct,2
reprendre,2
conférence,2
recognoistre,2
sens,2
b,2
faultes,2
possible,2
pense,2
aage,2
lorsque,2
excellent,2
prez,2
peines,2
malheureux,2
disoit,2
lever,2
suit,2
venoient,2
ose,2
plaisir,2
personnes,2
guéres,2
adveneu,2
anciennement,2
vices,2
estimation,2
dlesdicts,2
intelligence,2
mercuriale,2
fais,2
conseiller,2
volonté,2
envers,2
viennent,2
oreilles,2
seigneur,2
pré,2
touché,2
église,2
réponds,2
régne,2
conseils,2
guerres,2
toucher,2
judgement,2
facon,2
esprits,2
délicats,2
courts,2
punir,2
juges,2
inférieurs,2
judgent,2
plainct,2
droict,2
tel,2
vir,2
bonus,2
vient,2
excusez,2
judicature,2
requise,2
paroist,2
fist,2
diligent,2
garde,2
ordon,2
nances,2
lieux,2
mœurs,2
parle,2
aultruy,2
bailler,2
inquisition,2
beaucoup,2
passer,2
blasment,2
pratiques,2
telles,2
laisser,2
quil,2
majesté,2
faveur,2
faisant,2
voilà,2
quant,2
rendre,2
compte,2
judgemens,2
évocations,2
récusa,2
tions,2
ennemy,2
duquel,2
athéniens,2
anciens,2
grecs,2
arrest,2
oultre,2
vouleu,2
quoy,2
po,2
puisse,2
feurent,2
chevaliers,2
sénat,2
pourveu,2
réformations,2
philippe,2
louys,2
ayt,2
vingt,2
réputation,2
personnaiges,2
longue,2
main,2
fasse,2
rendent,2
parce,2
présens,2
amytié,2
entends,2
commune,2
différend,2
demande,2
ment,2
pensent,2
palais,2
scavent,2
liberté,2
plaidoyer,2
plaincte,2
croire,2
piéces,2
remonstré,2
partant,2
eschange,2
reste,2
cognoistre,2
cog,2
supplie,2
petits,2
trompez,2
déclaré,2
perdeue,2
jus,2
sit,2
res,2
judicatarum,2
entend,2
veu,2
demander,2
heures,2
vieulx,2
cher,2
contrainct,2
ex,2
demeure,2
bureau,2
laissé,2
mémoire,2
parties,2
patentes,2
touche,2
pauvres,2
pro,2
scays,2
assembler,2
receues,2
délibérées,2
longueur,2
beau,2
ladicte,2
ouyes,2
expé,2
causes,2
concernant,2
églises,2
nostre,2
excuse,2
auxdicts,2
jusques,2
avarice,2
nobles,2
recommande,2
timides,2
craintif,2
advisera,2
contenter,2
in,2
utile,2
publication,2
observation,2
distribuer,2
judgeoit,2
administrer,2
scavoient,2
juge,2
parlé,2
force,2
ré,2
envoyé,2
récusations,2
advisé,2
entendeu,2
pères,2
partout,2
ya,2
suppression,2
six,2
derniére,2
cependant,2
fraude,2
discipline,2
mercuriales,2
distribution,2
renvoyé,2
défaults,2
procureurs,2
devers,2
lieutenant,2
huguenot,2
escus,2
offre,2
hospital,1
juillet,1
pe,1
rs,1
veoye,1
esprit,1
bénévolement,1
prends,1
playsir,1
usé,1
partie,1
agréable,1
fructueuse,1
appartiennent,1
scaurois,1
prin,1
cipale,1
souveraine,1
intention,1
arguer,1
noller,1
cognoissant,1
matière,1
familiére,1
fraternelle,1
francais,1
erreur,1
opiste,1
indique,1
mer,1
norrcir,1
commun,1
remédier,1
meo,1
jure,1
passant,1
presque,1
feus,1
esleu,1
attribue,1
donna,1
souvenance,1
absent,1
cours,1
fin,1
vins,1
estat,1
trouble,1
turbulent,1
repoz,1
durant,1
encoureu,1
inimitiez,1
chargées,1
rechargées,1
refusées,1
doibs,1
exemple,1
enseignement,1
postérité,1
desirer,1
hault,1
prince,1
parlant,1
diadesme,1
appeloit,1
drapeau,1
scauroit,1
maulx,1
miséres,1
cachés,1
sous,1
iceluy,1
daigneroit,1
terre,1
quiconque,1
travail,1
malheur,1
séyoient,1
séparés,1
tenir,1
prés,1
permiz,1
éloignassent,1
digne,1
