token_,count
réformation justice,81
aujourd huy,24
gens bien,24
leurs charges,17
comme dict,17
non seulement,16
homme bien,16
plus grand,13
tout chascung,11
cy dessus,11
plus grande,11
toutes choses,10
tous jours,10
toutes sortes,10
long temps,9
tous aultres,9
bien souvent,9
entre mains,9
tout ainsy,8
eulx mesmes,8
cy devant,8
bien faire,8
tous ceulx,8
reformation justice,7
justice si,7
plus grands,7
tout mesme,7
comme aussy,7
toutes aultres,7
plus tost,7
ez courts,7
entre aultres,7
argent présens,7
offices judicature,6
leurs simples,6
dict ailleurs,6
justice police,6
aultre chose,6
longueur procez,6
pauvre peuple,6
bon roy,6
toutes parts,6
fort propos,6
justice sans,6
vray honneur,6
grandes charges,6
aul tre,6
sainct loys,6
quelque aultre,6
réformation justicf,6
courts soubveraines,6
soubs nom,6
prix argent,5
expé rience,5
leurs vacations,5
simples gaiges,5
toute rigueur,5
ordonnances royaulme,5
jourd huy,5
droict romain,5
faire justice,5
plusieurs aultres,5
ungs aultres,5
piété justice,5
tout monde,5
fault advouer,5
fault bien,5
fort bien,5
plus avant,5
peu temps,5
aristote dict,5
leurs offices,5
plu sieurs,5
grands personnaiges,5
aultres choses,5
encores moins,5
chose publicque,5
plus plus,5
bon ordre,5
sans aultre,5
cest estat,5
mesme temps,5
troubler repos,5
foy publicque,5
faire tort,5
cinq ans,5
ministres justice,5
multitude longueur,5
tant plus,5
pré sens,5
bien plus,5
loyx ordonnances,4
mal faire,4
selon leurs,4
tous estats,4
temps là,4
quelque chose,4
petit nombre,4
grand homme,4
sans exception,4
bien certain,4
debvoir discipline,4
aultres gens,4
prince soubverain,4
plus gens,4
soy mesme,4
toute vie,4
leurs affaires,4
tout puissant,4
ceulx là,4
pro vinces,4
parmy peuple,4
jamais guéres,4
leurs mains,4
inéd traite,4
aussy fault,4
avoir esgard,4
parce poinct,4
partyes casuelles,4
of fices,4
ceste qualité,4
deux choses,4
peult dire,4
bien mal,4
doibt estre,4
fault croire,4
inéd traité,4
sans avoir,4
per sonne,4
rendre justice,4
feust jamais,4
jeunes gens,4
dict cy,4
ainsy soyt,4
bien public,4
jamais plus,4
plus grandes,4
bon judge,4
grand personnaige,4
cest office,4
ez provinces,4
zèle justice,4
rien plus,4
faire hayr,4
dis donc,4
chose quelconque,4
judges leurs,4
gaiges appoinctemens,4
dudict procez,4
bonne opinion,4
afin avoir,4
grands présens,4
advocats procureurs,4
bonnes loyx,3
bons magistrats,3
soubs bon,3
leurs qualitez,3
tout aultre,3
deux poincts,3
aultre but,3
si long,3
tout faict,3
si elles,3
comme disoit,3
faire comme,3
justice plus,3
ordon nances,3
comme appartient,3
fault plus,3
cest effect,3
justice tous,3
tous princes,3
craignant dieu,3
chas cung,3
tant seulement,3
si magistrat,3
vices meschancetez,3
devant eulx,3
contre eulx,3
scays bien,3
grand nombre,3
roy josaphat,3
quelques aultres,3
tout temps,3
faict mesme,3
mains nettes,3
si peu,3
jeunes barbes,3
faire plus,3
jeune homme,3
toute aultre,3
cela bon,3
charges dignitez,3
tout partout,3
vrays loyers,3
po lice,3
gaing profict,3
faict mention,3
quelle raison,3
poinct argent,3
entre tous,3
cela cause,3
leurs livres,3
ez charges,3
charges publicques,3
com paignies,3
fault faire,3
affaires monde,3
in dustrie,3
ceulx veulent,3
après avoir,3
cette époque,3
fault jamais,3
celle cy,3
dire vérité,3
af faires,3
gou verneurs,3
bon maulvais,3
plus adroicts,3
tout secret,3
tout estat,3
aultres qualitez,3
bon prince,3
soing particulier,3
toutesfois quantes,3
sans acception,3
jamais faire,3
gran deur,3
estre judges,3
fault avoir,3
force vertu,3
haisne envie,3
rien monde,3
leurs parens,3
leurs amys,3
bien veneus,3
prendre aulcung,3
aulcung présent,3
laquelle dieu,3
feit response,3
bon escient,3
seule vertu,3
an rome,3
ri chesses,3
ans mois,3
mois jours,3
richesses noblesse,3
cor ruption,3
jamais veu,3
roy sainct,3
quelque homme,3
deux grandes,3
ez dignitez,3
veulx bien,3
trente ans,3
plusieurs grands,3
faire sans,3
si librement,3
soubs faveur,3
partir là,3
elles estoient,3
puis aprés,3
loys xii,3
aage trente,3
ans tout,3
bonnes mœurs,3
fort nécessaire,3
judge soubverain,3
judges soubverains,3
belle chose,3
puisqu ainsy,3
si grande,3
grande honte,3
fois plus,3
oultre cela,3
justice aussy,3
of fice,3
aussy bien,3
judge tout,3
doibvent estre,3
tout plus,3
conseil ler,3
tout coup,3
villes royaulme,3
bien choisir,3
prin cipallement,3
sans nul,3
nul excepter,3
si quelque,3
avoir faict,3
leurs partyes,3
ceste charge,3
judges tant,3
pren dre,3
rien obmettre,3
soulai gement,3
vénalité offices,3
nostre nation,3
néces saire,3
vostre argent,3
peuple lequel,3
apres avoir,3
exercice leurs,3
peulvent estre,3
tous subjects,3
aultres sortes,3
soubs quelque,3
quelque prétexte,3
espices aultres,3
présens tant,3
comme aujourd,3
rappor teur,3
elles ayent,3
partyes faire,3
pro cez,3
grande vertu,3
trois jours,3
ceulx cy,3
non sans,3
sortes corruption,3
loy dieu,3
peine vie,3
vie prendre,3
mange présens,3
toutes deux,3
contre vérité,3
provinces lointaines,3
tout court,3
ceste sorte,3
homme riche,3
différends partyes,3
pu blic,3
deux charges,3
premier lieu,2
lieu faire,2
faire choix,2
distribution justice,2
