token_,count
réformation justice,49
homme bien,13
non seulement,11
bien souvent,10
gens bien,10
piété justice,9
plus grands,8
plus grand,8
entre mains,7
leurs subjects,7
justice divine,7
toutes choses,6
si grand,6
eulx mesmes,6
aprés avoir,6
cest homme,6
deux filles,6
princes soubverains,5
bien plus,5
bien mal,5
tous ceulx,5
faire injustice,5
peu temps,5
tant plus,5
toutes sortes,5
cy dessus,4
avoir plus,4
devant yeulx,4
faire justice,4
jeune prince,4
tout cela,4
rendre justice,4
long temps,4
vray dieu,4
impiétés injustices,4
ville hiérusalem,4
tout puissant,4
avoir faict,4
ceulx dont,4
trois cent,4
plus souvent,4
craignant dieu,4
aultre part,4
tost tard,4
faire quelque,4
tout faict,4
tant fault,4
leurs maistres,4
deux jeunes,4
jeunes hommes,4
tous aultres,4
comme dict,4
tite live,4
comme faict,4
leurs biens,4
rien si,4
encore moins,4
faict justice,4
meneu peuple,4
aujourd huy,4
beaucoup plus,4
faveur judges,4
craincte dieu,3
tousjours devant,3
si jamais,3
histoire sacrée,3
tous princes,3
servyce vray,3
dix lignées,3
poinct aultre,3
peuple mutiné,3
dieu créateur,3
jus ques,3
gouver nement,3
faict comme,3
cause peuple,3
soixante ans,3
debvoir bon,3
bon roy,3
toutes villes,3
cent soixante,3
dix ans,3
jamais bien,3
sans aultre,3
fault croire,3
bien faire,3
aultre chose,3
quelque chose,3
leurs charges,3
faire raison,3
res publicque,3
grand empire,3
tout ainsy,3
reformation justice,3
porte justice,3
lieu faire,3
aller devant,3
faict quelque,3
beaucoup mieulx,3
soubs joug,3
fault garder,3
soubs prétexte,3
celuy là,3
concus sions,3
grand homme,3
miséricorde justice,3
mille livres,3
an mil,3
bonnes gens,3
port faveur,3
bien feust,3
tout sénat,3
sénat noblesse,3
grands princes,3
faire bien,3
plus homme,3
sublime vertu,3
contre court,3
chose contre,3
pauvre peuple,3
gens roy,3
traite réformation,2
empire romain,2
justice laquelle,2
roys princes,2
officiers magistrats,2
plus grande,2
vio lence,2
faire vivre,2
loyx ordonnances,2
prince soubverain,2
grand judge,2
vie honneur,2
tous leurs,2
jamais prince,2
estre bien,2
saiges mondains,2
si agréable,2
bon zèle,2
zèle envers,2
envers peuple,2
jamais rien,2
équité justice,2
feurent depuis,2
costé si,2
tout peuple,2
ri chesses,2
toute terre,2
feust mémoire,2
tant faict,2
duquel receu,2
ire dieu,2
tomba teste,2
feit plus,2
plus mal,2
super intendant,2
finances homme,2
justice toutes,2
auroit poinct,2
grand père,2
entre aultres,2
moins si,2
faire comme,2
faict injustice,2
faulx dieux,2
princes doibvent,2
vraye religion,2
fai sant,2
bon juste,2
grand puissant,2
contre lequel,2
an nées,2
peu exceptez,2
toute piété,2
leurs peuples,2
petit fils,2
justice plus,2
estoient encore,2
tout partout,2
toutes considérations,2
vouloit faire,2
pur servyce,2
dieu ainsy,2
tout premier,2
quand question,2
ans auparavant,2
dieu tout,2
tout royaulme,2
justice toute,2
considérable pendant,2
trente ans,2
ans dieu,2
dieu bien,2
roy bien,2
ains eulx,2
soixante dix,2
souvent ceulx,2
deux trois,2
jamais sans,2
envers hommes,2
deux vertus,2
faire tort,2
biens vie,2
homme juste,2
aimer prochain,2
soy mesme,2
envers ceste,2
second livre,2
sans cause,2
estats monde,2
honneur dieu,2
dieu réformation,2
tous premiers,2
justice dire,2
dieu hommes,2
faict debvoir,2
bon prince,2
orgueil présomption,2
pou voir,2
bien honneur,2
oppressions violences,2
renverse tout,2
fault poinct,2
in justice,2
tout aussy,2
aussy tost,2
apres faict,2
faict tant,2
si longuement,2
fort propos,2
adminis tration,2
bien proches,2
grands estats,2
mé moire,2
bonne part,2
part si,2
grands monde,2
plus lieu,2
comme veoit,2
quelques années,2
feust jamais,2
deux partyes,2
bien propos,2
faire veoir,2
celle là,2
tous hommes,2
chose estrange,2
genre humain,2
tout univers,2
grande apparence,2
vaillant personne,2
rien moins,2
cela parce,2
né cessaire,2
non plus,2
tant peu,2
cour traité,2
in justices,2
jamais faire,2
plus tost,2
tirer raison,2
raison quand,2
quand bien,2
quand quand,2
injustice receue,2
justice fermée,2
mille fois,2
grand alexandre,2
outraige vilainie,2
per sonne,2
honneur faict,2
justice roy,2
jeune gentilhomme,2
ennemy mortel,2
dés lors,2
aultre ment,2
chemin vers,2
vont après,2
quelques jours,2
amys comme,2
plaincte éphores,2
auroit plus,2
plus justice,2
grand cas,2
sépulture deux,2
devant bataille,2
desny justice,2
bien estre,2
ans après,2
leurs ambassadeurs,2
bien pis,2
tost après,2
devant dieu,2
dieu devant,2
hommes avoir,2
droict genz,2
demander justice,2
sous tenir,2
