token_,count
réformation justice,28
tout ainsy,7
eulx mesmes,7
soy mesme,7
entre eulx,6
plus grand,6
gens bien,6
non seulement,5
bien faire,5
homme bien,5
plus grande,5
non plus,4
peult estre,4
bien estre,4
toutes sortes,4
peu temps,4
tout monde,4
plusieurs aultres,4
leurs subjects,4
tous ceulx,4
plus grands,4
justice divine,3
tout homme,3
nul aultre,3
bonne vie,3
tous jours,3
tout ensemble,3
rien plus,3
entre mains,3
toutes choses,3
rien si,3
quand bien,3
justice tant,3
grands princes,3
ceste cy,3
toutes aultres,3
faire tort,3
sans faire,3
veoit poinct,3
aujourd huy,3
mille mille,3
justice faict,3
force violence,3
bien souvent,3
thrésorier général,3
chose publicque,3
tant plus,3
traite réformation,2
bon hésiode,2
mieulx tout,2
tout aultre,2
faire veoir,2
quelle estime,2
grand dommaige,2
dommaige honte,2
honte confu,2
confu sion,2
propos dict,2
vérité tout,2
poinct justice,2
justice poinct,2
faict veoir,2
dieu tout,2
content sien,2
faire injustice,2
plus grandes,2
grandes cités,2
vérité quand,2
juste auroit,2
auroit aultre,2
ceste différence,2
celle cy,2
homme peult,2
peult bien,2
estre juste,2
mesme moyen,2
aussy homme,2
homme injuste,2
tous vices,2
donc sans,2
sans cause,2
justice véritablement,2
injustice armée,2
tout cela,2
cela parce,2
fort élégamment,2
républic ques,2
estre durée,2
forme justice,2
amour eulx,2
bes tiale,2
cela faict,2
faict compaignons,2
traité bien,2
justice celle,2
plus tost,2
ainsy justice,2
justice oi,2
loyx hommes,2
corps humain,2
ez provinces,2
fault nécessairement,2
telle sorte,2
oppres sions,2
apparence vertu,2
jud gement,2
concus sion,2
bien peu,2
fault croire,2
toutes vertus,2
peu jours,2
paix amour,2
dieu justice,2
bonne justice,2
ceste vertu,2
faire proficter,2
considérer dieu,2
dict plus,2
grand bien,2
grands monde,2
rien quoy,2
non toutesfois,2
soubs prétexte,2
moy dis,2
cet argument,2
bien grand,2
justice bien,2
satellites injustice,2
fort proprement,2
rude si,2
autant justice,2
ceulx veulent,2
vérité raison,2
aultres vertus,2
faict tort,2
tort personne,2
estre supportez,2
dieu hommes,2
trav jours,2
dict fort,2
bien aultruy,2
encore plus,2
bien plus,2
flatteurs courtisans,2
quand quand,2
com plaire,2
tant monde,2
mesme comme,2
comme ordinairement,2
leurs charges,2
soing veoir,2
grand homme,2
entre aultres,2
force justice,2
prennent garde,2
tout faict,2
puis sance,2
poinct plus,2
fault prendre,2
disposer plaisir,2
ceulx cy,2
jamais rien,2
dict cicéron,2
long temps,2
eulx comme,2
fault donc,2
faire estat,2
estat force,2
grand petit,2
main tenir,2
unies ensemble,2
tous aultres,2
estoient ordinairement,2
sans comprendre,2
deux trois,2
non faulte,2
comme veoyons,2
si elles,2
comme dict,2
garde si,2
justice ceste,2
là si,2
propres subjects,2
aultre chose,2
contre mesme,2
roy mesure,2
justice comme,2
quelque bonne,2
plus dangereux,2
glaive justice,2
aultre costé,2
quoy consiste,2
troubles guerres,2
face terre,2
fois plus,2
grande celle,2
vraye générosité,2
vray honneur,2
charge thrésorier,2
descouvrit entiérement,2
homme prudent,2
mains nettes,2
faict semblant,2
première fois,2
bon mesnaige,2
cest office,2
aupara vant,2
tous brigands,2
ceulx suyvoient,2
clercs commis,2
admi rable,2
sans estre,2
président indes,2
vices roys,2
vouloient faire,2
vice roy,2
grands seigneurs,2
ample pouvoir,2
leurs affaires,2
si grand,2
gens guerre,2
faict faire,2
leurs biens,2
leurs vies,2
jeune dame,2
mestre lict,2
mary parmy,2
parmy prisonniers,2
justice seconde,1
seconde partie,1
partie sommaire,1
sommaire cette,1
cette partie,1
partie manque,1
manque manuscrits,1
manuscrits bibliothèque,1
bibliothèque roi,1
roi bon,1
hésiode poëte,1
poëte grec,1
grec vivoit,1
vivoit temps,1
temps saul,1
saul premier,1
premier roy,1
roy hesbreux,1
hesbreux sem,1
sem ble,1
ble divins,1
divins escripts,1
escripts avoir,1
avoir puisé,1
puisé pré,1
pré ceptes,1
ceptes vives,1
vives sources,1
sources livres,1
livres sacrez,1
sacrez mieulx,1
aultre qualité,1
qualité repré,1
repré senté,1
senté bien,1
bien mal,1
mal justice,1
justice injustice,1
injustice beaulx,1
beaulx vers,1
vers bien,1
bien vouleu,1
vouleu tra,1
tra duire,1
duire nostre,1
nostre langue,1
langue faire,1
veoir quelle,1
estime quel,1
quel rang,1
rang quel,1
quel respect,1
respect pauvre,1
pauvre payen,1
payen esclairé,1
esclairé possible,1
possible seule,1
seule lu,1
lu mière,1
mière nature,1
nature tenoit,1
tenoit justice,1
justice estonne,1
estonne comme,1
comme ceulx,1
ceulx disent,1
disent chrestiens,1
chrestiens consé,1
consé quemment,1
quemment debvroient,1
debvroient trembler,1
trembler daus,1
daus appréhen,1
appréhen sion,1
