token_,count
réformation justice,85
gens bien,21
toutes sortes,20
plus grands,20
aujourd huy,20
tous ceulx,17
plus grand,16
non seulement,15
grand nombre,15
temps là,13
comme dict,12
long temps,11
si grand,11
plus grandes,11
tant plus,11
cy dessus,10
entre eulx,10
si grande,10
homme bien,9
tous aultres,9
an mil,9
entre mains,9
toutes choses,9
aprés avoir,9
offices judicature,9
piété justice,8
tout ainsy,8
bien faire,8
leurs subjects,8
peu peu,8
leurs charges,8
ceste espicerie,8
bon droict,7
rendre justice,7
là où,7
toutes parts,7
bien plus,7
tout faict,7
justice france,6
comme aussy,6
tous jours,6
sou vent,6
si bon,6
quelque chose,6
toutes nations,6
rien plus,6
leurs cliens,6
judges aultres,6
fois plus,6
grands personnaiges,6
leurs offices,6
ceulx estoient,6
vénalité offices,6
faire veoir,5
reformation justice,5
craincte dieu,5
bien vray,5
bon sens,5
jeunes gens,5
aultre but,5
plus meschans,5
meschans hommes,5
per sonne,5
bonne fortune,5
cest homme,5
grand empire,5
entre aultres,5
aultre chose,5
justice plus,5
fault bien,5
tout temps,5
grandes dignitez,5
bel ordre,5
gens guerre,5
raison parce,5
dict cy,5
justice peuple,5
peult estre,5
néant moins,4
justice bien,4
bien public,4
chose fort,4
tant peult,4
tout chascung,4
force argent,4
soubs ombre,4
si hault,4
non plus,4
fault donc,4
ceste grande,4
succession temps,4
aultre costé,4
bon ordre,4
si bien,4
mil trois,4
trois cent,4
mesme court,4
em pire,4
quatre vingt,4
mil quatre,4
quatre cent,4
encore plus,4
homme bon,4
plus beau,4
empire romain,4
volon tairement,4
tous estats,4
charges publicques,4
tout monde,4
ceste charge,4
soubs faveur,4
sé nat,4
plus offrant,4
bien souvent,4
procez différends,4
leurs procez,4
em pereur,4
faire justice,4
pro cez,4
bon prince,4
longueur procez,4
plus grande,4
justice néantmoins,4
ceste sorte,4
deniers comptans,4
ministres justice,4
ungs aultres,4
ad vocats,4
si peu,4
ceulx judicature,4
vente offices,4
mar chandise,4
com mencement,4
si avant,4
vé nalité,4
grandes charges,4
charges dignitez,4
honneurs dignitez,4
sans reproche,4
bien honneur,4
monde plus,4
comme ainsy,4
cestuy cy,4
commen cement,4
beaucoup plus,4
deux trois,4
ceste vénalité,4
leurs amys,4
faire court,4
bonnes mœurs,4
petit petit,4
siéges justice,4
maul vaise,4
chose tant,4
ceste robbe,4
ceste qualité,4
loys xii,4
laquelle comme,3
biens vie,3
peult dire,3
bon empereur,3
cest adviz,3
soy mesme,3
aultres officiers,3
pauvre partye,3
justice cause,3
plus proches,3
sortes in,3
bien sou,3
justice aultre,3
voilà comme,3
tout mesme,3
bien dire,3
ceste saincte,3
aultre plus,3
porte ouverte,3
si fort,3
tant faire,3
ancienne intégrité,3
subal ternes,3
plu sieurs,3
si bonne,3
bonne justice,3
toutes gaules,3
cents ans,3
estat soubs,3
belle discipline,3
justice police,3
aultres peuples,3
aulcune difficulté,3
cent vingt,3
court comme,3
cent quatre,3
vingt dix,3
mille livres,3
nostre histoire,3
ver tus,3
toutes aultres,3
sortes vices,3
mesmes causes,3
loyx justice,3
distribution justice,3
vices corruptions,3
leurs armes,3
magistrats plus,3
seu lement,3
comme si,3
ez plus,3
pu blic,3
si juste,3
tout vénal,3
public comme,3
fina blement,3
bon sembloit,3
honneurs respublicque,3
tout loisir,3
mesme temps,3
maintes fois,3
plein sé,3
hault clair,3
deux hommes,3
peuple romain,3
comme vray,3
donc bien,3
comme dirons,3
après avoir,3
non seu,3
aujour huy,3
tout cela,3
soubs nom,3
tant seulement,3
cest ordre,3
cela faict,3
sordide illibéral,3
temps philippe,3
tous ans,3
peu procez,3
ville paris,3
parlement paris,3
temps ceste,3
maulvaise cause,3
petit nombre,3
devant judges,3
bon roy,3
charge partyes,3
grands seigneurs,3
immortaliser procez,3
partye adverse,3
beaulx deniers,3
si mal,3
bien croire,3
veoir fin,3
chose si,3
estre teneus,3
propos faire,3
pauvre peuple,3
faire leurs,3
dict passant,3
princes soubverains,3
cent fois,3
laps temps,3
dés lors,3
ceste vacation,3
cest effect,3
gran dement,3
of fices,3
ceulx auroient,3
tous gens,3
maulvaise chose,3
intérest particulier,3
bien certain,3
mul titude,3
ambition avarice,3
louables qualitez,3
faire amas,3
veoire bien,3
grand honneur,3
aultres plus,3
dadvan taige,3
manière vivre,3
honneur non,3
loyer récompense,3
vie sans,3
bon judge,3
sans faire,3
fin compte,3
charges militaires,3
in foro,3
justice rendeue,3
leurs mains,3
descript histoire,3
nam ubi,3
cela peult,3
gouverne mens,3
si bel,3
tout empire,3
person naiges,3
puisse estre,3
fort peu,3
public ques,3
vingt deux,3
justice raison,3
beaulx esprits,3
vengeance divine,3
cest empereur,3
quatorze ans,3
gens néant,3
cinq ans,3
aultres ministres,3
lieu iceulx,3
soubs telz,3
telz gouvernemens,3
offices estoient,3
estoient si,3
bon dieu,3
grand mal,3
respu blicque,3
empereur justinian,3
in justice,3
hommes plus,3
prince soubverain,3
tost tard,3
rien tant,3
ned traité,3
gens peu,3
places fortes,3
tout honneur,3
plus saiges,3
cer tain,3
peu loyx,3
toute injustice,3
aultre rien,3
judica ture,3
sens naturel,3
aultres nations,3
briefve justice,3
plus fameux,3
soubs prétexte,3
trois jours,3
toutes fois,3
ceste loy,3
tant petite,3
ceste mesme,3
dict fort,3
comme bien,3
judges officiers,3
multitude officiers,3
si non,3
ceste forme,3
sans gaiges,3
mille esceus,3
toute extresmité,3
gaing cause,3
espices esmolumens,3
sous régne,3
vin espices,3
prix offices,3
traité réformation,2
comme plus,2
grand plaisir,2
dire peu,2
public aultres,2
duquel parlé,2
parlé cy,2
tout long,2
justice feust,2
tant trouve,2
hu main,2
grace faveur,2
prince plus,2
face terre,2
prendre plaisir,2
nostre charité,2
comme estoient,2
quelques fois,2
bien paisible,2
quelque bonne,2
bien mal,2
mal faict,2
faict justice,2
droict justice,2
estre fort,2
plus beaucoup,2
beaucoup aultres,2
vefve orphelin,2
po lice,2
justice divine,2
exem ple,2
injustices impiétés,2
temps auparavant,2
eulx leurs,2
leurs familles,2
grande saison,2
parler plus,2
termes si,2
comme faict,2
passer plus,2
tout puissant,2
refuse tout,2
sunt dict,2
jus ques,2
tous malheurs,2
sans doubte,2
parce crois,2
jusques bout,2
dieu non,2
moy si,2
sans envie,2
va nité,2
sans passion,2
si corrompeu,2
longue fascheuse,2
fascheuse maladie,2
avant toute,2
toute chose,2
curieusement origine,2
quel estat,2
fort propos,2
nombre excessif,2
dire pré,2
entre grands,2
grands puissans,2
estoient veneus,2
grand seigneur,2
quel feust,2
partout où,2
aultres vertus,2
bien estat,2
soubs gouvernement,2
plus belle,2
tant vigueur,2
vigueur force,2
poinct si,2
deux cent,2
cent quarante,2
roy france,2
empereur feit,2
judgement ladicte,2
comte namur,2
arrest donné,2
ladicte court,2
prince tarente,2
duc bourgongne,2
soubmirent judgement,2
court différend,2
cent trois,2
gentils hommes,2
quelques ungs,2
plus bien,2
vray fault,2
fault advouer,2
soixante ans,2
tort droict,2
honneur acquiert,2
infame trafic,2
deux choses,2
bien feust,2
tant fault,2
bons judges,2
graces dieu,2
encore bon,2
ordinai rement,2
mal comme,2
plus nobles,2
nobles partyes,2
si veult,2
veneu grand,2
fort aisé,2
maxime estat,2
estat plus,2
tousjours mesme,2
mesmes effects,2
tout homme,2
puissant plus,2
florissant armes,2
armes loyx,2
nul aultre,2
discipline tant,2
exacte distribution,2
sans connivence,2
forte discipline,2
soubs joug,2
laquelle moins,2
comme vérifié,2
depuis lieu,2
com menca,2
gouvernemens magistrats,2
mises entre,2
sottise nyaiserie,2
faveur public,2
pau vreté,2
jeunesse laquelle,2
estoient imputées,2
faire tort,2
importantes charges,2
toutes facons,2
pou voir,2
cor ruptions,2
conscience judges,2
judges regard,2
somme tout,2
in pretio,2
grand désordre,2
argent feurent,2
comme monstré,2
toutes plus,2
pou voit,2
ceulx pouvoient,2
faire tout,2
tout bon,2
puis sant,2
grands honneurs,2
grand puissant,2
plus riches,2
hommes bons,2
ville rome,2
aultre mal,2
mesme tomber,2
grand homme,2
propre ment,2
ment estre,2
plusieurs beaulx,2
pendant magistrat,2
leurs propres,2
propres mains,2
lesquelz estoient,2
chose publicque,2
avoir bien,2
plus tost,2
aul tre,2
malheur vouleut,2
sans pouvoir,2
faveur laquelle,2
poinct remis,2
mai sons,2
vérité justice,2
bien raison,2
eulx enfin,2
compai gnon,2
res publicque,2
soubs loyx,2
vente encan,2
beaulx niers,2
niers comptans,2
soubs puissance,2
puis aprés,2
six ans,2
plus heureux,2
genre humain,2
faict comme,2
pluspart entre,2
aprés tant,2
vénalité toutes,2
empire bien,2
dict ailleurs,2
famille nation,2
fort aisée,2
ceste ancienne,2
fond comble,2
familles royaulme,2
différends entre,2
peu judges,2
judges vuider,2
conseil mesme,2
fort grand,2
assemblée états,2
seconde race,2
leurs attributions,2
phi lippe,2
lippe bel,2
grande conséquence,2
quelques seigneurs,2
seigneurs estoient,2
roy mesme,2
souventes fois,2
avoir ouy,2
seigneurs parlement,2
poinct sans,2
sans ministère,2
simplicité laquelle,2
si esloignez,2
aysé judger,2
siècles postérieurs,2
conseil bon,2
cela faisoit,2
estoient lors,2
certain temps,2
ceulx tirent,2
estoient bien,2
bien esloignez,2
tirer profict,2
pris tel,2
quil fault,2
rendre bon,2
faculté médecine,2
cours nostre,2
philippe bel,2
tout chas,2
comme propre,2
lequel mesme,2
lieu puis,2
peu jours,2
mesmement quand,2
malice hommes,2
nombre procez,2
plus sou,2
toute france,2
poursuy vroient,2
dict temps,2
roy sainct,2
sainct loys,2
aussy ceulx,2
compaignies soubveraines,2
cré dict,2
si sévérement,2
tomber entre,2
con seil,2
con servation,2
vray dire,2
huy plus,2
bouche sans,2
si affaire,2
lettres grace,2
chaque année,2
elles seroient,2
aultres causes,2
eulx ainsy,2
tant ez,2
soubveraines subal,2
sorte gens,2
maulvais judges,2
plus dangereux,2
roy francois,2
mil cinq,2
cinq cent,2
nouveaulx offices,2
dix sept,2
ceste ordonnance,2
beau coup,2
encore moins,2
multipliez infiny,2
procez partout,2
fort proprement,2
officiers présidiaulx,2
justice dict,2
laquelle cause,2
propres mots,2
gaing profict,2
fault passer,2
tout ordre,2
procez sans,2
courts soubveraines,2
où tout,2
tout propos,2
feurent lors,2
dieu scait,2
procez si,2
manque jamais,2
comme feirent,2
aisément roy,2
néantmoins dont,2
leurs bourses,2
conseil ceulx,2
tort travers,2
lesquelz feurent,2
bien si,2
aug menté,2
ceste traité,2
feit fort,2
justice entre,2
chicanerie injustice,2
bien pis,2
faict bon,2
corps esprit,2
bon saige,2
trois livres,2
veulent estre,2
abolir toutes,2
toutes tailles,2
con tenter,2
peu temps,2
temps france,2
ailleurs plus,2
ordre police,2
feit cest,2
plus honorable,2
états généraux,2
droict toutes,2
commence ment,2
choses plus,2
grand malheur,2
dirons cy,2
bien royaulme,2
vives sources,2
pré judice,2
esmolumens judges,2
actes justice,2
tous politicques,2
afin faire,2
tout aultre,2
grand déshonneur,2
nations monde,2
aulcung aultre,2
ceste maulvaise,2
poinct plus,2
tant fois,2
entrez ceste,2
faict prendre,2
prendre argent,2
partyes casuelles,2
trop long,2
vertu scavoir,2
scavoir intégrité,2
intégrité bonne,2
bonne resputation,2
in ventions,2
grands petits,2
vray loyer,2
sça voir,2
per sonnaiges,2
peuple monde,2
monde faict,2
faict plus,2
plus illustres,2
illustres maisons,2
valeur pru,2
pru dence,2
comme feit,2
propre vertu,2
dict si,2
loyers récompenses,2
plus homme,2
toit plus,2
plus fort,2
riche puissant,2
plus vertueux,2
feit mesme,2
honneur tant,2
tant grands,2
tant gens,2
comme disoit,2
soubs censure,2
meilleures loyx,2
aultres charges,2
cest aage,2
puisse avoir,2
comme sortir,2
tenir clos,2
facon monde,2
bien judger,2
justice chose,2
deu vertu,2
comme aultres,2
envie bien,2
capi taines,2
grand sénat,2
là faisoient,2
mains nettes,2
bonne maulvaise,2
bien mieulx,2
peult faire,2
là fault,2
tout premier,2
plus cher,2
maniére vivre,2
cent ans,2
plus tard,2
avarice mesla,2
tous ordres,2
plus reigle,2
exposez injure,2
miz vente,2
dignitez estoient,2
mains plus,2
hommes temps,2
leurs deniers,2
deviennent maulvais,2
pesle mesle,2
honneur resputation,2
suivy bon,2
bon conseil,2
ordre loyx,2
oppressions maulvais,2
puis lasser,2
puissent faire,2
faire profict,2
grand estat,2
quelquefois fort,2
conseil gens,2
bien saiges,2
saiges modestes,2
donc estonner,2
ordre tant,2
tant justice,2
si longuement,2
neuf ans,2
ans entiers,2
si doulx,2
doulx si,2
gou vernement,2
affaires publicques,2
publicques prendre,2
meschant homme,2
quelque prix,2
prix feust,2
feust vouloit,2
cause tout,2
désordre confusion,2
grands person,2
faulx tesmoings,2
trou ver,2
puissance soubveraine,2
print envie,2
grands hommes,2
feit mourir,2
comme dieu,2
voulant prendre,2
prendre peine,2
trois ans,2
traité lequel,2
tout peuple,2
veoir dieu,2
in dustrie,2
sortes exactions,2
tous princes,2
toutes inventions,2
telles aultres,2
bien comme,2
jamais guéres,2
plus plus,2
plus lourd,2
lourd stupide,2
feust oncques,2
choses humaines,2
afin dict,2
mal soubs,2
aultre raison,2
audace violence,2
propre sens,2
oultre cela,2
moins ceste,2
personne peust,2
regard tout,2
prince feit,2
plus deux,2
aul cunes,2
ad viz,2
ez courts,2
bon train,2
termes piété,2
jeune prince,2
ministres voluptez,2
réformation justicf,2
belles instructions,2
bel esprit,2
miz oubly,2
elles trouvent,2
tailles charges,2
parmy tant,2
fidelle compaignie,2
ancienne majesté,2
vertueux princes,2
mal facon,2
ceste belle,2
rien monde,2
prud hommie,2
celuy auquel,2
administration justice,2
partyes ca,2
ca suelles,2
achepte plus,2
appelait ainsi,2
charges judiciaires,2
jours parce,2
estats argent,2
ruy ner,2
mesme cause,2
justice tout,2
alexandre sévére,2
ceste bresche,2
in ver,2
donné promis,2
porte dorée,2
entre tous,2
peu mots,2
novelle huictiesme,2
amas argent,2
fin toutes,2
plus dangereuse,2
plus moins,2
tousjours plus,2
grande somme,2
amys leurs,2
gouvernemens provinces,2
faire quelque,2
offices poinct,2
double quadruple,2
mettent vente,2
offices mesme,2
plus sacrée,2
larcins concussions,2
disoit estre,2
tant princes,2
ruyne estat,2
né cessité,2
fond rive,2
bons princes,2
leurs affaires,2
plus moyen,2
chas cung,2
mesme humeur,2
où contraire,2
personnaiges empire,2
vicieux meschans,2
jamais rien,2
bon plaisir,2
vertu manière,2
mit place,2
premières charges,2
judicature plus,2
celuy donnoit,2
donnoit plus,2
justice intégrité,2
peu vertu,2
provinces places,2
dés commencement,2
saiges expérimentez,2
conseil privé,2
leurs vices,2
peine vie,2
justice lieu,2
faict preuve,2
offices magistrats,2
telle sorte,2
maison saigement,2
si prés,2
arabinus sénateur,2
dire tous,2
conseil prince,2
fort scavant,2
main nette,2
cause leurs,2
leurs bonnes,2
justice faict,2
parce temps,2
fault retourner,2
moindre exercice,2
fran cois,2
loyx ordonnances,2
toutes bonnes,2
justice estoient,2
peu fréquentez,2
trouvoient lors,2
aultre homme,2
fort librement,2
cou raige,2
bon homme,2
comme leurs,2
guères procez,2
aulcungs survenoient,2
demandes deffences,2
justice ceulx,2
vogue resputation,2
dis pute,2
puis grandement,2
questueux lucratif,2
ju dicature,2
sans aulcune,2
sans honneur,2
selon sens,2
dignitez publicques,2
jamais aulcung,2
lettres sainctes,2
faculté théologie,2
merveille si,2
estant bien,2
lascheté couraige,2
bientost aprés,2
bonne briefve,2
cause tant,2
tant malheurs,2
moyens intenter,2
ac tions,2
def fences,2
mathias corvin,2
traité plus,2
diffé rends,2
soubs veur,2
anciennes cous,2
cous tumes,2
tumes pays,2
si malotru,2
mesme raison,2
aussy plus,2
plus sainctes,2
fauldroit mesme,2
mesme erreur,2
quoy tend,2
tend desseing,2
parmy courts,2
courts tant,2
tant soubveraines,2
jamais gueres,2
vaise cause,2
justice si,2
fran chement,2
gaing sordide,2
contre eulx,2
honneur sans,2
honneur plus,2
scaurois assez,2
trop plus,2
vivre grand,2
grand personnaige,2
droict civil,2
an rome,2
mar ché,2
loy cintia,2
mesme bien,2
pline second,2
jamais pris,2
tout sénat,2
zéle justice,2
amour envers,2
envers public,2
effrénée licence,2
chose leurs,2
procez toutes,2
celle advocats,2
poinct ceste,2
honorables charges,2
grands magistrats,2
appellez justice,2
quintilien dict,2
jeunes hommes,2
affection envers,2
cest argument,2
vanter avoir,2
ordre reiglement,2
afin rendre,2
faict perdre,2
justice regard,2
jamais permis,2
mieulx policez,2
in jus,2
justice toutesfois,2
traité tion,2
quelque grande,2
demeure accord,2
retourner ceste,2
hault crédict,2
grande charge,2
principalle ment,2
troubles noises,2
scachant bien,2
justice tant,2
scauroient jamais,2
eulx mesmes,2
dessus appert,2
procez estoient,2
cest ouvraige,2
si reçoit,2
tant judges,2
multitude longueur,2
parce dict,2
ceste source,2
estoient encore,2
soubs roy,2
ostenta tion,2
judgement faict,2
com paignon,2
bien faict,2
faict chascung,2
tout plus,2
deux diverses,2
diverses fois,2
fault jamais,2
mesme chose,2
fault tenir,2
tenir maxime,2
scrupule conscience,2
fin procez,2
divine teste,2
assez bien,2
trés mal,2
passons oultre,2
somme deniers,2
ceste négociation,2
faict ceste,2
refuge hospital,2
soubveraines subalternes,2
peult tant,2
leurs enfans,2
ceste marchandise,2
doibt avoir,2
temps estoient,2
huict cens,2
cens esceus,2
gaiges cinq,2
cinq années,2
gaiges non,2
trois cents,2
soixante mille,2
sept huict,2
huict mille,2
toutesfois si,2
sans mettre,2
main plume,2
grand mérite,2
temps où,2
avarice vénalité,2
celuy président,2
vertu couraige,2
vénalité cause,2
jeune homme,2
vraye monnoye,2
depuis temps,2
mesmement offices,2
offices judica,2
grands estats,2
estre sans,2
avoir justice,2
inéd traité,2
philippe valois,2
leurs ordonnances,2
addition refuge,2
faire peult,2
honnesteté courtoisie,2
fondez exiger,2
ceste précaution,2
eulogiæ in,2
justice in,2
fraix despenses,2
aiment mieulx,2
parce quil,2
espices estoient,2
attri buer,2
prendre deux,2
tout estre,2
dragmes mille,2
judges leurs,2
leurs vacations,2
non lucre,2
ruyne icelle,2
trop mieulx,2
chose quelconque,2
leurs gaiges,2
judge prendre,2
ceulx entroient,2
prédé cesseurs,2
jamais donner,2
meilleur ordre,2
espices judges,2
procez ceste,2
dessous cent,2
faict espices,2
teneus honneur,2
deux mille,2
justice quatrième,1
quatrième partie,1
partie ancienne,1
ancienne dignité,1
dignité grandeur,1
grandeur majesté,1
majesté justice,1
france laquelle,1
plus nette,1
nette plus,1
plus entiére,1
entiére recours,1
recours tous,1
tous coings,1
coings chrestienté,1
chrestienté so,1
so grand,1
plaisir dict,1
dict lucréce,1
lucréce veoir,1
veoir loing,1
loing estant,1
estant terre,1
terre ferme,1
ferme grand,1
grand vais,1
vais seau,1
seau mer,1
mer agité,1
agité batteu,1
batteu tourmenté,1
tourmenté vents,1
vents vagues,1
vagues tempeste,1
tempeste consi,1
consi dérer,1
dérer péril,1
péril aultruy,1
aultruy toute,1
toute seureté,1
seureté comme,1
aussy contempler,1
contempler hault,1
hault quelque,1
quelque forte,1
forte tour,1
tour lieu,1
lieu inaccessible,1
inaccessible conflict,1
conflict cha,1
cha mailis,1
mailis deux,1
deux grosses,1
grosses armées,1
armées mains,1
mains grande,1
grande spacieuse,1
spacieuse campaigne,1
campaigne non,1
non dict,1
dict ayt,1
ayt aultrement,1
aultrement quoy,1
quoy resjouir,1
resjouir veoir,1
veoir calamités,1
calamités misères,1
misères aultruy,1
aultruy comme,1
comme voulant,1
voulant dire,1
peu consolation,1
consolation sentir,1
sentir abry,1
abry traité,1
traité sans,1
sans hazard,1
hazard pendant,1
pendant aultres,1
aultres courent,1
courent tant,1
tant estranges,1
estranges fortunes,1
fortunes biens,1
vie suave,1
suave mari,1
mari magno,1
magno turbantibus,1
turbantibus æquora,1
æquora ventis,1
ventis terra,1
terra niagnum,1
niagnum alterius,1
alterius spectare,1
spectare laborem,1
laborem non,1
non quod,1
quod vexari,1
vexari quemquam,1
quemquam sit,1
sit summa,1
summa voluptas,1
voluptas sed,1
sed quibus,1
quibus ipse,1
ipse malis,1
malis careas,1
careas quia,1
quia cernere,1
cernere suave,1
suave suave,1
suave etiam,1
etiam belli,1
belli certamina,1
certamina magna,1
magna tueri,1
tueri per,1
per campos,1
campos instructa,1
instructa tua,1
tua sine,1
sine parte,1
parte pericli,1
pericli ll,1
ll sen,1
sen peult,1
dire autant,1
autant injures,1
injures opres,1
opres sions,1
sions injustices,1
injustices violences,1
violences excés,1
excés oultraiges,1
oultraiges tous,1
jours soubs,1
soubs couleur,1
couleur néant,1
moins voile,1
voile piété,1
aultres prétextes,1
prétextes scavoir,1
scavoir chose,1
fort doulce,1
doulce expérimenter,1
expérimenter ticulier,1
ticulier ains,1
ains veoir,1
veoir tout,1
tout aise,1
aise souffrir,1
souffrir million,1
million personnes,1
personnes réduictes,1
réduictes toutes,1
sortes extrémités,1
extrémités injustices,1
injustices impunément,1
impunément faictes,1
faictes cruel,1
cruel plaisir,1
plaisir brutal,1
brutal passe,1
passe temps,1
temps paistre,1
paistre yeulx,1
yeulx scythe,1
scythe conten,1
conten ter,1
ter esprit,1
esprit félon,1
félon sang,1
sang carnaige,1
carnaige malheur,1
malheur désastre,1
désastre injurieux,1
injurieux traictement,1
traictement veoit,1
veoit souffrir,1
souffrir prochain,1
prochain sans,1
sans entrer,1
entrer compassion,1
compassion tant,1
peult licitement,1
licitement mettre,1
mettre debvoir,1
debvoir secourir,1
secourir soulager,1
soulager bon,1
empereur anthonin,1
anthonin duquel,1
dessus cest,1
adviz praticqua,1
praticqua tout,1
long vie,1
vie bien,1
bien réformation,1
feust payen,1
payen deux,1
deux préceptes,1
préceptes nostre,1
nostre déca,1
déca logue,1
logue aimer,1
aimer dieu,1
dieu tout,1
tout coeur,1
coeur prochain,1
prochain comme,1
comme soy,1
mesme grande,1
grande apparance,1
apparance tenoit,1
tenoit ceste,1
ceste instruction,1
instruction chrestiens,1
chrestiens tant,1
trouve point,1
point ja,1
ja faict,1
faict escient,1
escient tort,1
tort injustice,1
injustice homme,1
homme vivant,1
vivant vouleut,1
vouleut imiter,1
imiter dieu,1
dieu comblant,1
comblant toutes,1
sortes prospérités,1
prospérités bienfaicts,1
bienfaicts genre,1
genre hu,1
main offensant,1
offensant aulcung,1
aulcung rendant,1
rendant faisant,1
faisant justice,1
justice égale,1
égale tout,1
chascung manière,1
manière tenoit,1
tenoit don,1
don grace,1
faveur spéciale,1
spéciale ciel,1
ciel faire,1
veoir homme,1
homme mortel,1
mortel plus,1
plus accomplies,1
accomplies qualités,1
qualités prince,1
plus irrépréhensible,1
irrépréhensible jamais,1
jamais veu,1
veu face,1
terre moy,1
moy dis,1
dis assez,1
assez rire,1
rire point,1
point prendre,1
plaisir veoir,1
veoir souffrir,1
souffrir nostre,1
nostre prochain,1
prochain nostre,1
charité morfondeue,1
morfondeue si,1
si demeurons,1
demeurons là,1
là pitié,1
pitié yeulx,1
yeulx simple,1
simple parolle,1
parolle servyroit,1
servyroit rien,1
rien meurtrier,1
meurtrier gaiges,1
gaiges coupera,1
coupera gorge,1
gorge ribleur,1
ribleur parolle,1
parolle dévalisera,1
dévalisera filou,1
filou fripon,1
fripon coureur,1
coureur nuit,1
nuit grassator,1
grassator zonæ,1
zonæ sec,1
sec tor,1
tor coupe,1
coupe jarret,1
jarret dict,1
dict trévoux,1
trévoux traite,1
traite tois,1
tois fera,1
fera femme,1
femme fille,1
fille quelque,1
quelque oultraige,1
oultraige vilainie,1
vilainie verrons,1
verrons endu,1
endu rerons,1
rerons parce,1
parce rien,1
rien costé,1
costé nostre,1
nostre premier,1
premier père,1
père justice,1
justice muera,1
muera volontiers,1
volontiers partie,1
partie civile,1
civile maniere,1
maniere faulte,1
faulte argent,1
argent voilà,1
voilà meur,1
meur tres,1
tres voleries,1
voleries adultéres,1
adultéres violemens,1
violemens femmes,1
femmes filles,1
filles impunis,1
impunis homme,1
homme puissant,1
puissant oultragera,1
oultragera injuriera,1
injuriera lopprimera,1
lopprimera dirons,1
dirons mot,1
mot peur,1
peur encourir,1
encourir indignation,1
indignation mauvaise,1
mauvaise grace,1
grace grand,1
grand recevoir,1
recevoir mesme,1
mesme autant,1
autant encore,1
encore partir,1
partir là,1
là quelqu,1
quelqu dira,1
dira bien,1
bien employé,1
employé guéres,1
guéres faire,1
faire mesler,1
mesler faict,1
faict aultruy,1
aultruy homme,1
homme main,1
main soldat,1
soldat picoureur,1
picoureur maraudeur,1
maraudeur hardy,1
hardy pillard,1
pillard assaillera,1
assaillera fou,1
fou lera,1
lera pieds,1
pieds prendra,1
prendra biens,1
biens comme,1
estoient escheus,1
escheus succession,1
succession dirons,1
dirons voilà,1
voilà grand,1
grand pitié,1
pitié puis,1
puis tout,1
tout cocq,1
cocq paroisse,1
paroisse ruses,1
ruses chicaniéres,1
chicaniéres quelques,1
fois calomnies,1
calomnies crimes,1
crimes supposez,1
supposez force,1
argent attachera,1
attachera quelque,1
quelque bon,1
bon laboureur,1
laboureur bien,1
paisible bourgeois,1
bourgeois soubs,1
ombre quelque,1
bonne ferme,1
ferme mestairie,1
mestairie quoy,1
quoy desseing,1
desseing lasche,1
lasche prinse,1
prinse bon,1
bon heur,1
heur abandonnera,1
abandonnera point,1
point faulx,1
faulx contracts,1
contracts subornation,1
subornation tesmoings,1
tesmoings corrup,1
corrup réformation,1
justice tion,1
tion judges,1
judges envoyé,1
envoyé homme,1
bien hospital,1
hospital dirons,1
dirons bien,1
justice vault,1
vault rien,1
rien encores,1
encores tousjours,1
tousjours faulte,1
faulte judges,1
judges prendre,1
prendre faict,1
faict cœur,1
cœur affection,1
affection pauvre,1
pauvre homme,1
homme exposé,1
exposé gueule,1
gueule quelque,1
quelque loup,1
loup ra,1
ra vissant,1
vissant nostre,1
charité porte,1
porte si,1
hault judge,1
judge concussionnaire,1
concussionnaire financier,1
financier aultres,1
officiers corrompeus,1
corrompeus vendront,1
vendront pauvre,1
partye fiant,1
fiant bon,1
cause suyvoit,1
suyvoit grand,1
grand chemin,1
chemin judgement,1
judgement scayt,1
scayt conscience,1
conscience estre,1
fort injuste,1
injuste trouvant,1
trouvant condamné,1
condamné entre,1
entre desfaveur,1
desfaveur désespoir,1
désespoir quelquesfois,1
quelquesfois perdre,1
perdre sens,1
sens compastirons,1
compastirons bien,1
bien malheur,1
malheur parce,1
