token_,count
('réformation', 'justice'),81
('aujourd', 'huy'),24
('gens', 'bien'),24
('leurs', 'charges'),17
('comme', 'dict'),17
('non', 'seulement'),16
('homme', 'bien'),16
('plus', 'grand'),13
('tout', 'chascung'),11
('cy', 'dessus'),11
('plus', 'grande'),11
('toutes', 'choses'),10
('tous', 'jours'),10
('toutes', 'sortes'),10
('long', 'temps'),9
('tous', 'aultres'),9
('bien', 'souvent'),9
('entre', 'mains'),9
('tout', 'ainsy'),8
('eulx', 'mesmes'),8
('cy', 'devant'),8
('bien', 'faire'),8
('tous', 'ceulx'),8
('reformation', 'justice'),7
('justice', 'si'),7
('plus', 'grands'),7
('tout', 'mesme'),7
('comme', 'aussy'),7
('toutes', 'aultres'),7
('plus', 'tost'),7
('ez', 'courts'),7
('entre', 'aultres'),7
('argent', 'présens'),7
('offices', 'judicature'),6
('leurs', 'simples'),6
('dict', 'ailleurs'),6
('justice', 'police'),6
('aultre', 'chose'),6
('longueur', 'procez'),6
('pauvre', 'peuple'),6
('bon', 'roy'),6
('toutes', 'parts'),6
('fort', 'propos'),6
('justice', 'sans'),6
('vray', 'honneur'),6
('grandes', 'charges'),6
('aul', 'tre'),6
('sainct', 'loys'),6
('quelque', 'aultre'),6
('réformation', 'justicf'),6
('courts', 'soubveraines'),6
('soubs', 'nom'),6
('prix', 'argent'),5
('expé', 'rience'),5
('leurs', 'vacations'),5
('simples', 'gaiges'),5
('toute', 'rigueur'),5
('ordonnances', 'royaulme'),5
('jourd', 'huy'),5
('droict', 'romain'),5
('faire', 'justice'),5
('plusieurs', 'aultres'),5
('ungs', 'aultres'),5
('piété', 'justice'),5
('tout', 'monde'),5
('fault', 'advouer'),5
('fault', 'bien'),5
('fort', 'bien'),5
('plus', 'avant'),5
('peu', 'temps'),5
('aristote', 'dict'),5
('leurs', 'offices'),5
('plu', 'sieurs'),5
('grands', 'personnaiges'),5
('aultres', 'choses'),5
('encores', 'moins'),5
('chose', 'publicque'),5
('plus', 'plus'),5
('bon', 'ordre'),5
('sans', 'aultre'),5
('cest', 'estat'),5
('mesme', 'temps'),5
('troubler', 'repos'),5
('foy', 'publicque'),5
('faire', 'tort'),5
('cinq', 'ans'),5
('ministres', 'justice'),5
('multitude', 'longueur'),5
('tant', 'plus'),5
('pré', 'sens'),5
('bien', 'plus'),5
('loyx', 'ordonnances'),4
('mal', 'faire'),4
('selon', 'leurs'),4
('tous', 'estats'),4
('temps', 'là'),4
('quelque', 'chose'),4
('petit', 'nombre'),4
('grand', 'homme'),4
('sans', 'exception'),4
('bien', 'certain'),4
('debvoir', 'discipline'),4
('aultres', 'gens'),4
('prince', 'soubverain'),4
('plus', 'gens'),4
('soy', 'mesme'),4
('toute', 'vie'),4
('leurs', 'affaires'),4
('tout', 'puissant'),4
('ceulx', 'là'),4
('pro', 'vinces'),4
('parmy', 'peuple'),4
('jamais', 'guéres'),4
('leurs', 'mains'),4
('inéd', 'traite'),4
('aussy', 'fault'),4
('avoir', 'esgard'),4
('parce', 'poinct'),4
('partyes', 'casuelles'),4
('of', 'fices'),4
('ceste', 'qualité'),4
('deux', 'choses'),4
('peult', 'dire'),4
('bien', 'mal'),4
('doibt', 'estre'),4
('fault', 'croire'),4
('inéd', 'traité'),4
('sans', 'avoir'),4
('per', 'sonne'),4
('rendre', 'justice'),4
('feust', 'jamais'),4
('jeunes', 'gens'),4
('dict', 'cy'),4
('ainsy', 'soyt'),4
('bien', 'public'),4
('jamais', 'plus'),4
('plus', 'grandes'),4
('bon', 'judge'),4
('grand', 'personnaige'),4
('cest', 'office'),4
('ez', 'provinces'),4
('zèle', 'justice'),4
('rien', 'plus'),4
('faire', 'hayr'),4
('dis', 'donc'),4
('chose', 'quelconque'),4
('judges', 'leurs'),4
('gaiges', 'appoinctemens'),4
('dudict', 'procez'),4
('bonne', 'opinion'),4
('afin', 'avoir'),4
('grands', 'présens'),4
('advocats', 'procureurs'),4
('bonnes', 'loyx'),3
('bons', 'magistrats'),3
('soubs', 'bon'),3
('leurs', 'qualitez'),3
('tout', 'aultre'),3
('deux', 'poincts'),3
('aultre', 'but'),3
('si', 'long'),3
('tout', 'faict'),3
('si', 'elles'),3
('comme', 'disoit'),3
('faire', 'comme'),3
('justice', 'plus'),3
('ordon', 'nances'),3
('comme', 'appartient'),3
('fault', 'plus'),3
('cest', 'effect'),3
('justice', 'tous'),3
('tous', 'princes'),3
('craignant', 'dieu'),3
('chas', 'cung'),3
('tant', 'seulement'),3
('si', 'magistrat'),3
('vices', 'meschancetez'),3
('devant', 'eulx'),3
('contre', 'eulx'),3
('scays', 'bien'),3
('grand', 'nombre'),3
('roy', 'josaphat'),3
('quelques', 'aultres'),3
('tout', 'temps'),3
('faict', 'mesme'),3
('mains', 'nettes'),3
('si', 'peu'),3
('jeunes', 'barbes'),3
('faire', 'plus'),3
('jeune', 'homme'),3
('toute', 'aultre'),3
('cela', 'bon'),3
('charges', 'dignitez'),3
('tout', 'partout'),3
('vrays', 'loyers'),3
('po', 'lice'),3
('gaing', 'profict'),3
('faict', 'mention'),3
('quelle', 'raison'),3
('poinct', 'argent'),3
('entre', 'tous'),3
('cela', 'cause'),3
('leurs', 'livres'),3
('ez', 'charges'),3
('charges', 'publicques'),3
('com', 'paignies'),3
('fault', 'faire'),3
