token_,count
('réformation', 'justice'),49
('homme', 'bien'),13
('non', 'seulement'),11
('bien', 'souvent'),10
('gens', 'bien'),10
('piété', 'justice'),9
('plus', 'grands'),8
('plus', 'grand'),8
('entre', 'mains'),7
('leurs', 'subjects'),7
('justice', 'divine'),7
('toutes', 'choses'),6
('si', 'grand'),6
('eulx', 'mesmes'),6
('aprés', 'avoir'),6
('cest', 'homme'),6
('deux', 'filles'),6
('princes', 'soubverains'),5
('bien', 'plus'),5
('bien', 'mal'),5
('tous', 'ceulx'),5
('faire', 'injustice'),5
('peu', 'temps'),5
('tant', 'plus'),5
('toutes', 'sortes'),5
('cy', 'dessus'),4
('avoir', 'plus'),4
('devant', 'yeulx'),4
('faire', 'justice'),4
('jeune', 'prince'),4
('tout', 'cela'),4
('rendre', 'justice'),4
('long', 'temps'),4
('vray', 'dieu'),4
('impiétés', 'injustices'),4
('ville', 'hiérusalem'),4
('tout', 'puissant'),4
('avoir', 'faict'),4
('ceulx', 'dont'),4
('trois', 'cent'),4
('plus', 'souvent'),4
('craignant', 'dieu'),4
('aultre', 'part'),4
('tost', 'tard'),4
('faire', 'quelque'),4
('tout', 'faict'),4
('tant', 'fault'),4
('leurs', 'maistres'),4
('deux', 'jeunes'),4
('jeunes', 'hommes'),4
('tous', 'aultres'),4
('comme', 'dict'),4
('tite', 'live'),4
('comme', 'faict'),4
('leurs', 'biens'),4
('rien', 'si'),4
('encore', 'moins'),4
('faict', 'justice'),4
('meneu', 'peuple'),4
('aujourd', 'huy'),4
('beaucoup', 'plus'),4
('faveur', 'judges'),4
('craincte', 'dieu'),3
('tousjours', 'devant'),3
('si', 'jamais'),3
('histoire', 'sacrée'),3
('tous', 'princes'),3
('servyce', 'vray'),3
('dix', 'lignées'),3
('poinct', 'aultre'),3
('peuple', 'mutiné'),3
('dieu', 'créateur'),3
('jus', 'ques'),3
('gouver', 'nement'),3
('faict', 'comme'),3
('cause', 'peuple'),3
('soixante', 'ans'),3
('debvoir', 'bon'),3
('bon', 'roy'),3
('toutes', 'villes'),3
('cent', 'soixante'),3
('dix', 'ans'),3
('jamais', 'bien'),3
('sans', 'aultre'),3
('fault', 'croire'),3
('bien', 'faire'),3
('aultre', 'chose'),3
('quelque', 'chose'),3
('leurs', 'charges'),3
('faire', 'raison'),3
('res', 'publicque'),3
('grand', 'empire'),3
('tout', 'ainsy'),3
('reformation', 'justice'),3
('porte', 'justice'),3
('lieu', 'faire'),3
('aller', 'devant'),3
('faict', 'quelque'),3
('beaucoup', 'mieulx'),3
('soubs', 'joug'),3
('fault', 'garder'),3
('soubs', 'prétexte'),3
('celuy', 'là'),3
('concus', 'sions'),3
('grand', 'homme'),3
('miséricorde', 'justice'),3
('mille', 'livres'),3
('an', 'mil'),3
('bonnes', 'gens'),3
('port', 'faveur'),3
('bien', 'feust'),3
('tout', 'sénat'),3
('sénat', 'noblesse'),3
('grands', 'princes'),3
('faire', 'bien'),3
('plus', 'homme'),3
('sublime', 'vertu'),3
('contre', 'court'),3
('chose', 'contre'),3
('pauvre', 'peuple'),3
('gens', 'roy'),3
