token_,count
('réformation', 'justice'),28
('tout', 'ainsy'),7
('eulx', 'mesmes'),7
('soy', 'mesme'),7
('entre', 'eulx'),6
('plus', 'grand'),6
('gens', 'bien'),6
('non', 'seulement'),5
('bien', 'faire'),5
('homme', 'bien'),5
('plus', 'grande'),5
('non', 'plus'),4
('peult', 'estre'),4
('bien', 'estre'),4
('toutes', 'sortes'),4
('peu', 'temps'),4
('tout', 'monde'),4
('plusieurs', 'aultres'),4
('leurs', 'subjects'),4
('tous', 'ceulx'),4
('plus', 'grands'),4
('justice', 'divine'),3
('tout', 'homme'),3
('nul', 'aultre'),3
('bonne', 'vie'),3
('tous', 'jours'),3
('tout', 'ensemble'),3
('rien', 'plus'),3
('entre', 'mains'),3
('toutes', 'choses'),3
('rien', 'si'),3
('quand', 'bien'),3
('justice', 'tant'),3
('grands', 'princes'),3
('ceste', 'cy'),3
('toutes', 'aultres'),3
('faire', 'tort'),3
('sans', 'faire'),3
('veoit', 'poinct'),3
('aujourd', 'huy'),3
('mille', 'mille'),3
('justice', 'faict'),3
('force', 'violence'),3
('bien', 'souvent'),3
('thrésorier', 'général'),3
('chose', 'publicque'),3
('tant', 'plus'),3
