token_,count
('réformation', 'justice'),85
('gens', 'bien'),21
('toutes', 'sortes'),20
('plus', 'grands'),20
('aujourd', 'huy'),20
('tous', 'ceulx'),17
('plus', 'grand'),16
('non', 'seulement'),15
('grand', 'nombre'),15
('temps', 'là'),13
('comme', 'dict'),12
('long', 'temps'),11
('si', 'grand'),11
('plus', 'grandes'),11
('tant', 'plus'),11
('cy', 'dessus'),10
('entre', 'eulx'),10
('si', 'grande'),10
('homme', 'bien'),9
('tous', 'aultres'),9
('an', 'mil'),9
('entre', 'mains'),9
('toutes', 'choses'),9
('aprés', 'avoir'),9
('offices', 'judicature'),9
('piété', 'justice'),8
('tout', 'ainsy'),8
('bien', 'faire'),8
('leurs', 'subjects'),8
('peu', 'peu'),8
('leurs', 'charges'),8
('ceste', 'espicerie'),8
('bon', 'droict'),7
('rendre', 'justice'),7
('là', 'où'),7
('toutes', 'parts'),7
('bien', 'plus'),7
('tout', 'faict'),7
('justice', 'france'),6
('comme', 'aussy'),6
('tous', 'jours'),6
('sou', 'vent'),6
('si', 'bon'),6
('quelque', 'chose'),6
('toutes', 'nations'),6
('rien', 'plus'),6
('leurs', 'cliens'),6
('judges', 'aultres'),6
('fois', 'plus'),6
('grands', 'personnaiges'),6
('leurs', 'offices'),6
('ceulx', 'estoient'),6
('vénalité', 'offices'),6
('faire', 'veoir'),5
('reformation', 'justice'),5
('craincte', 'dieu'),5
('bien', 'vray'),5
('bon', 'sens'),5
('jeunes', 'gens'),5
('aultre', 'but'),5
('plus', 'meschans'),5
('meschans', 'hommes'),5
('per', 'sonne'),5
('bonne', 'fortune'),5
('cest', 'homme'),5
('grand', 'empire'),5
('entre', 'aultres'),5
('aultre', 'chose'),5
('justice', 'plus'),5
('fault', 'bien'),5
('tout', 'temps'),5
('grandes', 'dignitez'),5
('bel', 'ordre'),5
('gens', 'guerre'),5
('raison', 'parce'),5
('dict', 'cy'),5
('justice', 'peuple'),5
('peult', 'estre'),5
('néant', 'moins'),4
('justice', 'bien'),4
('bien', 'public'),4
('chose', 'fort'),4
('tant', 'peult'),4
('tout', 'chascung'),4
('force', 'argent'),4
('soubs', 'ombre'),4
('si', 'hault'),4
('non', 'plus'),4
('fault', 'donc'),4
('ceste', 'grande'),4
('succession', 'temps'),4
('aultre', 'costé'),4
('bon', 'ordre'),4
('si', 'bien'),4
('mil', 'trois'),4
('trois', 'cent'),4
('mesme', 'court'),4
('em', 'pire'),4
('quatre', 'vingt'),4
('mil', 'quatre'),4
('quatre', 'cent'),4
('encore', 'plus'),4
('homme', 'bon'),4
('plus', 'beau'),4
('empire', 'romain'),4
('volon', 'tairement'),4
('tous', 'estats'),4
('charges', 'publicques'),4
('tout', 'monde'),4
('ceste', 'charge'),4
('soubs', 'faveur'),4
('sé', 'nat'),4
('plus', 'offrant'),4
('bien', 'souvent'),4
('procez', 'différends'),4
('leurs', 'procez'),4
('em', 'pereur'),4
('faire', 'justice'),4
('pro', 'cez'),4
('bon', 'prince'),4
('longueur', 'procez'),4
('plus', 'grande'),4
('justice', 'néantmoins'),4
('ceste', 'sorte'),4
('deniers', 'comptans'),4
('ministres', 'justice'),4
('ungs', 'aultres'),4
('ad', 'vocats'),4
('si', 'peu'),4
('ceulx', 'judicature'),4
('vente', 'offices'),4
('mar', 'chandise'),4
('com', 'mencement'),4
('si', 'avant'),4
('vé', 'nalité'),4
('grandes', 'charges'),4
('charges', 'dignitez'),4
('honneurs', 'dignitez'),4
('sans', 'reproche'),4
('bien', 'honneur'),4
('monde', 'plus'),4
('comme', 'ainsy'),4
('cestuy', 'cy'),4
('commen', 'cement'),4
('beaucoup', 'plus'),4
('deux', 'trois'),4
('ceste', 'vénalité'),4
('leurs', 'amys'),4
('faire', 'court'),4
('bonnes', 'mœurs'),4
('petit', 'petit'),4
('siéges', 'justice'),4
('maul', 'vaise'),4
('chose', 'tant'),4
('ceste', 'robbe'),4
('ceste', 'qualité'),4
('loys', 'xii'),4
('laquelle', 'comme'),3
('biens', 'vie'),3
('peult', 'dire'),3
('bon', 'empereur'),3
('cest', 'adviz'),3
('soy', 'mesme'),3
('aultres', 'officiers'),3
('pauvre', 'partye'),3
('justice', 'cause'),3
('plus', 'proches'),3
('sortes', 'in'),3
('bien', 'sou'),3
('justice', 'aultre'),3
('voilà', 'comme'),3
('tout', 'mesme'),3
('bien', 'dire'),3
('ceste', 'saincte'),3
('aultre', 'plus'),3
('porte', 'ouverte'),3
('si', 'fort'),3
('tant', 'faire'),3
('ancienne', 'intégrité'),3
('subal', 'ternes'),3
('plu', 'sieurs'),3
('si', 'bonne'),3
('bonne', 'justice'),3
('toutes', 'gaules'),3
('cents', 'ans'),3
('estat', 'soubs'),3
('belle', 'discipline'),3
('justice', 'police'),3
('aultres', 'peuples'),3
('aulcune', 'difficulté'),3
('cent', 'vingt'),3
('court', 'comme'),3
('cent', 'quatre'),3
('vingt', 'dix'),3
('mille', 'livres'),3
('nostre', 'histoire'),3
('ver', 'tus'),3
('toutes', 'aultres'),3
('sortes', 'vices'),3
('mesmes', 'causes'),3
('loyx', 'justice'),3
('distribution', 'justice'),3
('vices', 'corruptions'),3
('leurs', 'armes'),3
('magistrats', 'plus'),3
('seu', 'lement'),3
('comme', 'si'),3
('ez', 'plus'),3
('pu', 'blic'),3
('si', 'juste'),3
('tout', 'vénal'),3
('public', 'comme'),3
('fina', 'blement'),3
('bon', 'sembloit'),3
('honneurs', 'respublicque'),3
('tout', 'loisir'),3
('mesme', 'temps'),3
('maintes', 'fois'),3
('plein', 'sé'),3
('hault', 'clair'),3
('deux', 'hommes'),3
('peuple', 'romain'),3
('comme', 'vray'),3
('donc', 'bien'),3
('comme', 'dirons'),3
('après', 'avoir'),3
('non', 'seu'),3
('aujour', 'huy'),3
('tout', 'cela'),3
('soubs', 'nom'),3
('tant', 'seulement'),3
('cest', 'ordre'),3
('cela', 'faict'),3
('sordide', 'illibéral'),3
('temps', 'philippe'),3
('tous', 'ans'),3
('peu', 'procez'),3
('ville', 'paris'),3
('parlement', 'paris'),3
('temps', 'ceste'),3
('maulvaise', 'cause'),3
('petit', 'nombre'),3
('devant', 'judges'),3
('bon', 'roy'),3
('charge', 'partyes'),3
('grands', 'seigneurs'),3
('immortaliser', 'procez'),3
('partye', 'adverse'),3
('beaulx', 'deniers'),3
('si', 'mal'),3
('bien', 'croire'),3
('veoir', 'fin'),3
('chose', 'si'),3
('estre', 'teneus'),3
('propos', 'faire'),3
('pauvre', 'peuple'),3
('faire', 'leurs'),3
('dict', 'passant'),3
('princes', 'soubverains'),3
('cent', 'fois'),3
('laps', 'temps'),3
('dés', 'lors'),3
('ceste', 'vacation'),3
('cest', 'effect'),3
('gran', 'dement'),3
('of', 'fices'),3
('ceulx', 'auroient'),3
('tous', 'gens'),3
('maulvaise', 'chose'),3
('intérest', 'particulier'),3
('bien', 'certain'),3
('mul', 'titude'),3
('ambition', 'avarice'),3
('louables', 'qualitez'),3
('faire', 'amas'),3
('veoire', 'bien'),3
('grand', 'honneur'),3
('aultres', 'plus'),3
('dadvan', 'taige'),3
('manière', 'vivre'),3
('honneur', 'non'),3
('loyer', 'récompense'),3
('vie', 'sans'),3
('bon', 'judge'),3
('sans', 'faire'),3
('fin', 'compte'),3
('charges', 'militaires'),3
('in', 'foro'),3
('justice', 'rendeue'),3
('leurs', 'mains'),3
('descript', 'histoire'),3
('nam', 'ubi'),3
('cela', 'peult'),3
('gouverne', 'mens'),3
('si', 'bel'),3
('tout', 'empire'),3
('person', 'naiges'),3
('puisse', 'estre'),3
('fort', 'peu'),3
('public', 'ques'),3
('vingt', 'deux'),3
('justice', 'raison'),3
('beaulx', 'esprits'),3
('vengeance', 'divine'),3
('cest', 'empereur'),3
('quatorze', 'ans'),3
('gens', 'néant'),3
('cinq', 'ans'),3
('aultres', 'ministres'),3
('lieu', 'iceulx'),3
('soubs', 'telz'),3
('telz', 'gouvernemens'),3
('offices', 'estoient'),3
('estoient', 'si'),3
('bon', 'dieu'),3
('grand', 'mal'),3
('respu', 'blicque'),3
('empereur', 'justinian'),3
('in', 'justice'),3
('hommes', 'plus'),3
('prince', 'soubverain'),3
('tost', 'tard'),3
('rien', 'tant'),3
('ned', 'traité'),3
('gens', 'peu'),3
('places', 'fortes'),3
('tout', 'honneur'),3
('plus', 'saiges'),3
('cer', 'tain'),3
('peu', 'loyx'),3
('toute', 'injustice'),3
('aultre', 'rien'),3
('judica', 'ture'),3
('sens', 'naturel'),3
('aultres', 'nations'),3
('briefve', 'justice'),3
('plus', 'fameux'),3
('soubs', 'prétexte'),3
('trois', 'jours'),3
('toutes', 'fois'),3
('ceste', 'loy'),3
('tant', 'petite'),3
('ceste', 'mesme'),3
('dict', 'fort'),3
('comme', 'bien'),3
('judges', 'officiers'),3
('multitude', 'officiers'),3
('si', 'non'),3
('ceste', 'forme'),3
('sans', 'gaiges'),3
('mille', 'esceus'),3
('toute', 'extresmité'),3
('gaing', 'cause'),3
('espices', 'esmolumens'),3
('sous', 'régne'),3
('vin', 'espices'),3
('prix', 'offices'),3
