token_,count
leurs simples gaiges,5
plus gens bien,4
ez courts soubveraines,4
si long temps,3
réformation justice police,3
comme dict ailleurs,3
ans mois jours,3
bon roy sainct,3
roy sainct loys,3
sans nul excepter,3
grand homme bien,3
multitude longueur procez,3
soubs quelque prétexte,3
comme aujourd huy,3
peine vie prendre,3
entre aultres choses,3
bien plus avant,3
scavoir expé rience,2
soubs bon plaisir,2
bon plaisir roy,2
selon leurs qualitez,2
feront leurs charges,2
nerfs sang ame,2
puisse tant peu,2
jourd huy charge,2
réformation justice plus,2
crai gnant dieu,2
chascung debvoir discipline,2
debvoir discipline relaschée,2
sans injustice sans,2
bon roy josaphat,2
si peu cas,2
peu cas pense,2
tant piété justice,2
vrays loyers vertu,2
justice po lice,2
fault bien croire,2
finance eulx payée,2
tant honnestes gens,2
parce poinct argent,2
si temps dure,2
cela parce poinct,2
compaignies tant soubveraines,2
ez charges publicques,2
achepteurs of fices,2
ceste marchan dise,2
moy fault advouer,2
plus grands personnaiges,2
aultre but amasser,2
comme advient ordinairement,2
toutes aultres choses,2
sans avoir esgard,2
leurs parens leurs,2
parens leurs amys,2
sans acception per,2
acception per sonne,2
comme ap partient,2
parler fran chement,2
prendre aulcung présent,2
distri bution justice,2
grande jeu nesse,2
comme dict cy,2
dict cy dessus,2
an rome avant,2
commença regarder richesses,2
quelque homme bien,2
homme bien valeur,2
tout estat bien,2
estat bien policé,2
comme ainsy soyt,2
condamné tout plat,2
notoirement charge peuple,2
foy pa rolle,2
plus grande partye,2
ez courts soub,2
courts soub veraines,2
temps bon roy,2
roy loys xii,2
aage trente ans,2
originaires lieu où,2
lieu où veulent,2
où veulent estre,2
veulent estre judges,2
tout long vie,2
auparavant aage trente,2
office judge soubverain,2
biens honneur vie,2
cent fois plus,2
tout ainsy si,2
cinq ans tout,2
ans tout plus,2
syndicat bout temps,2
charges pu blicques,2
dict cy devant,2
bonnes villes royaulme,2
incapables tenir jamais,2
bien faire tous,2
dict tite live,2
cœur assis bon,2
assis bon lieu,2
fois entre aultres,2
rien plus véritable,2
contre faulx tesmoings,2
rien plus fréquent,2
multitude longueur insupportable,2
longueur insupportable procez,2
sieur président vacquerie,2
moyen faire hayr,2
judges ministres justice,2
aultres meneues denrées,2
réformation justice leurs,2
vénalité offices judicature,2
argent présens quelque,2
ceulx entre judges,2
exercice leurs charges,2
grand petit royaulme,2
judges leurs vacations,2
leurs charges honneur,2
peine privation leurs,2
sitost procez estat,2
procez estat judger,2
judges argent présens,2
miz entre mains,2
faict dont question,2
nécessaire bien justice,2
si vostre cause,2
praticquée sans exception,2
trois jours aprés,2
espices aultres esmolumens,2
vostre vostre argent,2
vie prendre chose,2
quanto magis ab,2
biens tem porelz,2
riche réformation justice,2
plus grandes charges,2
monstré cy dessus,2
chose tant petite,2
ez provinces lointaines,2
soubs nom estrennes,2
si donne ordre,2
judges tant soubverains,2
conseil privé roy,2
traite reformation justice,1
reformation justice sixieme,1
justice sixieme partie,1
sixieme partie moyens,1
partie moyens remédes,1
moyens remédes reigler,1
remédes reigler réformer,1
reigler réformer justice,1
réformer justice our,1
justice our continuer,1
our continuer donc,1
continuer donc nostre,1
donc nostre ordre,1
nostre ordre fonder,1
ordre fonder colomnes,1
fonder colomnes mesme,1
colomnes mesme durée,1
mesme durée monde,1
durée monde fault,1
monde fault premier,1
