token_,count
laquelle doibt jamais,3
leurs propres privez,3
propres privez noms,3
toutes sortes remesdes,2
ame tout homme,2
vivre tout ainsy,2
ungs aultres comme,2
justice comme faict,2
soixante septante ans,2
ceste bénédiction ciel,2
non seulement faict,2
sainctes loyx ordonnances,2
argument foiblesse impuissance,2
teste bien faicte,2
aulcung quel puisse,2
quel puisse impunément,2
faire tort injure,2
moitié chemin faict,2
mettent aulcung debvoir,2
leurs parens leurs,2
mal faire nuire,2
faire nuire porter,2
nuire porter dommaige,2
mal faire quand,2
loups aultres bestes,2
aultres bestes ravissantes,2
plus grand prince,2
reste leurs jours,2
plus travailler cause,2
réformation justice cents,2
envers pauvre peuple,2
dict cy dessus,2
ez plus grandes,2
plus grandes villes,2
gens sac corde,2
vouldra plus estre,2
faict poinct justice,2
ordonnances orléans article,2
excez outraiges faicts,2
si grand nombre,2
jusques bestes brutes,2
auroit long temps,2
traite réformation justice,1
réformation justice cinquieme,1
justice cinquieme partie,1
cinquieme partie place,1
partie place sommaire,1
place sommaire cette,1
sommaire cette cinquiéme,1
cette cinquiéme partie,1
cinquiéme partie blanc,1
partie blanc manuscrit,1
blanc manuscrit mesme,1
manuscrit mesme temps,1
mesme temps grand,1
temps grand fabius,1
grand fabius feit,1
fabius feit veoir,1
feit veoir peuple,1
veoir peuple romain,1
peuple romain insigne,1
romain insigne exemple,1
insigne exemple piété,1
exemple piété envers,1
piété envers fabius,1
envers fabius gurges,1
fabius gurges fils,1
gurges fils lors,1
fils lors consul,1
lors consul perdeu,1
consul perdeu bataille,1
perdeu bataille contre,1
bataille contre samnites,1
contre samnites laquelle,1
samnites laquelle romains,1
laquelle romains receu,1
romains receu no,1
receu no table,1
no table perte,1
table perte honte,1
perte honte peu,1
honte peu temps,1
peu temps fabius,1
temps fabius gurgés,1
fabius gurgés fils,1
gurgés fils fabius,1
fils fabius maximus,1
fabius maximus père,1
maximus père fabius,1
père fabius cunctator,1
fabius cunctator consul,1
cunctator consul brutus,1
consul brutus scæva,1
brutus scæva an,1
scæva an rome,1
an rome vaincu,1
rome vaincu honteusement,1
vaincu honteusement samnites,1
honteusement samnites allait,1
samnites allait être,1
allait être rappelé,1
être rappelé père,1
rappelé père obtint,1
père obtint sénat,1
obtint sénat aller,1
sénat aller combattre,1
aller combattre comme,1
combattre comme lieutenant,1
comme lieutenant triompha,1
lieutenant triompha samnites,1
triompha samnites forez,1
samnites forez cassiodore,1
forez cassiodore eutrope,1
cassiodore eutrope traité,1
eutrope traité apres,1
traité apres abolie,1
apres abolie magnanimité,1
abolie magnanimité prudence,1
magnanimité prudence ct,1
prudence ct amour,1
ct amour patrie,1
amour patrie pere,1
patrie pere comme,1
pere comme di,1
comme di rons,1
di rons lieu,1
rons lieu ville,1
lieu ville rome,1
ville rome tout,1
rome tout pays,1
tout pays circonvoisin,1
pays circonvoisin infectée,1
circonvoisin infectée si,1
infectée si estrange,1
si estrange pestilence,1
estrange pestilence laquelle,1
pestilence laquelle desja,1
laquelle desja duré,1
desja duré deux,1
duré deux ans,1
deux ans entiers,1
ans entiers scachant,1
entiers scachant plus,1
scachant plus quel,1
plus quel secours,1
quel secours vouer,1
secours vouer quel,1
vouer quel conseil,1
quel conseil prendre,1
conseil prendre mi,1
prendre mi sérable,1
mi sérable estat,1
sérable estat auquel,1
estat auquel sentoient,1
auquel sentoient réduicts,1
sentoient réduicts recours,1
réduicts recours telle,1
recours telle extresmité,1
telle extresmité racle,1
extresmité racle leurs,1
racle leurs livres,1
leurs livres sibyllins,1
livres sibyllins dernier,1
sibyllins dernier refuge,1
dernier refuge ez,1
refuge ez grandes,1
ez grandes extresmitez,1
grandes extresmitez appriz,1
extresmitez appriz trouver,1
appriz trouver remesde,1
trouver remesde leurs,1
remesde leurs mi,1
leurs mi seres,1
mi seres convenoit,1
seres convenoit aller,1
convenoit aller épidaure,1
aller épidaure men,1
épidaure men dier,1
men dier ayde,1
dier ayde esculape,1
ayde esculape dieu,1
esculape dieu santé,1
dieu santé lequel,1
santé lequel gentilité,1
lequel gentilité reteneu,1
gentilité reteneu soubs,1
reteneu soubs ambi,1
soubs ambi tion,1
ambi tion imposture,1
tion imposture démons,1
imposture démons adoré,1
démons adoré comme,1
adoré comme dieu,1
comme dieu iutélaire,1
dieu iutélaire patron,1
iutélaire patron protecteur,1
patron protecteur lieu,1
protecteur lieu dépeschérent,1
lieu dépeschérent incontinent,1
dépeschérent incontinent leurs,1
incontinent leurs ambassa,1
leurs ambassa deurs,1
ambassa deurs péloponnese,1
deurs péloponnese estant,1
péloponnese estant arrivez,1
estant arrivez ob,1
arrivez ob tinrent,1
ob tinrent aysément,1
tinrent aysément tout,1
aysément tout demandoient,1
tout demandoient épidauriens,1
demandoient épidauriens temple,1
épidauriens temple esculape,1
temple esculape assis,1
esculape assis lieu,1
assis lieu hault,1
lieu hault distant,1
hault distant cinq,1
distant cinq mille,1
cinq mille ville,1
mille ville donner,1
ville donner entendre,1
donner entendre ez,1
entendre ez lieux,1
ez lieux eslevez,1
lieux eslevez air,1
eslevez air champs,1
air champs beaucoup,1
champs beaucoup meilleur,1
beaucoup meilleur plus,1
meilleur plus sain,1
plus sain celui,1
sain celui villes,1
celui villes ensuite,1
villes ensuite ceste,1
ensuite ceste courtoisie,1
ceste courtoisie réception,1
courtoisie réception ct,1
réception ct hos,1
ct hos pitalité,1
hos pitalité épidauriens,1
pitalité épidauriens génie,1
épidauriens génie lieu,1
génie lieu réformation,1
lieu réformation justice,1
réformation justice mieulx,1
justice mieulx dire,1
mieulx dire esprit,1
dire esprit erreur,1
esprit erreur guise,1
erreur guise grand,1
guise grand serpent,1
grand serpent sort,1
serpent sort visiblement,1
sort visiblement temple,1
visiblement temple passe,1
temple passe paisiblement,1
passe paisiblement travers,1
paisiblement travers ville,1
travers ville veu,1
ville veu sceu,1
veu sceu tous,1
sceu tous citoyens,1
tous citoyens tenoient,1
citoyens tenoient comme,1
tenoient comme tradition,1
comme tradition jamais,1
tradition jamais monstroit,1
jamais monstroit survinst,1
monstroit survinst bientost,1
survinst bientost aprés,1
bientost aprés pays,1
aprés pays quelque,1
pays quelque bon,1
quelque bon heur,1
bon heur prospérité,1
heur prospérité va,1
prospérité va tout,1
va tout droict,1
tout droict na,1
droict na vire,1
na vire romains,1
vire romains ancbre,1
romains ancbre auquel,1
ancbre auquel posa,1
auquel posa fort,1
posa fort tranquillement,1
fort tranquillement chambre,1
tranquillement chambre ogulinius,1
chambre ogulinius ambassadeurs,1
ogulinius ambassadeurs lesquelz,1
ambassadeurs lesquelz resjouys,1
lesquelz resjouys infiniment,1
resjouys infiniment cest,1
infiniment cest heureux,1
cest heureux succés,1
heureux succés met,1
succés met tent,1
met tent voile,1
tent voile vent,1
voile vent cinglent,1
vent cinglent si,1
cinglent si propos,1
si propos peu,1
propos peu jours,1
peu jours arrivèrent,1
jours arrivèrent antium,1
arrivèrent antium où,1
antium où temple,1
où temple esculape,1
temple esculape heure,1
esculape heure mesme,1
heure mesme serpent,1
mesme serpent depuis,1
serpent depuis miz,1
depuis miz vaisseau,1
miz vaisseau faict,1
vaisseau faict frime,1
faict frime quel,1
frime quel conque,1
quel conque léve,1
conque léve fort,1
léve fort doulcement,1
fort doulcement va,1
doulcement va poser,1
va poser entortiller,1
poser entortiller entour,1
entortiller entour myrthe,1
entour myrthe devant,1
myrthe devant grand,1
devant grand portail,1
grand portail temple,1
portail temple sé,1
temple sé journe,1
sé journe trois,1
journe trois jours,1
trois jours entiers,1
jours entiers faveur,1
entiers faveur habitans,1
faveur habitans grande,1
habitans grande dévotion,1
grande dévotion plustost,1
dévotion plustost superstition,1
plustost superstition lieu,1
superstition lieu bout,1
lieu bout desquelz,1
bout desquelz retourna,1
desquelz retourna prendre,1
retourna prendre mesme,1
prendre mesme place,1
mesme place navire,1
place navire ro,1
navire ro main,1
ro main lequel,1
main lequel miz,1
lequel miz voile,1
miz voile arrive,1
voile arrive tost,1
arrive tost aprés,1
tost aprés tant,1
aprés tant vent,1
tant vent propos,1
vent propos bien,1
propos bien prés,1
bien prés rome,1
prés rome applaudissement,1
rome applaudissement resjouyssance,1
applaudissement resjouyssance mer,1
resjouyssance mer veilleuse,1
mer veilleuse tout,1
veilleuse tout peuple,1
tout peuple veue,1
peuple veue duquel,1
veue duquel serpent,1
duquel serpent sort,1
serpent sort navire,1
sort navire monstrant,1
navire monstrant signe,1
monstrant signe al,1
signe al traite,1
al traite légresse,1
traite légresse passe,1
légresse passe tibre,1
passe tibre nage,1
tibre nage va,1
nage va poser,1
va poser isle,1
poser isle où,1
isle où depuis,1
où depuis basty,1
depuis basty temple,1
basty temple escu,1
temple escu lape,1
escu lape coustume,1
lape coustume anciens,1
coustume anciens recognoistre,1
