token_,count
servyce vray dieu,3
plus homme bien,3
traite réformation justice,2
tousjours devant yeulx,2
bon zèle envers,2
zèle envers peuple,2
justice toutes choses,2
toute piété justice,2
trois cent soixante,2
cent soixante ans,2
soixante ans auparavant,2
soixante dix ans,2
jamais sans aultre,2
dieu réformation justice,2
faict debvoir bon,2
tout aussy tost,2
porte justice fermée,2
deux jeunes hommes,2
sépulture deux filles,2
mis entre mains,2
entre mains ambassadeurs,2
dict tite live,2
tout ordre justice,2
animam pro anima,2
si grand soing,2
princes magistrats judges,2
aprés avoir faict,2
mil trois cent,2
ceulx appellent bonnes,2
appellent bonnes gens,2
grace port faveur,2
foy publicque soubs,2
publicque soubs asseurance,2
soubs asseurance laquelle,2
dict hault clair,2
faire quelque chose,2
chose contre conscience,2
mil quatre cens,2
quatre cens octante,2
requérir enterrinement non,2
si lieu faire,2
réformation justice trosieme,1
justice trosieme partie,1
trosieme partie injustice,1
partie injustice cause,1
injustice cause décadence,1
cause décadence bouleversement,1
décadence bouleversement empire,1
bouleversement empire romain,1
empire romain tour,1
romain tour ainsy,1
tour ainsy oeil,1
ainsy oeil guide,1
oeil guide conser,1
guide conser vateur,1
conser vateur gardien,1
vateur gardien tous,1
gardien tous corps,1
tous corps cy,1
corps cy dessus,1
cy dessus comparé,1
dessus comparé ame,1
comparé ame aussy,1
ame aussy œil,1
aussy œil corps,1
œil corps politique,1
corps politique justice,1
politique justice laquelle,1
justice laquelle ad,1
laquelle ad ministrée,1
ad ministrée roys,1
ministrée roys princes,1
roys princes soubverains,1
princes soubverains comme,1
soubverains comme aussy,1
comme aussy leurs,1
aussy leurs lieutenans,1
leurs lieutenans gouverneurs,1
lieutenans gouverneurs officiers,1
gouverneurs officiers magistrats,1
officiers magistrats doibvent,1
magistrats doibvent rien,1
doibvent rien avoir,1
rien avoir plus,1
avoir plus grande,1
plus grande recommandation,1
grande recommandation garder,1
recommandation garder peuples,1
garder peuples dieu,1
peuples dieu commiz,1
dieu commiz préserver,1
commiz préserver toute,1
préserver toute oppression,1
toute oppression injustice,1
oppression injustice vio,1
injustice vio lence,1
vio lence faire,1
lence faire vivre,1
faire vivre soubs,1
vivre soubs discipline,1
soubs discipline leurs,1
discipline leurs équitables,1
leurs équitables loyx,1
équitables loyx ordonnances,1
loyx ordonnances soubs,1
ordonnances soubs heu,1
soubs heu reuse,1
heu reuse protection,1
reuse protection justice,1
protection justice laquelle,1
justice laquelle tant,1
laquelle tant traité,1
tant traité jaloux,1
