token_,count
traite réformation justice,2
mieulx tout aultre,2
grand dommaige honte,2
dommaige honte confu,2
honte confu sion,2
juste auroit aultre,2
donc sans cause,2
amour eulx mesmes,2
réformation justice oi,2
bien faire proficter,2
dict plus grand,2
toutes aultres vertus,2
plus grande celle,2
charge thrésorier général,2
mary parmy prisonniers,2
réformation justice seconde,1
justice seconde partie,1
seconde partie sommaire,1
partie sommaire cette,1
sommaire cette partie,1
cette partie manque,1
partie manque manuscrits,1
manque manuscrits bibliothèque,1
manuscrits bibliothèque roi,1
bibliothèque roi bon,1
roi bon hésiode,1
bon hésiode poëte,1
hésiode poëte grec,1
poëte grec vivoit,1
grec vivoit temps,1
vivoit temps saul,1
temps saul premier,1
saul premier roy,1
premier roy hesbreux,1
roy hesbreux sem,1
hesbreux sem ble,1
sem ble divins,1
ble divins escripts,1
divins escripts avoir,1
escripts avoir puisé,1
avoir puisé pré,1
puisé pré ceptes,1
pré ceptes vives,1
ceptes vives sources,1
vives sources livres,1
sources livres sacrez,1
livres sacrez mieulx,1
sacrez mieulx tout,1
tout aultre qualité,1
aultre qualité repré,1
qualité repré senté,1
repré senté bien,1
senté bien mal,1
bien mal justice,1
mal justice injustice,1
justice injustice beaulx,1
injustice beaulx vers,1
beaulx vers bien,1
vers bien vouleu,1
bien vouleu tra,1
vouleu tra duire,1
tra duire nostre,1
duire nostre langue,1
nostre langue faire,1
langue faire veoir,1
faire veoir quelle,1
veoir quelle estime,1
quelle estime quel,1
estime quel rang,1
quel rang quel,1
rang quel respect,1
quel respect pauvre,1
respect pauvre payen,1
pauvre payen esclairé,1
payen esclairé possible,1
esclairé possible seule,1
possible seule lu,1
seule lu mière,1
lu mière nature,1
mière nature tenoit,1
nature tenoit justice,1
tenoit justice estonne,1
justice estonne comme,1
estonne comme ceulx,1
comme ceulx disent,1
ceulx disent chrestiens,1
disent chrestiens consé,1
chrestiens consé quemment,1
consé quemment debvroient,1
quemment debvroient trembler,1
debvroient trembler daus,1
trembler daus appréhen,1
daus appréhen sion,1
appréhen sion justice,1
sion justice divine,1
justice divine eschapperont,1
divine eschapperont traité,1
eschapperont traité tost,1
traité tost tard,1
tost tard non,1
tard non plus,1
non plus estat,1
plus estat si,1
estat si chimére,1
si chimére illusion,1
chimére illusion songe,1
illusion songe fantosme,1
songe fantosme faire,1
fantosme faire peur,1
faire peur petits,1
peur petits fans,1
petits fans prédiz,1
fans prédiz mesmement,1
prédiz mesmement ceulx,1
mesmement ceulx constituez,1
ceulx constituez ez,1
constituez ez dignitez,1
ez dignitez judgent,1
dignitez judgent aul,1
judgent aul truy,1
aul truy pensent,1
truy pensent capables,1
pensent capables conseil,1
capables conseil ire,1
conseil ire dieu,1
ire dieu porte,1
dieu porte tardera,1
porte tardera guéres,1
tardera guéres faire,1
guéres faire cognoistre,1
faire cognoistre sentir,1
cognoistre sentir grand,1
sentir grand dommaige,1
confu sion quelle,1
sion quelle justice,1
quelle justice religion,1
justice religion quilz,1
religion quilz tel,1
quilz tel mespris,1
tel mespris peult,1
mespris peult estre,1
peult estre sans,1
estre sans aultre,1
sans aultre propos,1
aultre propos dict,1
propos dict origéne,1
dict origéne dieu,1
origéne dieu nostre,1
dieu nostre créateur,1
nostre créateur justice,1
créateur justice vivante,1
justice vivante sorte,1
vivante sorte peult,1
sorte peult dire,1
peult dire vérité,1
dire vérité tout,1
vérité tout homme,1
tout homme poinct,1
homme poinct justice,1
poinct justice poinct,1
justice poinct aussy,1
poinct aussy religion,1
aussy religion laissons,1
religion laissons athées,1
laissons athées si,1
athées si tant,1
si tant meurent,1
tant meurent endurciz,1
meurent endurciz oyons,1
endurciz oyons nostre,1
oyons nostre poéte,1
nostre poéte sous,1
poéte sous nom,1
sous nom roys,1
nom roys entend,1
roys entend toujours,1
entend toujours judges,1
toujours judges roy,1
judges roy tant,1
roy tant siens,1
tant siens étrangers,1
siens étrangers propice,1
étrangers propice rend,1
propice rend également,1
rend également équité,1
également équité justice,1
équité justice enrichit,1
justice enrichit cités,1
enrichit cités peuple,1
cités peuple puissant,1
peuple puissant paix,1
puissant paix faict,1
paix faict veoir,1
faict veoir estat,1
veoir estat florissant,1
estat florissant grand,1
florissant grand dieu,1
grand dieu tout,1
dieu tout veoit,1
tout veoit détourne,1
veoit détourne guerre,1
détourne guerre permettra,1
guerre permettra poinct,1
permettra poinct ravaige,1
poinct ravaige terre,1
ravaige terre vaige,1
terre vaige faim,1
vaige faim assaillira,1
faim assaillira jamais,1
assaillira jamais tout,1
jamais tout homme,1
tout homme droictement,1
homme droictement faicts,1
droictement faicts verra,1
faicts verra champs,1
verra champs espérance,1
champs espérance certaine,1
espérance certaine cr,1
certaine cr ct,1
cr ct réformation,1
ct réformation justice,1
réformation justice croistre,1
justice croistre milliers,1
croistre milliers troupeau,1
milliers troupeau portelaine,1
troupeau portelaine nombre,1
portelaine nombre beaulx,1
nombre beaulx enfans,1
beaulx enfans femme,1
enfans femme portera,1
femme portera seul,1
portera seul mary,1
seul mary amour,1
mary amour esprouvera,1
amour esprouvera arbres,1
esprouvera arbres tout,1
arbres tout panchez,1
tout panchez ruches,1
panchez ruches abeilles,1
ruches abeilles produiront,1
abeilles produiront fruicts,1
produiront fruicts miel,1
fruicts miel merveilles,1
miel merveilles aimera,1
merveilles aimera siens,1
aimera siens chéri,1
siens chéri eulx,1
chéri eulx vivra,1
eulx vivra content,1
vivra content sien,1
content sien nul,1
sien nul aultre,1
nul aultre envieux,1
aultre envieux homme,1
envieux homme remply,1
homme remply ruse,1
remply ruse malice,1
ruse malice duquel,1
malice duquel tout,1
duquel tout plaisir,1
tout plaisir gist,1
plaisir gist faire,1
gist faire injustice,1
faire injustice dieu,1
injustice dieu juste,1
dieu juste vengeur,1
juste vengeur prépare,1
vengeur prépare tourment,1
prépare tourment digne,1
tourment digne forfaicts,1
digne forfaicts hait,1
forfaicts hait tellement,1
hait tellement homme,1
tellement homme seul,1
homme seul méchant,1
seul méchant détestable,1
méchant détestable revient,1
détestable revient maintes,1
revient maintes fois,1
maintes fois estat,1
fois estat déplorable,1
estat déplorable plus,1
déplorable plus grandes,1
plus grandes cités,1
grandes cités fauchant,1
cités fauchant labeur,1
fauchant labeur tant,1
labeur tant irrité,1
tant irrité pauvre,1
irrité pauvre laboureur,1
pauvre laboureur eslance,1
laboureur eslance partout,1
eslance partout peste,1
partout peste famine,1
peste famine formidables,1
famine formidables fléaux,1
formidables fléaux fureur,1
fléaux fureur divine,1
fureur divine peuples,1
divine peuples éperdeus,1
peuples éperdeus si,1
éperdeus si malheureux,1
si malheureux sort,1
malheureux sort desirent,1
sort desirent rien,1
desirent rien lors,1
rien lors soudaine,1
lors soudaine mort,1
soudaine mort passer,1
mort passer langueurs,1
passer langueurs si,1
langueurs si triste,1
si triste vie,1
triste vie ainsy,1
vie ainsy tout,1
ainsy tout puissant,1
tout puissant fureur,1
puissant fureur non,1
fureur non punie,1
non punie demeure,1
punie demeure jamais,1
demeure jamais fault,1
jamais fault souvenir,1
fault souvenir heureux,1
souvenir heureux celui,1
heureux celui là,1
celui là peult,1
là peult prévenir,1
peult prévenir judgeant,1
prévenir judgeant raison,1
judgeant raison vérité,1
raison vérité quand,1
vérité quand bon,1
quand bon judge,1
bon judge homme,1
judge homme juste,1
homme juste auroit,1
auroit aultre récompense,1
aultre récompense conten,1
récompense conten tement,1
conten tement apporte,1
tement apporte bonne,1
apporte bonne vie,1
bonne vie in,1
vie in juste,1
in juste auroit,1
auroit aultre peine,1
aultre peine tourment,1
peine tourment sup,1
tourment sup plice,1
sup plice maulvaise,1
plice maulvaise conscience,1
maulvaise conscience assez,1
conscience assez encourager,1
assez encourager perpétuellement,1
encourager perpétuellement bien,1
perpétuellement bien destourner,1
bien destourner jamais,1
destourner jamais aultre,1
jamais aultre mal,1
aultre mal traité,1
mal traité juste,1
traité juste dict,1
juste dict sénèque,1
dict sénèque veit,1
sénèque veit jamais,1
veit jamais sans,1
jamais sans al,1
sans al légresse,1
al légresse ceste,1
légresse ceste allégresse,1
ceste allégresse vient,1
allégresse vient bonne,1
vient bonne conscience,1
bonne conscience propos,1
conscience propos dict,1
propos dict salomon,1
dict salomon tous,1
salomon tous jours,1
tous jours homme,1
jours homme inique,1
homme inique maulvais,1
inique maulvais dire,1
maulvais dire pleins,1
dire pleins angoisse,1
pleins angoisse peine,1
angoisse peine travail,1
peine travail ame,1
travail ame nette,1
ame nette crime,1
nette crime toujours,1
crime toujours ainsy,1
toujours ainsy fes,1
ainsy fes perpétuel,1
fes perpétuel sceu,1
perpétuel sceu dire,1
sceu dire davantaige,1
dire davantaige peu,1
