token_,count
si grand nombre,5
an mil trois,4
mil trois cent,4
mil quatre cent,4
plus grandes dignitez,4
comme dict cy,4
dict cy dessus,4
bien sou vent,3
cent quatre vingt,3
quatre vingt dix,3
an mil quatre,3
plus meschans hommes,3
plein sé nat,3
beaulx deniers comptans,3
fault bien croire,3
vie sans reproche,3
gens bien honneur,3
soubs telz gouvernemens,3
chose tant petite,3
traité réformation justice,2
piété justice bien,2
justice bien public,2
bien public aultres,2
duquel parlé cy,2
parlé cy dessus,2
long temps auparavant,2
longue fascheuse maladie,2
tous aultres peuples,2
tant vigueur force,2
bien vray fault,2
plus nobles partyes,2
homme bon sens,2
florissant armes loyx,2
exacte distribution justice,2
sortes vices corruptions,2
mises entre mains,2
ez plus grandes,2
conscience judges regard,2
tout bon sembloit,2
plus grands honneurs,2
si bonne fortune,2
soubs faveur laquelle,2
beaulx niers comptans,2
pluspart entre eulx,2
vénalité toutes choses,2
comme dict ailleurs,2
chose fort aisée,2
phi lippe bel,2
non seu lement,2
aprés avoir ouy,2
justice plus grande,2
temps philippe bel,2
plus sou vent,2
roy sainct loys,2
long temps ceste,2
tomber entre mains,2
aujourd huy plus,2
soubveraines subal ternes,2
ceste sorte gens,2
mil cinq cent,2
réformation justice plus,2
judges aultres officiers,2
cent fois plus,2
fois plus grand,2
justice entre aultres,2
abolir toutes tailles,2
comme dirons cy,2
tous gens bien,2
gens bien royaulme,2
plus grandes charges,2
grandes charges dignitez,2
intégrité bonne resputation,2
toutes sortes in,2
plus illustres maisons,2
valeur pru dence,2
plus homme bien,2
magistrats plus grandes,2
grandes dignitez estoient,2
entre mains plus,2
meschans hommes temps,2
puissent faire profict,2
gens bien saiges,2
fault donc estonner,2
si bel ordre,2
ordre tant justice,2
si doulx si,2
quelque prix feust,2
prix feust vouloit,2
grands person naiges,2
voulant prendre peine,2
toutes sortes exactions,2
plus lourd stupide,2
termes piété justice,2
piété justice raison,2
aultres ministres voluptez,2
partyes ca suelles,2
plus grand mal,2
faire amas argent,2
tous ceulx estoient,2
leurs amys leurs,2
là où contraire,2
plus grands personnaiges,2
grands personnaiges empire,2
offices judicature plus,2
celuy donnoit plus,2
gens peu vertu,2
provinces places fortes,2
réformation justice lieu,2
leurs bonnes mœurs,2
peu loyx ordonnances,2
honneurs dignitez publicques,2
estant bien certain,2
toutes aultres nations,2
bonne briefve justice,2
anciennes cous tumes,2
cous tumes pays,2
quoy tend desseing,2
courts tant soubveraines,2
maul vaise cause,2
gaing sordide illibéral,2
peu procez estoient,2
tant judges aultres,2
multitude longueur procez,2
deux diverses fois,2
fault tenir maxime,2
vengeance divine teste,2
huict cens esceus,2
gaiges cinq années,2
trois cents ans,2
sept huict mille,2
huict mille esceus,2
depuis temps là,2
offices judica ture,2
peult estre sans,2
tant faire peult,2
maulvaise chose tant,2
réformation justice in,2
judges leurs vacations,2
honneur non lucre,2
réformation justice quatrième,1
justice quatrième partie,1
quatrième partie ancienne,1
partie ancienne dignité,1
ancienne dignité grandeur,1
dignité grandeur majesté,1
grandeur majesté justice,1
majesté justice france,1
justice france laquelle,1
france laquelle comme,1
laquelle comme plus,1
comme plus nette,1
plus nette plus,1
nette plus entiére,1
plus entiére recours,1
entiére recours tous,1
recours tous coings,1
tous coings chrestienté,1
coings chrestienté so,1
chrestienté so grand,1
so grand plaisir,1
grand plaisir dict,1
plaisir dict lucréce,1
dict lucréce veoir,1
lucréce veoir loing,1
veoir loing estant,1
loing estant terre,1
estant terre ferme,1
terre ferme grand,1
ferme grand vais,1
grand vais seau,1
vais seau mer,1
seau mer agité,1
mer agité batteu,1
agité batteu tourmenté,1
batteu tourmenté vents,1
tourmenté vents vagues,1
vents vagues tempeste,1
vagues tempeste consi,1
tempeste consi dérer,1
consi dérer péril,1
dérer péril aultruy,1
péril aultruy toute,1
aultruy toute seureté,1
toute seureté comme,1
seureté comme aussy,1
comme aussy contempler,1
aussy contempler hault,1
contempler hault quelque,1
hault quelque forte,1
quelque forte tour,1
forte tour lieu,1
tour lieu inaccessible,1
lieu inaccessible conflict,1
inaccessible conflict cha,1
conflict cha mailis,1
cha mailis deux,1
mailis deux grosses,1
deux grosses armées,1
grosses armées mains,1
armées mains grande,1
mains grande spacieuse,1
grande spacieuse campaigne,1
spacieuse campaigne non,1
campaigne non dict,1
non dict ayt,1
dict ayt aultrement,1
ayt aultrement quoy,1
aultrement quoy resjouir,1
quoy resjouir veoir,1
resjouir veoir calamités,1
veoir calamités misères,1
calamités misères aultruy,1
misères aultruy comme,1
aultruy comme voulant,1
comme voulant dire,1
voulant dire peu,1
dire peu consolation,1
peu consolation sentir,1
consolation sentir abry,1
sentir abry traité,1
abry traité sans,1
traité sans hazard,1
sans hazard pendant,1
hazard pendant aultres,1
pendant aultres courent,1
aultres courent tant,1
courent tant estranges,1
tant estranges fortunes,1
estranges fortunes biens,1
fortunes biens vie,1
biens vie suave,1
vie suave mari,1
suave mari magno,1
mari magno turbantibus,1
magno turbantibus æquora,1
turbantibus æquora ventis,1
æquora ventis terra,1
ventis terra niagnum,1
terra niagnum alterius,1
niagnum alterius spectare,1
alterius spectare laborem,1
spectare laborem non,1
laborem non quod,1
non quod vexari,1
quod vexari quemquam,1
vexari quemquam sit,1
quemquam sit summa,1
sit summa voluptas,1
summa voluptas sed,1
voluptas sed quibus,1
sed quibus ipse,1
quibus ipse malis,1
ipse malis careas,1
malis careas quia,1
careas quia cernere,1
quia cernere suave,1
cernere suave suave,1
suave suave etiam,1
suave etiam belli,1
etiam belli certamina,1
belli certamina magna,1
certamina magna tueri,1
magna tueri per,1
tueri per campos,1
per campos instructa,1
campos instructa tua,1
instructa tua sine,1
tua sine parte,1
sine parte pericli,1
parte pericli ll,1
pericli ll sen,1
ll sen peult,1
sen peult dire,1
peult dire autant,1
dire autant injures,1
autant injures opres,1
injures opres sions,1
opres sions injustices,1
sions injustices violences,1
injustices violences excés,1
violences excés oultraiges,1
excés oultraiges tous,1
oultraiges tous jours,1
tous jours soubs,1
jours soubs couleur,1
soubs couleur néant,1
couleur néant moins,1
néant moins voile,1
moins voile piété,1
voile piété justice,1
public aultres prétextes,1
aultres prétextes scavoir,1
prétextes scavoir chose,1
scavoir chose fort,1
chose fort doulce,1
fort doulce expérimenter,1
doulce expérimenter ticulier,1
expérimenter ticulier ains,1
ticulier ains veoir,1
ains veoir tout,1
veoir tout aise,1
tout aise souffrir,1
aise souffrir million,1
souffrir million personnes,1
million personnes réduictes,1
personnes réduictes toutes,1
réduictes toutes sortes,1
toutes sortes extrémités,1
sortes extrémités injustices,1
extrémités injustices impunément,1
injustices impunément faictes,1
