token_,count
justice,43
leurs,37
plus,34
faire,33
bien,30
partyes,27
si,27
tout,27
créanciers,25
avoir,21
sans,21
cause,20
tous,20
réformation,19
aultres,19
tant,19
judges,18
procez,17
contre,16
ceste,16
fort,15
mesme,15
faict,15
comme,14
ceulx,14
despends,13
grand,13
poinct,13
héritier,13
ordre,12
peuple,12
ordonnance,12
aultre,12
aussy,11
fault,11
advocats,11
eulx,11
traite,10
plusieurs,10
jours,10
biens,10
bon,9
toutes,9
estre,9
article,9
quelque,9
souvent,9
partye,9
payer,9
moins,9
lieu,8
ladicte,8
traité,8
lesquelz,8
judge,8
peult,8
con,8
afin,8
parce,8
deux,8
peine,8
grande,8
terre,8
moyen,8
soubs,8
estoient,8
debtes,8
cy,7
devant,7
roy,7
raison,7
entre,7
procureurs,7
cas,7
playder,7
qualité,7
in,7
temps,7
lequel,7
néantmoins,7
quoy,7
causes,7
ment,7
aujourd,7
huy,7
dis,7
droict,7
ruyne,7
profict,7
rien,7
avant,7
deniers,7
dessus,6
ains,6
assez,6
aultant,6
bonne,6
veult,6
orléans,6
blois,6
elles,6
appel,6
dict,6
fois,6
sergens,6
mains,6
telles,6
iceluy,6
ez,6
trois,6
apres,6
nom,6
jamais,6
débiteur,6
pourveoir,5
sorte,5
aultrement,5
moyens,5
telz,5
conseil,5
maulvaise,5
articles,5
celle,5
grands,5
abbus,5
exploict,5
teneus,5
mal,5
dont,5
autant,5
maisons,5
donner,5
veoire,5
chascung,5
ainsy,5
encores,5
pauvre,5
longueur,5
fraix,5
cela,5
rendre,5
honneur,5
trouve,5
dix,5
bénéfice,5
deffunct,5
succession,5
consignations,5
icelles,4
bonnes,4
ordonnances,4
peines,4
personne,4
an,4
soyent,4
mettre,4
dommaiges,4
semble,4
grandes,4
jour,4
siége,4
noms,4
cinq,4
lesdicts,4
escript,4
propres,4
taxe,4
vingt,4
combien,4
six,4
besoing,4
remesdier,4
grandement,4
oultre,4
auroit,4
arrive,4
affaire,4
aultruy,4
pro,4
peu,4
gens,4
remesde,4
affaires,4
mesmes,4
espices,4
vuider,4
laquelle,4
trouver,4
enfans,4
peuvent,4
ct,4
inventaire,4
mort,4
raisonnable,4
telle,4
mois,4
homme,4
adjudication,4
mille,4
tel,4
lesquelles,3
aprés,3
iceulx,3
empescher,3
briefve,3
pourra,3
choses,3
où,3
faicts,3
nombre,3
tesmoings,3
champ,3
ledict,3
registre,3
judgement,3
donné,3
feront,3
vérité,3
condamnez,3
feust,3
audict,3
soulaigement,3
subjects,3
charges,3
quand,3
veulent,3
laisser,3
ayent,3
art,3
ad,3
deffense,3
obvier,3
champs,3
domicile,3
greffier,3
chascune,3
faulte,3
adviz,3
intérest,3
quelz,3
condamner,3
refus,3
après,3
judger,3
privez,3
viii,3
concussion,3
amendes,3
arrest,3
esceus,3
principallement,3
multitude,3
dire,3
conscience,3
descharger,3
maintes,3
addition,3
refuge,3
tort,3
debvroient,3
quel,3
furti,3
ungs,3
charles,3
lors,3
néant,3
chose,3
ancienne,3
audience,3
puis,3
familles,3
praticque,3
vacquer,3
soubveraines,3
nécessaire,3
veu,3
com,3
dieu,3
là,3
lettres,3
paulvres,3
maison,3
exécution,3
arrests,3
héritiers,3
feussent,3
hérédité,3
aulcung,3
maniement,3
suyvant,3
donc,3
icelle,3
solvable,3
prendre,3
cognoissance,3
maniere,3
pouvoir,3
toute,3
authoriser,3
compromiz,3
sommaire,2
matières,2
proposées,2
nécessaires,2
corps,2
maladies,2
advenir,2
desduicts,2
injustices,2
exé,2
g,2
esprit,2
processif,2
fondemens,2
va,2
malicieusement,2
prince,2
propoz,2
praticquer,2
premiere,2
assignation,2
ouys,2
vuyder,2
instant,2
teneu,2
préjudice,2
charge,2
amende,2
selon,2
troisiesme,2
surprise,2
enveloppée,2
nettement,2
roussillon,2
juridiction,2
ticle,2
palais,2
exploicter,2
donnent,2
tyes,2
récépissé,2
main,2
puisse,2
sement,2
pourveu,2
doibt,2
huissiers,2
ex,2
vouldront,2
excuses,2
valables,2
nullité,2
intérests,2
apparoir,2
semblablement,2
sinon,2
forme,2
aller,2
hommes,2
seigneurs,2
prochain,2
dudict,2
ressort,2
gref,2
fier,2
donnée,2
desdicts,2
regard,2
refusent,2
officiers,2
personnes,2
séjour,2
prenant,2
priz,2
voyage,2
pa,2
sept,2
inéd,2
nécessairement,2
retrancher,2
cest,2
effect,2
moulins,2
desduictes,2
petite,2
loy,2
puissance,2
rité,2
obligé,2
fournir,2
obteneu,2
aul,2
oster,2
voile,2
toutesfois,2
alieno,2
prétexte,2
playdeurs,2
joinct,2
ac,2
soustenir,2
sou,2
vent,2
envers,2
appellations,2
sentences,2
aulcune,2
bourse,2
coust,2
france,2
devers,2
tiltres,2
vray,2
ordinaires,2
inventions,2
désordre,2
laissé,2
mestier,2
fasse,2
vient,2
suyte,2
maniére,2
voyages,2
parlement,2
verballes,2
courts,2
chambre,2
expédition,2
vui,2
dent,2
conseillers,2
président,2
advocat,2
faisoit,2
ré,2
deffenses,2
contraire,2
veoyent,2
prises,2
moindres,2
dommaige,2
ailleurs,2
exécuter,2
quatre,2
quelques,2
fins,2
artifices,2
tirant,2
reformation,2
grandissime,2
esprits,2
friandise,2
suyvre,2
livres,2
fréquence,2
esvocations,2
matière,2
caz,2
cents,2
ordinaire,2
prudence,2
chicanneurs,2
donneront,2
mens,2
recebvront,2
hault,2
quent,2
sous,2
successions,2
solvables,2
retirer,2
jurisprudence,2
gré,2
fils,2
anciens,2
esdict,2
vendeus,2
jouisse,2
appartiennent,2
satisfaire,2
prend,2
apparence,2
reveneus,2
administration,2
pur,2
