token_,count
plus,270
bien,216
justice,214
si,178
faire,150
tout,147
comme,145
leurs,136
aultres,105
faict,105
réformation,99
ceste,98
sans,97
ceulx,96
tant,94
poinct,93
judges,91
temps,88
aultre,83
jamais,83
dict,82
mesme,78
estre,75
grand,73
fault,71
non,71
tous,71
avoir,70
honneur,67
bon,64
fort,63
toutes,62
parce,62
quelque,59
rien,58
argent,57
aussy,57
présens,55
procez,53
peuple,53
homme,51
vertu,51
mal,50
soubs,50
grands,50
estat,48
toute,47
charges,47
gens,47
eulx,47
in,46
grande,46
prince,45
dieu,45
traité,44
dire,44
quand,44
roy,43
cause,43
partyes,43
lieu,42
ainsy,42
judge,41
afin,41
entre,40
hommes,40
ez,40
cela,40
monde,39
celuy,39
encores,39
charge,39
bonne,38
laquelle,38
raison,38
traite,37
royaulme,37
deux,37
prendre,37
public,37
moyen,36
con,36
chose,36
estoient,36
peine,36
avarice,34
moins,34
nostre,33
magistrats,33
offices,33
dont,32
contre,32
aulcung,32
huy,31
vie,31
peu,31
cest,31
vérité,31
ment,31
faveur,30
vray,30
court,30
selon,29
ans,29
là,29
néantmoins,29
choses,29
cy,29
bons,28
mains,28
lequel,28
peult,28
chascung,28
pro,28
grandes,28
elles,27
quoy,27
loyx,26
seulement,26
droict,26
main,26
regard,25
loy,25
officiers,24
gaiges,24
aujourd,24
force,24
où,24
plusieurs,24
ordre,23
ordonnances,23
lesquelz,23
nombre,23
soyt,23
injustice,22
ct,22
tousjours,22
devant,22
mérite,22
aage,21
nom,21
personne,21
magistrat,21
souvent,21
apres,21
vostre,21
puis,20
estant,20
facon,20
pauvre,20
veult,20
empereur,20
corruption,20
conseil,20
mieulx,20
sainct,20
advocats,20
jours,20
cas,20
mettre,20
dessus,20
donc,19
scavoir,19
veoire,19
debvoir,19
propos,19
affaires,19
sorte,19
tel,19
provinces,19
ayt,19
bonnes,18
estats,18
envers,18
feit,18
doibt,18
authorité,18
rome,18
ville,18
avant,18
sortes,18
personnes,18
parmy,17
injustices,17
soyent,17
pluspart,17
assez,17
qualité,17
ex,17
office,17
lors,17
dis,17
ame,16
nécessaire,16
depuis,16
jusques,16
mesmes,16
icelles,16
tion,16
princes,16
rendre,16
trois,16
sénat,16
romains,16
com,16
biens,16
premier,15
intégrité,15
celle,15
veoir,15
trop,15
disoit,15
petit,15
feust,15
toutesfois,15
veulent,15
costé,15
fois,15
subjects,15
beaucoup,15
aultant,15
profict,15
pauvres,15
villes,15
dignitez,14
autant,14
fera,14
ailleurs,14
respublicque,14
empire,14
donner,14
certain,14
quel,14
conscience,14
contraire,14
miz,14
ad,14
ac,14
tort,14
occasion,14
aul,14
richesses,14
après,14
faisoit,14
ains,14
police,13
qualitez,13
paix,13
france,13
an,13
suffisance,13
maulvaise,13
icelle,13
meschans,13
saige,13
quam,13
jeunes,13
aultrement,13
gaing,13
sens,13
pré,13
pourveu,13
amys,13
sed,13
nec,13
publicque,13
moyens,12
trouve,12
mesmement,12
long,12
oultre,12
saiges,12
romain,12
semble,12
punir,12
soing,12
prend,12
judger,12
faulte,12
quelques,12
sinon,12
riches,12
doibvent,12
fin,12
