token_,count
plus,141
justice,113
bien,98
tout,81
faict,77
si,72
faire,69
comme,66
leurs,65
aultres,59
tant,58
ceulx,57
ceste,50
sans,50
poinct,46
dieu,45
non,45
réformation,44
mal,43
peuple,41
estre,38
mesme,37
aultre,36
grand,34
tous,34
fault,32
grands,31
hommes,31
rien,30
temps,29
quelque,29
celuy,29
traité,28
jamais,28
trop,28
moins,28
in,27
nostre,27
quand,27
aussy,26
avoir,26
dict,26
soubs,25
fort,25
grande,25
royaulme,25
contre,24
lieu,24
estat,24
bon,24
injustice,24
toute,23
envers,22
toutes,22
entre,22
homme,21
encores,21
prince,21
peult,21
monde,21
cela,21
eulx,21
dont,20
cy,20
vie,19
parce,19
personne,18
vertu,18
doibt,18
tort,18
laquelle,17
peu,17
deux,17
ainsy,17
honneur,17
mieulx,16
loyx,16
roy,16
aultruy,16
là,16
traite,15
veoir,15
jours,15
main,15
veoire,15
pourveu,15
aulcung,15
cause,15
afin,15
outraiges,15
faicte,15
ct,14
lequel,14
pauvres,14
injure,14
amour,13
trois,13
nombre,13
force,13
estats,13
seulement,13
soyt,13
bonne,13
donc,13
con,13
vivre,13
pro,13
plusieurs,13
injustices,13
prendre,12
veu,12
chose,12
néantmoins,12
ment,12
souvent,12
dis,12
vostre,12
patrie,11
quel,11
auquel,11
ez,11
grandes,11
dire,11
miz,11
graces,11
mort,11
france,11
autant,11
faicts,11
estoient,11
feust,11
fois,11
assez,11
cas,11
ayent,11
soubverain,11
premier,11
offices,11
peine,11
biens,11
outraige,11
debvoir,11
auroit,11
ville,10
telle,10
estant,10
donner,10
cest,10
faveur,10
moyen,10
subjects,10
faulte,10
pouvoir,10
petits,10
mesmes,10
nature,10
bestes,10
excez,10
piété,9
apres,9
lesquelz,9
heureux,9
depuis,9
devant,9
long,9
sortes,9
servyce,9
ruyne,9
juste,9
grandeur,9
chascung,9
princes,9
veuille,9
pluspart,9
gens,9
respublicque,9
combien,9
per,9
raison,9
ungs,9
contraire,9
empescher,9
charges,9
jusques,9
rendre,9
violence,9
noblesse,9
seigneur,9
petit,9
rome,8
ans,8
tion,8
aprés,8
propos,8
où,8
plustost,8
ex,8
vivant,8
couraige,8
quoy,8
icelle,8
soyent,8
repos,8
ailleurs,8
liberté,8
perdre,8
public,8
mains,8
prennent,8
aulcune,8
laisser,8
fortune,8
celles,8
obéyssance,8
ayt,8
regard,8
violences,8
loy,8
publicque,8
cette,7
feit,7
lors,7
romains,7
refuge,7
temple,7
hault,7
mille,7
va,7
droict,7
faisant,7
scavoir,7
conscience,7
aultrement,7
puisse,7
pourveoir,7
pauvre,7
ordre,7
doibvent,7
vray,7
ciel,7
roys,7
ad,7
peuples,7
lité,7
tousjours,7
authorité,7
choses,7
nécessaire,7
argent,7
avarice,7
naturel,7
oppression,7
elles,7
volonté,7
cent,7
impunément,7
offenser,7
audace,7
terre,7
riches,7
innocence,7
quam,7
propre,7
venise,7
partye,7
receu,6
an,6
estrange,6
desja,6
esculape,6
beaucoup,6
villes,6
prospérité,6
met,6
vent,6
desquelz,6
duquel,6
faveurs,6
personnaiges,6
dés,6
auparavant,6
remesdes,6
rang,6
besoing,6
ame,6
pos,6
cœur,6
veult,6
discipline,6
nécessité,6
garde,6
quod,6
moeurs,6
quelquesfois,6
oultre,6
celle,6
aul,6
mérite,6
porter,6
nom,6
corps,6
apparence,6
enfans,6
parmy,6
feurent,6
faictes,6
dessus,6
ordonnances,6
bonnes,6
judges,6
procez,6
ordonnance,6
trouve,6
sic,6
pis,6
quil,6
officiers,6
vouleu,6
pa,6
effect,6
lesquelles,6
maulx,6
magistrats,6
qualité,6
subject,6
veneu,6
fasse,6
mettent,6
craincte,6
oppressions,6
maisons,6
riche,6
outraiger,6
loups,6
brutes,6
puis,6
indignitez,6
bourgeois,6
meurtres,6
fabius,5
aller,5
pays,5
heure,5
arrive,5
op,5
compte,5
saige,5
longue,5
fin,5
doubte,5
huy,5
sorte,5
charité,5
principallement,5
plaist,5
bons,5
ennemy,5
poincts,5
seroient,5
ré,5
platon,5
police,5
caton,5
zèle,5
directement,5
pu,5
desir,5
affaires,5
retourner,5
mœurs,5
auxquelz,5
poursuyte,5
soing,5
maniere,5
mettre,5
saulver,5
teneu,5
histoire,5
jour,5
vers,5
dissimulation,5
bourse,5
vénalité,5
tiltre,5
iceulx,5
feu,5
porte,5
orléans,5
judgement,5
monarque,5
postérité,5
soubverains,5
impuissance,5
puissans,5
teste,5
genre,5
humain,5
forme,5
mo,5
maxime,5
maison,5
empereur,5
offense,5
empesche,5
toutesfois,5
res,5
seigneurs,5
plaisir,5
sert,5
crime,5
faim,5
article,5
plein,5
aulcungs,5
pourroit,5
couronne,5
amendes,5
armes,5
exemple,4
père,4
prudence,4
duré,4
secours,4
extresmité,4
remesde,4
ayde,4
air,4
erreur,4
serpent,4
passe,4
sceu,4
citoyens,4
tent,4
voile,4
faulx,4
ut,4
hinc,4
quisque,4
servy,4
feux,4
pourroient,4
sous,4
guérir,4
arriver,4
chasser,4
gros,4
puissant,4
prochain,4
vengeur,4
ront,4
actions,4
sainct,4
ca,4
exemples,4
vertus,4
demeure,4
pendant,4
haulte,4
monstre,4
aysé,4
cet,4
soubviens,4
belles,4
appius,4
com,4
cicéron,4
sed,4
tres,4
esse,4
rigueur,4
ranger,4
gloire,4
servyces,4
tel,4
vérité,4
foiblesse,4
longuement,4
saiges,4
accoustumé,4
crainct,4
vrays,4
servytude,4
francois,4
oster,4
inéd,4
loing,4
donné,4
maulvais,4
félicité,4
prie,4
environ,4
esceus,4
cents,4
maintenant,4
tient,4
profict,4
teneus,4
commencement,4
blois,4
debvroient,4
accidens,4
tre,4
digne,4
gueres,4
iceluy,4
appartient,4
connivence,4
sions,4
punir,4
nobles,4
sitost,4
fassent,4
verges,4
chemin,4
injures,4
orgueil,4
personnes,4
petite,4
famille,4
nuire,4
dommaige,4
superbe,4
chef,4
veoit,4
punition,4
offensez,4
privez,4
moitié,4
hoc,4
cher,4
mere,4
sang,4
prix,4
meschans,4
richesses,4
ains,4
aime,4
divine,4
majesté,4
vivent,4
coeur,4
degré,4
judge,4
prendra,4
plaincte,4
pétulance,4
outraigeux,4
telz,4
ap,4
qua,4
peulvent,4
moindre,4
pauvreté,4
pense,4
offensé,4
travailler,4
état,4
user,4
brigands,4
gentilhomme,4
journellement,4
corde,4
vouldra,4
désespoir,4
raisonnable,4
peines,4
intérest,4
pont,4
tirer,4
despends,4
récompenses,4
place,3
romain,3
insigne,3
fils,3
consul,3
samnites,3
no,3
perte,3
honte,3
magnanimité,3
mi,3
arrivez,3
cinq,3
eslevez,3
esprit,3
paisiblement,3
na,3
doulcement,3
poser,3
sé,3
veue,3
signe,3
basty,3
coustume,3
anciens,3
dieux,3
douze,3
liber,3
potest,3
médecin,3
nommé,3
ordonna,3
bois,3
maladie,3
po,3
nie,3
asseurée,3
louange,3
vault,3
seul,3
particuliers,3
géné,3
prins,3
supporter,3
demeurant,3
question,3
passer,3
midy,3
divines,3
humaines,3
grace,3
chrestiens,3
vaillant,3
louanges,3
saincte,3
puisque,3
occasion,3
disoit,3
empereurs,3
illustres,3
reformation,3
rechercher,3
peuvent,3
aage,3
ferme,3
impossible,3
faulse,3
volontez,3
tions,3
fruicts,3
saison,3
gouvernement,3
merveilleux,3
iniques,3
blicque,3
entier,3
corruption,3
praticque,3
avant,3
enim,3
face,3
vivoit,3
hominem,3
nisi,3
affection,3
vivons,3
advantaige,3
ordinairement,3
rendeus,3
vengeance,3
mortel,3
publicques,3
facon,3
malade,3
angoisses,3
renverser,3
craindre,3
maulvaise,3
reste,3
langueur,3
marque,3
vraye,3
nuict,3
ruyner,3
reigne,3
parts,3
telles,3
procureurs,3
vient,3
charles,3
sainctes,3
bles,3
poussé,3
puisqu,3
franchement,3
maistre,3
croire,3
seule,3
gaing,3
juridiction,3
gratuitement,3
mange,3
desdicts,3
événement,3
six,3
dix,3
enfin,3
crois,3
mesure,3
despens,3
argument,3
justement,3
veoyons,3
vermine,3
louis,3
ire,3
menaces,3
cung,3
dadvantaige,3
distribuer,3
universelle,3
veulx,3
cinquante,3
admirable,3
crédict,3
ministres,3
intégrité,3
origine,3
principal,3
dommaiges,3
danger,3
timent,3
soustenir,3
mondaine,3
bienfaicts,3
pratic,3
puissance,3
maistres,3
empire,3
scauroient,3
contens,3
néant,3
proverbe,3
inju,3
oppresseur,3
el,3
vilainie,3
troisiesme,3
coup,3
populaire,3
doibve,3
im,3
punie,3
exactions,3
envie,3
deu,3
chres,3
sentence,3
tienne,3
beaulx,3
selon,3
vertueux,3
voir,3
courroux,3
rend,3
pére,3
amys,3
laisse,3
proye,3
divin,3
pression,3
préjudice,3
cap,3
parens,3
bras,3
iniquitez,3
finablement,3
sens,3
rapines,3
impiétez,3
certainement,3
certain,3
quando,3
deus,3
miséricorde,3
affliction,3
meurent,3
meschanceté,3
tesmoignaige,3
respondre,3
braver,3
injurier,3
semble,3
homines,3
citation,3
lement,3
veulent,3
guéres,3
guerre,3
année,3
offencer,3
honneste,3
sub,3
commun,3
néces,3
protection,3
troubles,3
trouvent,3
conséquence,3
partout,3
seureté,3
fuit,3
blesse,3
entretenement,3
récom,3
certaine,3
employez,3
fonds,3
domination,3
commune,3
impunité,3
effort,3
ordinaires,3
condition,3
censure,3
soubveraine,3
traitée,3
charge,3
ven,3
inutile,3
provinces,3
monte,3
rue,3
matois,3
canaille,3
espargne,3
misere,3
propres,3
noms,3
accusateur,3
vindicte,3
commettent,3
bonté,3
humanité,3
paris,3
civile,3
fraix,3
intérests,3
gaigner,3
coups,3
lacquais,3
travail,3
man,3
encore,3
meubles,3
vieillis,3
thrésors,3
loyers,3
ostez,3
loyer,3
partie,2
sommaire,2
perdeu,2
bataille,2
être,2
sénat,2
pere,2
pestilence,2
entiers,2
recours,2
livres,2
dernier,2
extresmitez,2
appriz,2
santé,2
patron,2
péloponnese,2
épidauriens,2
champs,2
meilleur,2
celui,2
ensuite,2
hos,2
guise,2
sort,2
travers,2
heur,2
chambre,2
infiniment,2
succés,2
vaisseau,2
entour,2
bout,2
retourna,2
navire,2
ro,2
tost,2
mer,2
escu,2
mettoient,2
temples,2
autels,2
castor,2
pollux,2
aut,2
atque,2
ho,2
suos,2
pes,2
resputation,2
secret,2
refuser,2
législateurs,2
mérité,2
opinion,2
fait,2
médecins,2
li,2
vouloit,2
servyr,2
peste,2
contagion,2
respu,2
monarchies,2
attire,2
jourd,2
autho,2
tyrannie,2
tra,2
chercher,2
estrangiers,2
formidables,2
ser,2
dilection,2
héros,2
victorieux,2
jaloux,2
mour,2
pitoyable,2
violens,2
ester,2
permettre,2
pris,2
siècles,2
paul,2
pen,2
quelquefois,2
suc,2
sem,2
escript,2
louables,2
accord,2
surtout,2
vicieux,2
règne,2
ja,2
cité,2
monarques,2
doib,2
espérer,2
champ,2
vigueur,2
juré,2
pied,2
abbus,2
évidemment,2
conséquemment,2
prospéritez,2
bénédictions,2
saigement,2
difficile,2
guères,2
préceptes,2
claudius,2
sez,2
tribuns,2
relascher,2
sévère,2
exacte,2
observation,2
but,2
excellens,2
souhaicts,2
capable,2
pourquoy,2
ployer,2
conduicte,2
possible,2
ille,2
unus,2
tamen,2
tanquam,2
excellent,2
nil,2
justum,2
certes,2
lourdement,2
anciennes,2
accommoder,2
reprendre,2
tenir,2
fruict,2
catilinaire,2
importance,2
conjuration,2
récompense,2
abandonner,2
imiter,2
gouverne,2
maul,2
tenant,2
port,2
industrie,2
appréhension,2
sup,2
commander,2
esbranler,2
enseigne,2
aristote,2
pensant,2
desportemens,2
maulvaises,2
réduicte,2
salut,2
ostée,2
vont,2
élé,2
hors,2
tyrans,2
scavent,2
fran,2
entreprins,2
obéyr,2
filiale,2
totale,2
soixante,2
septante,2
loys,2
xi,2
semblable,2
résoleu,2
tailles,2
contenter,2
maine,2
sinon,2
reçoit,2
bénédiction,2
paternel,2
tournera,2
diligemment,2
parlé,2
historien,2
personnaige,2
siècle,2
recommandation,2
sance,2
esloignez,2
sor,2
vendre,2
lice,2
science,2
marchandise,2
appelle,2
milliers,2
entrée,2
dum,2
henry,2
présidiaulx,2
multiplication,2
assouvir,2
insatiable,2
incessamment,2
nouveaultez,2
nécessaires,2
vingt,2
quelle,2
tyes,2
suam,2
chicanneries,2
nourrit,2
quantité,2
cer,2
tain,2
sement,2
attendre,2
réduction,2
expresse,2
judicature,2
tiendroit,2
ulcère,2
promesses,2
debvoient,2
chiens,2
états,2
addition,2
iii,2
praticquées,2
horreur,2
effects,2
parolle,2
vivement,2
ayment,2
conservation,2
part,2
désastres,2
malheurs,2
affermir,2
content,2
commande,2
noble,2
vrayment,2
contraincte,2
fidélité,2
trouvé,2
régne,2
aujourd,2
parceque,2
desire,2
point,2
voilà,2
mise,2
faultes,2
monstré,2
sonne,2
meneu,2
ferons,2
judger,2
politicque,2
retour,2
gardiennes,2
protec,2
doulx,2
rité,2
tuer,2
resparation,2
pur,2
desny,2
sienne,2
pertes,2
maladies,2
retenir,2
commandemens,2
crapule,2
couste,2
basse,2
oppriment,2
foibles,2
indi,2
affluence,2
comparaison,2
donnée,2
ayder,2
fidé,2
fondement,2
nion,2
bas,2
ruynes,2
auguste,2
figure,2
ques,2
obéys,2
aymer,2
procurer,2
hayr,2
travaillé,2
debvoit,2
vio,2
changer,2
gouverneurs,2
voyez,2
volume,2
contumélie,2
affront,2
rencontre,2
province,2
monarchie,2
domesticques,2
lon,2
policé,2
cognoissance,2
permet,2
dissimulant,2
soubvenir,2
tatius,2
meschancetez,2
occasions,2
indignité,2
veneue,2
parlant,2
parfois,2
offensent,2
quelconque,2
faisoit,2
tibi,2
donna,2
usaige,2
injurie,2
fondemens,2
pou,2
caput,2
empes,2
coupable,2
quiconque,2
formellement,2
loblige,2
donne,2
double,2
équité,2
trés,2
criminel,2
campaigne,2
catil,2
suite,2
unquam,2
considérations,2
mondains,2
cire,2
délices,2
débacchations,2
pe,2
pompes,2
ombre,2
veoyez,2
représente,2
terme,2
advouer,2
estes,2
cum,2
eis,2
sicut,2
estime,2
asseurez,2
lorsqu,2
lz,2
éviter,2
grandeurs,2
augmenter,2
manière,2
croyent,2
esgard,2
setius,2
reproche,2
deos,2
attachez,2
silz,2
sein,2
jam,2
inquit,2
sentir,2
dos,2
vices,2
rabaissé,2
endurcy,2
péché,2
courroucez,2
joug,2
humaine,2
demeurent,2
lict,2
ingratitude,2
domino,2
agréable,2
prévenir,2
sent,2
second,2
tiré,2
hardyment,2
meschant,2
despravé,2
procul,2
dubio,2
habet,2
sis,2
nec,2
empesché,2
dissimulé,2
autem,2
thorité,2
forcer,2
fureur,2
ea,2
omnia,2
viri,2
facere,2
salluste,2
vexer,2
seu,2
quilz,2
lourdes,2
diamans,2
belle,2
raisons,2
mangent,2
ravissantes,2
oyseaulx,2
gourmander,2
ames,2
forte,2
trouppe,2
monstrer,2
quela,2
garantir,2
