token_,count
justice,166
bien,126
plus,115
faict,101
tout,94
si,93
faire,84
comme,75
dieu,74
leurs,67
grand,59
tant,54
peuple,52
réformation,51
jamais,49
tous,48
homme,48
ceulx,45
toutes,43
aultre,43
cause,42
traité,42
sans,42
ceste,41
bon,41
mesme,41
contre,40
non,39
aultres,38
estre,37
rien,36
deux,36
dict,35
fault,35
prince,34
roy,34
temps,34
avoir,33
honneur,33
poinct,33
quelque,33
soubs,32
princes,31
grande,31
vie,31
lieu,30
injustice,29
grands,29
hommes,28
vertu,28
lequel,27
fort,27
quand,27
toute,26
eulx,26
in,26
peu,25
moins,24
entre,23
tousjours,23
encore,23
judges,22
devant,22
celuy,22
raison,22
dire,22
cela,21
mal,21
royaulme,21
faveur,21
aussy,20
con,20
ville,20
ment,20
là,20
biens,19
subjects,19
seulement,19
dont,19
estoient,19
ruyne,19
gens,19
jugurtha,19
force,18
chose,18
vray,18
où,18
feust,18
rome,18
parce,17
cest,17
ainsy,16
aprés,16
fils,16
vérité,16
mieulx,16
bonne,16
miséricorde,16
laquelle,15
roys,15
mains,15
envers,15
court,15
injustices,15
souvent,15
quelques,15
choses,14
après,14
moyen,14
feit,14
mort,14
puis,14
conscience,14
peult,14
grace,13
personne,13
david,13
selon,13
cas,13
estat,13
nostre,13
amys,13
lesquelz,13
loyx,12
divine,12
monde,12
lors,12
aultrement,12
juste,12
vouloit,12
ans,12
bons,12
cent,12
tost,12
elles,12
quoy,12
sénat,12
jeune,11
auroit,11
feurent,11
terre,11
mesmes,11
ains,11
part,11
jour,11
pauvre,11
cy,10
magistrats,10
garder,10
judge,10
dis,10
grandes,10
afin,10
salomon,10
néantmoins,10
rendre,10
piété,10
maison,10
faisoit,10
dix,10
puissant,10
premier,10
estats,10
trouve,10
propos,10
grandeur,10
fois,10
romains,10
filles,10
beaucoup,10
volonté,10
armée,10
présens,10
officiers,9
doibvent,9
veoire,9
garde,9
craincte,9
debvoir,9
mémoire,9
fin,9
nommé,9
an,9
commandemens,9
faicte,9
estant,9
seul,9
offenser,9
petit,9
reste,9
jours,9
prendre,9
intégrité,9
avant,9
pro,9
second,9
premiers,9
publicque,9
cœur,9
sainct,9
propre,9
plusieurs,9
mis,9
ordre,9
argent,9
faulte,9
point,9
romain,8
ad,8
beau,8
droict,8
tellement,8
foy,8
judgement,8
faictes,8
histoire,8
scavoir,8
coeur,8
père,8
conseil,8
meschant,8
quel,8
public,8
charges,8
donc,8
exemple,8
trois,8
vertus,8
veult,8
meschans,8
mille,8
pris,8
corrompeus,8
fortune,8
punition,8
perdre,8
veoyant,8
scedasus,8
guerre,8
pu,8
desquelz,8
crimes,8
sous,8
trop,8
empire,7
dessus,7
ame,7
soubverains,7
ordonnances,7
ciel,7
duquel,7
seigneur,7
telle,7
pourveu,7
depuis,7
subject,7
corruption,7
celle,7
servyce,7
receu,7
teste,7
amour,7
jeunes,7
pré,7
couraige,7
jus,7
heureux,7
em,7
pouvoit,7
nom,7
donner,7
moyens,7
peine,7
croire,7
sens,7
avarice,7
authorité,7
chascung,7
injure,7
sorte,7
ez,7
bonnes,7
mesmement,7
compte,7
toutesfois,7
tenir,7
faicts,7
loing,7
procez,7
pluspart,7
lettres,7
traite,6
corps,6
couronne,6
doibt,6
miz,6
com,6
pouvoir,6
yeulx,6
soing,6
voilà,6
demander,6
richesses,6
peust,6
gloire,6
menaces,6
costé,6
long,6
parmy,6
commencement,6
auquel,6
servy,6
envoyé,6
laissé,6
servyr,6
semble,6
vint,6
vont,6
contrainct,6
maulvais,6
ex,6
parolle,6
injuste,6
médiocre,6
tort,6
aimer,6
exemples,6
argument,6
veulx,6
chemin,6
perd,6
respect,6
ap,6
trés,6
respublicque,6
icelles,6
main,6
ruynes,6
veoir,6
occasion,6
siècle,6
cour,6
général,6
aultruy,6
philippe,6
per,6
frére,6
vouloient,6
oultre,6
pauvres,6
genz,6
ambassadeurs,6
va,6
trouver,6
ac,6
vostre,6
louis,6
mil,6
france,6
parlement,6
plustost,6
roi,6
tour,5
tient,5
pourquoy,5
dieux,5
donne,5
aulcung,5
donna,5
saiges,5
impiétés,5
apres,5
roit,5
demeure,5
josias,5
temples,5
imiter,5
religion,5
compaignie,5
pied,5
ungs,5
nature,5
ré,5
monstra,5
bonté,5
innocence,5
autant,5
soixante,5
aulcune,5
celles,5
villes,5
commandement,5
somme,5
livre,5
sions,5
tion,5
quelconque,5
peuvent,5
éternel,5
petits,5
passer,5
veoit,5
secours,5
particuliers,5
cou,5
perte,5
respublicques,5
bientost,5
cité,5
platon,5
escript,5
digne,5
apparence,5
tel,5
grandement,5
maistres,5
portoit,5
mortel,5
fille,5
heure,5
jusques,5
lacédémoniens,5
maistre,5
retour,5
malheur,5
bataille,5
crédict,5
aulcungs,5
torts,5
port,5
aul,5
partye,5
opinion,5
tyran,5
mourir,5
sortes,5
laisse,5
vent,5
sortir,5
acquiz,5
vice,5
pitié,5
vingt,5
meneu,5
droit,5
faveurs,5
corrompeu,5
commissaires,5
parricide,5
caton,5
im,5
