token_,count
justice,114
plus,92
bien,85
si,59
tout,53
faire,50
faict,44
aultre,38
leurs,37
dieu,36
comme,35
mesme,34
tant,33
estre,32
homme,31
eulx,30
ceste,30
réformation,29
ceulx,29
grand,29
sans,29
poinct,28
jamais,28
aultres,27
non,25
tous,25
dict,24
traité,23
rien,23
force,23
entre,22
quand,20
toutes,20
hommes,20
fault,19
raison,19
monde,19
ainsy,18
grands,18
injustice,17
estat,17
peu,17
temps,16
dire,16
honneur,16
fort,16
mesmes,16
bon,15
roy,15
aussy,15
juste,15
fois,15
quelque,15
gens,15
avoir,14
peult,14
donc,14
bonne,13
celle,13
vertu,13
contre,13
subjects,13
grande,13
veoir,12
peuple,12
loy,12
parce,12
plusieurs,12
estoient,12
nature,11
vie,11
encore,11
chose,11
selon,11
deux,11
dis,11
finances,11
mieulx,10
vérité,10
sous,10
là,10
in,10
ame,10
seulement,10
cause,10
mains,10
loyx,10
cela,10
toute,10
droict,10
tousjours,10
parmy,10
trop,10
prince,10
tort,10
feit,10
premier,9
nostre,9
amour,9
cy,9
grandeur,9
charge,9
rendre,9
ad,9
soubs,9
prendre,9
soy,9
quoy,9
armes,9
elles,9
quelle,8
divine,8
celuy,8
laquelle,8
néantmoins,8
moyen,8
veoire,8
moins,8
afin,8
princes,8
bons,8
personne,8
aultruy,8
main,8
mille,8
aristide,8
petit,8
affaires,8
traite,7
mal,7
nom,7
guerre,7
terre,7
jours,7
ordinairement,7
doibt,7
vices,7
craincte,7
police,7
publicque,7
con,7
tiennent,7
com,7
oppression,7
lequel,7
envers,7
puis,7
garde,7
aulcung,7
empereur,7
indes,7
ez,6
sorte,6
paix,6
grandes,6
passer,6
ensemble,6
choses,6
dont,6
vis,6
aultrement,6
vraye,6
toutesfois,6
veulent,6
propre,6
disoit,6
violence,6
fin,6
tenir,6
vertus,6
piété,6
pouvoir,6
soing,6
général,6
où,6
contraire,6
meschans,6
puissance,6
trois,6
couraige,6
valeur,6
veoyant,6
quel,5
sion,5
