token_,count
plus,313
justice,235
si,207
bien,182
comme,160
ceste,152
tout,144
leurs,143
tant,124
faire,104
aultres,100
grand,97
temps,95
toutes,91
réformation,90
tous,89
mesme,87
faict,86
traité,84
ceulx,83
sans,79
estoient,78
non,77
aultre,74
dict,70
jamais,70
bon,68
poinct,68
peu,67
soubs,66
procez,64
estre,63
parce,61
avoir,59
grands,57
quelque,56
fort,56
judges,56
gens,56
aussy,55
in,55
offices,55
hommes,53
fault,53
chose,52
peuple,51
honneur,50
grande,49
cause,49
deux,48
là,48
argent,48
roy,48
moins,47
homme,47
prince,46
charges,46
veoir,44
vertu,44
rien,43
eulx,42
mal,41
dieu,40
entre,39
ainsy,39
puis,38
lieu,37
dire,37
cest,37
empire,37
toute,36
lors,36
dont,36
aprés,36
raison,36
laquelle,35
bonne,35
contre,35
peult,34
feust,34
nostre,34
encore,34
estat,34
feit,33
fois,32
où,32
plusieurs,32
injustice,31
droict,31
cela,31
nombre,31
monde,31
royaulme,31
espices,31
vie,30
empereur,30
vray,30
seulement,30
vénalité,30
quand,30
france,29
conseil,29
ordre,29
partyes,29
ez,29
prendre,28
celuy,28
lequel,28
mains,27
public,27
parmy,27
ans,27
court,27
ad,27
pro,27
avant,26
con,26
choses,26
avarice,26
estats,26
grandes,26
fin,26
cent,25
moyen,25
faisoit,25
tousjours,24
rendre,24
ment,24
depuis,24
autant,23
sortes,23
afin,23
mieulx,23
huy,23
an,23
magistrats,23
per,22
princes,22
bons,22
feurent,22
scavoir,21
ains,21
chascung,21
tion,21
cas,21
néantmoins,21
subjects,21
officiers,20
charge,20
peine,20
aujourd,20
telle,20
loyx,20
trois,20
mettre,19
cy,19
aulcung,19
faveur,19
assez,19
auquel,19
romains,19
vérité,19
respublicque,19
personne,19
quelques,18
force,18
jusques,18
mérite,18
affaires,18
sénat,18
lesquelz,18
gaing,18
hault,17
dessus,17
long,17
donc,17
com,17
elles,17
provinces,17
faisoient,17
meschans,17
ville,17
oultre,17
pluspart,17
profict,17
praticque,17
trop,17
estant,16
quoy,16
injustices,16
trouve,16
main,16
gaiges,16
judgement,16
icelle,16
honneurs,16
ac,16
parlement,16
dignitez,16
ancienne,15
piété,15
porte,15
partye,15
commencement,15
moyens,15
intégrité,15
après,15
devant,15
mesmes,15
causes,15
beaulx,15
telz,15
bonnes,15
judicature,15
donner,15
soyt,15
jours,14
pauvre,14
conscience,14
sens,14
veoire,14
propres,14
aulcune,14
paris,14
vingt,14
sainct,14
romain,14
riches,14
heureux,14
rome,14
propre,14
toutesfois,14
nom,14
tenir,14
sorte,14
certain,14
pris,14
mestier,14
maulvaise,14
disoit,14
vertueux,14
pendant,13
encores,13
judge,13
desquelz,13
trés,13
coustume,13
regard,13
petit,13
ex,13
quatre,13
discipline,13
bel,13
donné,13
dix,13
somme,13
désordre,13
vente,13
miz,13
corruption,13
plaisir,12
esprit,12
grace,12
dis,12
premier,12
mot,12
beaucoup,12
sunt,12
quel,12
propos,12
saiges,12
em,12
mille,12
histoire,12
trafic,12
seigneurs,12
nations,12
richesses,12
gouvernemens,12
pouvoit,12
venir,12
sous,12
iceulx,12
combien,12
lettres,12
exemple,12
prix,12
loy,12
loing,11
terre,11
aultruy,11
personnes,11
faisant,11
moy,11
faulte,11
chemin,11
celle,11
ungs,11
aage,11
belle,11
aller,11
mil,11
nec,11
mort,11
toient,11
souvent,11
ruyne,11
forme,11
maulvais,11
ordonnances,11
espicerie,11
biens,10
malheur,10
duquel,10
point,10
voilà,10
puissant,10
telles,10
teste,10
veoyant,10
auparavant,10
fortune,10
nature,10
authorité,10
qualité,10
couraige,10
peuples,10
vices,10
veneu,10
beau,10
jeunes,10
particuliers,10
quam,10
maison,10
publicques,10
guerre,10
laissé,10
conséquence,10
judger,10
garde,10
tellement,10
palais,10
mesmement,10
compaignie,10
deniers,10
mots,10
vivre,10
contraire,10
robbe,10
multitude,10
personnaiges,10
permis,10
esceus,10
grandeur,9
néant,9
faictes,9
tort,9
bourse,9
finablement,9
crédict,9
selon,9
corps,9
vraye,9
pré,9
différends,9
petite,9
police,9
charles,9
livres,9
roys,9
veult,9
né,9
but,9
neque,9
res,9
puissance,9
repos,9
bientost,9
suffisance,9
donnoit,9
roi,9
toit,9
procureur,9
cliens,9
vendent,9
cinq,9
ministres,9
puisse,9
entrée,9
vin,9
resputation,9
années,9
maistre,9
personnaige,9
dragées,9
sed,8
yeulx,8
vouleut,8
ciel,8
fera,8
guéres,8
desseing,8
perdre,8
amys,8
vent,8
coup,8
particulier,8
juste,8
plustost,8
demander,8
monstre,8
misérable,8
ubi,8
jus,8
patrie,8
louable,8
trouvent,8
envie,8
forces,8
siéges,8
courts,8
gouvernement,8
lement,8
négociation,8
pouvoir,8
ver,8
ailleurs,8
ordinaires,8
soubverain,8
pourveu,8
gent,8
marchands,8
part,8
siécle,8
publicque,8
six,8
auguste,8
tiltre,8
ap,8
facon,8
procureurs,8
aulcungs,8
tel,8
scavant,8
peines,8
loys,8
soubveraines,8
intérest,8
ordonnance,8
capacité,8
veulent,8
seul,8
saige,8
rembourser,8
accord,8
qualitez,8
quelle,8
magis,8
belles,8
grandement,8
playder,8
raisons,8
can,8
ayt,7
aultrement,7
quod,7
quia,7
entrer,7
adviz,7
soy,7
manière,7
veu,7
costé,7
maniere,7
quelqu,7
abus,7
parler,7
divine,7
puisque,7
fond,7
sou,7
croire,7
esse,7
ques,7
malheurs,7
saincte,7
bout,7
va,7
maladie,7
origine,7
science,7
tirer,7
sincérité,7
foy,7
craincte,7
nation,7
difficulté,7
rent,7
escript,7
iceluy,7
cinquante,7
illustres,7
mettent,7
suite,7
possible,7
probité,7
falloit,7
bouche,7
tions,7
caton,7
dés,7
vi,7
trouvoient,7
aul,7
monter,7
dernier,7
longuement,7
doulx,7
monarchie,7
reste,7
trouvoit,7
advocats,7
cours,7
soubveraine,7
francois,7
despenses,7
pauvres,7
doibt,7
maniére,7
inventions,7
teneus,7
vacation,7
auroient,7
mar,7
esmolumens,7
premiérement,7
ambition,7
parts,7
servyces,7
